id,question,gt,isTrue,isTagged,dataset,unique_id
history_2170_77ec7d38-739a-4ca5-9bc2-b63670f435f6,"Reformatted Question: In the census of 2010, there were 66,135 people, 26,265 (2000 data) households, and 14,051 (2000 data) families residing in the city. The population density was 6,096.7 people per square mile (2,199.9/km²). There were 30,272 (2000 data) housing units at an average density of 2,790.6 per square mile (1,077.2/km²). The racial makeup of the city was 59.38% (52.31% Non-Hispanic) (7.07 White-Hispanic) White (U.S. Census), 24.19% African American (U.S. Census), 14.47% Hispanic (U.S. Census) or Latin (U.S. Census)) of any race, 8.24% from Race (United States Census), 5.74% from two or more races, 2.62% Asian (U.S. Census), 0.69%  Native American (U.S.Census), and 0.14% Pacific Islander (U.S. Census). There is a growing Guyana population in the area. The top ancestries self-identified by people on the census are <fact1>Italian (13.6%)</fact1>, <fact2>Guyanese (12.3%)</fact2>, <fact3>Irish (12.1%)</fact3>, Puerto Rican (10.1%), German (8.7%), English (6.0%), <fact4>Polish (5.4%)</fact4>, French (4.4%). These reflect historic and early 20th-century immigration, as well as that since the late 20th century. How many percent more people were in the the second largest group compared to the second smallest?

Answer: The question asks the difference between the second largest and second smallest ancestry groups.  The passage lists ancestries in descending order.
<fact2>The second largest group is Guyanese at 12.3%</fact2>.
<fact4>The second smallest group listed is Polish at 5.4%</fact4>.

12.3% - 5.4% = 6.9%

So the answer is {6.9}.
",23.5,0,1,DROP,history_2170_77ec7d38-739a-4ca5-9bc2-b63670f435f6
nfl_2262_78f903a9-c9bc-4c21-876a-b955f331cce8,"Reformatted Question: After a franchise record setting performance the Saints went to face another winless team, the St. Louis Rams. This time, however, the Rams pulled off one of the best upsets in the NFL season. A defense kept the Saints scoreless for the first half. The second the Rams sealed the deal with an interception return for 27 yards. With this <fact1>the Saints fell to 5-3</fact1>. However this would be the last time the Saints would lose in the regular season. How many losses did the Saints have coming into this game?

Answer: The passage states that <fact1>the Saints record fell to 5 wins and 3 losses</fact1> after this game. Thus, they had 3 losses coming into this game. So the answer is {3}.
",2.0,0,1,DROP,nfl_2262_78f903a9-c9bc-4c21-876a-b955f331cce8
history_1042_8d1d1067-668e-47c9-9c68-4047b59b178b,"Reformatted Question: In the Morean War, the Republic of Venice <fact1>besieged Sinj</fact1> in October 1684 and then again March and April 1685, but both times without success. In the 1685 attempt, the Venetian armies were aided by the local militia of the Republic of Poljica, who thereby rebelled against their nominal Ottoman suzerainty that had existed since 1513. In an effort to retaliate to Poljica, in June 1685, the Ottomans attacked Zadvarje, and in July 1686 Dolac and Srijane, but were pushed back, and suffered major casualties. With the help of the local population of Poljica as well as the Morlachs, the <fact2>fortress of Sinj finally fell</fact2> to the Venetian army on 30 September 1686. On 1 September 1687 the <fact3>siege of Herceg Novi started</fact3>, and ended with a Venetian victory on 30 September. <fact4>Knin was taken</fact4> after a twelve-day siege on 11 September 1688. The capture of the Knin Fortress marked the end of the successful Venetian campaign to expand their territory in inland Dalmatia, and it also determined much of the final border between Dalmatia and Bosnia and Herzegovina that stands today. The Ottomans would besiege Sinj again in the Second Morean War, but would be repelled. On 26 November 1690, <fact5>Venice took Vrgorac</fact5>, which opened the route towards Imotski and Mostar. In 1694 they <fact6>managed to take areas north of the Republic of Ragusa</fact6>, namely Čitluk, Gabela, Zažablje, Trebinje, Popovo, Klobuk and Metković. In the final peace treaty, Venice did relinquish the areas of Popovo polje as well as Klek and Sutorina, to maintain the pre-existing demarcation near Ragusa. How many cities did Venice try to take?


Answer: Venice attempted to take the following cities: <fact1>Sinj</fact1> (successfully on the third attempt), <fact3>Herceg Novi</fact3>, <fact4>Knin</fact4>, and <fact5>Vrgorac</fact5>.  <fact6>They also took multiple areas north of Ragusa</fact6>, though the question asks about cities and the passage lists several specific locations, suggesting these are smaller settlements rather than cities.  Therefore, Venice tried to take 4 cities. So the answer is {4}.
",3.0,0,1,DROP,history_1042_8d1d1067-668e-47c9-9c68-4047b59b178b
nfl_1553_8a4780e8-b150-4dd5-894b-4fe1ba7806cd,"**Reformatted Question:** Led by former Giant Kurt Warner, the defending NFC champions took the field at Giants Stadium against a Giants team still reeling from their bad loss in New Orleans. The Giants scored first, sending Jacobs in for a 4-yard touchdown run following a <fact1>Terrell Thomas interception</fact1>. Later, Arizona running back Beanie Wells scored his first career touchdown on a 13-yard rush. Manning responded by throwing a 62-yard touchdown to Nicks for his longest reception of the year. In the second half, the Cardinals' Tim Hightower and Jason Wright scored touchdowns. But it was turnovers that decided this game; <fact2>Manning's 3 interceptions</fact2> were as many as he had thrown all season. The Giants scored only 3 points in the second half, ending the game on an <fact3>interception to Antrel Rolle</fact3>. The Giants notable streak of 38 consecutive starts by the same offensive line unit was ended here, as offensive tackle Kareem McKenzie missed the game with a groin injury. McKenzie returned the following week. How many interceptions did Arizona catch?


**Answer:** The question asks how many interceptions *Arizona* caught. The passage states that there was <fact1>one interception by Terrell Thomas</fact1>, which resulted in a Giants touchdown.  It also mentions <fact2>three interceptions thrown by Manning</fact2> and that the game ended on an <fact3>interception by Antrel Rolle</fact3>. Since Manning was the Giants' quarterback, and Rolle plays for the Giants, the <fact2>three interceptions of Manning</fact2> and the <fact3>interception by Rolle</fact3> were all caught by Arizona. Therefore, Arizona caught 3 + 1 = 4 interceptions.  So the answer is {4}. 
",3.0,0,1,DROP,nfl_1553_8a4780e8-b150-4dd5-894b-4fe1ba7806cd
history_254_69f0add7-09b8-4def-86f8-f196003f0159,"Reformatted Question: In 1997, Russia and Ukraine signed the Partition Treaty, establishing two independent national fleets and dividing armaments and bases between them. Ukraine also agreed to lease major parts of its facilities to the Russian Black Sea Fleet <fact1>until 2017</fact1>. However, the treaty appeared to be far from perfect: permanent tensions on the lease details control continued. The Fleet's main base is still situated in the Crimean port city of Sevastopol. In 2009 the Yushchenko Ukrainian government declared that the lease would not be extended and that the fleet would have to leave Sevastopol <fact1>by 2017</fact1>.  In <fact2>2010</fact2> the Russian leasehold was renegotiated with an extension <fact3>until 2042</fact3> and an option for an additional five years <fact4>until 2047</fact4>. How many years was the leasehold renegotiated for?

Answer: The passage says the lease was renegotiated in <fact2>2010</fact2> and extended <fact3>until 2042</fact3>, with an option for 5 more years <fact4>until 2047</fact4>.  2042 - 2010 = 32 years. Including the optional 5 years, the renegotiated lease was for 32 + 5 = 37 years. Since the question asks ""How many years *was* the leasehold renegotiated for"", this implies the initial agreement, not including the optional extension. Therefore the answer is {32}.
",25.0,0,1,DROP,history_254_69f0add7-09b8-4def-86f8-f196003f0159
history_1995_175cbf4d-e1c3-4752-90fa-75e32baaa16d,"**Reformatted Question:** The number of entrants has increased greatly in recent years. In the FA Cup 2004-05 season, 660 clubs entered the competition, beating the long-standing record of 656 from the 1921-22 season. In 2005-06 FA Cup this increased to 674 entrants, in 2006-07 FA Cup to 687, in 2007-08 FA Cup to 731 clubs, and for the <fact1>2008-09 FA Cup</fact1> and 2009-10 FA Cup competitions it reached 762. The number has varied slightly but remained roughly stable since then, with <fact2>759 clubs participating in 2010-11 FA Cup</fact2>, a record <fact3>763 in 2011-12 FA Cup</fact3>, 758 for 2012-13 FA Cup, 737 for 2013-14 FA Cup and 736 for 2014-15 FA Cup. By comparison, the other major English domestic cup, the EFL Cup, involves only the 92 members of the Premier League and Football League. How many times after <fact1>2008-09 FA Cup</fact1> and before <fact3>the 2011-12 FA Cup</fact3> was there an entrance of over 760 clubs?


**Answer:** We are looking for the number of times the entrant count exceeded 760 between the <fact1>2008-09</fact1> and <fact3>2011-12</fact3> FA Cups.  The passage tells us there were <fact2>759 entrants in the 2010-11 FA Cup</fact2>.  Since 759 is not over 760, there were zero seasons with more than 760 entrants between 2008-09 and 2011-12.  Therefore, the answer is {0}.
",1.0,0,1,DROP,history_1995_175cbf4d-e1c3-4752-90fa-75e32baaa16d
nfl_1471_fadb0169-392d-4f10-939d-83e5890bc3f4,"**Reformatted Question:** Hoping to rebound from their divisional loss to the Jaguars, the Texans stayed at home for a Week 4 duel with the Oakland Raiders.  Houston delivered the opening shot of the first quarter with <fact1>kicker Kris Brown's 26-yard field goal</fact1>, followed by the Raiders tying the game with a <fact2>46-yard field goal from kicker Sebastian Janikowski</fact2>.  The Texans would take full command in the second quarter as <fact1>Brown nailed a 34-yard field goal</fact1>, followed by running back Steve Slaton getting a 32-yard touchdown run and catching an 18-yard touchdown pass from quarterback Matt Schaub.  Oakland would close out the half with <fact2>Janikowski's 33-yard field goal</fact2>.  In the third quarter, Houston would continue its domination with rookie linebacker Brian Cushing tackling Raiders running back Justin Fargas in his own endzone for a safety, immediately followed by wide receiver Jacoby Jones returning a kickoff 95 yards for a touchdown. How many more yards was Janikowski's longest field goal over Brown's longest one?


**Answer:**  According to the passage, <fact2>Janikowski's longest field goal was 46 yards</fact2> and <fact1>Brown's longest field goal was 34 yards</fact1>. <fact2>46</fact2> - <fact1>34</fact1> = 20. So the answer is {20}.
",12.0,0,1,DROP,nfl_1471_fadb0169-392d-4f10-939d-83e5890bc3f4
nfl_1471_7837648a-f34f-4062-bd99-d827e9240fbc,"**Reformatted Question:** Hoping to rebound from their divisional loss to the Jaguars, the Texans stayed at home for a Week 4 duel with the Oakland Raiders.  Houston delivered the opening shot of the first quarter with <fact1>kicker Kris Brown's 26-yard field goal</fact1>, followed by the Raiders tying the game with a 46-yard field goal from kicker Sebastian Janikowski.  The Texans would take full command in the second quarter as <fact2>Brown nailed a 34-yard field goal</fact2>, followed by running back Steve Slaton getting a 32-yard touchdown run and catching an 18-yard touchdown pass from quarterback Matt Schaub.  Oakland would close out the half with Janikowski's 33-yard field goal.  In the third quarter, Houston would continue its domination with rookie linebacker Brian Cushing tackling Raiders running back Justin Fargas in his own endzone for a safety, immediately followed by wide receiver Jacoby Jones returning a kickoff 95 yards for a touchdown. How many yards longer was the second field goal than the first?


**Answer:** According to the passage, <fact1>Brown's first field goal was 26 yards</fact1> and <fact2>his second was 34 yards</fact2>.  <fact2>34</fact2> - <fact1>26</fact1> = 8. So the answer is {8}.
",20.0,0,1,DROP,nfl_1471_7837648a-f34f-4062-bd99-d827e9240fbc
history_1665_d6089739-9950-4c32-86a2-d64fbef8cbdf,"Reformatted Question: In January 1918, Romanian forces established control over Bessarabia as the Russian Army abandoned the province. Although a treaty was signed by the Romanian and Bolshevik Russian governments following <fact1>talks between 5 and 9 March 1918</fact1> on the withdrawal of Romanian forces from Bessarabia within two months, on 27 March 1918 Romania formally attached Bessarabia to its territory, based on a resolution passed by the local assembly of that territory on its unification with Romania. Romania officially made peace with the Central Powers by signing the Treaty of Bucharest on 7 May 1918. Under the treaty, Romania was obliged to end the war with the Central Powers and make small territorial concessions to Austria-Hungary, ceding control of some passes in the Carpathian Mountains, and to grant oil concessions to Germany. In exchange, the Central Powers recognised the sovereignty of Romania over Bessarabia. The treaty was renounced in October 1918 by the Alexandru Marghiloman government, and Romania nominally re-entered the war on 10 November 1918. The next day, the Treaty of Bucharest was nullified by the terms of the Armistice of Compiègne. Total Romanian deaths from 1914 to 1918, military and civilian, within contemporary borders, were estimated at 748,000. How many days did the talks between Russians and Romanians last?

Answer: The passage states that talks occurred <fact1>between 5 and 9 March 1918</fact1>.  That means the talks lasted 9 - 5 = 4 days.  However, since both the 5th and the 9th are included, we must add 1 to this result. Therefore, the talks lasted 4 + 1 = 5 days. So the answer is {5}.
",4.0,0,1,DROP,history_1665_d6089739-9950-4c32-86a2-d64fbef8cbdf
nfl_1829_b42a61fe-1d34-48dd-9806-4f552248f6ef,"Reformatted Question: Hoping to rebound from their season-opening loss to the Jaguars, the Broncos played on home ground for an interconference duel with the Seattle Seahawks. In the first quarter, the Broncos took the early lead, as quarterback Kyle Orton completed a 13-yard touchdown pass to wide receiver Eddie Royal, followed in the second quarter by a <fact1>1-yard touchdown run from running back Correll Buckhalter</fact1> and a 20-yard field goal by placekicker Matt Prater. The Seahawks got on the board in the third quarter, when quarterback Matt Hasselbeck completed an 11-yard touchdown pass to wide receiver Ben Obomanu, but the Broncos replied with a <fact2>1-yard touchdown run from running back Knowshon Moreno</fact2>. The Broncos increased their lead in the fourth quarter, when Orton threw a 21-yard touchdown pass to wide receiver Demaryius Thomas. The Seahawks replied, with Hasselbeck scrambling 20 yards for a touchdown, but the Broncos' lead was too much for Seattle to overcome. How many total yards of rushing touchdowns were scored?

Answer: According to the passage, Correll Buckhalter had a <fact1>1-yard touchdown run</fact1>, and Knowshon Moreno had a <fact2>1-yard touchdown run</fact2>.  <fact1>1</fact1> + <fact2>1</fact2> = 2. So the answer is {2}.
",22.0,0,1,DROP,nfl_1829_b42a61fe-1d34-48dd-9806-4f552248f6ef
