id,question,model,answer,gt_number,isTrue,extract_answer
history_241_8932b025-d69e-4110-ad18-13462761c791,"The popular uprising included large areas of Lower Bavaria, the Innviertel and eastern Bavaria. The lands adjoining towns and strongholds were captured by the rebels and the peasant uprising spread to the Bavarian Forest, parts of the Upper Palatinate and Kelheim on the Danube. A Braunau Parliament meeting was held in December 1705 in the then-Bavarian Braunau. Long before the French Revolution and early German parliamentarianism the meeting was held on 21 December 1705 in an inn belonging to the Baron von Paumgarten; representatives met of the four estates in Bavaria: aristocracy, clergy, burghers and peasants. The Braunau Parliament  is the name of the congress on the defence of the state of Bavaria held at Braunau am Inn convened on 21 December 1705. Following the initial uprising in November 1705, there was little response from the Austrians for nearly two months. However, that changed following an attempt by the rebels to capture the Bavarian capital, Munich. Following their unsuccessful attack, the night of 25 December 1705 saw an Austrian column encounter the peasant army near Sendling outside of Munich.  The battle was known as Sendling's Night of Murder  or the Sendling Christmas Day Massacre. The insurgents from the Bavarian Oberland were defeated and completely routed by Emperor Joseph I's troops. The number of deaths on the Bavarian side in this battle is estimated at around 1,100 men, but the Austrians lost only about 40. Some of the insurgents were killed after they had already surrendered.  About two weeks later, on 8 January 1706, the Battle of Aidenbach ended with the utter defeat of the insurgents and about 4,000 casualties on the Bavarian side. That led to the collapse of the uprising against Austria. How many days after the Braunau Parliament meeting was the Sendling's Night of Murder?",8b,"Reformatted Question: The popular uprising included large areas of Lower Bavaria, the Innviertel and eastern Bavaria. The lands adjoining towns and strongholds were captured by the rebels and the peasant uprising spread to the Bavarian Forest, parts of the Upper Palatinate and Kelheim on the Danube. A Braunau Parliament meeting was held in December 1705 in the then-Bavarian Braunau. Long before the French Revolution and early German parliamentarianism the meeting was held on <fact1>21 December 1705</fact1> in an inn belonging to the Baron von Paumgarten; representatives met of the four estates in Bavaria: aristocracy, clergy, burghers and peasants. The Braunau Parliament  is the name of the congress on the defence of the state of Bavaria held at Braunau am Inn convened on <fact1>21 December 1705</fact1>. Following the initial uprising in November 1705, there was little response from the Austrians for nearly two months. However, that changed following an attempt by the rebels to capture the Bavarian capital, Munich. Following their unsuccessful attack, the night of <fact2>25 December 1705</fact2> saw an Austrian column encounter the peasant army near Sendling outside of Munich.  The battle was known as Sendling's Night of Murder  or the Sendling Christmas Day Massacre. The insurgents from the Bavarian Oberland were defeated and completely routed by Emperor Joseph I's troops. The number of deaths on the Bavarian side in this battle is estimated at around 1,100 men, but the Austrians lost only about 40. Some of the insurgents were killed after they had already surrendered.  About two weeks later, on <fact3>8 January 1706</fact3>, the Battle of Aidenbach ended with the utter defeat of the insurgents and about 4,000 casualties on the Bavarian side. That led to the collapse of the uprising against Austria. How many days after the Braunau Parliament meeting was the Sendling's Night of Murder?
Answer: According to the passage, <fact1>the Braunau Parliament meeting was held on 21 December 1705</fact1> and <fact2>the Sendling's Night of Murder occurred on 25 December 1705</fact2>. To find the number of days between these two dates, we can subtract the day of the month of the Braunau Parliament meeting from the day of the month of the Sendling's Night of Murder: <fact2>25</fact2> - <fact1>21</fact1> = 4. So the answer is {4}.",4,True,4.0
nfl_2036_5a6fd11f-fcbe-4711-9a96-bb0a8392483d," Coming off their home win over the Browns, the Steelers flew to Sun Life Stadium for a Week 7 intraconference duel with the Miami Dolphins.  Pittsburgh trailed in the first quarter as Dolphins kicker Dan Carpenter made a 39-yard and a 23-yard field goal.  The Steelers took the lead in the second quarter with a 22-yard field goal from kicker Jeff Reed, followed by quarterback Ben Roethlisberger hooking up with wide receiver Hines Ward on a 21-yard touchdown pass.  Miami answered with Carpenter getting a 22-yard field goal, yet Pittsburgh came right back as Roethlisberger found wide receiver Mike Wallace on a 53-yard touchdown pass.  The Dolphins would close out the half with quarterback Chad Henne completing a 25-yard touchdown pass to wide receiver Davone Bess. In the third quarter, the Steelers added onto their lead as Reed booted a 39-yard field goal.  Miami answered with Carpenter making a 37-yard field goal.  Miami retook the lead in the fourth quarter as Carpenter got a 40-yard field goal, yet Pittsburgh struck back as Reed got an 18-yard field goal.  The Dolphins tried to rally, but the Pittsburgh defense stiffened and held for the victory. How many total yards did Carpenter have during the first quarter?",8b,"Reformatted Question: Coming off their home win over the Browns, the Steelers flew to Sun Life Stadium for a Week 7 intraconference duel with the Miami Dolphins.  <fact1>Pittsburgh trailed in the first quarter</fact1> as <fact2>Dolphins kicker Dan Carpenter made a 39-yard and a 23-yard field goal</fact2>.  The Steelers took the lead in the second quarter with a 22-yard field goal from kicker Jeff Reed, followed by quarterback Ben Roethlisberger hooking up with wide receiver Hines Ward on a 21-yard touchdown pass.  Miami answered with <fact2>Carpenter getting a 22-yard field goal</fact2>, yet Pittsburgh came right back as Roethlisberger found wide receiver Mike Wallace on a 53-yard touchdown pass.  The Dolphins would close out the half with quarterback Chad Henne completing a 25-yard touchdown pass to wide receiver Davone Bess. In the third quarter, the Steelers added onto their lead as Reed booted a 39-yard field goal.  Miami answered with <fact2>Carpenter making a 37-yard field goal</fact2>.  Miami retook the lead in the fourth quarter as <fact2>Carpenter got a 40-yard field goal</fact2>, yet Pittsburgh struck back as Reed got an 18-yard field goal.  The Dolphins tried to rally, but the Pittsburgh defense stiffened and held for the victory. How many total yards did <fact2>Carpenter</fact2> have during the <fact1>first quarter</fact1>?
Answer: According to the passage, <fact2>Carpenter made a 39-yard and a 23-yard field goal</fact2> in the <fact1>first quarter</fact1>. To find the total yards, we need to add the two values together. <fact2>39</fact2> + <fact2>23</fact2> = <fact2>62</fact2>. So the answer is {62}.",62,True,62.0
nfl_1454_34c22d2f-1581-491d-9c82-120f3859f49a," In week 14, the Lions traveled to rainy Baltimore, Maryland for an interconference duel with the Baltimore Ravens. Baltimore lead for almost the entire game. They scored first late in the first quarter with a 38-yard field goal by Billy Cundiff. They added to their lead with a 62-yard catch and run TD by Derrick Mason from Joe Flacco. The Lions scored their only points of the game near the end of the second quarter with a 22-yard Jason Hanson field goal. A minute later the Ravens responded with a 59-yard rushing TD by Ray Rice. Baltimore finished out the first half with a 25-yard field goal. In the second half the Ravens scored 4 consecutive touchdowns. First a Le'Ron McClain 3-yard run. Then 2 by Willis McGahee: first an 8-yard run, then a 19-yard run. In the fourth quarter, the Ravens capped off their huge victory when Troy Smith ran in a TD from 15 yards. Lions backup quarterback Daunte Culpepper completed less than half of his passes (16 for 34) and threw 2 interceptions. How many yards was Willis McGahee's first touchdown run?",8b,"Reformatted Question: In week 14, the Lions traveled to rainy Baltimore, Maryland for an interconference duel with the Baltimore Ravens. Baltimore lead for almost the entire game. They scored first late in the first quarter with a <fact1>38-yard field goal</fact1> by Billy Cundiff. They added to their lead with a <fact2>62-yard catch and run TD</fact2> by Derrick Mason from <fact3>Joe Flacco</fact3>. The Lions scored their only points of the game near the end of the second quarter with a <fact4>22-yard Jason Hanson field goal</fact4>. A minute later the Ravens responded with a <fact5>59-yard rushing TD</fact5> by Ray Rice. Baltimore finished out the first half with a <fact6>25-yard field goal</fact6>. In the second half the Ravens scored 4 consecutive touchdowns. First a <fact7>Le'Ron McClain 3-yard run</fact7>. Then 2 by <fact8>Willis McGahee</fact8>: first an <fact9>8-yard run</fact9>, then a <fact10>19-yard run</fact10>. In the fourth quarter, the Ravens capped off their huge victory when <fact11>Troy Smith ran in a TD from 15 yards</fact11>. Lions backup quarterback <fact12>Daunte Culpepper</fact12> completed less than half of his passes (16 for 34) and threw 2 interceptions. How many yards was <fact8>Willis McGahee's</fact8> first touchdown run?
Answer: According to the passage, <fact8>Willis McGahee</fact8> had two touchdown runs, one of which was an <fact9>8-yard run</fact9>. So the answer is {8}.",8,True,8.0
history_13_3680fe67-1794-47a9-b04c-64bb9d0b94bf,"In the later part of 1966, the 1st Squadron, 10th Cavalry , went to the Republic of South Vietnam during the Vietnam War  operating in the II Corps Area as part of the 4th Infantry Division. It received its first Valorous Unit Award in May 1969 for actions at LZ Oasis against a battalion sized enemy force. The 1st Squadron of the 10th, with the 4th Infantry Division, earned 12 campaign streamers and other awards in Vietnam. In April 1972, Troop H/10th Air Cavalry was formed  and placed under the 17th Aviation Group at Pleiku. The troop was located at Lane Army Airfield near An Son .  H Troop aircrews conducted aerial reconnaissance, hunter/killer, and search & destroy missions using OH-6 Cayuse , AH-1 Cobra , and UH-1 Iroquois  helicopters and ground troops from the Republic of Korea's 2nd Infantry Division and the various South Vietnamese Army units.  The unit disbanded shortly after the Paris Peace Accords were signed in 1973. Specialist 4 Robert Frakes, the last American combat casualty of the Vietnam War, perished in a post-crash fire after his OH-6 helicopter was lost to enemy fire on January 26 - the last day of US combat operations. How many years after the 1st Squadron, 10th Cavalry went to the Republic of South did it received its first Valorous Unit Award?",8b,"Reformatted Question: In the later part of 1966, the <fact1>1st Squadron, 10th Cavalry</fact1>, went to the <fact2>Republic of South Vietnam</fact2> during the <fact3>Vietnam War</fact3> operating in the <fact4>II Corps Area</fact> as part of the <fact4>4th Infantry Division</fact>. It received its first <fact5>Valorous Unit Award</fact5> in <fact6>May 1969</fact6> for actions at <fact7>LZ Oasis</fact7> against a <fact8>battalion-sized enemy force</fact8>. The <fact1>1st Squadron of the 10th</fact1>, with the <fact4>4th Infantry Division</fact>, earned 12 <fact9>campaign streamers</fact> and other awards in Vietnam. In <fact10>April 1972</fact10>, <fact11>Troop H/10th Air Cavalry</fact11> was formed and placed under the <fact12>17th Aviation Group</fact12> at <fact13>Pleiku</fact>. The troop was located at <fact14>Lane Army Airfield</fact14> near <fact15>An Son</fact>. H Troop aircrews conducted aerial reconnaissance, hunter/killer, and search & destroy missions using <fact16>OH-6 Cayuse</fact>, <fact17>AH-1 Cobra</fact>, and <fact18>UH-1 Iroquois</fact> helicopters and ground troops from the <fact19>Republic of Korea's 2nd Infantry Division</fact> and the various <fact20>South Vietnamese Army units</fact>. The unit disbanded shortly after the <fact21>Paris Peace Accords</fact> were signed in <fact22>1973</fact>. <fact23>Specialist 4 Robert Frakes</fact23>, the last American combat casualty of the <fact3>Vietnam War</fact3>, perished in a post-crash fire after his <fact16>OH-6 helicopter</fact> was lost to enemy fire on <fact24>January 26</fact24> - the last day of US combat operations. How many years after the <fact1>1st Squadron, 10th Cavalry</fact1> went to the <fact2>Republic of South</fact2> did it receive its first <fact5>Valorous Unit Award</fact5>?

Answer: According to the passage, the <fact1>1st Squadron, 10th Cavalry</fact1> went to the <fact2>Republic of South Vietnam</fact2> in <fact25>in 1966</fact25> and received its first <fact5>Valorous Unit Award</fact5> in <fact6>May 1969</fact6>. <fact6>1969</fact6> - <fact25>1966</fact25> = 3. So the answer is {3}.",3,True,3.0
history_1151_eaa88ab7-e8f6-4038-8918-c9a13d6c5256,"The Conference of Ambassadors drew the first demarcation line on June 18. The line, drawn about 5 km  west of the Warsaw - Saint Petersburg Railway, was based on the military situation on the ground rather than ethnic composition. Neither Poles nor Lithuanians were content with the line. The Polish Ministry of Foreign Affairs rejected the line as it would require the Polish forces to retreat up to 35 km . The Lithuanians protested leaving Vilnius and Hrodna under Polish control. As German volunteers were departing from Lithuania and Lithuanian forces were preoccupied with battles against the Soviets in northern Lithuania, Poland mounted an offensive on 100 km  wide front moving 20-30 km  deeper into the Lithuanian territory. On July 18, Ferdinand Foch proposed the second demarcation line, known as the Foch Line. It was approved by the Entente on July 26. The Lithuanians were informed about the new line only on August 3. Two major modifications favorable to the Poles were made: the Suwałki Region was assigned to Poland and the entire line was moved about 7 km  west. Again, both Poles and Lithuanians protested the line as it would require them to withdraw their armies from the Vilnius and Suwałki Regions respectively. German administration, which had not yet retreated from the Suwałki Region, also opposed the Foch Line. The new line did not immediately halt the hostilities. After a couple of Polish attacks on July 29 and August 2, the front stabilized. How many days after Foch's proposal was it approved by the Entente?",8b,"Reformatted Question: The Conference of Ambassadors drew the first demarcation line on <fact1>June 18</fact1>. The line, drawn about 5 km  west of the Warsaw - Saint Petersburg Railway, was based on the military situation on the ground rather than ethnic composition. Neither Poles nor Lithuanians were content with the line. The Polish Ministry of Foreign Affairs rejected the line as it would require the Polish forces to retreat up to 35 km . The Lithuanians protested leaving Vilnius and Hrodna under Polish control. As German volunteers were departing from Lithuania and Lithuanian forces were preoccupied with battles against the Soviets in northern Lithuania, Poland mounted an offensive on 100 km  wide front moving 20-30 km  deeper into the Lithuanian territory. On <fact2>July 18</fact2>, <fact3>Ferdinand Foch proposed the second demarcation line, known as the Foch Line</fact3>. It was approved by the Entente on <fact4>July 26</fact4>. The Lithuanians were informed about the new line only on August 3. Two major modifications favorable to the Poles were made: the Suwałki Region was assigned to Poland and the entire line was moved about 7 km  west. Again, both Poles and Lithuanians protested the line as it would require them to withdraw their armies from the Vilnius and Suwałki Regions respectively. German administration, which had not yet retreated from the Suwałki Region, also opposed the Foch Line. The new line did not immediately halt the hostilities. After a couple of Polish attacks on <fact5>July 29</fact5> and <fact6>August 2</fact6>, the front stabilized. How many days after <fact3>Foch's proposal</fact3> was it approved by the Entente?
Answer: According to the passage, <fact2>July 18</fact2> is when <fact3>Foch proposed the second demarcation line</fact3> and <fact4>July 26</fact4> is when it was approved by the Entente. To find the number of days between these two dates, we need to subtract <fact2>July 18</fact2> from <fact4>July 26</fact4>. Since both dates are in the same month, we can simply subtract the day values: <fact4>26</fact4> - <fact2>18</fact2> = 8. So the answer is {8}.",8,True,8.0
history_1959_67d9bb8c-d6ce-4ad0-b8d8-61785b3016f5,"The 2010 United States Census reported that Lassen County had a population of 34,895. The racial makeup of Lassen County was 25,532 (73.2%) White (U.S. Census), 2,834 (8.1%) African American (U.S. Census), 1,234 (3.5%) Native American (U.S. Census), 356 (1.0%) Asian (U.S. Census), 165 (0.5%) Pacific Islander (U.S. Census), 3,562 (10.2%) from Race (United States Census), and 1,212 (3.5%) from two or more races.  Hispanic (U.S. Census) or Latino (U.S. Census) of any race were 6,117 persons (17.5%). How many more Asian people lived in Lassen County compared to Pacific Islander?",8b,"Reformatted Question: The 2010 United States Census reported that <fact1>Lassen County</fact1> had a population of <fact2>34,895</fact2>. The racial makeup of <fact1>Lassen County</fact1> was <fact3>25,532 White (U.S. Census)</fact3>, <fact4>2,834 African American (U.S. Census)</fact4>, <fact5>1,234 Native American (U.S. Census)</fact5>, <fact6>356 Asian (U.S. Census)</fact6>, <fact7>165 Pacific Islander (U.S. Census)</fact7>, <fact8>3,562 from Race (United States Census)</fact8>, and <fact9>1,212 from two or more races</fact9>. <fact10>Hispanic (U.S. Census) or Latino (U.S. Census) of any race were 6,117 persons (17.5%)</fact10>%. How many more <fact6>Asian people</fact6> lived in <fact1>Lassen County</fact1> compared to <fact7>Pacific Islander</fact7>?
Answer: According to the passage, <fact6>356</fact6> people are <fact6>Asian (U.S. Census)</fact6> and <fact7>165</fact7> people are <fact7>Pacific Islander (U.S. Census)</fact7>. <fact6>356</fact6> - <fact7>165</fact7> = 191. So the answer is {191}.",191,True,191.0
history_2153_14a79d27-648a-4a2f-8dea-01a86d01b1a5,"1% of those at school in the South-East gained no GCSE passes in 2010; Portsmouth was most with 2.5%, and Windsor and Maidenhead had the lowest with 0.2%. For school free school meals, the region has the lowest percentage in England with 7.2%; the highest percentage is Southampton with 17%, and the lowest is Wokingham with 3.5% (the second lowest in England after Rutland); Buckinghamshire is 4.3%, then Bracknell Forest and Surrey are 4.9%. For truancy, the highest is South Bucks at 7.0, then Canterbury 7.0, Portsmouth 6.9, Thanet 6.9, Southampton 6.4, and Rushmoor 6.1. The lowest truancy percentages are for Tandridge 2.5, Windsor & Maidenhead 2.5, and Slough 2.5. How many more percentage points in truancy did South Bucks have over Slough?",8b,"Reformatted Question: For <fact1>truancy</fact1>, the highest is <fact2>South Bucks at 7.0</fact2>, then <fact3>Canterbury 7.0</fact3>, <fact4>Portsmouth 6.9</fact4>, <fact5>Thanet 6.9</fact5>, <fact6>Southampton 6.4</fact6>, and <fact7>Rushmoor 6.1</fact7>. The lowest truancy percentages are for <fact8>Tandridge 2.5</fact8>, <fact9>Windsor & Maidenhead 2.5</fact9>, and <fact10>Slough 2.5</fact10>. How many more percentage points in <fact1>truancy</fact1> did <fact2>South Bucks</fact2> have over <fact3>Slough</fact3>?

Answer: According to the passage, <fact2>South Bucks</fact2> had <fact4>7.0</fact4> percentage points in truancy, and <fact10>Slough</fact10> had <fact8>2.5</fact8> percentage points in truancy. <fact4>7.0</fact4> - <fact8>2.5</fact8> = 4.5. So the answer is {4.5}.",4.5,True,4.5
history_2086_f3e1b60f-639c-4bc1-9486-2190e00c1e75,"In 1995, the Steelers overcame a 3-4 start (including a 20-16 upset loss to the expansion 1995 Jacksonville Jaguars season) to win eight of their final nine games and finished with an  record, the second-best in the AFC. Their offense was led by quarterback Neil ODonnell, who completed 246 out of 416 passes for 2,970 yards and 17 touchdowns, with only seven interceptions. Pro Bowl wide receiver Yancey Thigpen was the teams leading receiver with 85 receptions for 1,307 yards and five touchdowns. Other contributors in the passing game included wide receivers Andre Hastings (48 catches for 502 yards and one touchdown) and Ernie Mills (39 receptions for 679 yards and 8 touchdowns), who both also excelled as returners on special teams. Mills gained 1,306 yards returning kickoffs, while Hastings returned 48 punts for 474 yards and a touchdown. The Steelers rushing attack was led by Erric Pegram, who recorded 813 yards and five touchdowns, and Bam Morris, who had 559 yards and nine touchdowns. On special teams, newly acquired kicker Norm Johnson led the NFL in both field goals made (34) and field goals attempted (41), while also successfully making all 39 of his extra point attempts.  Leading the offensive line was future Hall of Fame center Dermontti Dawson, who made the Pro Bowl for the third consecutive year. How many more yards did Ernie Mills get than Andre Hastings?",8b,"Reformatted Question: In 1995, the Steelers overcame a 3-4 start (including a <fact1>20-16 upset loss to the expansion 1995 Jacksonville Jaguars season</fact1>) to win eight of their final nine games and finished with an  record, the second-best in the AFC. Their offense was led by quarterback <fact2>Neil ODonnell</fact2>, who completed 246 out of 416 passes for <fact3>2,970 yards</fact3> and 17 touchdowns, with only seven interceptions. Pro Bowl wide receiver <fact4>Yancey Thigpen</fact4> was the team's leading receiver with 85 receptions for <fact5>1,307 yards</fact5> and five touchdowns. Other contributors in the passing game included wide receivers <fact6>Andre Hastings</fact6> (48 catches for <fact7>502 yards</fact7> and one touchdown) and <fact8>Ernie Mills</fact8> (39 receptions for <fact9>679 yards</fact9> and 8 touchdowns), who both also excelled as returners on special teams. <fact10>Mills gained 1,306 yards returning kickoffs</fact10>, while <fact11>Hastings returned 48 punts for 474 yards and a touchdown</fact11>. The Steelers rushing attack was led by <fact12>Erric Pegram</fact12>, who recorded 813 yards and five touchdowns, and <fact13>Bam Morris</fact13>, who had 559 yards and nine touchdowns. On special teams, newly acquired kicker <fact14>Norm Johnson</fact14> led the NFL in both field goals made (34) and field goals attempted (41), while also successfully making all 39 of his extra point attempts.  Leading the offensive line was future Hall of Fame center <fact15>Dermontti Dawson</fact15>, who made the Pro Bowl for the third consecutive year. How many more yards did <fact8>Ernie Mills</fact8> get than <fact6>Andre Hastings</fact6>?
Answer: According to the passage, <fact8>Ernie Mills</fact8> had <fact9>679 yards</fact9>, and <fact6>Andre Hastings</fact6> had <fact7>502 yards</fact7>. <fact9>679</fact9> - <fact7>502</fact7> = 177. So the answer is {177}.",177,True,177.0
history_1459_c2115e30-fe10-428d-8e9f-81765a5feec6,"The Spanish engaged in a strategy of concentrating native populations in newly founded colonial towns, or reducciones . Native resistance to the new nucleated settlements took the form of the flight of the indigenous inhabitants into inaccessible regions such as the forest or joining neighbouring Maya groups that had not yet submitted to the Spanish. Those that remained behind in the reducciones often fell victim to contagious diseases. An example of the effect on populations of this strategy is the province of Acalan, which occupied an area spanning southern Campeche and eastern Tabasco. When Hernán Cortés passed through Acalan in 1525 he estimated the population size as at least 10,000. In 1553 the population was recorded at around 4,000. In 1557 the population was forcibly moved to Tixchel on the Gulf coast, so as to be more easily accessible to the Spanish authorities. In 1561 the Spanish recorded only 250 tribute-paying inhabitants of Tixchel, which probably had a total population of about 1,100. This indicates a 90% drop in population over a 36-year span. Some of the inhabitants had fled Tixchel for the forest, while others had succumbed to disease, malnutrition and inadequate housing in the Spanish reducción. Coastal reducciones, while convenient for Spanish administration, were vulnerable to pirate attacks; in the case of Tixchel, pirate attacks and contagious European diseases led to the eradication of the reducción town and the extinction of the Chontal Maya of Campeche. Among the Maya, ambush was a favoured tactic. How many more people lived in Acalan in 1525 compared to 1553?",8b,"Reformatted Question: The Spanish engaged in a strategy of concentrating native populations in newly founded colonial towns, or <fact1>reducciones</fact1>. Native resistance to the new nucleated settlements took the form of the flight of the flight of the indigenous inhabitants into inaccessible regions such as the <fact2>forest</fact2> or joining neighbouring Maya groups that had not yet submitted to the Spanish. Those that remained behind in the <fact1>reducciones</fact1> often fell victim to contagious diseases. An example of the effect on populations of this strategy is the province of <fact3>Acalan</fact3>, which occupied an area spanning southern <fact4>Campeche</fact4> and eastern <fact5>Tabasco</fact5>. When <fact6>Hernán Cortés</fact6> passed through <fact3>Acalan</fact3> in <fact7>1525</fact7> he estimated the population size as at least <fact8>10,000</fact8>. In <fact9>1553</fact9> the population was recorded at around <fact10>4,000</fact10>. In <fact11>1557</fact11> the population was forcibly moved to <fact12>Tixchel</fact12> on the Gulf coast, so as to be more easily accessible to the Spanish authorities. In <fact13>1561</fact13> the Spanish recorded only <fact14>250</fact14> tribute-paying inhabitants of <fact12>Tixchel</fact12>, which probably had a total population of about <fact15>1,100</fact15>. This indicates a <fact16>90%</fact16> drop in population over a <fact17>36</fact17>-year span. Some of the inhabitants had fled <fact12>Tixchel</fact12> for the <fact2>forest</fact2>, while others had succumbed to disease, malnutrition and inadequate housing in the Spanish <fact1>reducción</fact1>. Coastal <fact1>reducciones</fact1>, while convenient for Spanish administration, were vulnerable to pirate attacks; in the case of <fact12>Tixchel</fact12>, pirate attacks and contagious European diseases led to the eradication of the <fact1>reducción</fact1> town and the extinction of the <fact18>Chontal Maya</fact18> of <fact4>Campeche</fact4>. Among the Maya, <fact19>ambush</fact19> was a favoured tactic. How many more people lived in <fact3>Acalan</fact3> in <fact20>in 1525</fact20> compared to <fact9>1553</fact9>?

Answer: According to the passage, <fact8>10,000</fact8> people lived in <fact3>Acalan</fact3> in <fact7>1525</fact7>, and <fact10>4,000</fact10> people lived in <fact3>Acalan</fact3> in <fact9>1553</fact9>. <fact8>10,000</fact8> - <fact10>4,000</fact10> = 6,000. So the answer is {6,000}.",6000,True,6000.0
history_1731_7522f5cf-390e-4bfa-a477-42f22562aa74,"In 2010, 47.3 million people who lived in the EU were born outside their resident country. This corresponds to 9.4% of the total EU population. Of these, 31.4 million (6.3%) were born outside the EU and 16.0 million (3.2%) were born in another EU member state. The largest absolute numbers of people born outside the EU were in Germany (6.4 million), France (5.1 million), the United Kingdom (4.7 million), Spain (4.1 million), Italy (3.2 million), and the Netherlands (1.4 million). How many more percent were born outside the EU than were born in another EU member state?",8b,"Reformatted Question: In 2010, <fact1>47.3 million people who lived in the EU</fact1> were born outside their resident country. This corresponds to <fact2>9.4% of the total EU population</fact2>. Of these, <fact3>31.4 million (6.3%) were born outside the EU</fact3> and <fact4>16.0 million (3.2%) were born in another EU member state</fact4>. The largest absolute numbers of people born outside the EU were in <fact5>Germany (6.4 million)</fact5>, <fact6>France (5.1 million)</fact6>, the United Kingdom (4.7 million), <fact7>Spain (4.1 million)</fact7>, <fact8>Italy (3.2 million)</fact8>, and the Netherlands (1.4 million). How many more percent were born outside the EU than were born in another EU member state?

Answer: According to the passage, <fact3>6.3%</fact3> of the EU population were born outside the EU, and <fact4>3.2%</fact4> were born in another EU member state. <fact3>6.3%</fact3> - <fact4>3.2%</fact4> = 3.1%. So the answer is {3.1}.",3.1,True,3.1
