id,model,question,gt,isTrue,unique_id,isTagged,dataset,extract_answer
nfl_1361_575d2d43-acaf-404f-86da-ff50e0d9d968,405B,"Reformatted Question: Hoping to rebound from their loss to the Titans, the Bills flew to Jacksonville Municipal Stadium for an intraconference duel with the Jacksonville Jaguars. In the 1st quarter Buffalo trailed early as kicker Josh Scobee made a 29-yard field goal. Then the Bills came on top with kicker Rian Lindell hitting a 26 and a 28-yard field goal. The Bills fell behind in the 2nd quarter when RB Maurice Jones-Drew got a 3-yard touchdown run. Then the Bills would score to end the half with Lindell nailing a 22-yard field goal. In the third quarter Buffalo took the lead with QB Ryan Fitzpatrick making a 98-yard touchdown pass to WR Terrell Owens (with a failed 2-point conversion attempt). In the fourth quarter Buffalo fell behind again with QB David Garrard making a 3-yard touchdown pass to WR Mike Sims-Walker (With a successful QB sneak to make the two-point conversion). With the loss, the Bills fell to 3-7 in Perry Fewell's first game as interim head coach. How many touchdowns of 3-yards were scored? Answer: According to the passage, there were two 3-yard touchdowns: Maurice Jones-Drew's 3-yard touchdown run and David Garrard's 3-yard touchdown pass to WR Mike Sims-Walker. So the answer is {2}.",2,True,nfl_1361_575d2d43-acaf-404f-86da-ff50e0d9d968,False,DROP,
history_1998_992a1196-5aef-4381-8aa7-56446ef9ca4a,405B,"Reformatted Question: Howe resupplied in Nova Scotia and headed for New York City with the British fleet, as it was considered the key to securing the continent. The British forces assembled in New York Bay, including more than 100 ships and thousands of troops. Howes army landed unopposed on Staten Island on July 2, and British ships continued to arrive from England and Carolina for a siege of the city. Howes troop strength totaled 32,000 well-trained soldiers, including 8,000 Hessian (soldier), while Washingtons troop strength consisted of 23,000 soldiers, 19,000 of whom were raw recruits and militia. On August 22, Howe landed 20,000 troops at Gravesend, Brooklyn and approached Washingtons fortifications. Washington chose to fight despite the objections of his generals, as he had received false information that Howes army had only 8,000 to 9,000 troops. Howe inflicted 1,500 Patriot casualties in the New York and New Jersey campaign on August 27, while the British suffered 400 casualties. Washington and his generals decided to retreat, and he instructed General William Heath to make available every flat-bottomed riverboat and sloop in the area. General William Alexander, Lord Stirling held off the British Army and covered the retreat, and the army safely crossed the East River under the cover of darkness to Manhattan Island without loss of life or material—although the British captured General Alexander. How many more Patriots were casualties than British in the New York and New Jersey campaign? Answer: According to the passage, 1,500 Patriot casualties were inflicted, and the British suffered 400 casualties. 1,500 - 400 = 1,100. So the answer is {1,100}.",1100,True,history_1998_992a1196-5aef-4381-8aa7-56446ef9ca4a,False,DROP,
history_1665_6cbf41ba-ca0e-4fb6-b056-2eb0b29a5725,405B,"Reformatted Question: In January 1918, Romanian forces established control over Bessarabia as the Russian Army abandoned the province. Although a treaty was signed by the Romanian and Bolshevik Russian governments following talks between 5 and 9 March 1918 on the withdrawal of Romanian forces from Bessarabia within two months, on 27 March 1918 Romania formally attached Bessarabia to its territory, based on a resolution passed by the local assembly of that territory on its unification with Romania. Romania officially made peace with the Central Powers by signing the Treaty of Bucharest on 7 May 1918. Under the treaty, Romania was obliged to end the war with the Central Powers and make small territorial concessions to Austria-Hungary, ceding control of some passes in the Carpathian Mountains, and to grant oil concessions to Germany. In exchange, the Central Powers recognised the sovereignty of Romania over Bessarabia. The treaty was renounced in October 1918 by the Alexandru Marghiloman government, and Romania nominally re-entered the war on 10 November 1918. The next day, the Treaty of Bucharest was nullified by the terms of the Armistice of Compiègne. Total Romanian deaths from 1914 to 1918, military and civilian, within contemporary borders, were estimated at 748,000. How many years passed while 748,000 Romanians died? Answer: According to the passage, the deaths occurred from 1914 to 1918. 1918 - 1914 = 4. So the answer is {4}.",4,True,history_1665_6cbf41ba-ca0e-4fb6-b056-2eb0b29a5725,False,DROP,
history_2086_be468264-4e73-41ca-bc45-2d0ae7bf1715,405B,"Reformatted Question: In 1995, the Steelers overcame a 3-4 start (including a 20-16 upset loss to the expansion 1995 Jacksonville Jaguars season) to win eight of their final nine games and finished with an record, the second-best in the AFC. Their offense was led by quarterback Neil ODonnell, who completed 246 out of 416 passes for 2,970 yards and 17 touchdowns, with only seven interceptions. Pro Bowl wide receiver Yancey Thigpen was the teams leading receiver with 85 receptions for 1,307 yards and five touchdowns. Other contributors in the passing game included wide receivers Andre Hastings (48 catches for 502 yards and one touchdown) and Ernie Mills (39 receptions for 679 yards and 8 touchdowns), who both also excelled as returners on special teams. Mills gained 1,306 yards returning kickoffs, while Hastings returned 48 punts for 474 yards and a touchdown. The Steelers rushing attack was led by Erric Pegram, who recorded 813 yards and five touchdowns, and Bam Morris, who had 559 yards and nine touchdowns. On special teams, newly acquired kicker Norm Johnson led the NFL in both field goals made (34) and field goals attempted (41), while also successfully making all 39 of his extra point attempts. Leading the offensive line was future Hall of Fame center Dermontti Dawson, who made the Pro Bowl for the third consecutive year. How many years in a row did Dermontti Dawson make the Pro Bowl? Answer: According to the passage, Dermontti Dawson made the Pro Bowl for the third consecutive year. So the answer is {3}.",3,True,history_2086_be468264-4e73-41ca-bc45-2d0ae7bf1715,False,DROP,
history_2179_b2940de2-45cc-4727-a5df-bff309816c52,405B,"Reformatted Question: Bangkok is one of the worlds top tourist destinations. Of 162 cities worldwide, MasterCard ranked Bangkok as the top destination city by international visitor arrivals in its Global Destination Cities Index 2018, ahead of London, with just over 20 million overnight visitors in 2017. This was a repeat of its 2017 ranking (for 2016). Euromonitor International ranked Bangkok fourth in its Top City Destinations Ranking for 2016. Bangkok was also named ""Worlds Best City"" by Travel + Leisure magazines survey of its readers for four consecutive years, from 2010 to 2013. As the main gateway through which visitors arrive in Thailand, Bangkok is visited by the majority of international tourists to the country. Domestic tourism is also prominent. The Department of Tourism recorded 26,861,095 Thai and 11,361,808 foreign visitors to Bangkok in 2010. Lodgings were made by 15,031,244 guests, who occupied 49.9 percent of the citys 86,687 hotel rooms. Bangkok also topped the list as the worlds most popular tourist destinations in 2017 rankings. How many more Thai visitors did Bangkok have in 2010 compared to other foreign visitors? Answer: According to the passage, there were 26,861,095 Thai visitors and 11,361,808 foreign visitors in 2010. To find the difference, we need to subtract the number of foreign visitors from the number of Thai visitors: 26,861,095 - 11,361,808 = 15,499,287. So the answer is {15,499,287}.",15499287,True,history_2179_b2940de2-45cc-4727-a5df-bff309816c52,False,DROP,
nfl_2067_5b2d8596-4f3f-48e2-891f-2114812cba8c,405B,"Reformatted Question: Coming off their win over the Raiders the 49ers flew to Bank of America Stadium for an NFC duel with the Panthers. In the first quarter the 49ers took the lead as QB Alex Smith got a 1-yard TD pass to TE Vernon Davis. The lead was cut when kicker John Kasay nailed a 47-yard field goal. The 49ers scored with kicker Joe Nedney making a 24-yard field goal. The Panthers tied the game with QB Matt Moore completing an 18-yard TD pass to WR David Gettis. The 49ers fell behind in the third quarter with Kasay booting a 55-yard field goal. They eventually got the lead back in the fourth quarter with Nedney hitting a 38-yard field goal, and with DE Ray McDonald returning an interception 31 yards for a touchdown. However, the Panthers tied the game with Moore finding Gettis again on a 23-yard TD pass. Following an interception by 49ers backup quarterback David Carr, Kasay successfully booted a 37-yard field goal to give the 49ers the loss. How many yards was Kasay's shortest field goal? Answer: According to the passage, Kasay's field goals were 47 yards, 55 yards, and 37 yards. The shortest of these is 37 yards. So the answer is {37}.",37,True,nfl_2067_5b2d8596-4f3f-48e2-891f-2114812cba8c,False,DROP,
nfl_1152_a7954f50-c039-4181-889c-ed0e8d9d8ff6,405B,"Reformatted Question: Coming off their road win over the Cardinals, the Giants flew to FedEx Field for a Week 13 NFC East rematch with the Washington Redskins. In the first quarter, New York scored first as QB Eli Manning completed a 40-yard TD pass to WR Amani Toomer, along with kicker John Carney getting a 31-yard field goal. In the second quarter, the Giants increased their lead as Carney got a 38-yard field goal. The Redskins would close out the half with WR Devin Thomas getting a 29-yard TD run. In the third quarter, New York began to pull away as RB Brandon Jacobs got a 1-yard TD run. In the fourth quarter, the Giants sealed the deal with Carney connecting on a 39-yard field goal. With the season-sweep, the Giants improved to 11-1, exceeding the 1986 and 1990 teams (both started 10-2 and eventually won the Super Bowl) for the best 12-game record in franchise history. How many field longer than 30 yards did Carney kick? Answer: According to the passage, Carney kicked a 31-yard field goal, a 38-yard field goal, and a 39-yard field goal. All three of these field goals are longer than 30 yards. So the answer is {3}.",3,True,nfl_1152_a7954f50-c039-4181-889c-ed0e8d9d8ff6,False,DROP,
history_1250_0b67cac8-bbe9-46a1-9646-a2e6bcc9b9d7,405B,"Reformatted Question: Armenia gave way to communist power in late 1920. The Soviet 11th Red Army's invasion of the First Republic of Armenia started on the 29th of November 1920. The actual transfer of power took place on December 2 in Yerevan, when the Armenian leadership approved an ultimatum presented to it by the Soviet plenipotentiary Boris Legran. Armenia agreed to join the Soviet sphere, while Soviet Russia agreed to protect its remaining territory from the advancing Turkish army. The Soviets also pledged to take steps to rebuild the army, to protect the Armenians and not to persecute non-communists, although the final condition of this pledge was reneged when the Dashnaks were forced out of the country. The Soviet Government proposed the annexation of the Nagorno-Karabagh and Syunik regions of Armenia to Soviet Azerbaijan. This step was strongly rejected by Garegin Nzhdeh, who declared Syunik as a self-governing region on December 25, 1920. In January 1921 Drastamat Kanayan sent a telegram to Njdeh, suggesting allowing the sovietisation of Syunik, through which they could gain the support of the Bolshevik government in solving the problems of the Armenian lands. Njdeh again proved himself as a long-sighted politician, he did not depart from Syunik and continued his struggle against the Red Army and Soviet Azerbaijan. How many days passed from when the invasion of the First Republic of Armenia started to when Syunik was declared as a self-governing region? Answer: According to the passage, the invasion of the First Republic of Armenia started on the 29th of November 1920 and Syunik was declared as a self-governing region on December 25, 1920. To find the number of days, we need to calculate the difference between these two dates. November has 30 days, so from November 29 to November 30 is 1 day. December has 25 days from December 1 to December 25. Therefore, the total number of days is 1 + 25 = 26. So the answer is {26}.",26,True,history_1250_0b67cac8-bbe9-46a1-9646-a2e6bcc9b9d7,False,DROP,
history_1891_c8b0e443-f866-47cd-af2b-f2e969d5f7c1,405B,"Reformatted Question: The 2010 United States Census reported that Huntington Beach had a population of 189,992. The population density was 5,959.1 people per square mile (2,300.8/km²). The racial makeup of Huntington Beach was 145,661 (76.7%) White (U.S. Census), 1,813 (1.0%) African American (U.S. Census), 992 (0.5%) Native American (U.S. Census), 21,070 (11.1%) Asian (U.S. Census), 635 (0.3%) Pacific Islander (U.S. Census), 11,193 (5.9%) from Race (United States Census), and 8,628 (4.5%) from two or more races. Hispanic (U.S. Census) or Latino (U.S. Census) of any race were 32,411 persons (17.1%). Non-Hispanic Whites were 67.2% of the population in 2010, compared to 90.8% in 1970. How many more Asian people were there compared to Native American people in 2010? Answer: According to the passage, there were 21,070 Asian people and 992 Native American people. To find the difference, subtract the number of Native American people from the number of Asian people: 21,070 - 992 = 20,078. So the answer is {20,078}.",20078,True,history_1891_c8b0e443-f866-47cd-af2b-f2e969d5f7c1,False,DROP,
nfl_1412_b8765a65-0f8d-4ce3-ac9e-5a86f078301f,405B,"Reformatted Question: The Browns hosted the rival Pittsburgh Steelers on a night with subzero wind chills for a Week 14 duel. In windy conditions, Phil Dawson hit a pair of 29-yard field goals, and Chris Jennings had a 10-yard touchdown run to put the Browns up 13. Jeff Reed nailed a field goal before the half to draw the Steelers within 10, and hit another in the third to bring them within a touchdown. However, a scoreless fourth by both teams led the Browns to their first win against the Steelers since 2003, and the Browns became only the fourth team in NFL history to be at least 10 games under .500 and defeat the defending Super Bowl champions. With the win, the Browns improved to 2-11, snapped a twelve-game losing streak against the Steelers and won against them for the first time since 2003 when they defeated the team 33-13 in Pittsburgh. The team also won their first home game since an October 2008 victory, interestingly against then-defending Super Bowl champion New York Giants. KR Josh Cribbs was named AFC Special Teams Player of the Week. How many points did the Steelers score in the first half? Answer: According to the passage, Jeff Reed nailed a field goal before the half for the Steelers. A field goal is worth 3 points. So the answer is {3}.",3,True,nfl_1412_b8765a65-0f8d-4ce3-ac9e-5a86f078301f,False,DROP,
