id,question,answer,gt_number
history_115_414253a7-15cf-44aa-b205-045c39299d95,"Air temperature is stable over the year at 26 °C in February and 27 °C in August. Precipitation is as high as 3,000 mm/year and mostly occurs in summer. Sea currents are south-easterly and easterly in winter and south-westerly and westerly in summer. The average surface water temperature is 26-28 °C in February and 29 °C in May. The water temperature is constant at 4.8 °C at the depths of 1,600 m and below. Salinity is 31.5-32.5‰  in summer and 30.0-33.0‰ in winter in the southern part. In the northern part, it decreases to 20-25‰ due to the inflow of fresh water from the Irrawaddy River. Tides are semidiurnal  with an amplitude of up to 7.2 meters. At it's lowest average surface temperature in February, how many degrees C warmer is it in May?","Reformatted Question: Air temperature is stable over the year at 26 °C in February and 27 °C in August. Precipitation is as high as 3,000 mm/year and mostly occurs in summer. Sea currents are south-easterly and easterly in winter and south-westerly and westerly in summer. The average surface water temperature is 26-28 °C in February and 29 °C in May. The water temperature is constant at 4.8 °C at the depths of 1,600 m and below. Salinity is 31.5-32.5‰  in summer and 30.0-33.0‰ in winter in the southern part. In the northern part, it decreases to 20-25‰ due to the inflow of fresh water from the Irrawaddy River. Tides are semidiurnal  with an amplitude of up to 7.2 meters. At it's lowest average surface temperature in February, how many degrees C warmer is it in May?

Answer: According to the passage, the lowest average surface temperature in February is 26 °C and the average surface temperature in May is 29 °C. 29 °C - 26 °C = 3. So the answer is {3}.",3
nfl_1222_35c2174f-2eb4-45eb-9658-c6ebbc99ea7b," Hoping to rebound from their road loss to the Bills, the Chargers flew to Wembley Stadium for the 2008 International Series game with the New Orleans Saints. In the first quarter, San Diego trailed early as kicker Taylor Mehlhaff got a 23-yard field goal.  The 'Bolts would respond with kicker Nate Kaeding getting a 33-yard field goal.  In the second quarter, New Orleans regained the lead as QB Drew Brees (a former Charger) completed a 12-yard TD pass to WR Devery Henderson (with a failed PAT) and RB Deuce McAllister getting a 1-yard TD run.  San Diego answered as QB Philip Rivers completed a 12-yard TD pass to RB LaDainian Tomlinson, but the Saints replied with Brees completing a 30-yard TD pass to WR Lance Moore.  The Chargers closed out the half with Rivers completing a 12-yard TD pass to TE Antonio Gates. In the third quarter, New Orleans increased its lead Brees completing a 1-yard TD pass to TE Mark Campbell, after a very controversial Pass interference call on cornerback Cletis Gordon put the Saints on the 1-yard line.  The 'Bolts would answer with Kaeding getting a 24-yard field goal.  In the fourth quarter, the Saints continued to build its lead as FB Mike Karney got a 1-yard TD run.  San Diego tried to rally as Kaeding nailed a 31-yard field goal, Rivers completed a 14-yard TD pass to WR Vincent Jackson, and Brees giving the 'Bolts a safety via an incomplete pass thrown into the back of his own endzone.  However, New Orleans' defense stiffened for the win. With the loss, the Chargers went into their bye week at 3-5. How many yards longer was Kaeding's longest field goal than Mehlhaff's longest field goal?","Reformatted Question: Hoping to rebound from their road loss to the Bills, the Chargers flew to Wembley Stadium for the 2008 International Series game with the New Orleans Saints. In the first quarter, San Diego trailed early as kicker Taylor Mehlhaff got a 23-yard field goal.  The 'Bolts would respond with kicker Nate Kaeding getting a 33-yard field goal.  In the second quarter, New Orleans regained the lead as QB Drew Brees (a former Charger) completed a 12-yard TD pass to WR Devery Henderson (with a failed PAT) and RB Deuce McAllister getting a 1-yard TD run.  San Diego answered as QB Philip Rivers completed a 12-yard TD pass to RB LaDainian Tomlinson, but the Saints replied with Brees completing a 30-yard TD pass to WR Lance Moore.  The Chargers closed out the half with Rivers completing a 12-yard TD pass to TE Antonio Gates. In the third quarter, New Orleans increased its lead Brees completing a 1-yard TD pass to TE Mark Campbell, after a very controversial Pass interference call on cornerback Cletis Gordon put the Saints on the 1-yard line.  The 'Bolts would answer with Kaeding getting a 24-yard field goal.  In the fourth quarter, the Saints continued to build its lead as FB Mike Karney got a 1-yard TD run.  San Diego tried to rally as Kaeding nailed a 31-yard field goal, Rivers completed a 14-yard TD pass to WR Vincent Jackson, and Brees giving the 'Bolts a safety via an incomplete pass thrown into the back of his own endzone.  However, New Orleans' defense stiffened for the win. With the loss, the Chargers went into their bye week at 3-5. How many yards longer was Kaeding's longest field goal than Mehlhaff's longest field goal?

Answer: According to the passage, Mehlhaff's longest field goal was 23 yards, and Kaeding had a 33-yard field goal and also a 31-yard field goal. Since 33 is greater than 31, Kaeding's longest field goal was 33 yards. 33 - 23 = 10. So the answer is {10}.",10
history_1708_a20c5d22-4168-420b-8b4e-d634cdb3b468,"In 1905, 1,003 Korean immigrants, which included 802 men and 231 women and children, departed from the port of Chemulpo, Incheon aboard the ship Ilford to Salina Cruz, Oaxaca, Mexico. The journey took 45 days, after which they took a train to Coatzacoalcos, Veracruz. In the Veracruz port, another boat was taken to the port of Progreso with the final destination being the capital city of Mérida, Yucatan. They arrived in May 1905, with previously signed contracts for four years' work as indentured laborers on the Yucatán henequen haciendas. Many of these Koreans were distributed throughout the Yucatán in 32 henequen haciendas. The town of Motul, Yucatan, located in the heart of the henequen zone, was a destination for many of the Korean immigrants. Subsequently, in 1909, at the end of their contracts, they began a new stage in which they scattered even further  Thus, the majority of those who came were single men who made or remade their family lives with Yucatecan especially Maya women. While Korean girls were much more subject to marriages arranged by Korean parents, males had greater freedom when it came to making a family. This rapid intermarriage by Koreans, coupled with geographic dispersal, prevented the establishment of close social networks among these migrants and therefore provided the basis for Korean descendants among the Yucatan Peninsula. After that 1905 ship, no further entries of Koreans into Mexico were recorded, until many years later, leading to a new community of Koreans with completely different characteristics from those who entered in 1905. These descendants have started the Museo Conmemorativo de la Inmigración Coreana a Yucatán, a museum for the remembrance of their ancestors journey. How many more men were there than women and children who departed from the port of Chemulpo, Incheon aboard the ship Ilford to Salina Cruz, Oaxaca, Mexico?","Reformatted Question: In 1905, 1,003 Korean immigrants, which included 802 men and 231 women and children, departed from the port of Chemulpo, Incheon aboard the ship Ilford to Salina Cruz, Oaxaca, Mexico. The journey took 45 days, after which they took a train to Coatzacoalcos, Veracruz. In the Veracruz port, another boat was taken to the port of Progreso with the final destination being the capital city of Mérida, Yucatan. They arrived in May 1905, with previously signed contracts for four years' work as indentured laborers on the Yucatán henequen haciendas. Many of these Koreans were distributed throughout the Yucatán in 32 henequen haciendas. The town of Motul, Yucatan, located in the heart of the henequen zone, was a destination for many of the Korean immigrants. Subsequently, in 1909, at the end of their contracts, they began a new stage in which they scattered even further  Thus, the majority of those who came were single men who made or remade their family lives with Yucatecan especially Maya women. While Korean girls were much more subject to marriages arranged by Korean parents, males had greater freedom when it came to making a family. This rapid intermarriage by Koreans, coupled with geographic dispersal, prevented the establishment of close social networks among these migrants and therefore provided the basis for Korean descendants among the Yucatan Peninsula. After that 1905 ship, no further entries of Koreans into Mexico were recorded, until many years later, leading to a new community of Koreans with completely different characteristics from those who entered in 1905. These descendants have started the Museo Conmemorativo de la Inmigración Coreana a Yucatán, a museum for the remembrance of their ancestors journey. How many more men were there than women and children who departed from the port of Chemulpo, Incheon aboard the ship Ilford to Salina Cruz, Oaxaca, Mexico?
Answer: According to the passage, there were 802 men and 231 women and children. To find the difference, we need to subtract the number of women and children from the number of men. 802 - 231 = 571. So the answer is {571}.",571
history_1237_85ef7d66-ce05-44db-9405-08cf211f95cf,"After the War of Independence and truce called in July 1921, representatives of the British government and the Irish treaty delegates, led by Arthur Griffith, Robert Barton and Michael Collins, negotiated the Anglo-Irish Treaty in London from 11 October to 6 December 1921. The Irish delegates set up headquarters at Hans Place in Knightsbridge, and it was here in private discussions that the decision was taken on 5 December to recommend the treaty to Dáil Éireann.The Second Dáil Éireann narrowly ratified the Treaty. In accordance with the treaty, on 6 December 1922 the entire island of Ireland became a self-governing Dominion called the Irish Free State . Under the Constitution of the Irish Free State, the Parliament of Northern Ireland had the option to leave the Irish Free State one month later and return to the United Kingdom. During the intervening period, the powers of the Parliament of the Irish Free State and Executive Council of the Irish Free State did not extend to Northern Ireland. Northern Ireland exercised its right under the treaty to leave the new Dominion and rejoined the United Kingdom on 8 December 1922. It did so by making an address to the King requesting, ""that the powers of the Parliament and Government of the Irish Free State shall no longer extend to Northern Ireland."" The Irish Free State was a constitutional monarchy sharing a monarch with the United Kingdom and other Dominions of the British Commonwealth. The country had a governor-general , a bicameral parliament, a cabinet called the ""Executive Council"", and a prime minister called the President of the Executive Council. How many days after the negotiating of the Anglo-Irish Treaty did the entire island of Ireland become the Irish Free State?","Reformatted Question: After the War of Independence and truce called in July 1921, representatives of the British government and the Irish treaty delegates, led by Arthur Griffith, Robert Barton and Michael Collins, negotiated the Anglo-Irish Treaty in London from 11 October to 6 December 1921. The Irish delegates set up headquarters at Hans Place in Knightsbridge, and it was here in private discussions that the decision was taken on 5 December to recommend the treaty to Dáil Éireann.The Second Dáil Éireann narrowly ratified the Treaty. In accordance with the treaty, on 6 December 1922 the entire island of Ireland became a self-governing Dominion called the Irish Free State . Under the Constitution of the Irish Free State, the Parliament of Northern Ireland had the option to leave the Irish Free State one month later and return to the United Kingdom. During the intervening period, the powers of the Parliament of the Irish Free State and Executive Council of the Irish Free State did not extend to Northern Ireland. Northern Ireland exercised its right under the treaty to leave the new Dominion and rejoined the United Kingdom on 8 December 1922. It did so by making an address to the King requesting, ""that the powers of the Parliament and Government of the Irish Free State shall no longer extend to Northern Ireland."" The Irish Free State was a constitutional monarchy sharing a monarch with the United Kingdom and other Dominions of the British Commonwealth. The country had a governor-general , a bicameral parliament, a cabinet called the ""Executive Council"", and a prime minister called the President of the Executive Council. How many days after the negotiating of the Anglo-Irish Treaty did the entire island of Ireland become the Irish Free State?

Answer: According to the passage, the Anglo-Irish Treaty was negotiated from 11 October to 6 December 1921, and the entire island of Ireland became the Irish Free State on 6 December 1922. To find the number of days, we need to calculate the difference between 6 December 1922 and 6 December 1921. 6 December 1922 - 6 December 1921 = 365 days. So the answer is {365}.",365
history_1731_129e212a-a305-48e3-8438-c8cc52c88cf8,"In 2010, 47.3 million people who lived in the EU were born outside their resident country. This corresponds to 9.4% of the total EU population. Of these, 31.4 million (6.3%) were born outside the EU and 16.0 million (3.2%) were born in another EU member state. The largest absolute numbers of people born outside the EU were in Germany (6.4 million), France (5.1 million), the United Kingdom (4.7 million), Spain (4.1 million), Italy (3.2 million), and the Netherlands (1.4 million). How many more millions of people living in the EU we're born in Germany than in Italy?","Reformatted Question: In 2010, 47.3 million people who lived in the EU were born outside their resident country. This corresponds to 9.4% of the total EU population. Of these, 31.4 million (6.3%) were born outside the EU and 16.0 million (3.2%) were born in another EU member state. The largest absolute numbers of people born outside the EU were in Germany (6.4 million), France (5.1 million), the United Kingdom (4.7 million), Spain (4.1 million), Italy (3.2 million), and the Netherlands (1.4 million). How many more millions of people living in the EU were born in Germany than in Italy?

Answer: According to the passage, 6.4 million people were born in Germany and 3.2 million people were born in Italy. 6.4 million - 3.2 million = 3.2 million. So the answer is {3.2}.",3.2
nfl_2269_751d3b8d-7994-4497-95ca-9a27ab58af68," The Giants again found themselves trailing the winless Dolphins entering the fourth quarter. New York was down 17-10 behind two rushing touchdowns, one by wildcat quarterback Steve Slaton and the other by starter Matt Moore, and a Dan Carpenter field goal. Lawrence Tynes recorded a field goal of his own while Eli Manning threw a touchdown to Mario Manningham in the second quarter. After Tynes recorded his second field goal in the fourth, Manning found Victor Cruz for a 25-yard touchdown with 2:30 left to give the Giants the victory. Cruz recorded 99 yards on seven receptions while Manning threw for 349 yards and two touchdowns. Reggie Bush led all runners with 103 yards and Moore threw for 138 and an interception. How many points were the Giants behind the Dolphins at the start of the 4th quarter?","Reformatted Question: The Giants again found themselves trailing the winless Dolphins entering the fourth quarter. New York was down 17-10 behind two rushing touchdowns, one by wildcat quarterback Steve Slaton and the other by starter Matt Moore, and a Dan Carpenter field goal. Lawrence Tynes recorded a field goal of his own while Eli Manning threw a touchdown to Mario Manningham in the second quarter. After Tynes recorded his second field goal in the fourth, Manning found Victor Cruz for a 25-yard touchdown with 2:30 left to give the Giants the victory. Cruz recorded 99 yards on seven receptions while Manning threw for 349 yards and two touchdowns. Reggie Bush led all runners with 103 yards and Moore threw for 138 and an interception. How many points were the Giants behind the Dolphins at the start of the 4th quarter?

Answer: According to the passage, at the start of the fourth quarter, the Giants were down 17-10 to the Dolphins. To find the difference, we need to subtract the Giants' score from the Dolphins' score. 17 - 10 = 7. So the answer is {7}.",7
history_2380_a86c1cca-3af3-41e9-bffc-4a9fe8d9bb19,"Baltimore managed to beat the Jets 10-9 on the 2010 opener, but then lost a poorly-played game against Cincinnati the following week. The Ravens rebounded against the other two division teams, beating Cleveland 24-17 in Week 3 and then Pittsburgh 17-14 in Week 4. The Ravens scored a fine win (31-17) at home against Denver in Week 5. After an overtime loss to New England, they narrowly avoided losing at home to the winless Bills. Next, the Ravens hosted Miami and won 26-10, breaking that teams 4-0 road streak. On Thursday Night, the team headed to Atlanta and lost 26-21 in a game that had some criticizing the officiating. The Ravens finished the season 12-4, second in the division due to a tiebreaker with Pittsburgh, and earning a wild card spot. Baltimore headed to Kansas City and crushed the unprepared Chiefs 30-7, but once again were knocked from the playoffs by Pittsburgh in a hard-fought battle. How many more points did the Ravens win by against Denver compared to their win against the Jets?","Reformatted Question: Baltimore managed to beat the Jets 10-9 on the 2010 opener, but then lost a poorly-played game against Cincinnati the following week. The Ravens rebounded against the other two division teams, beating Cleveland 24-17 in Week 3 and then Pittsburgh 17-14 in Week 4. The Ravens scored a fine win (31-17) at home against Denver in Week 5. After an overtime loss to New England, they narrowly avoided losing at home to the winless Bills. Next, the Ravens hosted Miami and won 26-10, breaking that teams 4-0 road streak. On Thursday Night, the team headed to Atlanta and lost 26-21 in a game that had some criticizing the officiating. The Ravens finished the season 12-4, second in the division due to a tiebreaker with Pittsburgh, and earning a wild card spot. Baltimore headed to Kansas City and crushed the unprepared Chiefs 30-7, but once again were knocked from the playoffs by Pittsburgh in a hard-fought battle. How many more points did the Ravens win by against Denver compared to their win against the Jets?

Answer: According to the passage, the Ravens won by 14 points against Denver (31-17) and 1 point against the Jets (10-9). 14 - 1 = 13. So the answer is {13}.",13
history_1853_f5e1c2fb-22ec-4fcf-8c67-55ab538039ea,"With the end of the ""crack epidemic"" in the mid-1990s and with the initiation of aggressive policing under mayors David Dinkins and subsequently  Rudolph Giuliani, crime in Harlem plummeted. In 1981, 6,500 robberies were reported in Harlem; robberies dropped to 4,800 in 1990 during David Dinkins mayoralty. By 2000, only 1,700 robberies were reported, and by 2010, only 1,100 were reported. There have been similar changes in all categories of crimes tracked by the New York City Police Department. In the 32nd Precinct, which services Central Harlem above 127th Street, for example, between 1990 and 2013, the murder rate dropped 89.4%, the rape rate dropped 67.5%, the robbery rate dropped 74.2%, burglary dropped 93.4%, and the total number of crime complaints dropped 77.6%. How many more robberies were there in 1981 compared to 2010?","Reformatted Question: With the end of the ""crack epidemic"" in the mid-1990s and with the initiation of aggressive policing under mayors David Dinkins and subsequently  Rudolph Giuliani, crime in Harlem plummeted. In 1981, 6,500 robberies were reported in Harlem; robberies dropped to 4,800 in 1990 during David Dinkins mayoralty. By 2000, only 1,700 robberies were reported, and by 2010, only 1,100 were reported. There have been similar changes in all categories of crimes tracked by the New York City Police Department. In the 32nd Precinct, which services Central Harlem above 127th Street, for example, between 1990 and 2013, the murder rate dropped 89.4%, the rape rate dropped 67.5%, the robbery rate dropped 74.2%, burglary dropped 93.4%, and the total number of crime complaints dropped 77.6%. How many more robberies were there in 1981 compared to 2010?

Answer: According to the passage, 6,500 robberies were reported in 1981 and 1,100 were reported in 2010. 6,500 - 1,100 = 5,400. So the answer is {5,400}.",5400
history_107_3ca4effd-18f9-48fe-8645-fd07301676f0,"Knopf was founded in 1915 by Alfred A. Knopf Sr. along with Blanche Knopf, on a $5,000 advance from his father, Samuel Knopf. The first office was located in New York's Candler Building. The publishing house was officially incorporated in 1918, with Alfred Knopf as president, Blanche Knopf as vice-president, and Samuel Knopf as treasurer. From the start, Knopf focused on European translations and high-brow works of literature. Among their initial publications were French author Émile Augier's Four Plays, Russian writer Nikolai Gogol's Taras Bulba, Polish novelist Stanisław Przybyszewski's novel Homo Sapiens, and French writer Guy de Maupassant's Yvette, a novelette, and Ten Other Stories. During World War I these books were cheap to obtain and helped establish Knopf as an American firm publishing European works. Their first bestseller was a new edition of Green Mansions, a novel by W. H. Hudson which went through nine printings by 1919 and sold over 20,000 copies. Their first original American novel, The Three Black Pennys by Joseph Hergesheimer, was published in 1917. The book Three Black Pennys was published how many years after Knopf was founded?","Reformatted Question: Knopf was founded in 1915 by Alfred A. Knopf Sr. along with Blanche Knopf, on a $5,000 advance from his father, Samuel Knopf. The first office was located in New York's Candler Building. The publishing house was officially incorporated in 1918, with Alfred Knopf as president, Blanche Knopf as vice-president, and Samuel Knopf as treasurer. From the start, Knopf focused on European translations and high-brow works of literature. Among their initial publications were French author Émile Augier's Four Plays, Russian writer Nikolai Gogol's Taras Bulba, Polish novelist Stanisław Przybyszewski's novel Homo Sapiens, and French writer Guy de Maupassant's Yvette, a novelette, and Ten Other Stories. During World War I these books were cheap to obtain and helped establish Knopf as an American firm publishing European works. Their first bestseller was a new edition of Green Mansions, a novel by W. H. Hudson which went through nine printings by 1919 and sold over 20,000 copies. Their first original American novel, The Three Black Pennys by Joseph Hergesheimer, was published in 1917. The book Three Black Pennys was published how many years after Knopf was founded?
Answer: According to the passage, Knopf was founded in 1915 and The Three Black Pennys was published in 1917. 1917 - 1915 = 2. So the answer is {2}.",2
history_254_3896aca7-5cf9-4c8d-913e-c0f6f629932a,"In 1997, Russia and Ukraine signed the Partition Treaty, establishing two independent national fleets and dividing armaments and bases between them. Ukraine also agreed to lease major parts of its facilities to the Russian Black Sea Fleet until 2017. However, the treaty appeared to be far from perfect: permanent tensions on the lease details  control continued. The Fleet's main base is still situated in the Crimean port city of Sevastopol. In 2009 the Yushchenko Ukrainian government declared that the lease would not be extended and that the fleet would have to leave Sevastopol by 2017.  In 2010 the Russian leasehold was renegotiated with an extension until 2042 and an option for an additional five years until 2047. For how many years from the original deadline was the lease extended?","Reformatted Question: In 1997, Russia and Ukraine signed the Partition Treaty, establishing two independent national fleets and dividing armaments and bases between them. Ukraine also agreed to lease major parts of its facilities to the Russian Black Sea Fleet until 2017. However, the treaty appeared to be far from perfect: permanent tensions on the lease details  control continued. The Fleet's main base is still situated in the Crimean port city of Sevastopol. In 2009 the Yushchenko Ukrainian government declared that the lease would not be extended and that the fleet would have to leave Sevastopol by 2017.  In 2010 the Russian leasehold was renegotiated with an extension until 2042 and an option for an additional five years until 2047. For how many years from the original deadline was the lease extended?

Answer: According to the passage, the original deadline was 2017 and the lease was extended until 2042. To find the number of years the lease was extended, we need to subtract the original deadline from the new deadline: 2042 - 2017 = 25. So the answer is {25}.",25
