id,question,gt,isTrue,isTagged,dataset,unique_id
0,"Reformatted Question: Luis saw a <fact1>48-foot dolphin</fact1> with <fact2>24 remoras</fact2>, each <fact3>18 inches long</fact3> attached to it. Then, a <fact4>third of the remoras swam away</fact4>. Later, Luis saw another <fact5>10-foot dolphin</fact5> with <fact6>6 remoras</fact6>, each <fact7>8 inches long</fact7>, attached to it. On average, what percentage of each dolphin's body length is covered by the remoras?

Answer: First, let's calculate the total length of remoras on the first dolphin.  Initially, there were <fact2>24 remoras</fact2>, each <fact3>18 inches long</fact3>, totaling 24 * 18 = 432 inches.  After a <fact4>third swam away</fact4>, 24/3 = 8 remoras left, representing a total length of 8 * 18 = 144 inches. Since 1 foot = 12 inches, the 144 inches is equivalent to 144/12 = 12 feet.

The percentage of the <fact1>48-foot dolphin's</fact1> body length covered by remoras is (12 feet / 48 feet) * 100% = 25%.

Next, let's consider the second dolphin. It had <fact6>6 remoras</fact6>, each <fact7>8 inches long</fact7>, totaling 6 * 8 = 48 inches.  This is equivalent to 48/12 = 4 feet.

The percentage of the <fact5>10-foot dolphin's</fact5> body length covered by remoras is (4 feet / 10 feet) * 100% = 40%.

To find the average percentage, we add the two percentages and divide by 2: (25% + 40%) / 2 = 32.5%.

Therefore, on average, 32.5% of each dolphin's body length is covered by remoras.  The answer is {32.5}.
",45,0,1,p2,3
2,"Reformatted Question: Tariq is rolling a <fact1>four-sided die</fact1>. How much more likely is it (expressed as a difference in percentage points) that he <fact2>rolls a number greater than 2 twice in a row</fact2>, than that he <fact3>rolls four even numbers in a row</fact3>?

Answer:  A four-sided die has faces numbered 1, 2, 3, and 4.

Let's analyze the probabilities:

* **Fact 2: Rolling a number greater than 2 twice in a row:** The numbers greater than 2 on the <fact1>four-sided die</fact1> are 3 and 4.  Therefore, the probability of rolling a number greater than 2 on a single roll is 2/4 = 1/2 = 50%. The probability of this happening twice in a row is (1/2) * (1/2) = 1/4 = 25% or 0.25.

* **Fact 3: Rolling four even numbers in a row:** The only even number on the <fact1>four-sided die</fact1> is 2.  Therefore, the probability of rolling an even number (a 2) on a single roll is 1/4 = 25%. The probability of rolling four even numbers in a row is (1/4) * (1/4) * (1/4) * (1/4) = 1/256 ≈ 0.39% or 0.0039.

To find the difference in likelihood, we subtract the probability of rolling four even numbers in a row from the probability of rolling a number greater than 2 twice in a row:

25% - 0.39% = 24.61%

Therefore, Tariq is 24.61 percentage points more likely to roll a number greater than 2 twice in a row than to roll four even numbers in a row.

The answer is {24.61}.
",18.75,0,1,p2,13
7,"Reformatted Question: A farmer is buying feed for his cows. He buys a variety of hay, wheat, carrots and apples.  He buys <fact1>five 7-pound boxes of apples</fact1>. He buys <fact2>fourteen 5-pound bags of carrots</fact2>. He buys <fact3>thirty-five 44-pound packs of hay</fact3>. He buys <fact4>nineteen 15-pound sacks of wheat</fact4>. Finally, he buys <fact5>43 pounds of groceries</fact5>, <fact6>27 pounds of tools</fact6>, and <fact7>100 pounds of wood</fact7>. A farm truck can carry <fact8>100 pounds at a time</fact8>. If the farmer has <fact9>three trucks</fact9>, how many trips does the farmer need to transport all the purchased items?

Answer: First, let's calculate the total weight of each item:

* **Apples:** <fact1>5 boxes * 7 pounds/box = 35 pounds</fact1>
* **Carrots:** <fact2>14 bags * 5 pounds/bag = 70 pounds</fact2>
* **Hay:** <fact3>35 packs * 44 pounds/pack = 1540 pounds</fact3>
* **Wheat:** <fact4>19 sacks * 15 pounds/sack = 285 pounds</fact4>
* **Groceries:** <fact5>43 pounds</fact5>
* **Tools:** <fact6>27 pounds</fact6>
* **Wood:** <fact7>100 pounds</fact7>

Now, let's find the total weight of all the items: 35 + 70 + 1540 + 285 + 43 + 27 + 100 = 2100 pounds

Since each truck can carry <fact8>100 pounds</fact8>, the total number of trips needed with one truck would be 2100 pounds / 100 pounds/trip = 21 trips.

However, the farmer has <fact9>three trucks</fact9>, so the number of trips per truck is 21 trips / 3 trucks = 7 trips per truck.

Therefore, the farmer needs a total of 21 trips to transport all the purchased items.  Each of the three trucks will make 7 trips.
The answer is {21}.
",7,0,1,p2,45
12,"Reformatted Question: Benjamin places crackers on bowls and plates. Each bowl can hold <fact1>21 crackers</fact1> while each plate can hold two times that. Benjamin has <fact2>720 crackers</fact2>, <fact3>9 bowls</fact3> and <fact4>3 plates</fact4>. Unfortunately, <fact5>2 plates break</fact5>. Benjamin then eats <fact6>one-eighth of all the crackers</fact6>. How many more bowls does Benjamin need so he can place all the remaining crackers?

Answer: First, let's determine the capacity of each plate.  Since each plate holds twice the number of crackers as a bowl (<fact1>21 crackers per bowl</fact1>), each plate can hold 21 * 2 = 42 crackers.

Next, calculate the total capacity of the bowls and plates before the breakage.  Benjamin has <fact3>9 bowls</fact3>, each holding <fact1>21 crackers</fact1>, for a total of 9 * 21 = 189 crackers. He initially has <fact4>3 plates</fact4>, each holding 42 crackers, for a total of 3 * 42 = 126 crackers.  Combined, the bowls and plates could hold 189 + 126 = 315 crackers.

After <fact5>2 plates break</fact5>, the total capacity is reduced by 2 * 42 = 84 crackers. The new capacity is 315 - 84 = 231 crackers.

Benjamin starts with <fact2>720 crackers</fact2> and eats <fact6>one-eighth</fact6> of them, which is 720 / 8 = 90 crackers.  This leaves him with 720 - 90 = 630 crackers.

To determine how many more bowls are needed, we find out how many bowls would be required to hold all 630 remaining crackers.  Each bowl holds <fact1>21 crackers</fact1>, so the number of bowls needed is 630 / 21 = 30 bowls.

Finally, subtract the number of bowls Benjamin already has (<fact3>9 bowls</fact3>) from the number of bowls needed (30 bowls): 30 - 9 = 21.  Therefore, Benjamin needs 21 more bowls.

The answer is {21}.
",19,0,1,p2,76
14,"Reformatted Question: Nadia and Sanjay have <fact1>261 minutes</fact1> to walk to the grocery store together starting from their home. It takes them <fact2>24 minutes</fact2> to get to the corner where the gym is. It takes them another <fact3>27 minutes</fact3> to get to the mall. When they reach the mall, they remember they forgot their wallets at home, so they have to return to pick up their wallets and then walk all the way back to the mall again. Once they reach the mall for the second time, how much longer do they have to get to the grocery store without being late?

Answer:  The total time it takes to initially reach the mall is the sum of the time to reach the gym and the time to reach the mall from the gym: <fact2>24 minutes</fact2> + <fact3>27 minutes</fact3> = 51 minutes.

Returning home from the mall and then going back to the mall takes twice the initial travel time to the mall: 51 minutes * 2 = 102 minutes.

The total time spent going to the mall, returning home, and then returning to the mall is 102 minutes.

The time remaining after these trips is the initial time allotted minus the time spent: <fact1>261 minutes</fact1> - 102 minutes = 159 minutes.

Therefore, they have 159 minutes remaining to reach the grocery store.  The question asks how much *longer* they have; this is already accounted for in the 159 minutes.

The answer is {159}.
",108,0,1,p2,86
14,"Reformatted Question: Thiago and Ali have <fact1>163 minutes</fact1> to walk to the gym together starting from their home. It takes them <fact2>21 minutes</fact2> to get to the corner where the bank is. It takes them another <fact3>28 minutes</fact3> to get to the cinema. When they reach the cinema, they remember they forgot their wallets at home, so they have to return to pick up their wallets and then walk all the way back to the cinema again. Once they reach the cinema for the second time, how much longer do they have to get to the gym without being late?

Answer: First, let's calculate the total time it takes to get to the cinema the first time.  This is the time to the bank (<fact2>21 minutes</fact2>) plus the time from the bank to the cinema (<fact3>28 minutes</fact3>), which equals 21 + 28 = 49 minutes.

The return trip from the cinema to home takes the same amount of time as the trip from home to the cinema, so that is another 49 minutes.  

Therefore, the total time spent going to the cinema, returning home, and then going back to the cinema a second time is 49 + 49 = 98 minutes.

Subtracting this time from the total time available (<fact1>163 minutes</fact1>), we find the remaining time: 163 - 98 = 65 minutes.  This is how much time they have left to get to the gym.

Therefore, they have 65 minutes to get to the gym without being late.
",16,0,1,p2,87
14,"Reformatted Question: Tara and Ananya have <fact1>163 minutes</fact1> to walk to the grocery store together starting from their home. It takes them <fact2>16 minutes</fact2> to get to the corner where the library is. It takes them another <fact3>29 minutes</fact3> to get to the mall. When they reach the mall, they remember they forgot their wallets at home, so they have to return to pick up their wallets and then walk all the way back to the mall again. Once they reach the mall for the second time, how much longer do they have to get to the grocery store without being late?

Answer:  The total time it takes to initially reach the mall is the time to the library plus the time from the library to the mall: <fact2>16 minutes</fact2> + <fact3>29 minutes</fact3> = 45 minutes.

Returning home from the mall and then going back to the mall takes twice the initial journey time to the mall: 45 minutes * 2 = 90 minutes.

The total time spent going to the mall, returning home, and then going back to the mall is 90 minutes.

The time remaining before they are late is the total time minus the time spent going to and from the mall: <fact1>163 minutes</fact1> - 90 minutes = 73 minutes.

Therefore, they have 73 minutes left to get to the grocery store.
The answer is {73}.
",28,0,1,p2,89
17,"Reformatted Question: Emma walks <fact1>32 kilometers every day</fact1> on her favorite walking trail, which includes <fact2>14 kilometers of walking on the beach</fact2> and <fact3>18 kilometers of walking on the sidewalk</fact3>. On the sidewalk, Emma walks at <fact4>three times the rate of speed that she does on the beach</fact4>. However, due to a recent injury, Emma's speed has decreased by half <fact5>both on the beach and sidewalk</fact5>. If <fact6>56 minutes of her walk is spent on the beach</fact6>, how long does it take for her to complete the entire <fact1>32-kilometer walk</fact1>, in minutes?

Answer:  We know Emma walks 14 kilometers on the beach and it takes her 56 minutes.  Therefore, her speed on the beach *before* her injury was (14 kilometers / 56 minutes) = 0.25 kilometers per minute. Due to the injury, her speed on the beach is now half that, or 0.25/2 = 0.125 kilometers per minute.

Emma walks 18 kilometers on the sidewalk. Before her injury, she walked three times faster on the sidewalk than on the beach (<fact4>three times the rate of speed</fact4>), meaning her sidewalk speed was 3 * 0.25 = 0.75 kilometers per minute.  After her injury, her sidewalk speed is halved (<fact5>speed has decreased by half</fact5>), so it's now 0.75/2 = 0.375 kilometers per minute.


It takes her 18 kilometers / 0.375 kilometers/minute = 48 minutes to walk on the sidewalk.

Therefore, her total walking time is the time spent on the beach plus the time spent on the sidewalk: 56 minutes + 48 minutes = 104 minutes.


The answer is {104}.
",80,0,1,p2,102
17,"Reformatted Question: Olivia walks <fact1>29 miles every day</fact1> on her favorite walking trail, which includes <fact2>13 miles of walking on the beach</fact2> and <fact3>16 miles of walking on the sidewalk</fact3>. On the sidewalk, Olivia walks at <fact4>four times the rate of speed that she does on the beach</fact4>. However, due to a recent injury, Olivia's speed has decreased by half <fact5>both on the beach and sidewalk</fact5>. If <fact6>65 minutes of her walk is spent on the beach</fact6>, how long does it take for her to complete the entire <fact1>29-mile walk</fact1>, in minutes?

Answer:  We know Olivia walks 13 miles on the beach and it takes her 65 minutes.  Therefore, her speed on the beach before her injury was 13 miles / 65 minutes = 0.2 miles/minute. Due to the injury, her speed on the beach is now half that,  0.2 miles/minute / 2 = 0.1 miles/minute <fact5>(speed decreased by half on the beach)</fact5>.

Since she walks at four times the speed on the sidewalk as on the beach <fact4>(four times the rate of speed on the sidewalk)</fact4>, her sidewalk speed before the injury was 4 * 0.2 miles/minute = 0.8 miles/minute. After her injury, her speed on the sidewalk is half that: 0.8 miles/minute / 2 = 0.4 miles/minute <fact5>(speed decreased by half on the sidewalk)</fact5>.

Now we can calculate the time spent on the sidewalk.  Olivia walks 16 miles on the sidewalk at a speed of 0.4 miles/minute. Therefore, the time spent on the sidewalk is 16 miles / 0.4 miles/minute = 40 minutes.

Finally, to find the total time for the walk, we add the time spent on the beach and the time spent on the sidewalk: 65 minutes (beach) + 40 minutes (sidewalk) = 105 minutes.

The answer is {105}.
",85,0,1,p2,103
17,"Reformatted Question: Rania walks <fact1>28 kilometers every day</fact1> on her favorite walking trail, which includes <fact2>14 kilometers of walking on the beach</fact2> and <fact3>14 kilometers of walking on the sidewalk</fact3>. On the sidewalk, Rania walks at <fact4>two times the rate of speed that she does on the beach</fact4>. However, due to a recent injury, Rania's speed has decreased by half both on the beach and sidewalk. If <fact5>42 minutes of her walk is spent on the beach</fact5>, how long does it take for her to complete the entire <fact1>28-kilometer walk</fact1>, in minutes?

Answer:  We know Rania walks <fact2>14 kilometers on the beach</fact2> and it takes her <fact5>42 minutes</fact5>.  This means her speed on the beach, before her injury, would have been 14 km / 42 min = 1/3 km/min. Due to her injury, her speed on the beach is now half that, or (1/3)/2 = 1/6 km/min.  Therefore, her current walking time on the beach remains 42 minutes.

Rania walks <fact3>14 kilometers on the sidewalk</fact3>. Before her injury, her speed on the sidewalk was <fact4>twice her beach speed</fact4>, so it would have been 2 * (1/3 km/min) = 2/3 km/min.  After her injury, her sidewalk speed is half of that, or (2/3)/2 = 1/3 km/min.

To find her current sidewalk walking time, we divide the distance by her reduced speed: 14 km / (1/3 km/min) = 42 minutes.

Therefore, her total walking time is the sum of her beach and sidewalk times: 42 minutes (beach) + 42 minutes (sidewalk) = 84 minutes.

The answer is {84}.
",63,0,1,p2,105
