id,question,gt,isTrue,isTagged,dataset,unique_id,question_len
35,"Reformatted Question: Ibrahim is raising money for a <fact1>2-day conference</fact1>. Each day costs <fact2>₣250 for hotel</fact2>, <fact3>₣40 for food</fact3>, and <fact4>₣30 for transportation</fact4>. Ibrahim only has <fact5>₣110</fact5>. His friends have chipped in and will cover the cost of all the <fact3>food for the conference</fact3>. Ibrahim has also applied for help from the local charity, which has decided to cover <fact6>1/4 of the remaining cost of the conference</fact6>. How much money is Ibrahim still missing?

Answer: The total cost of the conference is (<fact2>₣250</fact2> + <fact3>₣40</fact3> + <fact4>₣30</fact4>) * <fact1>2 days</fact1> = ₣640. Since Ibrahim's friends will cover the cost of all the <fact3>food for the conference</fact3>, which is <fact3>₣40</fact3> * <fact1>2 days</fact1> = ₣80, Ibrahim will only need to cover ₣640 - ₣80 = ₣560. Since Ibrahim already has <fact5>₣110</fact5>, he will need to cover ₣560 - ₣110 = ₣450. The local charity will cover <fact6>1/4 of the remaining cost of the conference</fact6>, which is ₣450 * <fact6>1/4</fact6> = ₣112.50. Therefore, Ibrahim is still missing ₣450 - ₣112.50 = ₣337.50.
The answer is {337.50}.",310.0,0,1,p2,1563,1186
13,"Reformatted Question: Mia is an avid gardener. Last week, she received <fact1>22 new potted plants</fact1> from her favorite plant nursery. She already has <fact2>12 potted plants on each of the 51 window ledges</fact2> of her large country home. She also purchased <fact3>200 new plants yesterday at a 50% discount</fact3>. Feeling generous, she has decided that she will give <fact4>4 potted plants from each ledge</fact4> to friends and family tomorrow. How many potted plants will Mia remain with?

Answer: Mia originally had <fact2>12 potted plants on each of the 51 window ledges</fact2>, so she had <fact2>12</fact2> * 51 = 612 potted plants. She received <fact1>22 new potted plants</fact1> last week, so she had 612 + <fact1>22</fact1> = 634 potted plants. She purchased <fact3>200 new plants yesterday at a 50% discount</fact3>, so she got 200 * 0.5 = 100 new plants. Now she has 634 + 100 = 734 potted plants. She will give <fact4>4 potted plants from each ledge</fact4> to friends and family tomorrow, so she will give <fact4>4</fact4> * 51 = 204 potted plants. Therefore, Mia will remain with 734 - 204 = 530 potted plants.
The answer is {530}.",630.0,0,1,p2,576,1157
32,"Reformatted Question: Mrs. Lee is looking for a new townhouse that will not go beyond her <fact1>$440000 budget</fact1>. She saw a property that has a <fact2>selling price of $400000</fact2>. On top of that, the buyer has to pay a <fact3>brokerage fee which is 7% of the selling price</fact3>, and also the <fact4>transfer fee that is 12% of the selling price</fact4>. If Mrs. Lee can get a <fact5>5% discount on the selling price</fact5>, how much more will be the total cost than Mrs. Lee's budget?

Answer: First, we need to calculate the discounted selling price. The discount amount is <fact5>5%</fact5> of the <fact2>selling price of $400000</fact2>, which is 0.05 * <fact2>$400000</fact2> = $20000. So, the discounted selling price is <fact2>$400000</fact2> - $20000 = $380000.

Next, we need to calculate the brokerage fee and transfer fee. The <fact3>brokerage fee is 7% of the selling price</fact3>, which is 0.07 * <fact2>$400000</fact2> = $28000. The <fact4>transfer fee is 12% of the selling price</fact4>, which is 0.12 * <fact2>$400000</fact2> = $48000.

The total cost is the sum of the discounted selling price, brokerage fee, and transfer fee, which is $380000 + $28000 + $48000 = $456000.

Finally, we need to find out how much more the total cost is than Mrs. Lee's <fact1>$440000 budget</fact1>. The difference is $456000 - <fact1>$440000</fact1> = $16000.

The answer is {16000}.",12200.0,0,1,p2,1410,1401
34,"Reformatted Question: Prof. Smith sold his house for <fact1>$790000</fact1>. He paid the registration fees that amounted to <fact2>3% of the selling price</fact2> and also paid a agent fee that is <fact3>4% of the selling price</fact3>. He also paid <fact4>$570000 for the remaining loan amount on the house</fact4>, and <fact5>$25000 for closing costs</fact5>. Prof. Smith used the net proceeds from selling the house to invest in stocks. The stocks <fact6>gained 10% each year for two years</fact6>. How much were Prof. Smith's net proceeds after two years?

Answer: Prof. Smith paid registration fees of <fact2>3%</fact2> * <fact1>$790000</fact1> = $23700 and agent fees of <fact3>4%</fact3> * <fact1>$790000</fact1> = $31600. So, the total fees paid were $23700 + $31600 = $55300. 
Adding this to the remaining loan amount of <fact4>$570000</fact4> and the closing costs of <fact5>$25000</fact5>, we get the total amount Prof. Smith paid as $55300 + <fact4>$570000</fact4> + <fact5>$25000</fact5> = $650300. 
So, the net proceeds from the sale of the house were <fact1>$790000</fact1> - $650300 = $139700. 
Since the stocks <fact6>gained 10% each year for two years</fact6>, the net proceeds after two years will be $139700 * (1 + <fact6>10%</fact6>)^2 = $139700 * (1 + 0.1)^2 = $139700 * (1.1)^2 = $139700 * 1.21 = $168937.
The answer is {168937}.",169037.0,0,1,p2,1516,1352
14,"Reformatted Question: Valeria and Luis have <fact1>182 minutes</fact1> to walk to the library together starting from their home. It takes them <fact2>12 minutes</fact2> to get to the corner where the park is. It takes them another <fact3>12 minutes</fact3> to get to the grocery store. When they reach the grocery store, they remember they forgot their wallets at home, so they have to return to pick up their wallets and then walk all the way back to the grocery store again. Once they reach the grocery store for the second time, how much longer do they have to get to the library without being late?

Answer: To get to the grocery store, it takes Valeria and Luis <fact2>12 minutes</fact2> + <fact3>12 minutes</fact3> = 24 minutes. 
Since they have to return home and then go back to the grocery store, they spend 24 * 2 = 48 minutes to get to the grocery store and back home and then get back to the grocery store again. 
So far, they have spent 48 minutes, and they have <fact1>182 minutes</fact1> - 48 minutes = 134 minutes left to get to the library without being late.
The answer is {134}.",110.0,0,1,p2,656,1097
5,"Reformatted Question: Valeria makes tea using <fact1>teaspoons of sugar and cups of water in a ratio of 51:30</fact1>. She also uses <fact2>7 tablespoons of milk for every 10 cups of water</fact2>, and uses <fact3>2 tablespoons of heavy cream for every teaspoon of sugar</fact3>. She used a total of <fact4>240 teaspoons of sugar, cups of water, tablespoons of cream, and tablespoons of milk</fact4>. How many teaspoons of sugar did she use?

Answer: Let's assume Valeria used x sets of the ratio of <fact1>51:30 for teaspoons of sugar and cups of water</fact1>. Then she used 51x teaspoons of sugar and 30x cups of water. Since she uses <fact2>7 tablespoons of milk for every 10 cups of water</fact2>, she used (7/10)*30x = 21x tablespoons of milk. Since she uses <fact3>2 tablespoons of heavy cream for every teaspoon of sugar</fact3>, she used 2*51x = 102x tablespoons of heavy cream. The total number of teaspoons of sugar, cups of water, tablespoons of cream, and tablespoons of milk she used is 51x + 30x + 21x + 102x = 204x. Since this total is equal to <fact4>240</fact4>, we can solve for x: 204x = 240, x = 240/204 = 10/17. Now we can find the number of teaspoons of sugar she used: 51x = 51*(10/17) = 30.
The answer is {30}.",60.0,0,1,p2,262,1235
35,"Reformatted Question: Andre is raising money for a <fact1>3-day seminar</fact1>. Each day costs <fact2>¥200 for hotel</fact2>, <fact3>¥30 for food</fact3>, and <fact4>¥10 for transportation</fact4>. Andre only has <fact5>¥180</fact5>. His friends have chipped in and will cover the cost of all the <fact3>food for the seminar</fact3>. Andre has also applied for help from the youth club, which has decided to cover <fact6>1/6 of the remaining cost of the seminar</fact6>. How much money is Andre still missing?

Answer: The total cost of the seminar is (<fact2>¥200</fact2> + <fact3>¥30</fact3> + <fact4>¥10</fact4>) * <fact1>3 days</fact1> = ¥720. Since Andre's friends will cover the cost of all the <fact3>food for the seminar</fact3>, which is <fact3>¥30</fact3> * <fact1>3 days</fact1> = ¥90, Andre only needs to pay ¥720 - ¥90 = ¥630. Andre has <fact5>¥180</fact5>, so he still needs ¥630 - ¥180 = ¥450. The youth club will cover <fact6>1/6 of the remaining cost of the seminar</fact6>, which is ¥450 / 6 = ¥75. Therefore, Andre is still missing ¥450 - ¥75 = ¥375.
The answer is {375}.",345.0,0,1,p2,1581,1091
16,"Reformatted Question: Oscar is selling brownies and pear pies for a fundraiser. On Friday, he sold <fact1>27 boxes of brownie</fact1> and <fact2>16 fewer boxes of pear pie, than on Saturday</fact2>. On Saturday, he sold <fact3>13 more boxes of brownies than on Friday</fact3> and <fact4>26 boxes of pear pie</fact4>. On Sunday, he sold <fact5>as much as he did in the past two days combined</fact5>. If the <fact6>brownie cost $9</fact6> and the <fact7>pear pie cost $22</fact7>, what was Oscar's average daily earning?

Answer: On Friday, Oscar sold <fact1>27 boxes of brownie</fact1> and <fact4>26</fact4> - <fact2>16</fact2> = 10 boxes of pear pie. On Saturday, he sold <fact1>27</fact1> + <fact3>13</fact3> = 40 boxes of brownie and <fact4>26 boxes of pear pie</fact4>. On Sunday, he sold <fact5>as much as he did in the past two days combined</fact5>, so he sold (27 + 10) + (40 + 26) = 103 boxes. This means he sold 37 boxes of brownie and 36 boxes of pear pie on Sunday. Over the three days, Oscar sold a total of 104 boxes of brownie and 72 boxes of pear pie. This means he earned a total of 104 * <fact6>$9</fact6> + 72 * <fact7>$22</fact7> = $936 + $1584 = $2520. His average daily earning is $2520 / 3 = $840.
The answer is {840}.",930.0,0,1,p2,729,1241
16,"Reformatted Question: Diego is selling cupcakes and apricot pies for a fundraiser. On Sunday, he sold <fact1>25 boxes of cupcake</fact1> and <fact2>19 fewer boxes of apricot pie, than on Monday</fact2>. On Monday, he sold <fact3>14 more boxes of cupcakes than on Sunday</fact3> and <fact4>29 boxes of apricot pie</fact4>. On Tuesday, he sold <fact5>as much as he did in the past two days combined</fact5>. If the <fact6>cupcake cost ₺12</fact6> and the <fact7>apricot pie cost ₺26</fact7>, what was Diego's average daily earning?

Answer: On Sunday, Diego sold <fact1>25 boxes of cupcakes</fact1> and <fact4>29</fact4> - <fact2>19</fact2> = 10 boxes of apricot pie. On Monday, he sold <fact1>25</fact1> + <fact3>14</fact3> = 39 boxes of cupcakes and <fact4>29 boxes of apricot pie</fact4>. On Tuesday, he sold <fact5>as much as he did in the past two days combined</fact5>, so he sold (25 + 10) + (39 + 29) = 103 boxes in total. This means he sold (25 + 39 + 34) = 98 boxes of cupcakes and (10 + 29 + 34) = 73 boxes of apricot pie over the three days. He earned <fact6>₺12</fact6> * 98 = ₺1176 from the cupcakes and <fact7>₺26</fact7> * 73 = ₺1898 from the apricot pies. In total, he earned ₺1176 + ₺1898 = ₺3074 over the three days. His average daily earning is ₺3074 / 3 = ₺1024.67.
The answer is {1024.67}.",1188.0,0,1,p2,737,1309
13,"Reformatted Question: Amelia is an avid gardener. Last night, she received <fact1>42 new potted plants</fact1> from her favorite plant nursery. She already has <fact2>7 potted plants on each of the 56 window ledges</fact2> of her large country home. She also purchased <fact3>180 new plants yesterday at a 50% discount</fact3>. Feeling generous, she has decided that she will give <fact4>4 potted plants from each ledge</fact4> to friends and family tomorrow. How many potted plants will Amelia remain with?

Answer: Amelia originally had <fact2>7 potted plants on each of the 56 window ledges</fact2>, so she had <fact2>7</fact2> * 56 = 392 potted plants. She then received <fact1>42 new potted plants</fact1> and purchased <fact3>180 new plants</fact3> at a 50% discount, which is <fact3>180</fact3> * 0.5 = 90 plants. So, she had 392 + <fact1>42</fact1> + 90 = 524 potted plants. She decided to give <fact4>4 potted plants from each ledge</fact4> to friends and family, so she gave <fact4>4</fact4> * 56 = 224 potted plants away. Therefore, Amelia will remain with 524 - 224 = 300 potted plants.
The answer is {300}.",390.0,0,1,p2,574,1119
