id,question,answer,gt_number
history_2044_581ced8b-43ce-4d8d-a275-2924c60957ee,"The first issue in 1942 consisted of denominations of 1, 5, 10 and 50 centavos and 1, 5, and 10 Pesos. The next year brought ""replacement notes"" of the 1, 5 and 10 Pesos while 1944 ushered in a 100 Peso note and soon after an inflationary 500 Pesos note. In 1945, the Japanese issued a 1,000 Pesos note. This set of new money, which was printed even before the war, became known in the Philippines as Mickey Mouse money due to its very low value caused by severe inflation. Anti-Japanese newspapers portrayed stories of going to the market laden with suitcases or ""bayong"" (native bags made of woven coconut or Corypha leaf strips) overflowing with the Japanese-issued bills. In 1944, a box of matches cost more than 100 Mickey Mouse pesos. In 1945, a kilogram of camote cost around 1000 Mickey Mouse pesos. Inflation plagued the country with the devaluation of the Japanese money, evidenced by a 60% inflation experienced in January 1944. How many pesos was the Mickey Mouse money created by the Japanese worth?","Reformatted Question: The first issue in 1942 consisted of denominations of 1, 5, 10 and 50 centavos and <fact1>1, 5, and 10 Pesos</fact1>. The next year brought ""replacement notes"" of the <fact1>1, 5 and 10 Pesos</fact1> while 1944 ushered in a <fact2>100 Peso note</fact2> and soon after an inflationary <fact3>500 Pesos note</fact3>. In 1945, the Japanese issued a <fact4>1,000 Pesos note</fact4>. This set of new money, which was printed even before the war, became known in the Philippines as Mickey Mouse money due to its very low value caused by severe inflation. Anti-Japanese newspapers portrayed stories of going to the market laden with suitcases or ""bayong"" (native bags made of woven coconut or Corypha leaf strips) overflowing with the Japanese-issued bills. In 1944, a box of matches cost more than <fact5>100 Mickey Mouse pesos</fact5>. In 1945, a kilogram of camote cost around <fact6>1000 Mickey Mouse pesos</fact6>. Inflation plagued the country with the devaluation of the Japanese money, evidenced by a 60% inflation experienced in January 1944. How many pesos was the Mickey Mouse money created by the Japanese worth?
Answer: According to the passage, the value of the Mickey Mouse money varied. Initially, the Japanese issued notes worth <fact1>1, 5, and 10 Pesos</fact1>, then later issued notes worth <fact2>100 Pesos</fact2>, <fact3>500 Pesos</fact3>, and <fact4>1,000 Pesos</fact4>. However, due to severe inflation, the value of the Mickey Mouse money decreased significantly, with a box of matches costing more than <fact5>100 Mickey Mouse pesos</fact5> in 1944 and a kilogram of camote costing around <fact6>1000 Mickey Mouse pesos</fact6> in 1945. Therefore, the value of the Mickey Mouse money created by the Japanese is not fixed and varied over time due to inflation.",1000
nfl_1670_b6785b9f-389a-4e0c-a563-942fab85bb06," Coming off their home loss to the Jets, the Bucs flew to Qwest Field for a week 15 duel against the Seattle Seahawks.  After a scoreless first quarter, Seattle got on the board first with QB Matt Hasselbeck's  29-yard pass to tight end John Carlson.  The Bucs got on the board with Connor Barth's 28-yard field goal to end the first half. In the third quarter, Tampa Bay took the lead after a 45-yard field goal and a 22-yard touchdown pass by QB Josh Freeman to running back Cadillac Williams, set up by a Tanard Jackson interception.  The Buccaneers further extended their lead with a 28-yard pass to running back Derrick Ward, with a successful two-point conversion.  In the fourth quarter, Barth kicked another field goal for 39 yards.  Seattle tried to rally, but Hasselbeck threw an interception (his fourth) in the end zone to cornerback Elbert Mack for a touchback. With the win, the Buccaneers improved to 2-12.  Not only was it their first road win since November 23, 2008, it also marked their first win on the west coast since winning Super Bowl XXXVII in San Diego and their first win in Seattle since 1999. How many interceptions did Matt Hasselbeck throw?","Reformatted Question: Coming off their home loss to the Jets, the Bucs flew to Qwest Field for a week 15 duel against the Seattle Seahawks.  After a scoreless first quarter, Seattle got on the board first with QB Matt Hasselbeck's  29-yard pass to tight end John Carlson.  The Bucs got on the board with Connor Barth's 28-yard field goal to end the first half. In the third quarter, Tampa Bay took the lead after a 45-yard field goal and a 22-yard touchdown pass by QB Josh Freeman to running back Cadillac Williams, set up by <fact1>a Tanard Jackson interception</fact1>.  The Buccaneers further extended their lead with a 28-yard pass to running back Derrick Ward, with a successful two-point conversion.  In the fourth quarter, Barth kicked another field goal for 39 yards.  Seattle tried to rally, but <fact2>Hasselbeck threw an interception (his fourth)</fact2> in the end zone to cornerback Elbert Mack for a touchback. With the win, the Buccaneers improved to 2-12.  Not only was it their first road win since November 23, 2008, it also marked their first win on the west coast since winning Super Bowl XXXVII in San Diego and their first win in Seattle since 1999. How many interceptions did Matt Hasselbeck throw?

Answer: According to the passage, <fact2>Hasselbeck threw 4 interceptions</fact2>.",4
history_1042_8d1d1067-668e-47c9-9c68-4047b59b178b,"In the Morean War, the Republic of Venice besieged Sinj in October 1684 and then again March and April 1685, but both times without success. In the 1685 attempt, the Venetian armies were aided by the local militia of the Republic of Poljica, who thereby rebelled against their nominal Ottoman suzerainty that had existed since 1513. In an effort to retaliate to Poljica, in June 1685, the Ottomans attacked Zadvarje, and in July 1686 Dolac and Srijane, but were pushed back, and suffered major casualties. With the help of the local population of Poljica as well as the Morlachs, the fortress of Sinj finally fell to the Venetian army on 30 September 1686. On 1 September 1687 the siege of Herceg Novi started, and ended with a Venetian victory on 30 September. Knin was taken after a twelve-day siege on 11 September 1688. The capture of the Knin Fortress marked the end of the successful Venetian campaign to expand their territory in inland Dalmatia, and it also determined much of the final border between Dalmatia and Bosnia and Herzegovina that stands today. The Ottomans would besiege Sinj again in the Second Morean War, but would be repelled. On 26 November 1690, Venice took Vrgorac, which opened the route towards Imotski and Mostar. In 1694 they managed to take areas north of the Republic of Ragusa, namely Čitluk, Gabela, Zažablje, Trebinje, Popovo, Klobuk and Metković. In the final peace treaty, Venice did relinquish the areas of Popovo polje as well as Klek and Sutorina, to maintain the pre-existing demarcation near Ragusa. How many cities did Venice try to take?","Reformatted Question: In the Morean War, the Republic of Venice besieged <fact1>Sinj in October 1684 and then again March and April 1685</fact1>, but both times without success. In the 1685 attempt, the Venetian armies were aided by the local militia of the Republic of Poljica, who thereby rebelled against their nominal Ottoman suzerainty that had existed since 1513. In an effort to retaliate to Poljica, in June 1685, the Ottomans attacked <fact2>Zadvarje</fact2>, and in July 1686 <fact3>Dolac and Srijane</fact3>, but were pushed back, and suffered major casualties. With the help of the local population of Poljica as well as the Morlachs, the fortress of <fact1>Sinj finally fell to the Venetian army on 30 September 1686</fact1>. On 1 September 1687 the siege of <fact4>Herceg Novi</fact4> started, and ended with a Venetian victory on 30 September. <fact5>Knin was taken after a twelve-day siege on 11 September 1688</fact5>. The capture of the Knin Fortress marked the end of the successful Venetian campaign to expand their territory in inland Dalmatia, and it also determined much of the final border between Dalmatia and Bosnia and Herzegovina that stands today. The Ottomans would besiege <fact1>Sinj</fact1> again in the Second Morean War, but would be repelled. On 26 November 1690, Venice took <fact6>Vrgorac</fact6>, which opened the route towards <fact7>Imotski and Mostar</fact7>. In 1694 they managed to take areas north of the Republic of Ragusa, namely <fact8>Čitluk, Gabela, Zažablje, Trebinje, Popovo, Klobuk and Metković</fact8>. In the final peace treaty, Venice did relinquish the areas of Popovo polje as well as Klek and Sutorina, to maintain the pre-existing demarcation near Ragusa. How many cities did Venice try to take?
Answer: According to the passage, Venice tried to take the following cities: <fact1>Sinj</fact1>, <fact2>Zadvarje</fact2>, <fact3>Dolac and Srijane</fact3>, <fact4>Herceg Novi</fact4>, <fact5>Knin</fact5>, <fact6>Vrgorac</fact6>, <fact7>Imotski and Mostar</fact7>, and <fact8>Čitluk, Gabela, Zažablje, Trebinje, Popovo, Klobuk and Metković</fact8>. However, it is noted that <fact3>Dolac and Srijane</fact3> and <fact7>Imotski and Mostar</fact7> and <fact8>Čitluk, Gabela, Zažablje, Trebinje, Popovo, Klobuk and Metković</fact8> are multiple cities. Therefore, the total number of cities is 1 + 1 + 2 + 1 + 1 + 1 + 2 + 7 = 16. So the answer is {16}.",3
nfl_1553_8a4780e8-b150-4dd5-894b-4fe1ba7806cd," Led by former Giant Kurt Warner, the defending NFC champions took the field at Giants Stadium against a Giants team still reeling from their bad loss in New Orleans. The Giants scored first, sending Jacobs in for a 4-yard touchdown run following a Terrell Thomas interception. Later, Arizona running back Beanie Wells scored his first career touchdown on a 13-yard rush. Manning responded by throwing a 62-yard touchdown to Nicks for his longest reception of the year. In the second half, the Cardinals' Tim Hightower and Jason Wright scored touchdowns. But it was turnovers that decided this game; Manning's 3 interceptions were as many as he had thrown all season. The Giants scored only 3 points in the second half, ending the game on an interception to Antrel Rolle. The Giants notable streak of 38 consecutive starts by the same offensive line unit was ended here, as offensive tackle Kareem McKenzie missed the game with a groin injury. McKenzie returned the following week. How many interceptions did Arizona catch?","Reformatted Question: Led by former Giant Kurt Warner, the defending NFC champions took the field at Giants Stadium against a Giants team still reeling from their bad loss in New Orleans. The Giants scored first, sending Jacobs in for a 4-yard touchdown run following a <fact1>Terrell Thomas interception</fact1>. Later, Arizona running back Beanie Wells scored his first career touchdown on a 13-yard rush. Manning responded by throwing a 62-yard touchdown to Nicks for his longest reception of the year. In the second half, the Cardinals' Tim Hightower and Jason Wright scored touchdowns. But it was turnovers that decided this game; Manning's <fact2>3 interceptions</fact2> were as many as he had thrown all season. The Giants scored only 3 points in the second half, ending the game on an interception to <fact3>Antrel Rolle</fact3>. The Giants notable streak of 38 consecutive starts by the same offensive line unit was ended here, as offensive tackle Kareem McKenzie missed the game with a groin injury. McKenzie returned the following week. How many interceptions did Arizona catch?

Answer: According to the passage, Arizona caught a total of <fact1>1</fact1> + <fact2>3</fact2> + <fact3>1</fact3> = 5 interceptions. So the answer is {5}.",3
history_254_69f0add7-09b8-4def-86f8-f196003f0159,"In 1997, Russia and Ukraine signed the Partition Treaty, establishing two independent national fleets and dividing armaments and bases between them. Ukraine also agreed to lease major parts of its facilities to the Russian Black Sea Fleet until 2017. However, the treaty appeared to be far from perfect: permanent tensions on the lease details  control continued. The Fleet's main base is still situated in the Crimean port city of Sevastopol. In 2009 the Yushchenko Ukrainian government declared that the lease would not be extended and that the fleet would have to leave Sevastopol by 2017.  In 2010 the Russian leasehold was renegotiated with an extension until 2042 and an option for an additional five years until 2047. How many years was the leasehold renegotiated for?","Reformatted Question: In 1997, Russia and Ukraine signed the Partition Treaty, establishing two independent national fleets and dividing armaments and bases between them. Ukraine also agreed to lease major parts of its facilities to the Russian Black Sea Fleet until <fact1>2017</fact1>. However, the treaty appeared to be far from perfect: permanent tensions on the lease details  control continued. The Fleet's main base is still situated in the Crimean port city of Sevastopol. In 2009 the Yushchenko Ukrainian government declared that the lease would not be extended and that the fleet would have to leave Sevastopol by <fact1>2017</fact1>.  In <fact2>2010</fact2> the Russian leasehold was renegotiated with an extension until <fact3>2042</fact3> and an option for an additional <fact4>five years</fact4> until <fact5>2047</fact5>. How many years was the leasehold renegotiated for?
Answer: According to the passage, the leasehold was renegotiated in <fact2>2010</fact2> for an extension until <fact3>2042</fact3>, which is <fact3>2042</fact3> - <fact2>2010</fact2> = 32 years, and an option for an additional <fact4>five years</fact4> until <fact5>2047</fact5>. So the answer is {32} for the main extension and {5} for the additional option, but if we consider the full possible extension, then the answer is {37}.",25
history_1954_2c054bf0-1177-4f44-865c-a6e02d20494e,"As of the census of 2000, there were 19,234 people, 7,473 households, and 4,954 families residing in the village. The population density was 10,337.3 people per square mile (3,992.6/km²). There were 7,650 housing units at an average density of 4,111.5/sq mi (1,588.0/km²). The racial makeup of the village was 82.39% White (U.S. Census), 1.03% African American (U.S. Census), 0.29% Native American (U.S. Census), 4.52% Asian (U.S. Census), 0.04% Pacific Islander (U.S. Census), 3.93% from Race (United States Census), and 3.79% from two or more races. 13.03% of the population is Hispanic (U.S. Census) or Latino (U.S. Census) of any race. How many more people, in terms of percentage, were in the two biggest racial groups combined compared to the two smallest groups combined?","Reformatted Question: As of the census of 2000, there were 19,234 people, 7,473 households, and 4,954 families residing in the village. The population density was 10,337.3 people per square mile (3,992.6/km²). There were 7,650 housing units at an average density of 4,111.5/sq mi (1,588.0/km²). The racial makeup of the village was <fact1>82.39% White (U.S. Census)</fact1>, <fact2>1.03% African American (U.S. Census)</fact2>, <fact3>0.29% Native American (U.S. Census)</fact3>, <fact4>4.52% Asian (U.S. Census)</fact4>, <fact5>0.04% Pacific Islander (U.S. Census)</fact5>, 3.93% from Race (United States Census), and 3.79% from two or more races. 13.03% of the population is Hispanic (U.S. Census) or Latino (U.S. Census) of any race. How many more people, in terms of percentage, were in the two biggest racial groups combined compared to the two smallest groups combined?

Answer: According to the passage, the two biggest racial groups are <fact1>White (82.39%)</fact1> and <fact4>Asian (4.52%)</fact4>, and the two smallest groups are <fact5>Pacific Islander (0.04%)</fact5> and <fact3>Native American (0.29%)</fact3>. The sum of the two biggest groups is <fact1>82.39%</fact1> + <fact4>4.52%</fact4> = 86.91%, and the sum of the two smallest groups is <fact5>0.04%</fact5> + <fact3>0.29%</fact3> = 0.33%. The difference between the two sums is 86.91% - 0.33% = 86.58%. So the answer is {86.58}.",95.09
nfl_1471_7837648a-f34f-4062-bd99-d827e9240fbc," Hoping to rebound from their divisional loss to the Jaguars, the Texans stayed at home for a Week 4 duel with the Oakland Raiders.  Houston delivered the opening shot of the first quarter with kicker Kris Brown's 26-yard field goal, followed by the Raiders tying the game with a 46-yard field goal from kicker Sebastian Janikowski.  The Texans would take full command in the second quarter as Brown nailed a 34-yard field goal, followed by running back Steve Slaton getting a 32-yard touchdown run and catching an 18-yard touchdown pass from quarterback Matt Schaub.  Oakland would close out the half with Janikowski's 33-yard field goal.  In the third quarter, Houston would continue its domination with rookie linebacker Brian Cushing tackling Raiders running back Justin Fargas in his own endzone for a safety, immediately followed by wide receiver Jacoby Jones returning a kickoff 95 yards for a touchdown. How many yards longer was the second field goal than the first?","Reformatted Question: Hoping to rebound from their divisional loss to the Jaguars, the Texans stayed at home for a Week 4 duel with the Oakland Raiders.  Houston delivered the opening shot of the first quarter with kicker Kris Brown's <fact1>26-yard field goal</fact1>, followed by the Raiders tying the game with a <fact2>46-yard field goal</fact2> from kicker Sebastian Janikowski.  The Texans would take full command in the second quarter as Brown nailed a <fact3>34-yard field goal</fact3>, followed by running back Steve Slaton getting a 32-yard touchdown run and catching an 18-yard touchdown pass from quarterback Matt Schaub.  Oakland would close out the half with Janikowski's 33-yard field goal.  In the third quarter, Houston would continue its domination with rookie linebacker Brian Cushing tackling Raiders running back Justin Fargas in his own endzone for a safety, immediately followed by wide receiver Jacoby Jones returning a kickoff 95 yards for a touchdown. How many yards longer was the second field goal than the first?
Answer: According to the passage, the first field goal was <fact1>26 yards</fact1> and the second field goal was <fact3>34 yards</fact3>. <fact3>34</fact3> - <fact1>26</fact1> = 8. So the answer is {8}.",20
history_1884_02254a93-0cac-4576-b192-5d46b9b683e9,"As of the census of 2000, there were 250,291 people, 99,187 households, and 60,702 families residing in the county. The population density was 298 people per square mile (115/km²). There were 104,217 housing units at an average density of 124 per square mile (48/km²). The racial makeup of the county was 90.07% Race (United States Census), 2.82% Race (United States Census) or Race (United States Census), 0.64% Race (United States Census), 2.86% Asian American, 0.06% Race (United States Census), 1.69% from Race (United States Census), and 1.87% from two or more races. 3.37% of the population were Race (United States Census) or Race (United States Census) of any race. 39.1% were of Germans, 7.9% English people and 7.8% Irish people ancestry according to Census 2000. How many races each made up less than 1% of the population?","Reformatted Question: As of the census of 2000, there were 250,291 people, 99,187 households, and 60,702 families residing in the county. The population density was 298 people per square mile (115/km²). There were 104,217 housing units at an average density of 124 per square mile (48/km²). The racial makeup of the county was <fact1>90.07% White</fact1>, <fact2>2.82% Black or African American</fact2>, <fact3>0.64% Native American</fact3>, <fact4>2.86% Asian American</fact4>, <fact5>0.06% Pacific Islander</fact5>, <fact6>1.69% from other races</fact6>, and <fact7>1.87% from two or more races</fact7>. <fact8>3.37% of the population were Hispanic or Latino of any race</fact8>. 39.1% were of <fact9>Germans</fact9>, 7.9% <fact10>English people</fact10> and 7.8% <fact11>Irish people</fact11> ancestry according to Census 2000. How many races each made up less than 1% of the population?

Answer: According to the passage, the races that made up less than 1% of the population are <fact5>Pacific Islander with 0.06%</fact5> and none of the other races had less than 1%. However, it can be noted that <fact3>Native American</fact3> is also relatively close to 1% but still greater than 0.5% with <fact3>0.64%</fact3>. So the answer is {1}.",2
history_241_0ac9c4ec-9ef4-429b-970a-9af43bdb672b,"The popular uprising included large areas of Lower Bavaria, the Innviertel and eastern Bavaria. The lands adjoining towns and strongholds were captured by the rebels and the peasant uprising spread to the Bavarian Forest, parts of the Upper Palatinate and Kelheim on the Danube. A Braunau Parliament meeting was held in December 1705 in the then-Bavarian Braunau. Long before the French Revolution and early German parliamentarianism the meeting was held on 21 December 1705 in an inn belonging to the Baron von Paumgarten; representatives met of the four estates in Bavaria: aristocracy, clergy, burghers and peasants. The Braunau Parliament  is the name of the congress on the defence of the state of Bavaria held at Braunau am Inn convened on 21 December 1705. Following the initial uprising in November 1705, there was little response from the Austrians for nearly two months. However, that changed following an attempt by the rebels to capture the Bavarian capital, Munich. Following their unsuccessful attack, the night of 25 December 1705 saw an Austrian column encounter the peasant army near Sendling outside of Munich.  The battle was known as Sendling's Night of Murder  or the Sendling Christmas Day Massacre. The insurgents from the Bavarian Oberland were defeated and completely routed by Emperor Joseph I's troops. The number of deaths on the Bavarian side in this battle is estimated at around 1,100 men, but the Austrians lost only about 40. Some of the insurgents were killed after they had already surrendered.  About two weeks later, on 8 January 1706, the Battle of Aidenbach ended with the utter defeat of the insurgents and about 4,000 casualties on the Bavarian side. That led to the collapse of the uprising against Austria. How many regions did the popular uprising start in?","Reformatted Question: The popular uprising included large areas of <fact1>Lower Bavaria</fact1>, <fact2>the Innviertel</fact2> and <fact3>eastern Bavaria</fact3>. The lands adjoining towns and strongholds were captured by the rebels and the peasant uprising spread to <fact4>the Bavarian Forest</fact4>, parts of <fact5>the Upper Palatinate</fact5> and <fact6>Kelheim on the Danube</fact6>. A Braunau Parliament meeting was held in December 1705 in the then-Bavarian Braunau. Long before the French Revolution and early German parliamentarianism the meeting was held on 21 December 1705 in an inn belonging to the Baron von Paumgarten; representatives met of the four estates in Bavaria: aristocracy, clergy, burghers and peasants. The Braunau Parliament  is the name of the congress on the defence of the state of Bavaria held at Braunau am Inn convened on 21 December 1705. Following the initial uprising in November 1705, there was little response from the Austrians for nearly two months. However, that changed following an attempt by the rebels to capture the Bavarian capital, Munich. Following their unsuccessful attack, the night of 25 December 1705 saw an Austrian column encounter the peasant army near Sendling outside of Munich.  The battle was known as Sendling's Night of Murder  or the Sendling Christmas Day Massacre. The insurgents from the Bavarian Oberland were defeated and completely routed by Emperor Joseph I's troops. The number of deaths on the Bavarian side in this battle is estimated at around 1,100 men, but the Austrians lost only about 40. Some of the insurgents were killed after they had already surrendered.  About two weeks later, on 8 January 1706, the Battle of Aidenbach ended with the utter defeat of the insurgents and about 4,000 casualties on the Bavarian side. That led to the collapse of the uprising against Austria. How many regions did the popular uprising start in?

Answer: According to the passage, the popular uprising started in <fact1>Lower Bavaria</fact1>, <fact2>the Innviertel</fact2>, and <fact3>eastern Bavaria</fact3> initially, then spread to <fact4>the Bavarian Forest</fact4>, <fact5>the Upper Palatinate</fact5>, and <fact6>Kelheim on the Danube</fact6>. So the answer is {6}.",3
nfl_1478_a38ce93f-dd3e-46c1-9ab3-4cc9793f4fd5," Coming off their bye week, the Colts flew to the Edward Jones Dome for a Week 7 interconference duel with the St. Louis Rams.  Indianapolis came out of the gates early in the first quarter as quarterback Peyton Manning completed a six-yard touchdown pass to wide receiver Reggie Wayne.  The Rams would respond with a 30-yard field goal from kicker Josh Brown, yet the Colts answered with Manning hooking up with tight end Dallas Clark on a 22-yard touchdown pass.  Afterwards, running back Joseph Addai would acquire the only score of the second quarter with a six-yard touchdown. St. Louis would begin the third quarter with Brown booting a 45-yard field goal, yet Indianapolis calmly responded with rookie cornerback Jacob Lacey returning an interception 35 yards for a touchdown.  Afterwards, the Colts closed out the game with Manning finding rookie wide receiver Austin Collie on an eight-yard touchdown pass and running back Chad Simpson getting a 31-yard touchdown run. With the win, Indianapolis improved to 6-0 and increased their winning streak to 14 games. How many points did the Australian national rugby team beat Great Britain's team in 1986?","Reformatted Question: Coming off their bye week, the Colts flew to the Edward Jones Dome for a Week 7 interconference duel with the St. Louis Rams.  Indianapolis came out of the gates early in the first quarter as quarterback Peyton Manning completed a six-yard touchdown pass to wide receiver Reggie Wayne.  The Rams would respond with a 30-yard field goal from kicker Josh Brown, yet the Colts answered with Manning hooking up with tight end Dallas Clark on a 22-yard touchdown pass.  Afterwards, running back Joseph Addai would acquire the only score of the second quarter with a six-yard touchdown. St. Louis would begin the third quarter with Brown booting a 45-yard field goal, yet Indianapolis calmly responded with rookie cornerback Jacob Lacey returning an interception 35 yards for a touchdown.  Afterwards, the Colts closed out the game with Manning finding rookie wide receiver Austin Collie on an eight-yard touchdown pass and running back Chad Simpson getting a 31-yard touchdown run. With the win, Indianapolis improved to 6-0 and increased their winning streak to 14 games. How many points did the <fact1>Australian national rugby team</fact1> beat <fact2>Great Britain's team</fact2> in <fact3>1986</fact3>?

Answer: There is no information in the passage about the <fact1>Australian national rugby team</fact1>, <fact2>Great Britain's team</fact2>, or any event in <fact3>1986</fact3>. The passage is about an American football game between the Colts and the Rams. Therefore, it is not possible to answer the question based on the provided information.",22
