id,question,answer,gt_number
nfl_1184_7dfd2b64-f39e-4bb4-aeb0-1900adda6018," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week 16 duel with the Houston Texans.  Oakland would get the early lead in the first quarter as quarterback JaMarcus Russell completed a 20-yard touchdown pass to rookie wide receiver Chaz Schilens.  The Texans would respond with fullback Vonta Leach getting a 1-yard touchdown run, yet the Raiders would answer with kicker Sebastian Janikowski getting a 33-yard and a 30-yard field goal.  Houston would tie the game in the second quarter with kicker Kris Brown getting a 53-yard and a 24-yard field goal. Oakland would take the lead in the third quarter with wide receiver Johnnie Lee Higgins catching a 29-yard touchdown pass from Russell, followed up by an 80-yard punt return for a touchdown.  The Texans tried to rally in the fourth quarter as Brown nailed a 40-yard field goal, yet the Raiders' defense would shut down any possible attempt. How many field goals did both teams kick in the first half?","Reformatted Question: Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week 16 duel with the Houston Texans.  Oakland would get the early lead in the first quarter as quarterback JaMarcus Russell completed a 20-yard touchdown pass to rookie wide receiver Chaz Schilens.  The Texans would respond with fullback Vonta Leach getting a 1-yard touchdown run, yet the Raiders would answer with kicker Sebastian Janikowski getting <fact1>a 33-yard and a 30-yard field goal</fact1>.  Houston would tie the game in the second quarter with kicker Kris Brown getting <fact2>a 53-yard and a 24-yard field goal</fact2>. Oakland would take the lead in the third quarter with wide receiver Johnnie Lee Higgins catching a 29-yard touchdown pass from Russell, followed up by an 80-yard punt return for a touchdown.  The Texans tried to rally in the fourth quarter as Brown nailed a 40-yard field goal, yet the Raiders' defense would shut down any possible attempt. How many field goals did both teams kick in the first half?

Answer: According to the passage, in the first half, <fact1>the Raiders kicked 2 field goals</fact1> and <fact2>the Texans also kicked 2 field goals</fact2>. So, in total, both teams kicked 2 + 2 = 4 field goals in the first half. So the answer is {4}.",2.0
history_1720_d9d38b53-2dca-4304-9650-1820086a5a8e,"The total number of active military personnel in the Croatian Armed Forces stands at 14,506 and 6,000 reserves working in various service branches of the armed forces. In May 2016, Armed Forces had 16,019 members, of which 14,506 were active military personnel and 1,513 civil servants. Of the 14,506 active military personnel, 3,183 were officers, 5,389 non-commissioned officers, 5,393 soldiers, 520 military specialists, 337 civil servants and 1,176 other employees. How many of the personnel were not officers?","Reformatted Question: The total number of active military personnel in the Croatian Armed Forces stands at <fact1>14,506</fact1> and 6,000 reserves working in various service branches of the armed forces. In May 2016, Armed Forces had 16,019 members, of which <fact1>14,506</fact1> were active military personnel and 1,513 civil servants. Of the <fact1>14,506</fact1> active military personnel, <fact2>3,183 were officers</fact2>, 5,389 non-commissioned officers, 5,393 soldiers, 520 military specialists, 337 civil servants and 1,176 other employees. How many of the personnel were not officers?
Answer: According to the passage, there were <fact1>14,506 active military personnel</fact1> in total, and <fact2>3,183 were officers</fact2>. <fact1>14,506</fact1> - <fact2>3,183</fact2> = 11,323. So the answer is {11,323}.",1513.0
history_2170_9b27311d-81ec-4f40-a4af-7ead916d5859,"In the census of 2010, there were 66,135 people, 26,265 (2000 data) households, and 14,051 (2000 data) families residing in the city. The population density was 6,096.7 people per square mile (2,199.9/km²). There were 30,272 (2000 data) housing units at an average density of 2,790.6 per square mile (1,077.2/km²). The racial makeup of the city was 59.38% (52.31% Non-Hispanic) (7.07 White-Hispanic) White (U.S. Census), 24.19% African American (U.S. Census), 14.47% Hispanic (U.S. Census) or Latin (U.S. Census)) of any race, 8.24% from Race (United States Census), 5.74% from two or more races, 2.62% Asian (U.S. Census), 0.69%  Native American (U.S.Census), and 0.14% Pacific Islander (U.S. Census). There is a growing Guyana population in the area. The top ancestries self-identified by people on the census are Italian (13.6%), Guyanese (12.3%), Irish (12.1%), Puerto Rican (10.1%), German (8.7%), English (6.0%), Polish (5.4%), French (4.4%). These reflect historic and early 20th-century immigration, as well as that since the late 20th century. How many ancestries were identified by less than 10% of the population for each group?","Reformatted Question: In the census of 2010, there were 66,135 people, 26,265 (2000 data) households, and 14,051 (2000 data) families residing in the city. The population density was 6,096.7 people per square mile (2,199.9/km²). There were 30,272 (2000 data) housing units at an average density of 2,790.6 per square mile (1,077.2/km²). The racial makeup of the city was 59.38% (52.31% Non-Hispanic) (7.07 White-Hispanic) White (U.S. Census), 24.19% African American (U.S. Census), 14.47% Hispanic (U.S. Census) or Latin (U.S. Census)) of any race, 8.24% from <fact1>Race (United States Census)</fact1>, 5.74% from <fact2>two or more races</fact2>, 2.62% <fact3>Asian (U.S. Census)</fact3>, 0.69%  <fact4>Native American (U.S.Census)</fact4>, and 0.14% <fact5>Pacific Islander (U.S. Census)</fact5>. There is a growing Guyana population in the area. The top ancestries self-identified by people on the census are <fact6>Italian (13.6%)</fact6>, <fact7>Guyanese (12.3%)</fact7>, <fact8>Irish (12.1%)</fact8>, <fact9>Puerto Rican (10.1%)</fact9>, <fact10>German (8.7%)</fact10>, <fact11>English (6.0%)</fact11>, <fact12>Polish (5.4%)</fact12>, <fact13>French (4.4%)</fact13>. These reflect historic and early 20th-century immigration, as well as that since the late 20th century. How many ancestries were identified by less than 10% of the population for each group?
Answer: According to the passage, the groups that were identified by less than 10% of the population are <fact10>German (8.7%)</fact10>, <fact11>English (6.0%)</fact11>, <fact12>Polish (5.4%)</fact12>, <fact13>French (4.4%)</fact13>, <fact1>Race (United States Census) (8.24%)</fact1>, <fact2>two or more races (5.74%)</fact2>, <fact3>Asian (U.S. Census) (2.62%)</fact3>, <fact4>Native American (U.S.Census) (0.69%)</fact4>, and <fact5>Pacific Islander (U.S. Census) (0.14%)</fact5>. So the answer is {9}.",4.0
nfl_16_9eb68f5c-0c59-4850-9f2d-e6bbb80cbfa0," at the Louisiana Superdome, New Orleans, Louisiana Following two-straight wins over two division opponents (the Bucs and the Panthers), the Falcons flew to the Louisiana Superdome to take on the New Orleans Saints (who were playing in the Superdome for the first time since Dec. '04) for an NFC South match-up on Monday Night.  From the get-go the Falcons trailed, when they had a punt blocked by Saints safety Steve Gleason and DB Curtis Deloatch landed on the ball in the end zone for the touchdown.  The Falcons would respond, as kicker Morten Andersen (who used to play for the Saints) kicked a 26-yard field goal.  That would be their only score of the night, as WR Devery Henderson ran for an 11-yard TD on a reverse.  Then, Saints kicker John Carney would provide the remaining points for the New Orleans, as he kicked two field goals in the second quarter (a 37-yarder and a 51-yarder) and one field goal in the third (a 20-yarder).  The Falcons would fall to 2-1, as their offense got swapped, battered, and bruised.  QB Michael Vick got sacked five times, while he and RB Warrick Dunn would only combine for 101 rushing yards. How many points did the Falcons fall behind?","Reformatted Question: Following two-straight wins over two division opponents (the Bucs and the Panthers), the Falcons flew to the Louisiana Superdome to take on the New Orleans Saints (who were playing in the Superdome for the first time since Dec. '04) for an NFC South match-up on Monday Night.  From the get-go the Falcons trailed, when they had a punt blocked by Saints safety Steve Gleason and DB Curtis Deloatch landed on the ball in the end zone for the <fact1>touchdown</fact1>.  The Falcons would respond, as kicker Morten Andersen (who used to play for the Saints) kicked a <fact2>26-yard field goal</fact2>.  That would be their only score of the night, as WR Devery Henderson ran for an <fact3>11-yard TD</fact3> on a reverse.  Then, Saints kicker John Carney would provide the remaining points for the New Orleans, as he kicked two field goals in the second quarter (a <fact4>37-yarder</fact4> and a <fact5>51-yarder</fact5>) and one field goal in the third (a <fact6>20-yarder</fact6>).  The Falcons would fall to 2-1, as their offense got swapped, battered, and bruised.  QB Michael Vick got sacked five times, while he and RB Warrick Dunn would only combine for 101 rushing yards. How many points did the Falcons fall behind?

Answer: According to the passage, the Saints scored a <fact1>touchdown</fact1> (7 points), a <fact3>11-yard TD</fact3> (7 points), a <fact4>37-yarder</fact4> (3 points), a <fact5>51-yarder</fact5> (3 points), and a <fact6>20-yarder</fact6> (3 points), for a total of 7 + 7 + 3 + 3 + 3 = 23 points. The Falcons scored a <fact2>26-yard field goal</fact2> (3 points). 23 - 3 = 20. So the answer is {20}.",2.0
history_1167_f7cbde06-0f50-46fc-9146-aa0968af570f,"Over the next year, however, the Polish forces were subject to attrition, as the Sejm again refused to raise taxes and pay the army, resulting in mass desertions of unpaid soldiery. The Polish problems were further aggravated by the incompetent leadership of hetman Michał Kazimierz Pac, who obstructed Sobieski's leadership, while the Ottomans continued to receive reinforcements. Nonetheless in 1674 the Commonwealth resumed the offensive, taking advantage of a new Muscovy-Ottoman conflict that year, and the Polish-Ottoman war remained undecided.:275 Sobieski's force of 6,000 defeated 20,000 Turks and Tatars under Ibrahim Shyshman in the battle of Lwow in August 1675.:653  Even after the Battle of Trembowla, the Sejm still refused his pleas for more funds and a larger army.:653 In 1676, after Sobieski's 16,000 withstood the two-week siege of Żurawno, by 100,000 men under Ibrahim Pasha, a new peace treaty was signed, the Treaty of Żurawno.:655  The peace treaty partially reversing those from Buczacz: the Ottomans kept approximately two thirds of the territories they gained in 1672, and the Commonwealth no longer was obliged to pay any kind of tribute to the Empire; a large number of Polish prisoners were released by the Ottomans. How many more forces were under the Turks than in Sobieski's forces?","Reformatted Question: Over the next year, however, the Polish forces were subject to attrition, as the Sejm again refused to raise taxes and pay the army, resulting in mass desertions of unpaid soldiery. The Polish problems were further aggravated by the incompetent leadership of hetman Michał Kazimierz Pac, who obstructed Sobieski's leadership, while the Ottomans continued to receive reinforcements. Nonetheless in 1674 the Commonwealth resumed the offensive, taking advantage of a new Muscovy-Ottoman conflict that year, and the Polish-Ottoman war remained undecided.:275 Sobieski's force of <fact1>6,000</fact1> defeated <fact2>20,000</fact2> Turks and Tatars under Ibrahim Shyshman in the battle of Lwow in August 1675.:653  Even after the Battle of Trembowla, the Sejm still refused his pleas for more funds and a larger army.:653 In 1676, after Sobieski's <fact3>16,000</fact3> withstood the two-week siege of Żurawno, by <fact4>100,000</fact4> men under Ibrahim Pasha, a new peace treaty was signed, the Treaty of Żurawno.:655  The peace treaty partially reversing those from Buczacz: the Ottomans kept approximately two thirds of the territories they gained in 1672, and the Commonwealth no longer was obliged to pay any kind of tribute to the Empire; a large number of Polish prisoners were released by the Ottomans. How many more forces were under the Turks than in Sobieski's forces in the battle of Lwow?
Answer: According to the passage, in the battle of Lwow, <fact2>20,000</fact2> forces were under the Turks, and <fact1>6,000</fact1> were in Sobieski's forces. <fact2>20,000</fact2> - <fact1>6,000</fact1> = 14,000. So the answer is {14,000}.

Reformatted Question: Over the next year, however, the Polish forces were subject to attrition, as the Sejm again refused to raise taxes and pay the army, resulting in mass desertions of unpaid soldiery. The Polish problems were further aggravated by the incompetent leadership of hetman Michał Kazimierz Pac, who obstructed Sobieski's leadership, while the Ottomans continued to receive reinforcements. Nonetheless in 1674 the Commonwealth resumed the offensive, taking advantage of a new Muscovy-Ottoman conflict that year, and the Polish-Ottoman war remained undecided.:275 Sobieski's force of 6,000 defeated 20,000 Turks and Tatars under Ibrahim Shyshman in the battle of Lwow in August 1675.:653  Even after the Battle of Trembowla, the Sejm still refused his pleas for more funds and a larger army.:653 In 1676, after Sobieski's <fact1>16,000</fact1> withstood the two-week siege of Żurawno, by <fact2>100,000</fact2> men under Ibrahim Pasha, a new peace treaty was signed, the Treaty of Żurawno.:655  The peace treaty partially reversing those from Buczacz: the Ottomans kept approximately two thirds of the territories they gained in 1672, and the Commonwealth no longer was obliged to pay any kind of tribute to the Empire; a large number of Polish prisoners were released by the Ottomans. How many more forces were under the Turks than in Sobieski's forces in the siege of Żurawno?
Answer: According to the passage, in the siege of Żurawno, <fact2>100,000</fact2> forces were under the Turks, and <fact1>16,000</fact1> were in Sobieski's forces. <fact2>100,000</fact2> - <fact1>16,000</fact1> = 84,000. So the answer is {84,000}.",6000.0
nfl_2151_2cf40f99-789c-4530-ade1-a3f3aff3ca6c," Coming off a week 2 loss, the Ravens were determined to bounce back and fight hard. On their second offensive play from scrimmage, Flacco threw a 74-yard touchdown pass to rookie wide receiver Torrey Smith. It was the first catch of Smith's career and the longest pass of Flacco's career. Before the first quarter was up, Flacco would throw two more touchdown passes to Smith for 41 and 18 yards respectively, marking the 12th time in NFL history that any receiver caught three touchdown passes in a single quarter, and the first time ever for a rookie. The Ravens would later add 16 more points on three Billy Cundiff field goals and a fumble forced by Ray Lewis and recovered by Haloti Ngata and then run into the end zone (Cundiff also missed two 51-yard field goals). This marked the first touchdown in Ngata's career. Offensively, the Ravens gained 553 yards in the entire game, a franchise record. The only score for the Rams came in the third quarter, when quarterback Sam Bradford threw a 34-yard touchdown pass to Brandon Gibson. How many yards in length was the average first quarter touchdown scored by Torrey Smith?","Reformatted Question: Coming off a week 2 loss, the Ravens were determined to bounce back and fight hard. On their second offensive play from scrimmage, Flacco threw a <fact1>74-yard touchdown pass</fact1> to rookie wide receiver Torrey Smith. It was the first catch of Smith's career and the longest pass of Flacco's career. Before the first quarter was up, Flacco would throw two more touchdown passes to Smith for <fact2>41</fact2> and <fact3>18 yards</fact3> respectively, marking the 12th time in NFL history that any receiver caught three touchdown passes in a single quarter, and the first time ever for a rookie. The Ravens would later add 16 more points on three Billy Cundiff field goals and a fumble forced by Ray Lewis and recovered by Haloti Ngata and then run into the end zone (Cundiff also missed two 51-yard field goals). This marked the first touchdown in Ngata's career. Offensively, the Ravens gained 553 yards in the entire game, a franchise record. The only score for the Rams came in the third quarter, when quarterback Sam Bradford threw a 34-yard touchdown pass to Brandon Gibson. How many yards in length was the average first quarter touchdown scored by Torrey Smith?

Answer: According to the passage, Torrey Smith scored three touchdowns in the first quarter, with lengths of <fact1>74 yards</fact1>, <fact2>41 yards</fact2>, and <fact3>18 yards</fact3>. To find the average length, we add these lengths and divide by 3. (<fact1>74</fact1> + <fact2>41</fact2> + <fact3>18</fact3>) / 3 = 133 / 3 = 44.33. So the answer is {44.33}.",44.0
nfl_1553_8a4780e8-b150-4dd5-894b-4fe1ba7806cd," Led by former Giant Kurt Warner, the defending NFC champions took the field at Giants Stadium against a Giants team still reeling from their bad loss in New Orleans. The Giants scored first, sending Jacobs in for a 4-yard touchdown run following a Terrell Thomas interception. Later, Arizona running back Beanie Wells scored his first career touchdown on a 13-yard rush. Manning responded by throwing a 62-yard touchdown to Nicks for his longest reception of the year. In the second half, the Cardinals' Tim Hightower and Jason Wright scored touchdowns. But it was turnovers that decided this game; Manning's 3 interceptions were as many as he had thrown all season. The Giants scored only 3 points in the second half, ending the game on an interception to Antrel Rolle. The Giants notable streak of 38 consecutive starts by the same offensive line unit was ended here, as offensive tackle Kareem McKenzie missed the game with a groin injury. McKenzie returned the following week. How many interceptions did Arizona catch?","Reformatted Question: Led by former Giant Kurt Warner, the defending NFC champions took the field at Giants Stadium against a Giants team still reeling from their bad loss in New Orleans. The Giants scored first, sending Jacobs in for a 4-yard touchdown run following a <fact1>Terrell Thomas interception</fact1>. Later, Arizona running back Beanie Wells scored his first career touchdown on a 13-yard rush. Manning responded by throwing a 62-yard touchdown to Nicks for his longest reception of the year. In the second half, the Cardinals' Tim Hightower and Jason Wright scored touchdowns. But it was turnovers that decided this game; Manning's <fact2>3 interceptions</fact2> were as many as he had thrown all season. The Giants scored only 3 points in the second half, ending the game on an interception to <fact3>Antrel Rolle</fact3>. The Giants notable streak of 38 consecutive starts by the same offensive line unit was ended here, as offensive tackle Kareem McKenzie missed the game with a groin injury. McKenzie returned the following week. How many interceptions did Arizona catch?

Answer: According to the passage, Arizona caught a total of <fact1>1</fact1> + <fact2>3</fact2> + <fact3>1</fact3> = 5 interceptions. So the answer is {5}.",3.0
history_1853_176835fe-042f-4085-af4a-945ef3f1f903,"With the end of the ""crack epidemic"" in the mid-1990s and with the initiation of aggressive policing under mayors David Dinkins and subsequently  Rudolph Giuliani, crime in Harlem plummeted. In 1981, 6,500 robberies were reported in Harlem; robberies dropped to 4,800 in 1990 during David Dinkins mayoralty. By 2000, only 1,700 robberies were reported, and by 2010, only 1,100 were reported. There have been similar changes in all categories of crimes tracked by the New York City Police Department. In the 32nd Precinct, which services Central Harlem above 127th Street, for example, between 1990 and 2013, the murder rate dropped 89.4%, the rape rate dropped 67.5%, the robbery rate dropped 74.2%, burglary dropped 93.4%, and the total number of crime complaints dropped 77.6%. How many years since 1981 did the robberies drop?","Reformatted Question: With the end of the ""crack epidemic"" in the mid-1990s and with the initiation of aggressive policing under mayors David Dinkins and subsequently  Rudolph Giuliani, crime in Harlem plummeted. In <fact1>1981</fact1>, <fact2>6,500 robberies</fact2> were reported in Harlem; robberies dropped to 4,800 in 1990 during David Dinkins mayoralty. By <fact3>2000</fact3>, only 1,700 robberies were reported, and by 2010, only 1,100 were reported. There have been similar changes in all categories of crimes tracked by the New York City Police Department. In the 32nd Precinct, which services Central Harlem above 127th Street, for example, between 1990 and 2013, the murder rate dropped 89.4%, the rape rate dropped 67.5%, the robbery rate dropped 74.2%, burglary dropped 93.4%, and the total number of crime complaints dropped 77.6%. How many years since <fact1>1981</fact1> did the robberies drop?
Answer: According to the passage, the robberies dropped by <fact3>2000</fact3>. <fact3>2000</fact3> - <fact1>1981</fact1> = 19. So the answer is {19}.",9.0
history_1276_3cf695a7-f48c-4a59-93a6-1475962ee4c8,"In May 1924, the French Army had established a line of out-posts north of the Oureghla River in disputed tribal territory. On 12 April 1925, an estimated 8,000 Rifians attacked this line and in two weeks over 40 of 66 French posts had been stormed or abandoned. French casualties exceeded 1,000 killed, 3,700 wounded and 1,000 missing - representing losses of over 20 percent of their forces deployed in the Rif. The French accordingly intervened on the side of Spain, employing up to 160,000 well trained and equipped troops from Metropolitan, Algerian, Senegalese and Foreign Legion units, as well as Moroccan regulars  and auxiliaries . With total Spanish forces now numbering about 90,000 the Rifian forces were now seriously outnumbered by their Franco-Spanish opponents. Final French deaths from battle and disease, in what had now become a major war, were to total 8,628. How many French out-posts were still there?","Reformatted Question: In May 1924, the French Army had established a line of <fact1>out-posts north of the Oureghla River</fact1> in disputed tribal territory. On 12 April 1925, an estimated 8,000 Rifians attacked this line and in two weeks <fact2>over 40 of 66 French posts had been stormed or abandoned</fact2>. French casualties exceeded 1,000 killed, 3,700 wounded and 1,000 missing - representing losses of over 20 percent of their forces deployed in the Rif. The French accordingly intervened on the side of Spain, employing up to 160,000 well trained and equipped troops from Metropolitan, Algerian, Senegalese and Foreign Legion units, as well as Moroccan regulars  and auxiliaries . With total Spanish forces now numbering about 90,000 the Rifian forces were now seriously outnumbered by their Franco-Spanish opponents. Final French deaths from battle and disease, in what had now become a major war, were to total 8,628. How many French out-posts were still there?

Answer: According to the passage, there were originally <fact1>66 French posts</fact1>, and <fact2>over 40 of 66 French posts had been stormed or abandoned</fact2>. To find the number of posts still there, we need to subtract the number of posts stormed or abandoned from the total number of posts. Since we are given a range (""over 40""), we can calculate the minimum number of posts still there by subtracting 40 from 66 and get 26. So the answer is {26}.",25.0
history_254_14720a39-5dd9-498d-a922-8b77af3a4dff,"In 1997, Russia and Ukraine signed the Partition Treaty, establishing two independent national fleets and dividing armaments and bases between them. Ukraine also agreed to lease major parts of its facilities to the Russian Black Sea Fleet until 2017. However, the treaty appeared to be far from perfect: permanent tensions on the lease details  control continued. The Fleet's main base is still situated in the Crimean port city of Sevastopol. In 2009 the Yushchenko Ukrainian government declared that the lease would not be extended and that the fleet would have to leave Sevastopol by 2017.  In 2010 the Russian leasehold was renegotiated with an extension until 2042 and an option for an additional five years until 2047. For how many years did Ukraine agree to lease its facilities?","Reformatted Question: In 1997, Russia and Ukraine signed the Partition Treaty, establishing two independent national fleets and dividing armaments and bases between them. Ukraine also agreed to <fact1>lease major parts of its facilities to the Russian Black Sea Fleet until 2017</fact1>. However, the treaty appeared to be far from perfect: permanent tensions on the lease details  control continued. The Fleet's main base is still situated in the Crimean port city of Sevastopol. In 2009 the Yushchenko Ukrainian government declared that the lease would not be extended and that the fleet would have to leave Sevastopol by 2017.  In 2010 the Russian leasehold was renegotiated with an extension <fact2>until 2042</fact2> and an option for an additional <fact3>five years until 2047</fact3>. For how many years did Ukraine agree to lease its facilities?

Answer: According to the passage, initially, Ukraine agreed to <fact1>lease its facilities until 2017</fact1>, which is from 1997 to 2017, that is 20 years. However, in 2010, the lease was renegotiated with an extension <fact2>until 2042</fact2>, which is from 1997 to 2042, that is 45 years. There is also an option for an additional <fact3>five years until 2047</fact3>, which would be 50 years in total. So the answer is {50}.",20.0
