id,question,answer,gt_number
history_2044_581ced8b-43ce-4d8d-a275-2924c60957ee,"The first issue in 1942 consisted of denominations of 1, 5, 10 and 50 centavos and 1, 5, and 10 Pesos. The next year brought ""replacement notes"" of the 1, 5 and 10 Pesos while 1944 ushered in a 100 Peso note and soon after an inflationary 500 Pesos note. In 1945, the Japanese issued a 1,000 Pesos note. This set of new money, which was printed even before the war, became known in the Philippines as Mickey Mouse money due to its very low value caused by severe inflation. Anti-Japanese newspapers portrayed stories of going to the market laden with suitcases or ""bayong"" (native bags made of woven coconut or Corypha leaf strips) overflowing with the Japanese-issued bills. In 1944, a box of matches cost more than 100 Mickey Mouse pesos. In 1945, a kilogram of camote cost around 1000 Mickey Mouse pesos. Inflation plagued the country with the devaluation of the Japanese money, evidenced by a 60% inflation experienced in January 1944. How many pesos was the Mickey Mouse money created by the Japanese worth?","Reformatted Question: The first issue in 1942 consisted of denominations of 1, 5, 10 and 50 centavos and <fact1>1, 5, and 10 Pesos</fact1>. The next year brought ""replacement notes"" of the <fact1>1, 5 and 10 Pesos</fact1> while 1944 ushered in a <fact2>100 Peso note</fact2> and soon after an inflationary <fact3>500 Pesos note</fact3>. In 1945, the Japanese issued a <fact4>1,000 Pesos note</fact4>. This set of new money, which was printed even before the war, became known in the Philippines as Mickey Mouse money due to its very low value caused by severe inflation. Anti-Japanese newspapers portrayed stories of going to the market laden with suitcases or ""bayong"" (native bags made of woven coconut or Corypha leaf strips) overflowing with the Japanese-issued bills. In 1944, a box of matches cost more than <fact5>100 Mickey Mouse pesos</fact5>. In 1945, a kilogram of camote cost around <fact6>1000 Mickey Mouse pesos</fact6>. Inflation plagued the country with the devaluation of the Japanese money, evidenced by a 60% inflation experienced in January 1944. How many pesos was the Mickey Mouse money created by the Japanese worth?
Answer: According to the passage, the value of the Mickey Mouse money varied. Initially, the Japanese issued notes worth <fact1>1, 5, and 10 Pesos</fact1>, then later issued notes worth <fact2>100 Pesos</fact2>, <fact3>500 Pesos</fact3>, and <fact4>1,000 Pesos</fact4>. However, due to severe inflation, the value of the Mickey Mouse money decreased significantly, with a box of matches costing more than <fact5>100 Mickey Mouse pesos</fact5> in 1944 and a kilogram of camote costing around <fact6>1000 Mickey Mouse pesos</fact6> in 1945. Therefore, the value of the Mickey Mouse money created by the Japanese is not fixed and varied over time due to inflation.",1000 
history_2170_715def7c-7ab2-4ca7-a669-a926615a09fb,"In the census of 2010, there were 66,135 people, 26,265 (2000 data) households, and 14,051 (2000 data) families residing in the city. The population density was 6,096.7 people per square mile (2,199.9/km²). There were 30,272 (2000 data) housing units at an average density of 2,790.6 per square mile (1,077.2/km²). The racial makeup of the city was 59.38% (52.31% Non-Hispanic) (7.07 White-Hispanic) White (U.S. Census), 24.19% African American (U.S. Census), 14.47% Hispanic (U.S. Census) or Latin (U.S. Census)) of any race, 8.24% from Race (United States Census), 5.74% from two or more races, 2.62% Asian (U.S. Census), 0.69%  Native American (U.S.Census), and 0.14% Pacific Islander (U.S. Census). There is a growing Guyana population in the area. The top ancestries self-identified by people on the census are Italian (13.6%), Guyanese (12.3%), Irish (12.1%), Puerto Rican (10.1%), German (8.7%), English (6.0%), Polish (5.4%), French (4.4%). These reflect historic and early 20th-century immigration, as well as that since the late 20th century. Did more people self-identify with a Guyanese or Irish ancestry?","Reformatted Question: In the census of 2010, there were 66,135 people, 26,265 (2000 data) households, and 14,051 (2000 data) families residing in the city. The population density was 6,096.7 people per square mile (2,199.9/km²). There were 30,272 (2000 data) housing units at an average density of 2,790.6 per square mile (1,077.2/km²). The racial makeup of the city was 59.38% (52.31% Non-Hispanic) (7.07 White-Hispanic) White (U.S. Census), 24.19% African American (U.S. Census), 14.47% Hispanic (U.S. Census) or Latin (U.S. Census)) of any race, 8.24% from Race (United States Census), 5.74% from two or more races, 2.62% Asian (U.S. Census), 0.69%  Native American (U.S.Census), and 0.14% Pacific Islander (U.S. Census). There is a growing <fact1>Guyana population</fact1> in the area. The top ancestries self-identified by people on the census are Italian (13.6%), <fact2>Guyanese (12.3%)</fact2>, <fact3>Irish (12.1%)</fact3>, Puerto Rican (10.1%), German (8.7%), English (6.0%), Polish (5.4%), French (4.4%). These reflect historic and early 20th-century immigration, as well as that since the late 20th century. Did more people self-identify with a <fact2>Guyanese</fact2> or <fact3>Irish</fact3> ancestry?

Answer: According to the passage, <fact2>12.3% of people self-identified as Guyanese</fact2>, while <fact3>12.1% self-identified as Irish</fact3>. Since <fact2>12.3%</fact2> is greater than <fact3>12.1%</fact3>, more people self-identified with a <fact2>Guyanese</fact2> ancestry.",24.4 12.3
history_1012_8dbd6237-2843-43d1-8752-6dc71a8382f5,"Concerned by the Burmese consolidation of Shan states and Laotian states, China launched four invasions of Burma between 1765 and 1769. At first, the Qianlong Emperor envisaged an easy war, and sent in only the Green Standard troops stationed in Yunnan. The Qing invasion came as the majority of Burmese forces were deployed in their latest invasion of Siam. Nonetheless, battle-hardened Burmese troops defeated the first two invasions of 1765-1766 and 1766-1767 at the border. The regional conflict now escalated to a major war that involved military manoeuvres nationwide in both countries. The third invasion  led by the elite Manchu Bannermen nearly succeeded, penetrating deep into central Burma within a few days' march from Ava. But the Bannermen of northern China could not cope with unfamiliar tropical terrains and lethal endemic diseases, and were driven back with heavy losses. After the close-call, Hsinbyushin redeployed his armies from Siam to the Chinese front. The fourth and largest invasion got bogged down at the frontier. With the Qing forces completely encircled, a truce was reached between the field commanders of the two sides in December 1769. After how many Chinese invasions did the conflict escalate from a regional conflict into a major war?","Reformatted Question: Concerned by the Burmese consolidation of Shan states and Laotian states, China launched <fact1>four invasions of Burma between 1765 and 1769</fact1>. At first, the Qianlong Emperor envisaged an easy war, and sent in only the Green Standard troops stationed in Yunnan. The Qing invasion came as the majority of Burmese forces were deployed in their latest invasion of Siam. Nonetheless, battle-hardened Burmese troops defeated the first two invasions of <fact2>1765-1766 and 1766-1767</fact2> at the border. The regional conflict now escalated to a major war that involved military manoeuvres nationwide in both countries. The third invasion  led by the elite Manchu Bannermen nearly succeeded, penetrating deep into central Burma within a few days' march from Ava. But the Bannermen of northern China could not cope with unfamiliar tropical terrains and lethal endemic diseases, and were driven back with heavy losses. After the close-call, Hsinbyushin redeployed his armies from Siam to the Chinese front. The fourth and largest invasion got bogged down at the frontier. With the Qing forces completely encircled, a truce was reached between the field commanders of the two sides in December 1769. After how many Chinese invasions did the conflict escalate from a regional conflict into a major war?

Answer: According to the passage, the conflict escalated into a major war after <fact2>the first two invasions of 1765-1766 and 1766-1767</fact2> were defeated. Therefore, the answer is 2.",2 4
history_154_55197c09-fea5-4e8b-8303-9cd7d221dc35,"In response to a border proposal by Sir John Oliver Wardrop—British Chief Commissioner in the South Caucasus—that would have assigned Nakhchivan to Armenia, Azeris of Nakhchivan revolted under the leadership of local landowner Jafargulu Khan Nakhchivanski in December 1918 and declared the independent Republic of Aras, with its capital in Nakhchivan. The republic, which was essentially subordinate to Azerbaijan, continued to exist until May 1919, when Armenian troops led by Drastamat Kanayan advanced into it to gain control over the region. They managed to capture the city of Nakhchivan in June 1919 and destroy the Republic of Aras, but afterwards fought combined regular Azeri and Ottoman troops, which reinstated Azeri control over the city in July. On 10 August 1919 a cease-fire was signed. American Commission to Negotiate Peace telegram dating 1919 speaking on the conflict, How many months did the Republic of Aras last?","Reformatted Question: In response to a border proposal by Sir John Oliver Wardrop—British Chief Commissioner in the South Caucasus—that would have assigned Nakhchivan to Armenia, Azeris of Nakhchivan revolted under the leadership of local landowner Jafargulu Khan Nakhchivanski in <fact1>December 1918</fact1> and declared the independent Republic of Aras, with its capital in Nakhchivan. The republic, which was essentially subordinate to Azerbaijan, continued to exist until <fact2>May 1919</fact2>, when Armenian troops led by Drastamat Kanayan advanced into it to gain control over the region. They managed to capture the city of Nakhchivan in June 1919 and destroy the Republic of Aras, but afterwards fought combined regular Azeri and Ottoman troops, which reinstated Azeri control over the city in July. On 10 August 1919 a cease-fire was signed. American Commission to Negotiate Peace telegram dating 1919 speaking on the conflict, How many months did the Republic of Aras last?

Answer: According to the passage, the Republic of Aras was formed in <fact1>December 1918</fact1> and existed until <fact2>May 1919</fact2>. From <fact1>December 1918</fact1> to <fact2>May 1919</fact2> is 6 months (December to May inclusive, but since it started mid-December and ended early May, the duration is roughly 5 months). However, since the exact dates are not provided, we can estimate the duration to be around 5-6 months.",5 6
history_2142_165de714-e8ba-4aa4-b8cc-329fbb6df82d,"As of the census of 2000, there were 445,342 people, 169,162 households, and 114,015 families residing in the county.  The population density was 615 people per square mile (238/km²).  There were 178,913 housing units at an average density of 247 per square mile (95/km²).  The racial makeup of the county was 82.19% Race (United States Census), 1.15% Race (United States Census) or Race (United States Census), 0.65% Race (United States Census), 6.68% Race (United States Census), 0.30% Race (United States Census), 5.86% from Race (United States Census), and 3.17% from two or more races.  11.17% of the population were Race (United States Census) or Race (United States Census) of any race. 17.2% were of German American, 9.9% English American, 8.2% Irish American, and 6.7% Americans ancestry. 81.7% spoke only English at home, while 9.6% spoke Spanish and 1.2% Vietnamese. How many races each made up over 5% of the population?","Reformatted Question: As of the census of 2000, there were 445,342 people, 169,162 households, and 114,015 families residing in the county.  The population density was 615 people per square mile (238/km²).  There were 178,913 housing units at an average density of 247 per square mile (95/km²).  The racial makeup of the county was <fact1>82.19% White</fact1>, <fact2>1.15% American Indian or Alaska Native</fact2>, <fact3>0.65% Asian Indian</fact3> or some other race, <fact4>6.68% Asian</fact4>, <fact5>0.30% Pacific Islander</fact5>, <fact6>5.86% from other races</fact6>, and <fact7>3.17% from two or more races</fact7>.  <fact8>11.17% of the population were Hispanic or Latino</fact8> of any race. 17.2% were of German American, 9.9% English American, 8.2% Irish American, and 6.7% Americans ancestry. 81.7% spoke only English at home, while 9.6% spoke Spanish and 1.2% Vietnamese. How many races each made up over 5% of the population?

Answer: According to the passage, the races that made up over 5% of the population are <fact1>White (82.19%)</fact1>, <fact4>Asian (6.68%)</fact4>, <fact6>other races (5.86%)</fact6>, and <fact8>Hispanic or Latino (11.17%)</fact8>. Therefore, there are 4 races that each made up over 5% of the population.",6 4
nfl_1670_b6785b9f-389a-4e0c-a563-942fab85bb06," Coming off their home loss to the Jets, the Bucs flew to Qwest Field for a week 15 duel against the Seattle Seahawks.  After a scoreless first quarter, Seattle got on the board first with QB Matt Hasselbeck's  29-yard pass to tight end John Carlson.  The Bucs got on the board with Connor Barth's 28-yard field goal to end the first half. In the third quarter, Tampa Bay took the lead after a 45-yard field goal and a 22-yard touchdown pass by QB Josh Freeman to running back Cadillac Williams, set up by a Tanard Jackson interception.  The Buccaneers further extended their lead with a 28-yard pass to running back Derrick Ward, with a successful two-point conversion.  In the fourth quarter, Barth kicked another field goal for 39 yards.  Seattle tried to rally, but Hasselbeck threw an interception (his fourth) in the end zone to cornerback Elbert Mack for a touchback. With the win, the Buccaneers improved to 2-12.  Not only was it their first road win since November 23, 2008, it also marked their first win on the west coast since winning Super Bowl XXXVII in San Diego and their first win in Seattle since 1999. How many interceptions did Matt Hasselbeck throw?","Reformatted Question: Coming off their home loss to the Jets, the Bucs flew to Qwest Field for a week 15 duel against the Seattle Seahawks.  After a scoreless first quarter, Seattle got on the board first with QB Matt Hasselbeck's  29-yard pass to tight end John Carlson.  The Bucs got on the board with Connor Barth's 28-yard field goal to end the first half. In the third quarter, Tampa Bay took the lead after a 45-yard field goal and a 22-yard touchdown pass by QB Josh Freeman to running back Cadillac Williams, set up by <fact1>a Tanard Jackson interception</fact1>.  The Buccaneers further extended their lead with a 28-yard pass to running back Derrick Ward, with a successful two-point conversion.  In the fourth quarter, Barth kicked another field goal for 39 yards.  Seattle tried to rally, but <fact2>Hasselbeck threw an interception (his fourth)</fact2> in the end zone to cornerback Elbert Mack for a touchback. With the win, the Buccaneers improved to 2-12.  Not only was it their first road win since November 23, 2008, it also marked their first win on the west coast since winning Super Bowl XXXVII in San Diego and their first win in Seattle since 1999. How many interceptions did Matt Hasselbeck throw?

Answer: According to the passage, <fact2>Hasselbeck threw 4 interceptions</fact2>.",4 
history_1276_156183fd-2af3-42f5-8053-47401abf9bd0,"In May 1924, the French Army had established a line of out-posts north of the Oureghla River in disputed tribal territory. On 12 April 1925, an estimated 8,000 Rifians attacked this line and in two weeks over 40 of 66 French posts had been stormed or abandoned. French casualties exceeded 1,000 killed, 3,700 wounded and 1,000 missing - representing losses of over 20 percent of their forces deployed in the Rif. The French accordingly intervened on the side of Spain, employing up to 160,000 well trained and equipped troops from Metropolitan, Algerian, Senegalese and Foreign Legion units, as well as Moroccan regulars  and auxiliaries . With total Spanish forces now numbering about 90,000 the Rifian forces were now seriously outnumbered by their Franco-Spanish opponents. Final French deaths from battle and disease, in what had now become a major war, were to total 8,628. How many French casualties were there?","Reformatted Question: In May 1924, the French Army had established a line of out-posts north of the Oureghla River in disputed tribal territory. On 12 April 1925, an estimated 8,000 Rifians attacked this line and in two weeks over 40 of 66 French posts had been stormed or abandoned. French casualties <fact1>exceeded 1,000 killed, 3,700 wounded and 1,000 missing</fact1> - representing losses of over 20 percent of their forces deployed in the Rif. The French accordingly intervened on the side of Spain, employing up to 160,000 well trained and equipped troops from Metropolitan, Algerian, Senegalese and Foreign Legion units, as well as Moroccan regulars  and auxiliaries . With total Spanish forces now numbering about 90,000 the Rifian forces were now seriously outnumbered by their Franco-Spanish opponents. Final French deaths from battle and disease, in what had now become a major war, were to total <fact2>8,628</fact2>. How many French casualties were there?

Answer: According to the passage, French casualties <fact1>exceeded 1,000 killed, 3,700 wounded and 1,000 missing</fact1>. To find the total number of casualties, we need to add these numbers together: 1,000 + 3,700 + 1,000 = 5,700. However, the passage also mentions that final French deaths from battle and disease were to total <fact2>8,628</fact2>, but this number only accounts for deaths, not total casualties. Therefore, the correct answer is 5,700.",5700 
history_254_4844e1c8-a97f-419a-ad11-071fb8292965,"In 1997, Russia and Ukraine signed the Partition Treaty, establishing two independent national fleets and dividing armaments and bases between them. Ukraine also agreed to lease major parts of its facilities to the Russian Black Sea Fleet until 2017. However, the treaty appeared to be far from perfect: permanent tensions on the lease details  control continued. The Fleet's main base is still situated in the Crimean port city of Sevastopol. In 2009 the Yushchenko Ukrainian government declared that the lease would not be extended and that the fleet would have to leave Sevastopol by 2017.  In 2010 the Russian leasehold was renegotiated with an extension until 2042 and an option for an additional five years until 2047. How many years did Ukraine agree to lease major parts of the facilities to the Russian Black Sea","Reformatted Question: In 1997, Russia and Ukraine signed the Partition Treaty, establishing two independent national fleets and dividing armaments and bases between them. Ukraine also agreed to <fact1>lease major parts of its facilities to the Russian Black Sea Fleet until 2017</fact1>. However, the treaty appeared to be far from perfect: permanent tensions on the lease details  control continued. The Fleet's main base is still situated in the Crimean port city of Sevastopol. In 2009 the Yushchenko Ukrainian government declared that the lease would not be extended and that the fleet would have to leave Sevastopol by 2017.  In 2010 the Russian leasehold was renegotiated with an extension <fact2>until 2042</fact2> and an option for an additional five years <fact3>until 2047</fact3>. How many years did Ukraine agree to lease major parts of the facilities to the Russian Black Sea?
Answer: According to the passage, initially, Ukraine agreed to <fact1>lease the facilities until 2017</fact1>, which is from 1997 to 2017, that is 20 years. However, in 2010, the lease was renegotiated with an extension <fact2>until 2042</fact2>, which is from 1997 to 2042, that is 45 years. There is also an option for an additional five years <fact3>until 2047</fact3>, which is from 1997 to 2047, that is 50 years. So the answer is {20, 45, 50}.",20 2017
history_228_62e99d8c-586a-4631-acaf-d2ed1e8a7905,"The Serbian army emerged victorious, although details of the actual battle are vague. Şahin Bey entered Serbia with 20.000 akinjis at that time he learned that Serbian lords had prepared an army to attack his troops. He advanced to Pločnik near Prokuplje but could not detect the position of that army, and believed that there was none. At that time, many akinjis  lost their temper and began looting civilian properties in the surrounding villages by disobeying orders. Şahin Bey stayed alone with 2,000 soldiers. On the other hand, the battlefield was observed by Serbian expeditionary forces. Suddenly an allied army with 30,000 soldiers appeared, many of whom were cavalry. The Serbian army used heavy knight cavalry charge with horse archers on the flanks. The Serbs first attacked the Ottoman center , although they were unprepared and tasted nasty shock to heavy Serbian knights, the outnumbered Ottoman center resisted for some time but later began to withdraw with Şahin Bey who barely escaped with his life. Then the Serbian army turned to the other 18,000 akinjis that were busy plundering; unprepared, ill-disciplined, surprised akinjis couldn't do anything without their general. Only 5,000 of them returned home alive. More than 60% of the Ottoman army was destroyed. According to tradition Serbian knight and folk hero Miloš Obilić participated in this battle and distinguished himself, and was wounded by an Ottoman arrow. According to some, such as Croatian historian Vjekoslav Klaić, Lazar's army was aided by Bosnian troops. One version of the battle has it that the battle was won thanks to the Bosnian troops and the trickery of a Kastrioti. How many of the akinjis died?","Reformatted Question: The Serbian army emerged victorious, although details of the actual battle are vague. Şahin Bey entered Serbia with <fact1>20,000 akinjis</fact1> at that time he learned that Serbian lords had prepared an army to attack his troops. He advanced to Pločnik near Prokuplje but could not detect the position of that army, and believed that there was none. At that time, many akinjis lost their temper and began looting civilian properties in the surrounding villages by disobeying orders. Şahin Bey stayed alone with <fact2>2,000 soldiers</fact2>. On the other hand, the battlefield was observed by Serbian expeditionary forces. Suddenly an allied army with 30,000 soldiers appeared, many of whom were cavalry. The Serbian army used heavy knight cavalry charge with horse archers on the flanks. The Serbs first attacked the Ottoman center, although they were unprepared and tasted nasty shock to heavy Serbian knights, the outnumbered Ottoman center resisted for some time but later began to withdraw with Şahin Bey who barely escaped with his life. Then the Serbian army turned to the other <fact3>18,000 akinjis</fact3> that were busy plundering; unprepared, ill-disciplined, surprised akinjis couldn't do anything without their general. Only <fact4>5,000 of them returned home alive</fact4>. More than 60% of the Ottoman army was destroyed. According to tradition Serbian knight and folk hero Miloš Obilić participated in this battle and distinguished himself, and was wounded by an Ottoman arrow. According to some, such as Croatian historian Vjekoslav Klaić, Lazar's army was aided by Bosnian troops. One version of the battle has it that the battle was won thanks to the Bosnian troops and the trickery of a Kastrioti. How many of the akinjis died?

Answer: According to the passage, there were initially <fact1>20,000 akinjis</fact1>, but <fact2>2,000</fact2> stayed with Şahin Bey. This leaves <fact3>18,000 akinjis</fact3> that were busy plundering. Since only <fact4>5,000 of them returned home alive</fact4>, the number of akinjis that died is <fact3>18,000</fact3> - <fact4>5,000</fact4> = 13,000.",13000 15000
nfl_2234_a929d4a2-7659-4aad-86a7-6eecf9324d8c," After a huge loss at the Saints, the Colts traveled to Nashville take on the Titans.  The Titans would score 20 unanswered points in the 1st half alone as Rob Bironas would kick a 51-yard field goal for a 3-0 lead in the first quarter.  In the 2nd quarter, Jason McCourty would recover a blocked punt in the end zone sending the game to 10-0, followed up by Bironas nailing a 50-yard field goal for 13-0 and eventual halftime lead of 20-0 when Nate Washington ran for a 3-yard touchdown.  The Colts would manage to get on the board as Adam Vinatieri would kick a 22-yard field goal for a 20-3 lead.  Donald Brown managed to increase his team's points with a 4-yard touchdown run for a 20-10 lead.  The Titans however wrapped the game up when Washington ran for a 14-yard touchdown for a final score of 27-10.With the loss, the Colts fell to 0-8. How many field goals did Vinatieri kick in the third quarter?","Reformatted Question: After a huge loss at the Saints, the Colts traveled to Nashville take on the Titans.  The Titans would score 20 unanswered points in the 1st half alone as Rob Bironas would kick a 51-yard field goal for a 3-0 lead in the first quarter.  In the 2nd quarter, Jason McCourty would recover a blocked punt in the end zone sending the game to 10-0, followed up by Bironas nailing a 50-yard field goal for 13-0 and eventual halftime lead of 20-0 when Nate Washington ran for a 3-yard touchdown.  The Colts would manage to get on the board as <fact1>Adam Vinatieri would kick a 22-yard field goal</fact1> for a 20-3 lead.  Donald Brown managed to increase his team's points with a 4-yard touchdown run for a 20-10 lead.  The Titans however wrapped the game up when Washington ran for a 14-yard touchdown for a final score of 27-10.With the loss, the Colts fell to 0-8. How many field goals did <fact2>Vinatieri kick in the third quarter</fact2>?

Answer: According to the passage, <fact1>Vinatieri kicked a 22-yard field goal</fact1> but there is no information about which quarter it was in. However, since the passage states that the Colts got on the board with this field goal after the Titans had a 20-0 halftime lead, we can infer that Vinatieri's field goal was in the second half. Additionally, since the passage does not mention Vinatieri kicking any other field goals, we can conclude that Vinatieri kicked only 1 field goal in the second half. However, it is not explicitly stated that the field goal was in the third quarter. It could be either in the third or fourth quarter. But since there is no other information about the quarters, we can only conclude that Vinatieri kicked 1 field goal in the second half, but not specifically in the third quarter.",1 
