id,question,answer,gt_number
history_2170_77ec7d38-739a-4ca5-9bc2-b63670f435f6,"In the census of 2010, there were 66,135 people, 26,265 (2000 data) households, and 14,051 (2000 data) families residing in the city. The population density was 6,096.7 people per square mile (2,199.9/km²). There were 30,272 (2000 data) housing units at an average density of 2,790.6 per square mile (1,077.2/km²). The racial makeup of the city was 59.38% (52.31% Non-Hispanic) (7.07 White-Hispanic) White (U.S. Census), 24.19% African American (U.S. Census), 14.47% Hispanic (U.S. Census) or Latin (U.S. Census)) of any race, 8.24% from Race (United States Census), 5.74% from two or more races, 2.62% Asian (U.S. Census), 0.69%  Native American (U.S.Census), and 0.14% Pacific Islander (U.S. Census). There is a growing Guyana population in the area. The top ancestries self-identified by people on the census are Italian (13.6%), Guyanese (12.3%), Irish (12.1%), Puerto Rican (10.1%), German (8.7%), English (6.0%), Polish (5.4%), French (4.4%). These reflect historic and early 20th-century immigration, as well as that since the late 20th century. How many percent more people were in the the second largest group compared to the second smallest?","Reformatted Question: In the census of 2010, there were 66,135 people, 26,265 (2000 data) households, and 14,051 (2000 data) families residing in the city. The population density was 6,096.7 people per square mile (2,199.9/km²). There were 30,272 (2000 data) housing units at an average density of 2,790.6 per square mile (1,077.2/km²). The racial makeup of the city was 59.38% (52.31% Non-Hispanic) (7.07 White-Hispanic) White (U.S. Census), 24.19% African American (U.S. Census), 14.47% Hispanic (U.S. Census) or Latin (U.S. Census)) of any race, 8.24% from Race (United States Census), 5.74% from two or more races, 2.62% Asian (U.S. Census), 0.69%  Native American (U.S.Census), and 0.14% Pacific Islander (U.S. Census). There is a growing Guyana population in the area. The top ancestries self-identified by people on the census are <fact1>Italian (13.6%)</fact1>, <fact2>Guyanese (12.3%)</fact2>, <fact3>Irish (12.1%)</fact3>, Puerto Rican (10.1%), German (8.7%), English (6.0%), <fact4>Polish (5.4%)</fact4>, French (4.4%). These reflect historic and early 20th-century immigration, as well as that since the late 20th century. How many percent more people were in the the second largest group compared to the second smallest?

Answer: The question asks the difference between the second largest and second smallest ancestry groups.  The passage lists ancestries in descending order.
<fact2>The second largest group is Guyanese at 12.3%</fact2>.
<fact4>The second smallest group listed is Polish at 5.4%</fact4>.

12.3% - 5.4% = 6.9%

So the answer is {6.9}.
",23.5
nfl_2262_78f903a9-c9bc-4c21-876a-b955f331cce8," After a franchise record setting performance the Saints went to face another winless team, the St. Louis Rams. This time, however, the Rams pulled off one of the best upsets in the NFL season. A defense kept the Saints scoreless for the first half. The second the Rams sealed the deal with an interception return for 27 yards. With this the Saints fell to 5-3, however this would be the last time the Saints would lose in the regular season. How many losses did the Saints have coming into this game?","Reformatted Question: After a franchise record setting performance the Saints went to face another winless team, the St. Louis Rams. This time, however, the Rams pulled off one of the best upsets in the NFL season. A defense kept the Saints scoreless for the first half. The second the Rams sealed the deal with an interception return for 27 yards. With this <fact1>the Saints fell to 5-3</fact1>. However this would be the last time the Saints would lose in the regular season. How many losses did the Saints have coming into this game?

Answer: The passage states that <fact1>the Saints record fell to 5 wins and 3 losses</fact1> after this game. Thus, they had 3 losses coming into this game. So the answer is {3}.
",2
nfl_1553_8a4780e8-b150-4dd5-894b-4fe1ba7806cd," Led by former Giant Kurt Warner, the defending NFC champions took the field at Giants Stadium against a Giants team still reeling from their bad loss in New Orleans. The Giants scored first, sending Jacobs in for a 4-yard touchdown run following a Terrell Thomas interception. Later, Arizona running back Beanie Wells scored his first career touchdown on a 13-yard rush. Manning responded by throwing a 62-yard touchdown to Nicks for his longest reception of the year. In the second half, the Cardinals' Tim Hightower and Jason Wright scored touchdowns. But it was turnovers that decided this game; Manning's 3 interceptions were as many as he had thrown all season. The Giants scored only 3 points in the second half, ending the game on an interception to Antrel Rolle. The Giants notable streak of 38 consecutive starts by the same offensive line unit was ended here, as offensive tackle Kareem McKenzie missed the game with a groin injury. McKenzie returned the following week. How many interceptions did Arizona catch?","**Reformatted Question:** Led by former Giant Kurt Warner, the defending NFC champions took the field at Giants Stadium against a Giants team still reeling from their bad loss in New Orleans. The Giants scored first, sending Jacobs in for a 4-yard touchdown run following a <fact1>Terrell Thomas interception</fact1>. Later, Arizona running back Beanie Wells scored his first career touchdown on a 13-yard rush. Manning responded by throwing a 62-yard touchdown to Nicks for his longest reception of the year. In the second half, the Cardinals' Tim Hightower and Jason Wright scored touchdowns. But it was turnovers that decided this game; <fact2>Manning's 3 interceptions</fact2> were as many as he had thrown all season. The Giants scored only 3 points in the second half, ending the game on an <fact3>interception to Antrel Rolle</fact3>. The Giants notable streak of 38 consecutive starts by the same offensive line unit was ended here, as offensive tackle Kareem McKenzie missed the game with a groin injury. McKenzie returned the following week. How many interceptions did Arizona catch?


**Answer:** The question asks how many interceptions *Arizona* caught. The passage states that there was <fact1>one interception by Terrell Thomas</fact1>, which resulted in a Giants touchdown.  It also mentions <fact2>three interceptions thrown by Manning</fact2> and that the game ended on an <fact3>interception by Antrel Rolle</fact3>. Since Manning was the Giants' quarterback, and Rolle plays for the Giants, the <fact2>three interceptions of Manning</fact2> and the <fact3>interception by Rolle</fact3> were all caught by Arizona. Therefore, Arizona caught 3 + 1 = 4 interceptions.  So the answer is {4}. 
",3
history_1995_175cbf4d-e1c3-4752-90fa-75e32baaa16d,"The number of entrants has increased greatly in recent years. In the FA Cup 2004-05 season, 660 clubs entered the competition, beating the long-standing record of 656 from the 1921-22 season. In 2005-06 FA Cup this increased to 674 entrants, in 2006-07 FA Cup to 687, in 2007-08 FA Cup to 731 clubs, and for the 2008-09 FA Cup and 2009-10 FA Cup competitions it reached 762. The number has varied slightly but remained roughly stable since then, with 759 clubs participating in 2010-11 FA Cup, a record 763 in 2011-12 FA Cup, 758 for 2012-13 FA Cup, 737 for 2013-14 FA Cup and 736 for 2014-15 FA Cup. By comparison, the other major English domestic cup, the EFL Cup, involves only the 92 members of the Premier League and Football League. How many times after 2008-09 FA Cup and before the 2011-12 FA Cup was there an entrance of over 760 clubs?","**Reformatted Question:** The number of entrants has increased greatly in recent years. In the FA Cup 2004-05 season, 660 clubs entered the competition, beating the long-standing record of 656 from the 1921-22 season. In 2005-06 FA Cup this increased to 674 entrants, in 2006-07 FA Cup to 687, in 2007-08 FA Cup to 731 clubs, and for the <fact1>2008-09 FA Cup</fact1> and 2009-10 FA Cup competitions it reached 762. The number has varied slightly but remained roughly stable since then, with <fact2>759 clubs participating in 2010-11 FA Cup</fact2>, a record <fact3>763 in 2011-12 FA Cup</fact3>, 758 for 2012-13 FA Cup, 737 for 2013-14 FA Cup and 736 for 2014-15 FA Cup. By comparison, the other major English domestic cup, the EFL Cup, involves only the 92 members of the Premier League and Football League. How many times after <fact1>2008-09 FA Cup</fact1> and before <fact3>the 2011-12 FA Cup</fact3> was there an entrance of over 760 clubs?


**Answer:** We are looking for the number of times the entrant count exceeded 760 between the <fact1>2008-09</fact1> and <fact3>2011-12</fact3> FA Cups.  The passage tells us there were <fact2>759 entrants in the 2010-11 FA Cup</fact2>.  Since 759 is not over 760, there were zero seasons with more than 760 entrants between 2008-09 and 2011-12.  Therefore, the answer is {0}.
",1
nfl_1471_fadb0169-392d-4f10-939d-83e5890bc3f4," Hoping to rebound from their divisional loss to the Jaguars, the Texans stayed at home for a Week 4 duel with the Oakland Raiders.  Houston delivered the opening shot of the first quarter with kicker Kris Brown's 26-yard field goal, followed by the Raiders tying the game with a 46-yard field goal from kicker Sebastian Janikowski.  The Texans would take full command in the second quarter as Brown nailed a 34-yard field goal, followed by running back Steve Slaton getting a 32-yard touchdown run and catching an 18-yard touchdown pass from quarterback Matt Schaub.  Oakland would close out the half with Janikowski's 33-yard field goal.  In the third quarter, Houston would continue its domination with rookie linebacker Brian Cushing tackling Raiders running back Justin Fargas in his own endzone for a safety, immediately followed by wide receiver Jacoby Jones returning a kickoff 95 yards for a touchdown. How many more yards was Janikowski's longest field goal over Brown's longest one?","**Reformatted Question:** Hoping to rebound from their divisional loss to the Jaguars, the Texans stayed at home for a Week 4 duel with the Oakland Raiders.  Houston delivered the opening shot of the first quarter with <fact1>kicker Kris Brown's 26-yard field goal</fact1>, followed by the Raiders tying the game with a <fact2>46-yard field goal from kicker Sebastian Janikowski</fact2>.  The Texans would take full command in the second quarter as <fact1>Brown nailed a 34-yard field goal</fact1>, followed by running back Steve Slaton getting a 32-yard touchdown run and catching an 18-yard touchdown pass from quarterback Matt Schaub.  Oakland would close out the half with <fact2>Janikowski's 33-yard field goal</fact2>.  In the third quarter, Houston would continue its domination with rookie linebacker Brian Cushing tackling Raiders running back Justin Fargas in his own endzone for a safety, immediately followed by wide receiver Jacoby Jones returning a kickoff 95 yards for a touchdown. How many more yards was Janikowski's longest field goal over Brown's longest one?


**Answer:**  According to the passage, <fact2>Janikowski's longest field goal was 46 yards</fact2> and <fact1>Brown's longest field goal was 34 yards</fact1>. <fact2>46</fact2> - <fact1>34</fact1> = 20. So the answer is {20}.
",12
nfl_1471_7837648a-f34f-4062-bd99-d827e9240fbc," Hoping to rebound from their divisional loss to the Jaguars, the Texans stayed at home for a Week 4 duel with the Oakland Raiders.  Houston delivered the opening shot of the first quarter with kicker Kris Brown's 26-yard field goal, followed by the Raiders tying the game with a 46-yard field goal from kicker Sebastian Janikowski.  The Texans would take full command in the second quarter as Brown nailed a 34-yard field goal, followed by running back Steve Slaton getting a 32-yard touchdown run and catching an 18-yard touchdown pass from quarterback Matt Schaub.  Oakland would close out the half with Janikowski's 33-yard field goal.  In the third quarter, Houston would continue its domination with rookie linebacker Brian Cushing tackling Raiders running back Justin Fargas in his own endzone for a safety, immediately followed by wide receiver Jacoby Jones returning a kickoff 95 yards for a touchdown. How many yards longer was the second field goal than the first?","**Reformatted Question:** Hoping to rebound from their divisional loss to the Jaguars, the Texans stayed at home for a Week 4 duel with the Oakland Raiders.  Houston delivered the opening shot of the first quarter with <fact1>kicker Kris Brown's 26-yard field goal</fact1>, followed by the Raiders tying the game with a 46-yard field goal from kicker Sebastian Janikowski.  The Texans would take full command in the second quarter as <fact2>Brown nailed a 34-yard field goal</fact2>, followed by running back Steve Slaton getting a 32-yard touchdown run and catching an 18-yard touchdown pass from quarterback Matt Schaub.  Oakland would close out the half with Janikowski's 33-yard field goal.  In the third quarter, Houston would continue its domination with rookie linebacker Brian Cushing tackling Raiders running back Justin Fargas in his own endzone for a safety, immediately followed by wide receiver Jacoby Jones returning a kickoff 95 yards for a touchdown. How many yards longer was the second field goal than the first?


**Answer:** According to the passage, <fact1>Brown's first field goal was 26 yards</fact1> and <fact2>his second was 34 yards</fact2>.  <fact2>34</fact2> - <fact1>26</fact1> = 8. So the answer is {8}.
",20
history_1665_d6089739-9950-4c32-86a2-d64fbef8cbdf,"In January 1918, Romanian forces established control over Bessarabia as the Russian Army abandoned the province. Although a treaty was signed by the Romanian and Bolshevik Russian governments following talks between 5 and 9 March 1918 on the withdrawal of Romanian forces from Bessarabia within two months, on 27 March 1918 Romania formally attached Bessarabia to its territory, based on a resolution passed by the local assembly of that territory on its unification with Romania. Romania officially made peace with the Central Powers by signing the Treaty of Bucharest on 7 May 1918. Under the treaty, Romania was obliged to end the war with the Central Powers and make small territorial concessions to Austria-Hungary, ceding control of some passes in the Carpathian Mountains, and to grant oil concessions to Germany. In exchange, the Central Powers recognised the sovereignty of Romania over Bessarabia. The treaty was renounced in October 1918 by the Alexandru Marghiloman government, and Romania nominally re-entered the war on 10 November 1918. The next day, the Treaty of Bucharest was nullified by the terms of the Armistice of Compiègne. Total Romanian deaths from 1914 to 1918, military and civilian, within contemporary borders, were estimated at 748,000. How many days did the talks between Russians and Romanians last?","Reformatted Question: In January 1918, Romanian forces established control over Bessarabia as the Russian Army abandoned the province. Although a treaty was signed by the Romanian and Bolshevik Russian governments following <fact1>talks between 5 and 9 March 1918</fact1> on the withdrawal of Romanian forces from Bessarabia within two months, on 27 March 1918 Romania formally attached Bessarabia to its territory, based on a resolution passed by the local assembly of that territory on its unification with Romania. Romania officially made peace with the Central Powers by signing the Treaty of Bucharest on 7 May 1918. Under the treaty, Romania was obliged to end the war with the Central Powers and make small territorial concessions to Austria-Hungary, ceding control of some passes in the Carpathian Mountains, and to grant oil concessions to Germany. In exchange, the Central Powers recognised the sovereignty of Romania over Bessarabia. The treaty was renounced in October 1918 by the Alexandru Marghiloman government, and Romania nominally re-entered the war on 10 November 1918. The next day, the Treaty of Bucharest was nullified by the terms of the Armistice of Compiègne. Total Romanian deaths from 1914 to 1918, military and civilian, within contemporary borders, were estimated at 748,000. How many days did the talks between Russians and Romanians last?

Answer: The passage states that talks occurred <fact1>between 5 and 9 March 1918</fact1>.  That means the talks lasted 9 - 5 = 4 days.  However, since both the 5th and the 9th are included, we must add 1 to this result. Therefore, the talks lasted 4 + 1 = 5 days. So the answer is {5}.
",4
nfl_1829_b42a61fe-1d34-48dd-9806-4f552248f6ef," Hoping to rebound from their season-opening loss to the Jaguars, the Broncos played on home ground for an interconference duel with the Seattle Seahawks. In the first quarter, the Broncos took the early lead, as quarterback Kyle Orton completed a 13-yard touchdown pass to wide receiver Eddie Royal, followed in the second quarter by a 1-yard touchdown run from running back Correll Buckhalter and a 20-yard field goal by placekicker Matt Prater. The Seahawks got on the board in the third quarter, when quarterback Matt Hasselbeck completed an 11-yard touchdown pass to wide receiver Ben Obomanu, but the Broncos replied with a 1-yard touchdown run from running back Knowshon Moreno. The Broncos increased their lead in the fourth quarter, when Orton threw a 21-yard touchdown pass to wide receiver Demaryius Thomas. The Seahawks replied, with Hasselbeck scrambling 20 yards for a touchdown, but the Broncos' lead was too much for Seattle to overcome. How many total yards of rushing touchdowns were scored?","Reformatted Question: Hoping to rebound from their season-opening loss to the Jaguars, the Broncos played on home ground for an interconference duel with the Seattle Seahawks. In the first quarter, the Broncos took the early lead, as quarterback Kyle Orton completed a 13-yard touchdown pass to wide receiver Eddie Royal, followed in the second quarter by a <fact1>1-yard touchdown run from running back Correll Buckhalter</fact1> and a 20-yard field goal by placekicker Matt Prater. The Seahawks got on the board in the third quarter, when quarterback Matt Hasselbeck completed an 11-yard touchdown pass to wide receiver Ben Obomanu, but the Broncos replied with a <fact2>1-yard touchdown run from running back Knowshon Moreno</fact2>. The Broncos increased their lead in the fourth quarter, when Orton threw a 21-yard touchdown pass to wide receiver Demaryius Thomas. The Seahawks replied, with Hasselbeck scrambling 20 yards for a touchdown, but the Broncos' lead was too much for Seattle to overcome. How many total yards of rushing touchdowns were scored?

Answer: According to the passage, Correll Buckhalter had a <fact1>1-yard touchdown run</fact1>, and Knowshon Moreno had a <fact2>1-yard touchdown run</fact2>.  <fact1>1</fact1> + <fact2>1</fact2> = 2. So the answer is {2}.
",22
history_2151_e2514a1c-07d1-49dc-b987-0dd832b5bd52,"In the county, the population was spread out with 26.20% under the age of 18, 9.30% from 18 to 24, 26.50% from 25 to 44, 23.50% from 45 to 64, and 14.60% who were 65 years of age or older.  The median age was 37 years. For every 100 females there were 95.90 males.  For every 100 females age 18 and over, there were 92.50 males. How many more people, in terms of percentage, were in the 2nd and 3rd largest age groups combined compared to the largest?","**Reformatted Question:** In the county, the population was spread out with <fact1>26.20% under the age of 18</fact1>, <fact2>9.30% from 18 to 24</fact2>, <fact3>26.50% from 25 to 44</fact3>, <fact4>23.50% from 45 to 64</fact4>, and <fact5>14.60% who were 65 years of age or older</fact5>.  The median age was 37 years. For every 100 females there were 95.90 males.  For every 100 females age 18 and over, there were 92.50 males. How many more people, in terms of percentage, were in the 2nd and 3rd largest age groups combined compared to the largest?

**Answer:**

1. **Identify the largest group:**  <fact1>The largest age group is under 18, representing 26.20% of the population.</fact1>

2. **Identify the 2nd and 3rd largest groups:** The next largest groups are <fact3>25 to 44 (26.50%)</fact3> and <fact4>45 to 64 (23.50%)</fact4>.

3. **Combine the 2nd and 3rd largest groups:** <fact3>26.50%</fact3> + <fact4>23.50%</fact4> = 50%

4. **Calculate the difference:** 50% - <fact1>26.20%</fact1> = 23.8%

So the answer is {23.8}.
",23.2
nfl_1962_0ad88258-9b24-4733-bb73-1e32d639bec6," Coming off their home win over the Vikings, the Saints flew to Candlestick Park for a Week 2 Monday Night duel with the San Francisco 49ers.  New Orleans would deliver the opening punch in the first quarter as 49ers center David Baas' high snap deep within San Francisco territory went out of the back of the endzone for a safety.  The Saints would add onto their lead as quarterback Drew Brees hooked up with running back Reggie Bush on a 6-yard touchdown pass.  The 49ers would answer in the second quarter as quarterback Alex Smith found running back Frank Gore on a 12-yard touchdown pass. San Francisco would take the lead with running back Anthony Dixon's 2-yard touchdown run, yet New Orleans would respond with Brees' 3-yard touchdown pass to tight end David Thomas.  The Saints would add onto their lead in the fourth quarter as kicker Garrett Hartley made a 46-yard and a 19-yard field goal.  The 49ers would strike back as Gore got a 7-yard touchdown run, followed by Smith's 2-point conversion pass to tight end Vernon Davis.  In the end, New Orleans got the last laugh as Hartley booted the game-ending 37-yard field goal. How many field goals did Garrett Hartley kick in the fourth quarter?","**Reformatted Question:** Coming off their home win over the Vikings, the Saints flew to Candlestick Park for a Week 2 Monday Night duel with the San Francisco 49ers.  New Orleans would deliver the opening punch in the first quarter as 49ers center David Baas' high snap deep within San Francisco territory went out of the back of the endzone for a safety.  The Saints would add onto their lead as quarterback Drew Brees hooked up with running back Reggie Bush on a 6-yard touchdown pass.  The 49ers would answer in the second quarter as quarterback Alex Smith found running back Frank Gore on a 12-yard touchdown pass. San Francisco would take the lead with running back Anthony Dixon's 2-yard touchdown run, yet New Orleans would respond with Brees' 3-yard touchdown pass to tight end David Thomas.  <fact1>The Saints would add onto their lead in the fourth quarter as kicker Garrett Hartley made a 46-yard and a 19-yard field goal.</fact1>  The 49ers would strike back as Gore got a 7-yard touchdown run, followed by Smith's 2-point conversion pass to tight end Vernon Davis.  In the end, New Orleans got the last laugh as Hartley booted the game-ending 37-yard field goal. How many field goals did Garrett Hartley kick in the fourth quarter?


**Answer:** The passage states that <fact1>in the fourth quarter, Garrett Hartley kicked a 46-yard and a 19-yard field goal</fact1>. This means he kicked two field goals in the fourth quarter. So the answer is {2}.
",3
