id,question,answer
216,"<fact1>5 horses are in a race</fact1>. <fact2>Mr.Jain selects two of horses at random</fact2> and bets on them. The probability that he selected the winning horse is # Answer option: ['A)1/5', 'B)2/5', 'C)3/5', 'D)4/5', 'E)6/5']","To solve this problem, we need to determine the probability that Mr. Jain selects the winning horse when he randomly selects two horses out of the five in the race.

1. **Total number of ways to select two horses from five:**
   The number of ways to choose 2 horses out of 5 is given by the combination formula \( \binom{n}{r} \), where \( n \) is the total number of items to choose from, and \( r \) is the number of items to choose. So, we have:
   \[
   \binom{5}{2} = \frac{5 \times 4}{2 \times 1} = 10
   \]
   There are 10 possible pairs of horses that Mr. Jain can select.

2. **Number of favorable outcomes:**
   For Mr. Jain to have selected the winning horse, the winning horse must be one of the two horses he selects. There are 5 horses, and only 1 of them is the winning horse. Once the winning horse is selected, Mr. Jain can choose any of the remaining 4 horses to complete his pair. Thus, there are 4 favorable outcomes (one for each of the other horses paired with the winning horse).

3. **Probability calculation:**
   The probability that Mr. Jain selects the winning horse is the number of favorable outcomes divided by the total number of possible outcomes:
   \[
   \text{Probability} = \frac{\text{Number of favorable outcomes}}{\text{Total number of outcomes}} = \frac{4}{10} = \frac{2}{5}
   \]

Therefore, the probability that Mr. Jain selected the winning horse is \(\frac{2}{5}\).

Final answer: {B}"
98,"Silu and Meenu were walking on the road. Silu said, ""I weigh 51 Kgs. How much do you weigh?"" Meenu replied that she wouldn't reveal her weight directly as she is overweight. But she said, ""<fact1>I weigh 29 Kgs plus half of my weight</fact1>."" How much does Meenu weigh? # Answer option: ['A)12', 'B)28', 'C)27', 'D)58', 'E)91']","To solve the problem, we need to determine Meenu's weight based on the information she provided. Let's break it down step by step:

1. Meenu said, ""I weigh 29 Kgs plus half of my weight."" Let's denote Meenu's weight as \( W \).

2. According to Meenu's statement, we can set up the equation:
   \[
   W = 29 + \frac{1}{2}W
   \]

3. To solve for \( W \), we first need to eliminate the fraction. We can do this by multiplying every term in the equation by 2 to get rid of the fraction:
   \[
   2W = 58 + W
   \]

4. Next, we subtract \( W \) from both sides to isolate \( W \) on one side of the equation:
   \[
   2W - W = 58
   \]

5. Simplifying the left side gives:
   \[
   W = 58
   \]

Therefore, Meenu weighs 58 Kgs. 

The correct answer is option D.

Final answer: {D}"
194,"Three bells ring at intervals of <fact1>36 seconds</fact1>, <fact2>40 seconds</fact2> and <fact3>48 seconds</fact3>, respectively. They start ringing together at a particular time. When they will ring together again? # Answer option: ['A)After 6 minutes', 'B)After 12 minutes', 'C)After 18 minutes', 'D)After 24 minutes', 'E)none']","To determine when the three bells will ring together again, we need to find the least common multiple (LCM) of the intervals at which they ring. The intervals are 36 seconds, 40 seconds, and 48 seconds.

**Step 1: Prime Factorization**

- 36 can be factored into prime numbers as:  
  \(36 = 2^2 \times 3^2\)

- 40 can be factored into prime numbers as:  
  \(40 = 2^3 \times 5\)

- 48 can be factored into prime numbers as:  
  \(48 = 2^4 \times 3\)

**Step 2: Determine the LCM**

To find the LCM, take the highest power of each prime number that appears in the factorizations:

- The highest power of 2 is \(2^4\).
- The highest power of 3 is \(3^2\).
- The highest power of 5 is \(5^1\).

Thus, the LCM is:
\[ LCM = 2^4 \times 3^2 \times 5^1 \]

**Step 3: Calculate the LCM**

\[ LCM = 16 \times 9 \times 5 \]

First, calculate \(16 \times 9\):
\[ 16 \times 9 = 144 \]

Then, multiply the result by 5:
\[ 144 \times 5 = 720 \]

So, the LCM of 36, 40, and 48 is 720 seconds.

**Step 4: Convert Seconds to Minutes**

Since 1 minute = 60 seconds, convert 720 seconds to minutes:
\[ 720 \div 60 = 12 \]

Therefore, the three bells will ring together again after 12 minutes.

Final answer: {B}"
227,"A box contains a certain number of balls, marked successively from 1 to n. If there are <fact1>45 different ways that two balls can be selected from the box such that the ball with number 3 marked on it is not selected</fact1>, then what is the value of n? # Answer option: ['A)11', 'B)10', 'C)9', 'D)8', 'E)7']","To solve this problem, we need to determine the value of \( n \) such that there are 45 different ways to select two balls from a box of \( n \) balls, excluding the ball marked with the number 3.

First, let's calculate the total number of ways to select 2 balls from \( n \) balls. This is given by the combination formula:

\[
\binom{n}{2} = \frac{n(n-1)}{2}
\]

However, we are given that the ball marked with the number 3 is not selected. This means we are selecting 2 balls from the remaining \( n-1 \) balls (since we exclude the ball marked with 3).

The number of ways to select 2 balls from \( n-1 \) balls is:

\[
\binom{n-1}{2} = \frac{(n-1)(n-2)}{2}
\]

According to the problem, this number is equal to 45:

\[
\frac{(n-1)(n-2)}{2} = 45
\]

To find \( n \), we solve the equation:

\[
(n-1)(n-2) = 90
\]

Expanding the left side, we have:

\[
n^2 - 3n + 2 = 90
\]

Rearranging gives:

\[
n^2 - 3n - 88 = 0
\]

This is a quadratic equation, which we can solve using the quadratic formula:

\[
n = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a}
\]

where \( a = 1 \), \( b = -3 \), and \( c = -88 \). Plugging in these values:

\[
n = \frac{-(-3) \pm \sqrt{(-3)^2 - 4 \cdot 1 \cdot (-88)}}{2 \cdot 1}
\]

\[
n = \frac{3 \pm \sqrt{9 + 352}}{2}
\]

\[
n = \frac{3 \pm \sqrt{361}}{2}
\]

\[
n = \frac{3 \pm 19}{2}
\]

This gives two possible solutions:

\[
n = \frac{3 + 19}{2} = 11
\]

\[
n = \frac{3 - 19}{2} = -8
\]

Since \( n \) must be a positive integer, we have \( n = 11 \).

Thus, the value of \( n \) is 11. Therefore, the final answer is:

\[
\text{Final answer:} \{A\}
\]"
107,"<fact1>x men working x hours per day</fact1> can do <fact2>x units of a work in x days</fact2>. How much work can be completed by <fact3>y men working y hours per day in y days</fact3>? # Answer option: ['A)x2/y2 units', 'B)y3/x2 units', 'C)x3/y2 units', 'D)y2/x2 units', 'E)None of these']","To solve this problem, we need to understand the relationship between the number of men, the number of hours they work per day, the number of days they work, and the amount of work completed.

Given:
- \( x \) men working \( x \) hours per day can complete \( x \) units of work in \( x \) days.

From this, we can determine the total amount of work done in terms of man-hours:
- Total man-hours required to complete \( x \) units of work = \( x \) men \(\times\) \( x \) hours/day \(\times\) \( x \) days = \( x^3 \) man-hours.

This means \( x^3 \) man-hours are needed to complete \( x \) units of work. Therefore, the work done per man-hour is:
- Work per man-hour = \( \frac{x}{x^3} = \frac{1}{x^2} \) units of work per man-hour.

Now, we need to find out how much work \( y \) men working \( y \) hours per day can complete in \( y \) days.

Calculate the total man-hours available with \( y \) men:
- Total man-hours = \( y \) men \(\times\) \( y \) hours/day \(\times\) \( y \) days = \( y^3 \) man-hours.

Since each man-hour can complete \( \frac{1}{x^2} \) units of work, the total work completed by \( y^3 \) man-hours is:
- Total work = \( y^3 \) man-hours \(\times\) \( \frac{1}{x^2} \) units/man-hour = \( \frac{y^3}{x^2} \) units.

Thus, the amount of work that can be completed by \( y \) men working \( y \) hours per day in \( y \) days is \( \frac{y^3}{x^2} \) units.

Therefore, the correct answer is option B.

Final answer: {B}"
10,"A company produces <fact1>420 units of a particular computer component every month</fact1>, at a <fact2>production cost to the company of $110 per component</fact2>, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the <fact3>yearly profit (revenue from sales minus production costs) will be at least $626,400</fact3>? # Answer option: ['A)226', 'B)230', 'C)240', 'D)260', 'E)280']","To determine the minimum selling price per component that will guarantee a yearly profit of at least $626,400, we need to follow these steps:

1. **Calculate the Total Yearly Production Cost:**
   - The company produces 420 units per month.
   - The production cost per component is $110.
   - Therefore, the monthly production cost is \( 420 \times 110 = 46,200 \) dollars.
   - The yearly production cost is \( 46,200 \times 12 = 554,400 \) dollars.

2. **Determine the Required Yearly Revenue:**
   - The yearly profit must be at least $626,400.
   - Profit is calculated as Revenue - Production Costs.
   - Therefore, the required yearly revenue is \( 626,400 + 554,400 = 1,080,800 \) dollars.

3. **Calculate the Required Monthly Revenue:**
   - Since the company sells all components produced each month, the monthly revenue must be \( \frac{1,080,800}{12} = 90,066.67 \) dollars.

4. **Determine the Minimum Selling Price per Component:**
   - The company sells 420 components each month.
   - To achieve the required monthly revenue, the selling price per component must be \( \frac{90,066.67}{420} \approx 214.44 \) dollars.

5. **Select the Minimum Selling Price from the Options:**
   - The options provided are: A) 226, B) 230, C) 240, D) 260, E) 280.
   - The minimum selling price that is greater than or equal to $214.44 is $226.

Therefore, the minimum selling price per component that will guarantee the required yearly profit is option A) 226.

Final answer: {A}"
66,"<fact1>One gram of a certain health food contains 9 percent of the minimum daily requirement of vitamin E</fact1> and <fact2>8 percent of the minimum daily requirement of vitamin A</fact2>. If vitamins E and A are to be obtained from no other source, how many grams of the health food must be eaten daily to provide at least the minimum daily requirement of both vitamins? # Answer option: ['A)8.5', 'B)10.5', 'C)12.5', 'D)14.5', 'E)16.5']","To solve this problem, we need to determine how many grams of the health food are required to meet at least 100% of the minimum daily requirement for both vitamin E and vitamin A.

Let's break it down step by step:

1. **Vitamin E Requirement:**
   - Each gram of the health food provides 9% of the minimum daily requirement of vitamin E.
   - To find out how many grams are needed to meet 100% of the requirement, we set up the equation:
     \[
     9\% \times \text{grams} = 100\%
     \]
   - Solving for grams:
     \[
     \text{grams} = \frac{100\%}{9\%} = \frac{100}{9} \approx 11.11
     \]

2. **Vitamin A Requirement:**
   - Each gram of the health food provides 8% of the minimum daily requirement of vitamin A.
   - To find out how many grams are needed to meet 100% of the requirement, we set up the equation:
     \[
     8\% \times \text{grams} = 100\%
     \]
   - Solving for grams:
     \[
     \text{grams} = \frac{100\%}{8\%} = \frac{100}{8} = 12.5
     \]

3. **Determine the Maximum Requirement:**
   - To satisfy both vitamin requirements, we need to take the maximum of the two calculated values because we need to meet at least 100% of both vitamins.
   - The maximum of 11.11 grams (for vitamin E) and 12.5 grams (for vitamin A) is 12.5 grams.

Therefore, to meet at least the minimum daily requirement for both vitamins, one must consume at least 12.5 grams of the health food.

Final answer: {C}"
130,"A man <fact1>walks at 5 kmph for 6 hrs</fact1> and <fact2>at 4 kmph for 12 hrs</fact2>. His average speed is
# Answer option: ['A)4 1/3 km/h', 'B)7 2/3 km/h', 'C)9 ½ km/h', 'D)8 km/h', 'E)81 km/h']","To find the average speed, we need to calculate the total distance traveled and the total time taken, and then use the formula for average speed:

\[ \text{Average Speed} = \frac{\text{Total Distance}}{\text{Total Time}} \]

**Step 1: Calculate the total distance traveled.**

- For the first part of the journey, the man walks at 5 km/h for 6 hours.
  \[
  \text{Distance}_1 = \text{Speed} \times \text{Time} = 5 \, \text{km/h} \times 6 \, \text{h} = 30 \, \text{km}
  \]

- For the second part of the journey, the man walks at 4 km/h for 12 hours.
  \[
  \text{Distance}_2 = \text{Speed} \times \text{Time} = 4 \, \text{km/h} \times 12 \, \text{h} = 48 \, \text{km}
  \]

- Total distance traveled:
  \[
  \text{Total Distance} = \text{Distance}_1 + \text{Distance}_2 = 30 \, \text{km} + 48 \, \text{km} = 78 \, \text{km}
  \]

**Step 2: Calculate the total time taken.**

- Total time is the sum of the time for both parts of the journey:
  \[
  \text{Total Time} = 6 \, \text{h} + 12 \, \text{h} = 18 \, \text{h}
  \]

**Step 3: Calculate the average speed.**

- Using the formula for average speed:
  \[
  \text{Average Speed} = \frac{\text{Total Distance}}{\text{Total Time}} = \frac{78 \, \text{km}}{18 \, \text{h}} = 4.3333 \, \text{km/h}
  \]

- In fractional form, 4.3333 km/h is equivalent to \(4 \frac{1}{3}\) km/h.

Therefore, the average speed of the man is \(4 \frac{1}{3}\) km/h.

Final answer: {A}"
124,"If a man <fact1>rows at the rate of 4 kmph in still water</fact1> and his <fact2>rate against the current is 2 kmph</fact2>, then the man's rate along the current is:
# Answer option: ['A)15 kmph', 'B)6 kmph', 'C)12 kmph', 'D)14 kmph', 'E)6 kmph']","To solve this problem, we need to determine the man's rate along the current, given his rate in still water and his rate against the current.

Let's define the variables:
- \( v_m \) = man's rate in still water = 4 kmph (from fact1)
- \( v_c \) = rate of the current
- \( v_{against} \) = man's rate against the current = 2 kmph (from fact2)
- \( v_{along} \) = man's rate along the current

We know the following relationships:
1. When rowing against the current, the effective speed is reduced by the speed of the current: 
   \[
   v_{against} = v_m - v_c
   \]
   Substituting the known values:
   \[
   2 = 4 - v_c
   \]
   Solving for \( v_c \):
   \[
   v_c = 4 - 2 = 2 \text{ kmph}
   \]

2. When rowing along the current, the effective speed is increased by the speed of the current:
   \[
   v_{along} = v_m + v_c
   \]
   Substituting the known values:
   \[
   v_{along} = 4 + 2 = 6 \text{ kmph}
   \]

Therefore, the man's rate along the current is 6 kmph.

Final answer: {B}"
103,"At what price should the Karan mark a sewing machine that <fact1>costs him Rs. 1200/-</fact1> so that even after <fact2>offering a 20% discount</fact2>, he <fact3>makes 20% profit</fact3>? # Answer option: ['A)1,879', 'B)1,875', 'C)1,876', 'D)1,872', 'E)1,800']","To solve this problem, we need to determine the marked price of the sewing machine such that after offering a 20% discount, Karan still makes a 20% profit on the cost price.

Let's break down the problem step by step:

1. **Determine the Selling Price for 20% Profit:**
   - The cost price of the sewing machine is Rs. 1200.
   - Karan wants to make a 20% profit on the cost price.
   - Profit = 20% of Rs. 1200 = 0.20 * 1200 = Rs. 240.
   - Therefore, the selling price (SP) should be Cost Price + Profit = 1200 + 240 = Rs. 1440.

2. **Determine the Marked Price for a 20% Discount:**
   - Let the marked price be \( M \).
   - Karan offers a 20% discount on the marked price.
   - The selling price after the discount is 80% of the marked price (since 100% - 20% = 80%).
   - Therefore, 0.80 * M = Rs. 1440.

3. **Solve for the Marked Price:**
   - To find the marked price \( M \), we solve the equation:
     \[
     0.80 \times M = 1440
     \]
   - Divide both sides by 0.80 to solve for \( M \):
     \[
     M = \frac{1440}{0.80} = 1800
     \]

Thus, the marked price should be Rs. 1800.

Final answer: {E}"
