id,question,answer
216,"5 horses are in a race. Mr.Jain selects two of horses at random and bets on them. The probability that he selected the winning horse is
# Answer option: ['A)1/5', 'B)2/5', 'C)3/5', 'D)4/5', 'E)6/5']","To solve this problem, we need to determine the probability that Mr. Jain selects the winning horse when he randomly selects two horses out of the five.

1. **Total number of ways to select two horses from five:**
   The number of ways to choose 2 horses out of 5 is given by the combination formula \( \binom{n}{r} \), where \( n \) is the total number of items to choose from, and \( r \) is the number of items to choose. So, we have:
   \[
   \binom{5}{2} = \frac{5 \times 4}{2 \times 1} = 10
   \]

2. **Number of favorable outcomes:**
   For Mr. Jain to have selected the winning horse, the winning horse must be one of the two horses he selects. There is only 1 winning horse in the race. Once the winning horse is selected, Mr. Jain can choose any of the remaining 4 horses to complete his selection of two horses. Therefore, the number of favorable outcomes is the number of ways to choose 1 horse from the remaining 4 horses:
   \[
   \binom{4}{1} = 4
   \]

3. **Probability calculation:**
   The probability that Mr. Jain selects the winning horse is the number of favorable outcomes divided by the total number of outcomes:
   \[
   \text{Probability} = \frac{\text{Number of favorable outcomes}}{\text{Total number of outcomes}} = \frac{4}{10} = \frac{2}{5}
   \]

Thus, the probability that Mr. Jain selected the winning horse is \(\frac{2}{5}\).

Final answer: {B}"
98,"Silu and Meenu were walking on the road.
Silu said, ""I weigh 51 Kgs. How much do you weigh?""
Meenu replied that she wouldn't reveal her weight directly as she is overweight.
But she said, ""I weigh 29 Kgs plus half of my weight. ""How much does Meenu weigh?
# Answer option: ['A)12', 'B)28', 'C)27', 'D)58', 'E)91']","To solve the problem, we need to determine Meenu's weight based on the information she provided.

Meenu said, ""I weigh 29 Kgs plus half of my weight."" Let's denote Meenu's weight as \( x \).

According to her statement, we can set up the equation:
\[ x = 29 + \frac{x}{2} \]

To solve for \( x \), we first eliminate the fraction by multiplying the entire equation by 2:
\[ 2x = 58 + x \]

Next, we subtract \( x \) from both sides to isolate \( x \) on one side of the equation:
\[ 2x - x = 58 \]
\[ x = 58 \]

Therefore, Meenu weighs 58 Kgs.

Now, let's verify the answer with the given options:
- A) 12
- B) 28
- C) 27
- D) 58
- E) 91

The correct answer is option D) 58.

Final answer: {D}"
194,"Three bells ring at intervals of 36 seconds, 40 seconds and 48 seconds, respectively. They start ringing together at a particular time. When they will ring together again?
# Answer option: ['A)After 6 minutes', 'B)After 12 minutes', 'C)After 18 minutes', 'D)After 24 minutes', 'E)none']","To determine when the three bells will ring together again, we need to find the least common multiple (LCM) of their ringing intervals: 36 seconds, 40 seconds, and 48 seconds.

**Step 1: Prime Factorization**
- 36 = 2^2 * 3^2
- 40 = 2^3 * 5
- 48 = 2^4 * 3

**Step 2: Determine the LCM**
The LCM is found by taking the highest power of each prime number that appears in the factorizations:

- The highest power of 2 is 2^4 (from 48).
- The highest power of 3 is 3^2 (from 36).
- The highest power of 5 is 5 (from 40).

Thus, the LCM = 2^4 * 3^2 * 5.

**Step 3: Calculate the LCM**
- 2^4 = 16
- 3^2 = 9
- 5 = 5

Now, multiply these together:
- 16 * 9 = 144
- 144 * 5 = 720

The LCM of 36, 40, and 48 is 720 seconds.

**Step 4: Convert Seconds to Minutes**
720 seconds is equal to 720 / 60 = 12 minutes.

Therefore, the three bells will ring together again after 12 minutes.

Final answer: {B}"
227,"A box contains a certain number of balls, marked successively from 1 to n. If there are 45 different ways that two balls can be selected from the box such that the ball with number 3 marked on it is not selected, then what is the value of n?
# Answer option: ['A)11', 'B)10', 'C)9', 'D)8', 'E)7']","To solve this problem, we need to determine the total number of balls, \( n \), in the box such that there are 45 different ways to select two balls without selecting the ball marked with the number 3.

First, let's consider the total number of balls, \( n \). If we exclude the ball marked with the number 3, we have \( n - 1 \) balls remaining.

The number of ways to choose 2 balls from \( n - 1 \) balls is given by the combination formula:

\[
\binom{n-1}{2} = \frac{(n-1)(n-2)}{2}
\]

We are given that this number of combinations is 45:

\[
\frac{(n-1)(n-2)}{2} = 45
\]

To solve for \( n \), we first multiply both sides by 2 to eliminate the fraction:

\[
(n-1)(n-2) = 90
\]

Next, we expand the left side:

\[
n^2 - 3n + 2 = 90
\]

Subtract 90 from both sides to set the equation to zero:

\[
n^2 - 3n + 2 - 90 = 0
\]

\[
n^2 - 3n - 88 = 0
\]

Now, we solve this quadratic equation using the quadratic formula, where \( a = 1 \), \( b = -3 \), and \( c = -88 \):

\[
n = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a}
\]

\[
n = \frac{-(-3) \pm \sqrt{(-3)^2 - 4 \cdot 1 \cdot (-88)}}{2 \cdot 1}
\]

\[
n = \frac{3 \pm \sqrt{9 + 352}}{2}
\]

\[
n = \frac{3 \pm \sqrt{361}}{2}
\]

\[
n = \frac{3 \pm 19}{2}
\]

This gives us two potential solutions for \( n \):

\[
n = \frac{3 + 19}{2} = 11
\]

\[
n = \frac{3 - 19}{2} = -8
\]

Since \( n \) must be a positive integer, we discard \( n = -8 \) and accept \( n = 11 \).

Thus, the value of \( n \) is 11.

Final answer: {A}"
107,"x men working x hours per day can do x units of a work in x days. How much work can be completed by y men working y hours per day in y days?
# Answer option: ['A)x2/y2 units', 'B)y3/x2 units', 'C)x3/y2 units', 'D)y2/x2 units', 'E)None of these']","To solve this problem, we need to understand the relationship between the number of men, the number of hours they work per day, the number of days they work, and the amount of work they can complete.

Given:
- \( x \) men working \( x \) hours per day can complete \( x \) units of work in \( x \) days.

From this, we can deduce the total amount of work done in terms of man-hours:
- Total man-hours required to complete \( x \) units of work = \( x \) men \(\times\) \( x \) hours/day \(\times\) \( x \) days = \( x^3 \) man-hours.

Now, we need to find out how much work \( y \) men working \( y \) hours per day can complete in \( y \) days.

The total man-hours available with \( y \) men working \( y \) hours per day for \( y \) days is:
- Total man-hours available = \( y \) men \(\times\) \( y \) hours/day \(\times\) \( y \) days = \( y^3 \) man-hours.

Since \( x^3 \) man-hours are required to complete \( x \) units of work, the amount of work that can be completed with \( y^3 \) man-hours is proportional to the ratio of \( y^3 \) to \( x^3 \).

The work completed by \( y \) men in \( y \) days working \( y \) hours per day is:
- Work completed = \( x \) units \(\times\) \(\frac{y^3}{x^3}\).

Now, let's simplify this expression:
- Work completed = \(\frac{y^3}{x^3} \times x = \frac{y^3 \times x}{x^3} = \frac{y^3}{x^2}\).

Thus, the amount of work that can be completed by \( y \) men working \( y \) hours per day in \( y \) days is \(\frac{y^3}{x^2}\) units.

Therefore, the correct answer is option B.

Final answer: {B}"
10,"A company produces 420 units of a particular computer component every month, at a production cost to the company of $110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $626,400 ?
# Answer option: ['A)226', 'B)230', 'C)240', 'D)260', 'E)280']","To solve this problem, we need to determine the minimum selling price per component that will ensure a yearly profit of at least $626,400.

1. **Calculate the Total Yearly Production Cost:**
   - The company produces 420 units per month.
   - The production cost per component is $110.
   - Total production cost per month = 420 units * $110/unit = $46,200.
   - Total production cost per year = $46,200/month * 12 months = $554,400.

2. **Determine the Required Yearly Revenue:**
   - The desired yearly profit is $626,400.
   - Yearly profit = Yearly revenue - Yearly production cost.
   - Therefore, Yearly revenue = Yearly profit + Yearly production cost.
   - Yearly revenue = $626,400 + $554,400 = $1,080,800.

3. **Calculate the Minimum Selling Price per Component:**
   - The company sells 420 units per month, so in a year, it sells 420 units/month * 12 months = 5,040 units.
   - To find the minimum selling price per component, divide the required yearly revenue by the total number of units sold in a year.
   - Minimum selling price per component = $1,080,800 / 5,040 units = $214.68.

4. **Choose the Minimum Selling Price from the Options:**
   - The minimum selling price must be at least $214.68 to achieve the desired profit.
   - From the given options, the smallest price that is greater than or equal to $214.68 is $226.

Therefore, the minimum selling price per component that will guarantee the yearly profit is at least $626,400 is $226.

Final answer: {A}"
66,"One gram of a certain health food contains 9 percent of the minimum daily requirement of vitamin E and 8 percent of the minimum daily requirement of vitamin A. If vitamins E and A are to be obtained from no other source, how many grams of the health food must be eaten daily to provide at least the minimum daily requirement of both vitamins?
# Answer option: ['A)8.5', 'B)10.5', 'C)12.5', 'D)14.5', 'E)16.5']","To solve this problem, we need to determine how many grams of the health food are required to meet at least 100% of the minimum daily requirement for both vitamin E and vitamin A.

1. **Vitamin E Requirement:**
   - Each gram of the health food provides 9% of the daily requirement of vitamin E.
   - To find out how many grams are needed to meet 100% of the requirement, we set up the equation:
     \[
     9\% \times \text{grams} = 100\%
     \]
   - Solving for grams:
     \[
     \text{grams} = \frac{100\%}{9\%} = \frac{100}{9} \approx 11.11
     \]

2. **Vitamin A Requirement:**
   - Each gram of the health food provides 8% of the daily requirement of vitamin A.
   - To find out how many grams are needed to meet 100% of the requirement, we set up the equation:
     \[
     8\% \times \text{grams} = 100\%
     \]
   - Solving for grams:
     \[
     \text{grams} = \frac{100\%}{8\%} = \frac{100}{8} = 12.5
     \]

3. **Determine the Maximum Requirement:**
   - To satisfy both vitamin requirements, we need to take the maximum of the two calculated values because we need to meet at least 100% of both vitamins.
   - The maximum of 11.11 grams (for vitamin E) and 12.5 grams (for vitamin A) is 12.5 grams.

Therefore, to meet at least the minimum daily requirement of both vitamins, one must consume at least 12.5 grams of the health food daily.

Final answer: {C}"
130,"A man walks at 5 kmph for 6 hrs and at 4 kmph for 12 hrs. His average speed is
# Answer option: ['A)4 1/3 km/h', 'B)7 2/3 km/h', 'C)9 ½ km/h', 'D)8 km/h', 'E)81 km/h']","To find the average speed, we need to calculate the total distance traveled and the total time taken, and then divide the total distance by the total time.

1. **Calculate the total distance:**
   - Distance traveled at 5 km/h for 6 hours:
     \[
     \text{Distance} = \text{Speed} \times \text{Time} = 5 \, \text{km/h} \times 6 \, \text{h} = 30 \, \text{km}
     \]
   - Distance traveled at 4 km/h for 12 hours:
     \[
     \text{Distance} = \text{Speed} \times \text{Time} = 4 \, \text{km/h} \times 12 \, \text{h} = 48 \, \text{km}
     \]

2. **Calculate the total distance:**
   \[
   \text{Total Distance} = 30 \, \text{km} + 48 \, \text{km} = 78 \, \text{km}
   \]

3. **Calculate the total time:**
   \[
   \text{Total Time} = 6 \, \text{h} + 12 \, \text{h} = 18 \, \text{h}
   \]

4. **Calculate the average speed:**
   \[
   \text{Average Speed} = \frac{\text{Total Distance}}{\text{Total Time}} = \frac{78 \, \text{km}}{18 \, \text{h}} = 4.3333 \, \text{km/h}
   \]

5. **Convert the average speed to a fraction:**
   \[
   4.3333 \, \text{km/h} = 4 \frac{1}{3} \, \text{km/h}
   \]

Therefore, the average speed is \(4 \frac{1}{3} \, \text{km/h}\).

Final answer: {A}"
124,"If a man rows at the rate of 4 kmph in still water and his rate against the current is 2 kmph, then the man's rate along the current is:
# Answer option: ['A)15 kmph', 'B)6 kmph', 'C)12 kmph', 'D)14 kmph', 'E)6 kmph']","To solve this problem, we need to determine the man's rate along the current. We are given two pieces of information:

1. The man's rowing rate in still water is 4 kmph.
2. The man's rate against the current is 2 kmph.

Let's denote:
- \( v_b \) as the man's rowing speed in still water (4 kmph).
- \( v_c \) as the speed of the current.
- \( v_{against} \) as the man's speed against the current (2 kmph).
- \( v_{along} \) as the man's speed along the current.

The man's speed against the current can be expressed as:
\[ v_{against} = v_b - v_c \]

Substituting the given values:
\[ 2 = 4 - v_c \]

Solving for \( v_c \):
\[ v_c = 4 - 2 = 2 \text{ kmph} \]

Now, we need to find the man's speed along the current, which can be expressed as:
\[ v_{along} = v_b + v_c \]

Substituting the known values:
\[ v_{along} = 4 + 2 = 6 \text{ kmph} \]

Therefore, the man's rate along the current is 6 kmph.

Final answer: {B}"
103,"At what price should the Karan mark a sewing machine that costs him Rs. 1200/- so that even after offering a 20% discount, he makes 20% profit?
# Answer option: ['A)1,879', 'B)1,875', 'C)1,876', 'D)1,872', 'E)1,800']","To solve this problem, we need to determine the marked price of the sewing machine such that after offering a 20% discount, Karan still makes a 20% profit on the cost price.

1. **Determine the Selling Price for 20% Profit:**
   - The cost price (CP) of the sewing machine is Rs. 1200.
   - Karan wants to make a 20% profit on the cost price.
   - Profit = 20% of CP = 0.20 * 1200 = Rs. 240.
   - Therefore, the selling price (SP) should be CP + Profit = 1200 + 240 = Rs. 1440.

2. **Determine the Marked Price for a 20% Discount:**
   - Let the marked price be \( M \).
   - Karan offers a 20% discount on the marked price.
   - The selling price after the discount is 80% of the marked price (since 100% - 20% = 80%).
   - Therefore, 0.80 * M = 1440.

3. **Solve for the Marked Price:**
   - \( M = \frac{1440}{0.80} \).
   - \( M = 1800 \).

Thus, the marked price should be Rs. 1800 to achieve a 20% profit after offering a 20% discount.

Final answer: {E}"
