id,question,answer
1,"We have three blocks. Lets call them A, B and C. Block B is below A. Block A is below C. Block A contains a medium yellow square. Block B has two medium blue squares. Medium blue square number one is touching the bottom edge of this block. Medium blue square number two is below a medium yellow square. Medium blue square number one is below the square which is below the medium yellow square. It is below the medium yellow square. Block C contains one medium black square. What is below the black shape? a medium yellow square that is in block A or a medium yellow square that is in block B?
0: medium yellow square  that is in block A
1: medium yellow square  that is in block B
2: both of them
3: none of them","Reformatted_Question: <fact1>We have three blocks</fact1>. <fact2>Let's call them A, B, and C</fact2>. <fact3>Block B is below A</fact3>. <fact4>Block A is below C</fact4>. <fact5>Block A contains a medium yellow square</fact5>. <fact6>Block B has two medium blue squares</fact6>. <fact7>Medium blue square number one is touching the bottom edge of this block</fact7>. <fact8>Medium blue square number two is below a medium yellow square</fact8>. <fact9>Medium blue square number one is below the square which is below the medium yellow square</fact9>. <fact10>It is below the medium yellow square</fact10>. <fact11>Block C contains one medium black square</fact11>. What is below the black shape? a <fact12>medium yellow square that is in block A</fact12> or a <fact13>medium yellow square that is in block B</fact13>?

Answer_Reasoning: Block C contains a medium black square. According to the information, Block A is below Block C, and Block B is below Block A. Block A contains a medium yellow square, and Block B contains two medium blue squares. Since Block A is directly below Block C, the medium yellow square in Block A is directly below the black square in Block C. Therefore, the correct answer is option 0.

Final_Answer: {0}"
2,"There are three blocks, A, B and C. Block A is above C. Block C is above B. Block A has a big black square and one big yellow triangle. The big black square is to the left of the big yellow triangle. Block B contains a medium yellow square. And block C contains one medium blue triangle, a big blue square and a medium black circle. Below the medium black circle is the medium blue triangle. To the left of and below the medium black circle is the big blue square. The medium black circle is touching the right edge of this block. What is below the big black square? a medium blue triangle or a big blue square?
0: medium blue triangle 
1: big blue square 
2: both of them
3: none of them","Reformatted_Question: <fact1>There are three blocks, A, B and C</fact1>. <fact2>Block A is above C</fact2>. <fact3>Block C is above B</fact3>. <fact4>Block A has a big black square</fact4> and <fact5>one big yellow triangle</fact5>. <fact6>The big black square is to the left of the big yellow triangle</fact6>. <fact7>Block B contains a medium yellow square</fact7>. <fact8>Block C contains one medium blue triangle</fact8>, <fact9>a big blue square</fact9> and <fact10>a medium black circle</fact10>. <fact11>Below the medium black circle is the medium blue triangle</fact11>. <fact12>To the left of and below the medium black circle is the big blue square</fact12>. <fact13>The medium black circle is touching the right edge of this block</fact13>. What is below the big black square? a <fact14>medium blue triangle</fact14> or a <fact15>big blue square</fact15>?

Answer_Reasoning: Block A is above Block C, and Block C is above Block B. Block A contains a big black square, and Block C contains a medium blue triangle and a big blue square. According to <fact11>, the medium blue triangle is below the medium black circle, and according to <fact12>, the big blue square is to the left of and below the medium black circle. Since Block C is directly below Block A, the big blue square is below the big black square in Block A. Therefore, the correct answer is option 1.

Final_Answer: {1}"
3,"There are three blocks, A, B and C. Block A is above C. Block C is above B. Block A has a big black square and one big yellow triangle. The big black square is to the left of the big yellow triangle. Block B contains a medium yellow square. And block C contains one medium blue triangle, a big blue square and a medium black circle. Below the medium black circle is the medium blue triangle. To the left of and below the medium black circle is the big blue square. The medium black circle is touching the right edge of this block. Which object is above a medium yellow square? the medium blue triangle or the big yellow triangle?
0: the medium blue triangle 
1: the big yellow triangle 
2: both of them
3: none of them","Reformatted_Question: <fact1>There are three blocks, A, B and C</fact1>. <fact2>Block A is above C</fact2>. <fact3>Block C is above B</fact3>. <fact4>Block A has a big black square and one big yellow triangle</fact4>. <fact5>The big black square is to the left of the big yellow triangle</fact5>. <fact6>Block B contains a medium yellow square</fact6>. <fact7>Block C contains one medium blue triangle, a big blue square and a medium black circle</fact7>. <fact8>Below the medium black circle is the medium blue triangle</fact8>. <fact9>To the left of and below the medium black circle is the big blue square</fact9>. <fact10>The medium black circle is touching the right edge of this block</fact10>. Which object is <fact11>above a medium yellow square</fact11>? the <fact12>medium blue triangle</fact12> or the <fact13>big yellow triangle</fact13>?

Answer_Reasoning: Block B contains a medium yellow square. Block C is above Block B, and Block A is above Block C. The medium blue triangle is in Block C, and the big yellow triangle is in Block A. Since Block C is directly above Block B, the medium blue triangle is directly above the medium yellow square. The big yellow triangle is in Block A, which is two levels above Block B, so it is not directly above the medium yellow square. Therefore, the correct answer is option 0.

Final_Answer: {0}"
4,"There are two blocks, A and B. Block A is to the right of B. Block A has a medium yellow square and one medium blue square. The medium yellow square is below the medium blue square. Block B contains three medium yellow squares. Medium yellow square number one is below medium yellow square number two and medium yellow square number three. Below medium yellow square number three there is medium yellow square number two. Which object is to the right of a medium yellow square? the medium yellow square that is in block A or medium yellow square number two?
0: the medium yellow square  that is in block A
1: medium yellow square  number two
2: both of them
3: none of them","Reformatted_Question: <fact1>There are two blocks, A and B</fact1>. <fact2>Block A is to the right of B</fact2>. <fact3>Block A has a medium yellow square and one medium blue square</fact3>. <fact4>The medium yellow square is below the medium blue square</fact4>. <fact5>Block B contains three medium yellow squares</fact5>. <fact6>Medium yellow square number one is below medium yellow square number two and medium yellow square number three</fact6>. <fact7>Below medium yellow square number three there is medium yellow square number two</fact7>. Which object is to the <fact8>right of a medium yellow square</fact8>? the <fact9>medium yellow square that is in block A</fact9> or <fact10>medium yellow square number two</fact10>?

Answer_Reasoning: Block A is to the right of Block B. Block A contains a medium yellow square, which is below a medium blue square. Block B contains three medium yellow squares. Since Block A is to the right of Block B, the medium yellow square in Block A is to the right of all the medium yellow squares in Block B, including medium yellow square number two. Therefore, the correct answer is option 0.

Final_Answer: {0}"
5,"We have three blocks, A, B and C. Block B is to the right of block C and it is below block A. Block A has two medium black squares. Medium black square number one is below medium black square number two and a medium blue square. It is touching the bottom edge of this block. The medium blue square is below medium black square number two. Block B contains one medium black square. And block C contains one medium blue square and a medium black square. Below the medium black square is the medium blue square. Which object is to the left of a medium black square? the medium blue square that is in block A or the medium blue square that is in block C?
0: the medium blue square  that is in block A
1: the medium blue square  that is in block C
2: both of them
3: none of them","Reformatted_Question: <fact1>We have three blocks, A, B and C</fact1>. <fact2>Block B is to the right of block C</fact2> and <fact3>it is below block A</fact3>. <fact4>Block A has two medium black squares</fact4>. <fact5>Medium black square number one is below medium black square number two</fact5> and <fact6>a medium blue square</fact6>. <fact7>It is touching the bottom edge of this block</fact7>. <fact8>The medium blue square is below medium black square number two</fact8>. <fact9>Block B contains one medium black square</fact9>. <fact10>Block C contains one medium blue square and a medium black square</fact10>. <fact11>Below the medium black square is the medium blue square</fact11>. Which object is to the <fact12>left of a medium black square</fact12>? the <fact13>medium blue square that is in block A</fact13> or the <fact14>medium blue square that is in block C</fact14>?

Answer_Reasoning: Block B is to the right of Block C and contains one medium black square. Block C contains one medium blue square and one medium black square, with the blue square below the black square. Since Block C is to the left of Block B, the medium blue square in Block C is directly to the left of the medium black square in Block B. Therefore, the correct answer is option 1.

Final_Answer: {1}"
6,"We have three blocks, A, B and C. Block B is to the right of block C and it is below block A. Block A has two medium black squares. Medium black square number one is below medium black square number two and a medium blue square. It is touching the bottom edge of this block. The medium blue square is below medium black square number two. Block B contains one medium black square. And block C contains one medium blue square and a medium black square. Below the medium black square is the medium blue square. Which object is to the left of a medium black square? the medium blue square that is in block A or the medium blue square that is in block C?
0: the medium blue square  that is in block A
1: the medium blue square  that is in block C
2: both of them
3: none of them","Reformatted_Question: <fact1>We have three blocks, A, B and C</fact1>. <fact2>Block B is to the right of block C</fact2> and <fact3>it is below block A</fact3>. <fact4>Block A has two medium black squares</fact4>. <fact5>Medium black square number one is below medium black square number two and a medium blue square</fact5>. <fact6>It is touching the bottom edge of this block</fact6>. <fact7>The medium blue square is below medium black square number two</fact7>. <fact8>Block B contains one medium black square</fact8>. <fact9>Block C contains one medium blue square and a medium black square</fact9>. <fact10>Below the medium black square is the medium blue square</fact10>. Which object is to the <fact11>left of a medium black square</fact11>? the <fact12>medium blue square that is in block A</fact12> or the <fact13>medium blue square that is in block C</fact13>?

Answer_Reasoning: Block B is to the right of Block C, and Block B contains one medium black square. Block C contains one medium blue square and a medium black square, with the blue square below the black square. Since Block C is to the left of Block B, the medium blue square in Block C is directly to the left of the medium black square in Block B. Therefore, the correct answer is option 1.

Final_Answer: {1}"
7,"There are two blocks. Lets call them A and B. Block A is below B. Block A has one big blue square. Block B has a medium blue square, one small black circle and one small yellow square. It also contains a small black square. It is below and to the right of the small yellow square. The medium blue square is near to, below and to the right of the small yellow square. Below the small yellow square is the small black circle. Which object is above a blue square? the small black circle or the medium square?
0: the small black circle 
1: the medium square 
2: both of them
3: none of them","Reformatted_Question: <fact1>There are two blocks, A and B</fact1>. <fact2>Block A is below B</fact2>. <fact3>Block A has one big blue square</fact3>. <fact4>Block B has a medium blue square</fact4>, <fact5>one small black circle</fact5> and <fact6>one small yellow square</fact6>. It also contains <fact7>a small black square</fact7>. <fact8>The small black square is below and to the right of the small yellow square</fact8>. <fact9>The medium blue square is near to, below and to the right of the small yellow square</fact9>. <fact10>Below the small yellow square is the small black circle</fact10>. Which object is above a blue square? the <fact11>small black circle</fact11> or the <fact12>medium square</fact12>?

Answer_Reasoning: Block A, which is below Block B, contains a big blue square. In Block B, the small yellow square is above both the small black circle and the medium blue square. The small black circle is directly below the small yellow square, and the medium blue square is near to, below, and to the right of the small yellow square. Since the small black circle is below the small yellow square and Block A is below Block B, the small black circle is above the big blue square in Block A. Therefore, the correct answer is option 0.

Final_Answer: {0}"
8,"There are two blocks. Lets call them A and B. Block A is below B. Block A has one big blue square. Block B has a medium blue square, one small black circle and one small yellow square. It also contains a small black square. It is below and to the right of the small yellow square. The medium blue square is near to, below and to the right of the small yellow square. Below the small yellow square is the small black circle. Which object is above a blue square? the medium blue square or the yellow shape?
0: the medium blue square 
1: the yellow shape
2: both of them
3: none of them","Reformatted_Question: <fact1>There are two blocks</fact1>. <fact2>Let's call them A and B</fact2>. <fact3>Block A is below B</fact3>. <fact4>Block A has one big blue square</fact4>. <fact5>Block B has a medium blue square</fact5>, <fact6>one small black circle</fact6> and <fact7>one small yellow square</fact7>. It also contains <fact8>a small black square</fact8>. <fact9>The small black square is below and to the right of the small yellow square</fact9>. <fact10>The medium blue square is near to, below and to the right of the small yellow square</fact10>. <fact11>Below the small yellow square is the small black circle</fact11>. Which object is above a blue square? the <fact12>medium blue square</fact12> or the <fact13>yellow shape</fact13>?

Answer_Reasoning: Block A has a big blue square, and Block B is above Block A. Block B contains a medium blue square, a small black circle, a small yellow square, and a small black square. The small yellow square is above the medium blue square and the small black circle. Since the small yellow square is above the medium blue square, the correct answer is option 1.

Final_Answer: {1}"
9,"We have three blocks. We call them A, B and C. There is a medium blue square in block A. A medium black square is below the medium blue square. To the right of block A there is block B which has one medium black square, one medium yellow square and a medium blue square. Below the medium blue square there is the medium yellow square.. The medium black square is touching the bottom edge of this block. This shape is below the medium blue square and the medium yellow square. Finally, we have block C which is to the right of block B. It contains two medium blue squares. Medium blue square number one is below medium blue square number two. Which object is to the left of a medium blue square? the medium yellow square or the medium black square that is touching the bottom edge of a block?
0: the medium yellow square 
1: the medium black square  that is touching the bottom edge of a block 
2: both of them
3: none of them","Reformatted_Question: <fact1>We have three blocks, A, B and C</fact1>. <fact2>There is a medium blue square in block A</fact2>. A <fact3>medium black square is below the medium blue square</fact3>. To the <fact4>right of block A there is block B</fact4> which has <fact5>one medium black square, one medium yellow square and a medium blue square</fact5>. <fact6>Below the medium blue square there is the medium yellow square</fact6>. The <fact7>medium black square is touching the bottom edge of this block</fact7>. This shape is <fact8>below the medium blue square and the medium yellow square</fact8>. Finally, we have <fact9>block C which is to the right of block B</fact9>. It contains <fact10>two medium blue squares</fact10>. <fact11>Medium blue square number one is below medium blue square number two</fact11>. Which object is to the <fact12>left of a medium blue square</fact12>? the <fact13>medium yellow square</fact13> or the <fact14>medium black square that is touching the bottom edge of a block</fact14>?

Answer_Reasoning: Block A has a medium blue square, and below it is a medium black square. Block B, to the right of Block A, contains a medium blue square, a medium yellow square below it, and a medium black square touching the bottom edge of the block. Block C, to the right of Block B, contains two medium blue squares. The medium yellow square in Block B is directly below the medium blue square in the same block, while the medium black square is at the bottom edge of Block B. Since the medium yellow square is directly below the medium blue square in Block B, it is to the left of the medium blue square in Block C. Therefore, the correct answer is option 0.

Final_Answer: {0}"
10,"We have three blocks. We call them A, B and C. There is a medium blue square in block A. A medium black square is below the medium blue square. To the right of block A there is block B which has one medium black square, one medium yellow square and a medium blue square. Below the medium blue square there is the medium yellow square.. The medium black square is touching the bottom edge of this block. This shape is below the medium blue square and the medium yellow square. Finally, we have block C which is to the right of block B. It contains two medium blue squares. Medium blue square number one is below medium blue square number two. Which object is to the right of a medium black square? the medium yellow square or the thing that is touching the bottom edge of a block?
0: the medium yellow square 
1: the thing that is touching the bottom edge of a block 
2: both of them
3: none of them","Reformatted_Question: <fact1>We have three blocks, A, B and C</fact1>. <fact2>There is a medium blue square in block A</fact2>. <fact3>A medium black square is below the medium blue square</fact3>. To the <fact4>right of block A there is block B</fact4> which has <fact5>one medium black square, one medium yellow square and a medium blue square</fact5>. <fact6>Below the medium blue square there is the medium yellow square</fact6>. <fact7>The medium black square is touching the bottom edge of this block</fact7>. <fact8>This shape is below the medium blue square and the medium yellow square</fact8>. Finally, we have <fact9>block C which is to the right of block B</fact9>. It contains <fact10>two medium blue squares</fact10>. <fact11>Medium blue square number one is below medium blue square number two</fact11>. Which object is to the <fact12>right of a medium black square</fact12>? the <fact13>medium yellow square</fact13> or the <fact14>thing that is touching the bottom edge of a block</fact14>?

Answer_Reasoning: Block A has a medium blue square, and below it is a medium black square. Block B, to the right of Block A, contains a medium black square, a medium yellow square, and a medium blue square. The medium yellow square is below the medium blue square, and the medium black square is touching the bottom edge of Block B. Block C, to the right of Block B, contains two medium blue squares. The medium black square in Block B is touching the bottom edge of the block, and there is no indication that the medium yellow square is to the right of the medium black square. Therefore, the thing that is touching the bottom edge of a block (the medium black square) is not to the right of the medium black square in Block B. The correct answer is option 3.

Final_Answer: {3}"
