id,question,answer
789,"A 26-year-old gravida 2 para 1 at 24 weeks gestation is admitted to the labor and delivery suite with mild abdominal cramps, uterine contractions, and a watery vaginal discharge. She has a history of preterm birth. The vital signs are as follows: blood pressure 125/80 mm Hg; heart rate 100/min; respiratory rate 13/min; and temperature 36.6℃ (97.9℉). The pelvic examination reveals cervical softening and shortening. Transvaginal ultrasound shows a cervical length of 12 mm, which is consistent with preterm labor. A tocolytic and a single dose of betamethasone are administered. Betamethasone stimulates which fetal cells?
A) Type I pneumocytes
B) Goblet cells
C) Bronchial epithelial cells
D) Type II pneumocytes
E) Vascular smooth myocytes","Reformatted Question: 
A <fact1>26-year-old gravida 2 para 1 at 24 weeks gestation</fact1> is admitted to the labor and delivery suite with <fact2>mild abdominal cramps, uterine contractions, and a watery vaginal discharge</fact2>. She has a history of <fact3>preterm birth</fact3>. The vital signs are as follows: <fact4>blood pressure 125/80 mm Hg</fact4>; <fact5>heart rate 100/min</fact5>; <fact6>respiratory rate 13/min</fact6>; and <fact7>temperature 36.6℃ (97.9℉)</fact7>. The <fact8>pelvic examination</fact8> reveals <fact9>cervical softening and shortening</fact9>. <fact10>Transvaginal ultrasound</fact10> shows a <fact11>cervical length of 12 mm</fact11>, which is consistent with <fact12>preterm labor</fact12>. A <fact13>tocolytic</fact13> and a single dose of <fact14>betamethasone</fact14> are administered. <fact14>Betamethasone</fact14> stimulates which fetal cells?

Answer: 
Given that <fact14>betamethasone</fact14> is administered to the <fact1>26-year-old gravida 2 para 1 at 24 weeks gestation</fact1> who is experiencing <fact12>preterm labor</fact12>, it is used to accelerate fetal lung maturation. Betamethasone acts by stimulating the production of surfactant in the fetal lungs. The cells responsible for surfactant production are Type II pneumocytes. Therefore, the correct answer is {D}."
862,"A 3-year-old boy is brought to the physician because of a 3-day history of fatigue and yellow discoloration of his skin. One week ago, he had an upper respiratory tract infection. Examination shows jaundice of the skin and conjunctivae. The spleen tip is palpated 2 cm below the left costal margin. His hemoglobin concentration is 9.4 g/dl and his mean corpuscular hemoglobin concentration is 39% Hb/cell. A Coombs test is negative. A peripheral blood smear is shown. This patient is at greatest risk for which of the following complications?
A) Malaria
B) Acute myelogenous leukemia
C) Cholecystitis
D) Renal papillary necrosis
E) Splenic sequestration crisis","Reformatted Question: 
A <fact1>3-year-old boy</fact1> is brought to the physician because of a <fact2>3-day history of fatigue and yellow discoloration of his skin</fact2>. One week ago, he had an <fact3>upper respiratory tract infection</fact3>. Examination shows <fact4>jaundice of the skin and conjunctivae</fact4>. The <fact5>spleen tip is palpated 2 cm below the left costal margin</fact5>. His <fact6>hemoglobin concentration is 9.4 g/dl</fact6> and his <fact7>mean corpuscular hemoglobin concentration is 39% Hb/cell</fact7>. A <fact8>Coombs test is negative</fact8>. A <fact9>peripheral blood smear is shown</fact9>. This patient is at greatest risk for which of the following complications?

Answer: 
Considering the patient's <fact2>3-day history of fatigue and yellow discoloration of his skin</fact2>, along with <fact4>jaundice of the skin and conjunctivae</fact4> and a <fact5>palpable spleen tip</fact5>, these signs suggest a hemolytic anemia. The <fact6>low hemoglobin concentration</fact6> and <fact7>elevated mean corpuscular hemoglobin concentration</fact7> further support this diagnosis. Given the <fact8>negative Coombs test</fact8>, the hemolysis is likely non-immune mediated. The patient's presentation and laboratory findings are consistent with a condition such as hereditary spherocytosis, which increases the risk for complications like splenic sequestration crisis due to the spleen's role in filtering abnormal red blood cells. Therefore, the patient is at greatest risk for <fact10>splenic sequestration crisis</fact10>, option {E}."
83,"A 44-year-old African-American woman comes to the physician for a routine examination. She is concerned about cancer because her uncle died of metastatic melanoma 1 year ago. She has no history of serious illness and does not take any medication. She has been working in a law firm for the past 20 years and travels to the Carribean regularly with her husband. Examination of her skin shows no abnormal moles or warts. This woman is at greatest risk of which of the following types of melanoma?
A) Desmoplastic
B) Nodular
C) Acral lentiginous
D) Lentigo maligna
E) Superficial spreading","Reformatted Question: 
A <fact1>44-year-old African-American woman</fact1> comes to the physician for a routine examination. She is concerned about cancer because her <fact2>uncle died of metastatic melanoma 1 year ago</fact2>. She has no history of serious illness and does not take any medication. She has been working in a law firm for the past 20 years and travels to the <fact3>Carribean regularly with her husband</fact3>. Examination of her skin shows no abnormal moles or warts. This woman is at greatest risk of which of the following types of melanoma?

Answer: 
Given the information, the <fact1>44-year-old African-American woman</fact1> is at greatest risk of Acral lentiginous melanoma. This type of melanoma is more common in people with darker skin types, such as African Americans, and typically occurs on the palms of the hands, soles of the feet, or under the nails. Although her <fact2>uncle died of metastatic melanoma 1 year ago</fact2>, the familial risk is not as strongly linked to Acral lentiginous melanoma as it is to other types. Additionally, her regular travel to the <fact3>Carribean with her husband</fact3> may increase her exposure to UV radiation, but Acral lentiginous melanoma is not as strongly associated with UV exposure as other types of melanoma. Therefore, the answer is {C}."
531,"A previously healthy 35-year-old woman comes to the emergency department because of sudden weakness of her right arm and leg that started 3 hours ago. She returned from a business trip from Europe 3 days ago. She has smoked a pack of cigarettes daily for 10 years. Her only medication is an oral contraceptive. Her temperature is 38.0°C (100.4°F), pulse is 115/min and regular, and blood pressure is 155/85 mm Hg. Examination shows decreased muscle strength on the entire right side. Deep tendon reflexes are 4+ on the right. Babinski sign is present on the right. The left lower leg is swollen, erythematous, and tender to palpation. Further evaluation is most likely to show which of the following?
A) Patent foramen ovale
B) Atrial myxoma
C) Mitral valve vegetation
D) Atrial fibrillation
E) Carotid artery dissection","Reformatted Question: 
A previously healthy <fact1>35-year-old woman</fact1> comes to the emergency department because of <fact2>sudden weakness of her right arm and leg</fact2> that started <fact3>3 hours ago</fact3>. She returned from a <fact4>business trip from Europe 3 days ago</fact4>. She has smoked a <fact5>pack of cigarettes daily for 10 years</fact5>. Her only medication is an <fact6>oral contraceptive</fact6>. Her <fact7>temperature is 38.0°C (100.4°F)</fact7>, <fact8>pulse is 115/min and regular</fact8>, and <fact9>blood pressure is 155/85 mm Hg</fact9>. Examination shows <fact10>decreased muscle strength on the entire right side</fact10>. Deep tendon reflexes are <fact11>4+ on the right</fact11>. Babinski sign is <fact12>present on the right</fact12>. The <fact13>left lower leg is swollen, erythematous, and tender to palpation</fact13>. Further evaluation is most likely to show which of the following?

Answer: 
Considering the patient's presentation of <fact2>sudden weakness of her right arm and leg</fact2> that started <fact3>3 hours ago</fact3>, along with the physical examination findings of <fact10>decreased muscle strength on the entire right side</fact10>, <fact11>deep tendon reflexes are 4+ on the right</fact11>, and <fact12>Babinski sign is present on the right</fact12>, these are indicative of a stroke. Additionally, the patient's <fact13>left lower leg is swollen, erythematous, and tender to palpation</fact13>, which suggests a deep vein thrombosis (DVT). Given the patient's recent <fact4>business trip from Europe 3 days ago</fact4> and use of an <fact6>oral contraceptive</fact6>, she is at increased risk for DVT and subsequently, a pulmonary embolism or paradoxical embolism through a patent foramen ovale (PFO) if the clot were to break loose. The patient's <fact5>history of smoking</fact5> also increases her risk for vascular disease. Therefore, further evaluation is most likely to show a patent foramen ovale. The answer is {A}."
1048,"A 57-year-old woman comes to the physician because of a 3-month history of fatigue. She also reports generalized itchiness that started approximately 2 months ago. Two weeks ago, she noticed yellowing of her eyes. She does not smoke or drink alcohol. She uses eyedrops for persistent dryness of the eyes. Her vital signs are within normal limits. Physical examination shows jaundice of the conjunctivae and skin. The mucous membranes of the mouth are dry. The abdomen is soft. The liver edge is palpable 3 cm below the right costal margin. There are generalized skin excoriations. Laboratory studies show:
Hemoglobin 15 g/dL
Leukocyte count 7,700/mm3
Platelet count 332,000/mm3
Serum
Glucose 122 mg/dL
Total bilirubin 3.1 mg/dL
Direct 2.5 mg/dL
Alkaline phosphatase 452 U/L
AST 155 U/L
ALT 168 U/L
Hepatitis B surface antigen negative
Hepatitis B core IgM antibody negative
Hepatitis B surface antibody positive
Hepatitis C antibody negative
Ultrasonography of the abdomen shows mildly increased echogenicity of the liver. Which of the following additional findings is most likely to be found in this patient?""
A) Inferior vena cava thrombosis
B) Cutaneous xanthomas
C) Butterfly-shaped vertebrae
D) Increased CA 19-9 levels
E) Kayser-Fleischer rings
""","Reformatted Question: 
A <fact1>57-year-old woman</fact1> comes to the physician because of a <fact2>3-month history of fatigue</fact2>. She also reports <fact3>generalized itchiness</fact3> that started approximately <fact4>2 months ago</fact4>. Two weeks ago, she noticed <fact5>yellowing of her eyes</fact5>. She does not smoke or drink alcohol. She uses eyedrops for <fact6>persistent dryness of the eyes</fact6>. Her <fact7>vital signs are within normal limits</fact7>. Physical examination shows <fact8>jaundice of the conjunctivae and skin</fact8>. The <fact9>mucous membranes of the mouth are dry</fact9>. The abdomen is soft. The <fact10>liver edge is palpable 3 cm below the right costal margin</fact10>. There are <fact11>generalized skin excoriations</fact11>. Laboratory studies show: 
Hemoglobin 15 g/dL 
Leukocyte count 7,700/mm3 
Platelet count 332,000/mm3 
Serum 
Glucose 122 mg/dL 
Total bilirubin 3.1 mg/dL 
Direct 2.5 mg/dL 
Alkaline phosphatase 452 U/L 
AST 155 U/L 
ALT 168 U/L 
Hepatitis B surface antigen negative 
Hepatitis B core IgM antibody negative 
Hepatitis B surface antibody positive 
Hepatitis C antibody negative 
Ultrasonography of the abdomen shows <fact12>mildly increased echogenicity of the liver</fact12>. Which of the following additional findings is most likely to be found in this patient? 
A) Inferior vena cava thrombosis 
B) Cutaneous xanthomas 
C) Butterfly-shaped vertebrae 
D) Increased CA 19-9 levels 
E) Kayser-Fleischer rings 

Answer: 
Considering the patient's symptoms of <fact3>generalized itchiness</fact3> and <fact5>yellowing of her eyes</fact5>, along with the physical examination findings of <fact8>jaundice of the conjunctivae and skin</fact8> and <fact11>generalized skin excoriations</fact11>, these are indicative of cholestasis. The laboratory results showing elevated alkaline phosphatase and bilirubin levels further support this diagnosis. Among the provided options, cutaneous xanthomas are a known complication of chronic cholestasis due to the accumulation of lipids in the skin. Therefore, the answer is {B}."
996,"A 36-year-old woman, gravida 3, para 2, at 42 weeks' gestation comes to the physician for induction of labor. Her pregnancy has been uncomplicated. Her two other children were born after uncomplicated vaginal deliveries at 41 and 42 weeks' gestation, respectively. Her only medication is a prenatal vitamin. She is 165 cm (5 ft 5 in) tall and weighs 86 kg (200 lb); BMI is 33 kg/m2. Her temperature is 36.8°C (98.4°F), pulse is 90/min, respirations are 14/min, and blood pressure is 110/80 mmHg. Examination shows a nontender, soft uterus consistent in size with a 42-weeks' gestation. This patient's child is at greatest risk for which of the following complications?
A) Polyhydramnios
B) Acute respiratory distress syndrome
C) Caudal regression syndrome
D) Meconium aspiration
E) Placental abruption","Reformatted Question: 
A <fact1>36-year-old woman, gravida 3, para 2, at 42 weeks' gestation</fact1> comes to the physician for induction of labor. Her <fact2>pregnancy has been uncomplicated</fact2>. Her two other children were born after uncomplicated vaginal deliveries at <fact3>41 and 42 weeks' gestation</fact3>, respectively. Her only medication is a prenatal vitamin. She is <fact4>165 cm (5 ft 5 in) tall and weighs 86 kg (200 lb); BMI is 33 kg/m2</fact4>. Her <fact5>temperature is 36.8°C (98.4°F)</fact5>, <fact6>pulse is 90/min</fact6>, <fact7>respirations are 14/min</fact7>, and <fact8>blood pressure is 110/80 mmHg</fact8>. Examination shows a <fact9>nontender, soft uterus consistent in size with a 42-weeks' gestation</fact9>. This patient's child is at greatest risk for which of the following complications?

Answer: 
Considering the patient is at <fact1>42 weeks' gestation</fact1> and her <fact2>pregnancy has been uncomplicated</fact2>, the primary concern is the risk associated with post-term pregnancy. The patient's previous uncomplicated deliveries at <fact3>41 and 42 weeks' gestation</fact3> do not significantly alter the risks associated with the current pregnancy. Given the information provided, including the patient's <fact4>physical characteristics and vital signs</fact4> (<fact5>temperature</fact5>, <fact6>pulse</fact6>, <fact7>respirations</fact7>, and <fact8>blood pressure</fact8>), and the <fact9>examination findings of the uterus</fact9>, the most relevant risk is related to the prolonged gestation. Among the options provided, meconium aspiration is a well-known complication associated with post-term pregnancies due to the increased likelihood of meconium being present in the amniotic fluid. Therefore, the answer is {D}."
830,"A 66-year-old man presents to the emergency department for a cough and fatigue. The patient was brought in from a nursing home with documentation stating that he has seemed confused for the past day according to the staff. The patient has a past medical history of diabetes and hypertension. He is currently taking insulin, metformin, lisinopril, and atorvastatin. His temperature is 102°F (38.9°C), blood pressure is 107/58 mmHg, pulse is 120/min, respirations are 15/min, and oxygen saturation is 98% on room air. Physical exam reveals crackles on pulmonary exam and S4 on cardiac auscultation. Which of the following is the next best step in management?
A) Azithromycin and admission to the medical floor
B) Azithromycin and discharge
C) Azithromycin, moxifloxacin, and admission to the intensive care unit
D) Ceftriaxone, azithromycin, and admission to the intensive care unit
E) Moxifloxacin and admission to the medical floor","Reformatted Question: 
A <fact1>66-year-old man</fact1> presents to the emergency department for a <fact2>cough and fatigue</fact2>. The patient was brought in from a <fact3>nursing home</fact3> with documentation stating that he has seemed <fact4>confused for the past day</fact4> according to the staff. The patient has a past medical history of <fact5>diabetes and hypertension</fact5>. He is currently taking <fact6>insulin, metformin, lisinopril, and atorvastatin</fact6>. His <fact7>temperature is 102°F (38.9°C)</fact7>, <fact8>blood pressure is 107/58 mmHg</fact8>, <fact9>pulse is 120/min</fact9>, <fact10>respirations are 15/min</fact10>, and <fact11>oxygen saturation is 98% on room air</fact11>. Physical exam reveals <fact12>crackles on pulmonary exam</fact12> and <fact13>S4 on cardiac auscultation</fact13>. Which of the following is the next best step in management?

Answer: 
Considering the patient's presentation, including <fact2>cough and fatigue</fact2>, <fact7>high temperature of 102°F (38.9°C)</fact7>, and <fact12>crackles on pulmonary exam</fact12>, it is likely that the patient has a severe respiratory infection. Additionally, the patient's <fact4>confusion for the past day</fact4> and <fact9>elevated pulse of 120/min</fact9> suggest possible sepsis. Given the patient's age, <fact5>history of diabetes and hypertension</fact5>, and the fact that he is from a <fact3>nursing home</fact3>, it is essential to consider the possibility of a more severe infection that may require close monitoring and aggressive treatment. Among the options provided, choice D, which includes Ceftriaxone, azithromycin, and admission to the intensive care unit, is the most appropriate next step in management. This option covers a broad spectrum of potential pathogens, including those that may cause severe community-acquired pneumonia, and provides the necessary level of care for a patient with possible sepsis. Therefore, the answer is {D}."
622,"A 59-year-old man with a history of sickle cell disease presents to the emergency department for evaluation of his fever and night sweats. He is extremely lethargic and is unable to provide an adequate history to his physician. His wife noted that roughly 3 days ago, her husband mentioned that something bit him, but she cannot remember what exactly. The vital signs include blood pressure 85/67 mm Hg, pulse rate 107/min, and respiratory rate 35/min. Upon examination, the man is currently afebrile but is lethargic and pale. His spleen is surgically absent. There are some swollen bite marks on his right hand with red streaks extending to his elbow. Which of the following bites would be most concerning in this patient?
A) Cat bite
B) Human bite
C) Spider bite
D) Fish bite
E) Dog bite","Reformatted Question: 
A <fact1>59-year-old man</fact1> with a history of <fact2>sickle cell disease</fact2> presents to the emergency department for evaluation of his <fact3>fever and night sweats</fact3>. He is extremely <fact4>lethargic</fact4> and is unable to provide an adequate history to his physician. His wife noted that roughly <fact5>3 days ago</fact5>, her husband mentioned that something bit him, but she cannot remember what exactly. The vital signs include <fact6>blood pressure 85/67 mm Hg</fact6>, <fact7>pulse rate 107/min</fact7>, and <fact8>respiratory rate 35/min</fact8>. Upon examination, the man is currently <fact9>afebrile</fact9> but is <fact10>lethargic and pale</fact10>. His <fact11>spleen is surgically absent</fact11>. There are some <fact12>swollen bite marks on his right hand with red streaks extending to his elbow</fact12>. Which of the following bites would be most concerning in this patient?

Answer: 
Considering the patient's history of <fact2>sickle cell disease</fact2> and his current state of being <fact10>lethargic and pale</fact10>, along with the presence of <fact12>swollen bite marks on his right hand with red streaks extending to his elbow</fact12>, it is crucial to identify the type of bite that could lead to severe infection, particularly in an individual with a compromised immune system and without a <fact11>spleen</fact11>. Among the options provided, a <fact13>cat bite</fact13> is known for having a high risk of infection due to the bacteria present in the cat's saliva, such as Pasteurella multocida. Given the patient's condition and the potential for severe infection, a cat bite would be the most concerning. Therefore, the answer is {A}."
977,"A 25-year-old, G2P2L2 woman presents with a complaint of missed menstrual cycle for 4 weeks. Her previous menstrual cycles were regular, occurring every 28–35 days consistently. The patient does not have any other complaints currently. Her past medical history reveals two uncomplicated and normal vaginal deliveries at term. She has a 2-year-old boy and a 6-month-old girl. The patient and her partner use the withdrawal method for contraception. The urine pregnancy test result is positive. The patient returns to the clinic after 1 week expressing her desire to discontinue with the pregnancy and inquires about the possibility of an elective abortion. Which of the following procedures is the most appropriate for elective termination of pregnancy in this patient?
A) Dilatation and evacuation (D&E)
B) Oxytocin-induced labor
C) Manual uterine aspiration
D) Dilatation and curettage (D & C) after vacuum evacuation
E) Oral mifepristone + misoprostol","Reformatted Question: 
A <fact1>25-year-old, G2P2L2 woman</fact1> presents with a complaint of <fact2>missed menstrual cycle for 4 weeks</fact2>. Her previous menstrual cycles were regular, occurring every 28–35 days consistently. The patient does not have any other complaints currently. Her past medical history reveals two <fact3>uncomplicated and normal vaginal deliveries at term</fact3>. She has a 2-year-old boy and a 6-month-old girl. The patient and her partner use the <fact4>withdrawal method for contraception</fact4>. The <fact5>urine pregnancy test result is positive</fact5>. The patient returns to the clinic after 1 week expressing her desire to discontinue with the pregnancy and inquires about the possibility of an elective abortion. Which of the following procedures is the most appropriate for elective termination of pregnancy in this patient?

Answer: 
Considering the <fact1>25-year-old, G2P2L2 woman</fact1> is in early pregnancy as indicated by a <fact2>missed menstrual cycle for 4 weeks</fact2> and a <fact5>positive urine pregnancy test result</fact5>, the most appropriate method for elective termination of pregnancy would be one that is suitable for early gestation and has a low risk of complications. Given her past medical history of two <fact3>uncomplicated and normal vaginal deliveries at term</fact3>, it is essential to choose a method that minimizes the risk of future reproductive complications. Among the options provided, oral mifepristone + misoprostol is a medical abortion method that is effective and safe for early pregnancies, typically up to 10 weeks of gestation. This method avoids the need for surgical intervention, making it a suitable choice for this patient. Therefore, the answer is {E}."
734,"A 1-month-old girl is brought to the emergency department with persistent vomiting, dehydration, and irritability. Over the past week, she has been projectile vomiting after most feedings. Initially, the vomiting would occur just once or twice a day, but now it occurs after every feed. However, her appetite hasn’t decreased, and she seeks milk right after each episode of vomiting. She was born at 39 weeks gestation via spontaneous vaginal delivery and is breastfed exclusively. On physical exam, the vital signs include: temperature 37.5°C (99.5°F), blood pressure 85/55 mm Hg, respiratory rate 28/min, and heart rate 150/min. On examination, she appears to be mildly dehydrated, listless, and irritable. Her abdomen is soft and nontender with a palpable olive-shaped mass in the epigastric region. Which of the following acid-base disturbances is most likely associated with this patient’s condition?
A) Respiratory alkalosis
B) Metabolic acidosis
C) Metabolic alkalosis
D) Respiratory acidosis
E) Mixed respiratory and metabolic acidosis","Reformatted Question: 
A <fact1>1-month-old girl</fact1> is brought to the emergency department with <fact2>persistent vomiting</fact2>, <fact3>dehydration</fact3>, and <fact4>irritability</fact4>. Over the past week, she has been experiencing <fact5>projectile vomiting after most feedings</fact5>. Initially, the vomiting would occur just once or twice a day, but now it occurs after every feed. However, her appetite hasn’t decreased, and she seeks milk right after each episode of vomiting. She was born at <fact6>39 weeks gestation</fact6> via spontaneous vaginal delivery and is <fact7>breastfed exclusively</fact7>. On physical exam, the vital signs include: <fact8>temperature 37.5°C (99.5°F)</fact8>, <fact9>blood pressure 85/55 mm Hg</fact9>, <fact10>respiratory rate 28/min</fact10>, and <fact11>heart rate 150/min</fact11>. On examination, she appears to be <fact12>mildly dehydrated</fact12>, <fact13>listless</fact13>, and <fact14>irritable</fact14>. Her abdomen is <fact15>soft and nontender</fact15> with a <fact16>palpable olive-shaped mass in the epigastric region</fact16>. Which of the following acid-base disturbances is most likely associated with this patient’s condition?

Answer: 
Considering the patient's symptoms, particularly the <fact2>persistent vomiting</fact2> and <fact5>projectile vomiting after most feedings</fact5>, along with the physical examination findings of a <fact16>palpable olive-shaped mass in the epigastric region</fact16>, the most likely diagnosis is pyloric stenosis. This condition typically presents with vomiting, which leads to loss of gastric acid (HCl) and subsequent metabolic alkalosis due to the increased bicarbonate levels in the blood. The patient's <fact12>mild dehydration</fact12> status also supports this diagnosis, as prolonged vomiting can cause dehydration. Therefore, the acid-base disturbance most likely associated with this patient's condition is metabolic alkalosis. The answer is {C}."
