id,question,answer
7,"A 68-year-old male comes to the physician for evaluation of right flank pain. He has a history of diabetes and peripheral artery disease. His blood pressure is 160/90 mm Hg. Physical examination shows abdominal tenderness and right flank tenderness. An ultrasound shows dilation of the right ureter and renal pelvis. Which of the following is the most likely underlying cause of this patient's condition?
A) Renal artery stenosis
B) Benign prostatic hyperplasia
C) Diabetic nephropathy
D) Common iliac artery aneurysm
E) Urethral stricture","Reformatted Question: A <fact1>68-year-old male</fact1> comes to the physician for evaluation of <fact2>right flank pain</fact2>. He has a history of <fact3>diabetes</fact3> and <fact4>peripheral artery disease</fact4>. His <fact5>blood pressure is 160/90 mm Hg</fact5>. Physical examination shows <fact6>abdominal tenderness</fact6> and <fact7>right flank tenderness</fact7>. An <fact8>ultrasound shows dilation of the right ureter and renal pelvis</fact8>. Which of the following is the most likely underlying cause of this patient's condition?

Answer: The patient's presentation of <fact2>right flank pain</fact2> with <fact5>high blood pressure</fact5> and a history of <fact3>diabetes</fact3> and <fact4>peripheral artery disease</fact4> is suggestive of a vascular cause for the dilation of the right ureter and renal pelvis. The presence of <fact6>abdominal tenderness</fact6> and <fact7>right flank tenderness</fact7> on physical examination further supports this possibility. Among the options provided, <fact9>renal artery stenosis</fact9> is the most likely underlying cause of this patient's condition, as it is a common cause of renovascular hypertension and can lead to secondary complications such as ureteral dilation."
1004,"A 45-year-old woman comes to the physician because of fatigue, abdominal cramps, watery diarrhea, and a weight loss of 4 kg (8.8 lb) over the last 4 months. She has recently avoided drinking alcohol and eating spicy food because it worsens her diarrhea and causes episodes of heart palpitations and reddening of the face and neck. She takes lisinopril for hypertension. Her temperature is 36.5°C (97.7°F), pulse is 98/min, and blood pressure is 149/90 mm Hg. The abdomen is soft, and there is mild tenderness to palpation with no guarding or rebound. Laboratory studies show an increased urine 5-hydroxyindoleacetic acid concentration. Further evaluation of this patient will most likely show which of the following?
A) Proximal muscle wasting
B) Achlorhydria
C) Adrenal medullary mass
D) Multiple peptic ulcers
E) Pulmonic valve stenosis","Reformatted Question: A <fact1>45-year-old woman</fact1> comes to the physician because of <fact2>fatigue, abdominal cramps, watery diarrhea, and a weight loss of 4 kg (8.8 lb) over the last 4 months</fact2>. She has recently avoided drinking alcohol and eating spicy food because it worsens her diarrhea and causes episodes of <fact3>heart palpitations and reddening of the face and neck</fact3>. She takes <fact4>lisinopril for hypertension</fact4>. Her <fact5>temperature is 36.5°C (97.7°F)</fact5>, <fact6>pulse is 98/min</fact6>, and <fact7>blood pressure is 149/90 mm Hg</fact7>. The <fact8>abdomen is soft, and there is mild tenderness to palpation with no guarding or rebound</fact8>. Laboratory studies show an <fact9>increased urine 5-hydroxyindoleacetic acid concentration</fact9>. Further evaluation of this patient will most likely show which of the following?

A) <fact10>Proximal muscle wasting</fact10>
B) <fact11>Achlorhydria</fact11>
C) <fact12>Adrenal medullary mass</fact12>
D) <fact13>Multiple peptic ulcers</fact13>
E) <fact14>Pulmonic valve stenosis</fact14>

Answer: The patient's presentation of <fact2>fatigue, abdominal cramps, watery diarrhea, and a weight loss of 4 kg (8.8 lb) over the last 4 months</fact2> is suggestive of a gastrointestinal issue. The avoidance of <fact3>drinking alcohol and eating spicy food</fact3> because it worsens her diarrhea and causes episodes of <fact3>heart palpitations and reddening of the face and neck</fact3> points towards a condition that is exacerbated by certain triggers. The laboratory finding of an <fact9>increased urine 5-hydroxyindoleacetic acid concentration</fact9> is indicative of a condition involving the breakdown of serotonin, a neurotransmitter that is also involved in the regulation of bowel movements. This pattern is consistent with carcinoid syndrome, a condition caused by a carcinoid tumor secreting serotonin. The tumor can be located in the gastrointestinal tract, and the symptoms can include <fact2>fatigue, abdominal cramps, watery diarrhea, and a weight loss</fact2>. The increased serotonin can also cause flushing, which is consistent with the patient's <fact3>reddening of the face and neck</fact3>. Proximal muscle wasting is a common finding in carcinoid syndrome due to the serotonin's effect on the muscle. Therefore, the correct answer is {A}."
773,"A 25-year-old man presents to his primary care provider complaining of several weeks of intense itching, particularly localized around his anus. Of note, the patient denies any recent travel, sexual contacts, fever, dysuria, or diarrhea. His temperature is 98.1°F (36.7°C), blood pressure is 110/70 mmHg, pulse is 65/min, and respirations are 12/min. On exam, the patient demonstrates severe excoriations in his perianal region with slight erythema over the areas that are torn. He does not have any other dermatologic findings. The scotch tape test is positive. The patient has a previous documented allergy to albendazole. Which of the following is an alternative medication that can be used?
A) Amphotericin B
B) Diethylcarbamazine
C) Ivermectin
D) Praziquantel
E) Pyrantel pamoate","Reformatted Question: A <fact1>25-year-old man</fact1> presents to his primary care provider complaining of several weeks of intense <fact2>itching, particularly localized around his anus</fact2>. Of note, the patient denies any recent <fact3>travel</fact3>, <fact4>sexual contacts</fact4>, <fact5>fever</fact5>, <fact6>dysuria</fact6>, or <fact7>diarrhea</fact7>. His <fact8>temperature is 98.1°F (36.7°C)</fact8>, <fact9>blood pressure is 110/70 mmHg</fact9>, <fact10>pulse is 65/min</fact10>, and <fact11>respirations are 12/min</fact11>. On exam, the patient demonstrates <fact12>severe excoriations in his perianal region</fact12> with <fact13>slight erythema over the areas that are torn</fact13>. He does not have any other <fact14>dermatologic findings</fact14>. The <fact15>scotch tape test is positive</fact15>. The patient has a previous documented <fact16>allergy to albendazole</fact16>. Which of the following is an alternative medication that can be used?

Answer: Considering the patient's presentation of <fact2>itching, particularly localized around his anus</fact2> and a positive <fact15>scotch tape test</fact15>, it is likely that the patient has scabies. Given the patient's <fact16>allergy to albendazole</fact16>, an alternative medication is needed. Among the options provided, <fact17>Ivermectin</fact17> is an effective treatment for scabies and is often used as an alternative to albendazole."
859,"A 27-year-old female presents to her physician with a palpable thyroid nodule. Iodine uptake testing shows that the nodule has decreased iodine uptake compared with the rest of the thyroid gland. A fine-needle aspiration is performed and the physician calls telling the patient that she has a neoplasm of the thyroid. Which of the following diagnoses is the most likely?
A) Papillary carcinoma
B) Medullary carcinoma
C) Follicular carcinoma
D) Anaplastic carcinoma
E) Hurthle cell carcinoma","Reformatted Question: A <fact1>27-year-old female</fact1> presents to her physician with a <fact2>palpable thyroid nodule</fact2>. <fact3>Iodine uptake testing</fact3> shows that the nodule has <fact4>decreased iodine uptake</fact4> compared with the rest of the <fact5>thyroid gland</fact5>. A <fact6>fine-needle aspiration</fact6> is performed and the physician calls telling the patient that she has a <fact7>neoplasm of the thyroid</fact7>. Which of the following diagnoses is the most likely?

Answer: Evaluating the patient's presentation, the <fact1>27-year-old female</fact1> has a <fact2>palpable thyroid nodule</fact2> with <fact4>decreased iodine uptake</fact4> compared with the rest of the <fact5>thyroid gland</fact5>. This finding is characteristic of medullary thyroid carcinoma (MTC), which originates from the parafollicular cells (also known as C cells) of the thyroid gland. These cells are responsible for producing calcitonin, which is involved in calcium homeostasis. MTC is known to have decreased iodine uptake due to its origin from C cells, which do not take up iodine. The diagnosis of MTC is further supported by the presence of a <fact7>neoplasm of the thyroid</fact7> as confirmed by <fact6>fine-needle aspiration</fact6>. Therefore, the most likely diagnosis is <fact8>medullary carcinoma</fact8>."
802,"A 32-year-old woman comes to the physician because of fatigue, breast tenderness, increased urinary frequency, and intermittent nausea for 2 weeks. Her last menstrual period was 7 weeks ago. She has a history of a seizure disorder treated with carbamazepine. Physical examination shows no abnormalities. A urine pregnancy test is positive. The child is at greatest risk of developing which of the following complications?
A) Renal dysplasia
B) Meningocele
C) Teeth discoloration
D) Sensorineural hearing loss
E) Vaginal clear cell carcinoma","Reformatted Question: A <fact1>32-year-old woman</fact1> comes to the physician because of <fact2>fatigue, breast tenderness, increased urinary frequency, and intermittent nausea</fact2> for <fact3>2 weeks</fact3>. Her last menstrual period was <fact4>7 weeks ago</fact4>. She has a history of a <fact5>seizure disorder treated with carbamazepine</fact5>. Physical examination shows no abnormalities. A <fact6>urine pregnancy test is positive</fact6>. The child is at greatest risk of developing which of the following complications?

Answer: The child is at greatest risk of developing <fact7>sensorineural hearing loss</fact7>. This is because the mother's use of carbamazepine, a medication used to treat seizure disorders, is a known teratogen that can cause congenital malformations, including sensorineural hearing loss. This condition is a result of the drug's effect on fetal development, particularly during the critical period of organogenesis."
1045,"A 4-year-old boy presents to the pediatrician’s office. His mother complains that he has been sleeping poorly, and she has noticed that he often scratches his perianal area. A scotch tape test is found to be positive and mebendazole is prescribed. Into which of the following subsets have the naïve T cells (TH0) developed due to the infection in this patient?
A) TH1 cells
B) TH2 cells
C) TH17
D) T0 cells
E) TREGS","Reformatted Question: A <fact1>4-year-old boy</fact1> presents to the pediatrician’s office. His mother complains that he has been sleeping poorly, and she has noticed that he often scratches his <fact2>perianal area</fact2>. A <fact3>scotch tape test</fact3> is found to be positive and <fact4>mebendazole is prescribed</fact4>. Into which of the following subsets have the naïve T cells (TH0) developed due to the <fact5>infection in this patient</fact5>?

Answer: Considering the <fact1>4-year-old boy</fact1> has a positive <fact3>scotch tape test</fact3> and is prescribed <fact4>mebendazole</fact4>, it is likely that he has an infection caused by Enterobius vermicularis, also known as pinworms. The presence of pinworms leads to an allergic reaction and the development of a Th2 response, which is characterized by the production of IgE antibodies and the activation of eosinophils. The Th2 response is associated with the development of TH2 cells. Therefore, the answer is {B}."
999,"A 72-year-old woman with a 40 pack-year history of smoking presents to your office with jaundice. After a thorough workup, you determine that the patient has pancreatic cancer. Which of the following is the most appropriate initial statement to inform the patient of her condition?
A) ""Have you ever heard of pancreatic cancer?""
B) ""I have bad news I need to share with you. Please sit down so we can discuss.""
C) ""Have you designated a healthcare proxy?""
D) ""We just received your test results and we have bad news to share with you. The resident will be in to explain the diagnosis to you.""
E) ""Your test results are consistent with a pancreatic adenocarcinoma.""","Reformatted Question: A 72-year-old woman with a 40 pack-year history of smoking presents to your office with jaundice. After a thorough workup, you determine that the patient has pancreatic cancer. Which of the following is the most appropriate initial statement to inform the patient of her condition?

Answer: The most appropriate initial statement to inform the patient of her condition is option {B}. This is because it is essential to break the news in a compassionate and empathetic manner, which is reflected in option {B}. The phrase ""I have bad news I need to share with you. Please sit down so we can discuss"" acknowledges the gravity of the situation and provides a supportive environment for the patient to receive the news. This approach helps to establish trust and sets the tone for a sensitive and empathetic conversation. Options {A}, {C}, and {D} are not suitable as initial statements because they either ask unnecessary questions, fail to acknowledge the gravity of the situation, or involve a third party (the resident) in the initial conversation. Option {E} provides a factual statement but lacks the emotional support and empathy that is crucial in this situation. Therefore, the most appropriate initial statement to inform the patient of her condition is {B}."
891,"A 51-year-old Caucasian woman presents to the physician for a routine health maintenance examination. She had a Colles' fracture 2 years ago. The rest of her past medical history is unremarkable. She has a sedentary lifestyle. She has been smoking 1 pack of cigarettes daily for 30 years. She drinks alcohol moderately. Her mother had a fracture of the wrist when she was in her late 60s. The physical examination shows no abnormal findings. Dual-energy X-ray absorptiometry (DEXA scan) shows a T-score of -3.2 standard deviations (SDs) in the hip. The patient is educated regarding her risk of falls. Exercise regimen and smoking cessation assistance are provided. Appropriate diet is indicated, as well as supplements with calcium and vitamin D. Which of the following is the most appropriate next step in pharmacotherapy?
A) Alendronate
B) Calcitonin
C) Estrogen
D) Tamoxifen
E) No pharmacotherapy at this time","Reformatted Question: A <fact1>51-year-old Caucasian woman</fact1> presents to the physician for a routine health maintenance examination. She had a <fact2>Colles' fracture 2 years ago</fact2>. The rest of her past medical history is unremarkable. She has a <fact3>sedentary lifestyle</fact3>. She has been <fact4>smoking 1 pack of cigarettes daily for 30 years</fact4>. She drinks <fact5>alcohol moderately</fact5>. Her mother had a <fact6>fracture of the wrist when she was in her late 60s</fact6>. The physical examination shows no abnormal findings. Dual-energy X-ray absorptiometry (DEXA scan) shows a <fact7>T-score of -3.2 standard deviations (SDs) in the hip</fact7>. The patient is educated regarding her risk of <fact8>falls</fact8>. Exercise regimen and <fact9>smoking cessation assistance</fact9> are provided. Appropriate <fact10>diet</fact10> is indicated, as well as <fact11>supplements with calcium and vitamin D</fact11>. Which of the following is the most appropriate next step in <fact12>pharmacotherapy</fact12>?

Answer: The patient's DEXA scan result shows a T-score of -3.2 standard deviations (SDs) in the hip, which is indicative of osteoporosis. According to the National Osteoporosis Foundation, the primary treatment for osteoporosis is pharmacotherapy (1). Among the options provided, Alendronate is a bisphosphonate, which is a first-line treatment for osteoporosis (2). It has been shown to increase bone mineral density and reduce the risk of fractures in postmenopausal women with osteoporosis (3). Therefore, the most appropriate next step in pharmacotherapy is to prescribe Alendronate.

References:
(1) National Osteoporosis Foundation. (2022). Clinician's Guide to Prevention and Treatment of Osteoporosis.

(2) National Osteoporosis Foundation. (2022). Clinician's Guide to Prevention and Treatment of Osteoporosis.

(3) Black, D. M., et al. (2007). Once-yearly zoledronic acid for treatment of postmenopausal osteoporosis. New England Journal of Medicine, 356(18), 1809-1822."
262,"A 30-year-old male presents to the emergency department with a complaint of abdominal pain. The patient states he was at a barbecue around noon. Lunch was arranged as a buffet without refrigeration. Within 2 to 3 hours, he had abdominal pain with 3 episodes of watery diarrhea. On exam, vital signs are T 99.1, HR 103, BP 110/55, RR 14. Abdominal exam is significant for pain to deep palpation without any rebounding or guarding. There is no blood on fecal occult testing (FOBT). What is the most likely cause of this patient's presentation?
A) Salmonella enteritidis
B) Listeria monocytogenes
C) Staphylococcus aureus
D) Campylobacter jejuni
E) Vibrio cholerae","Reformatted Question: A <fact1>30-year-old male</fact1> presents to the emergency department with a complaint of <fact2>abdominal pain</fact2>. The patient states he was at a barbecue around <fact3>noon</fact3>. Lunch was arranged as a <fact4>buffet without refrigeration</fact4>. Within <fact5>2 to 3 hours</fact5>, he had <fact6>abdominal pain</fact6> with <fact7>3 episodes of watery diarrhea</fact7>. On exam, vital signs are <fact8>T 99.1</fact8>, <fact9>HR 103</fact9>, <fact10>BP 110/55</fact10>, <fact11>RR 14</fact11>. Abdominal exam is significant for <fact12>pain to deep palpation</fact12> without any <fact13>rebounding or guarding</fact13>. There is no <fact14>blood on fecal occult testing (FOBT)</fact14>. What is the most likely cause of this patient's presentation?

Answer: The patient's presentation of <fact2>abdominal pain</fact2> with <fact7>3 episodes of watery diarrhea</fact7> within <fact5>2 to 3 hours</fact5> of consuming food at a barbecue suggests a foodborne illness. The lack of <fact14>blood on fecal occult testing (FOBT)</fact14> and absence of <fact13>rebounding or guarding</fact13> on abdominal exam make conditions like appendicitis or a perforated ulcer less likely. The fact that the patient consumed food from a <fact4>buffet without refrigeration</fact4> increases the risk of foodborne illness from bacteria that can multiply rapidly at room temperature. Among the options provided, <fact3>Staphylococcus aureus</fact3> is a common cause of foodborne illness that can cause symptoms within a short time frame (typically 1-6 hours) and is often associated with contaminated food that has been left at room temperature for an extended period. This matches the patient's presentation, making <fact3>Staphylococcus aureus</fact3> the most likely cause of this patient's presentation. Therefore, the answer is {C}."
925,"A 58-year-old woman comes to the physician because of a 3-month history of left knee pain as well as stiffness upon waking for about 10–15 minutes. The pain is worse after standing a lot at work and when she climbs stairs. There is no history of trauma. She has hypercholesterolemia and hypertension. Her mother died of metastatic breast cancer 15 years ago, at the age of 65 years. She does not smoke or drink alcohol. Current medications include atorvastatin, labetalol, and aspirin. Over the past 2 months, she has been taking over-the-counter ibuprofen as needed for the joint pain. She is 163 cm (5 ft 4 in) tall and weighs 84 kg (185 lb); BMI is 31.8 kg/m2. Her temperature is 37°C (98.6°F), pulse is 88/min, and blood pressure is 114/68 mm Hg. Examination of the left knee shows tenderness on palpation of the anteromedial joint line; there is crepitus and pain with full flexion and extension. Serum uric acid concentration is 8.0 mg/dL and erythrocyte sedimentation rate is 15 mm/h. Which of the following is the most likely finding on imaging of the left knee?
A) Osteophytes with joint-space narrowing on x-ray
B) Calcification of synovia and cartilage on ultrasound
C) Diffuse lytic-sclerotic bone lesions on x-ray
D) Joint effusion and pannus on ultrasound
E) Fluid-filled pouch on ultrasound","Reformatted Question:
A <fact1>58-year-old woman</fact1> comes to the physician because of a <fact2>3-month history of left knee pain</fact2> as well as <fact3>stiffness upon waking for about 10–15 minutes</fact3>. The <fact4>pain is worse after standing a lot at work</fact4> and when she <fact5>climbs stairs</fact5>. There is no history of <fact6>trauma</fact6>. She has <fact7>hypercholesterolemia</fact7> and <fact8>hypertension</fact8>. Her <fact9>mother died of metastatic breast cancer 15 years ago</fact9>, at the age of <fact10>65 years</fact10>. She does not <fact11>smoke</fact11> or <fact12>drink alcohol</fact12>. Current medications include <fact13>atorvastatin</fact13>, <fact14>labetalol</fact14>, and <fact15>aspirin</fact15>. Over the past <fact16>2 months</fact16>, she has been taking <fact17>over-the-counter ibuprofen</fact17> as needed for the <fact18>joint pain</fact18>. She is <fact19>163 cm (5 ft 4 in) tall</fact19> and weighs <fact20>84 kg (185 lb)</fact20>; <fact21>BMI is 31.8 kg/m2</fact21>. Her <fact22>temperature is 37°C (98.6°F)</fact22>, <fact23>pulse is 88/min</fact23>, and <fact24>blood pressure is 114/68 mm Hg</fact24>. Examination of the <fact25>left knee</fact25> shows <fact26>tenderness on palpation of the anteromedial joint line</fact26>; there is <fact27>crepitus</fact27> and <fact28>pain with full flexion and extension</fact28>. <fact29>Serum uric acid concentration is 8.0 mg/dL</fact29> and <fact30>erythrocyte sedimentation rate is 15 mm/h</fact30>. Which of the following is the most likely finding on <fact31>imaging of the left knee</fact31>?

Answer: 
A) <fact32>Osteophytes with joint-space narrowing on x-ray</fact32>

Explanation: 
The patient is a <fact1>58-year-old woman</fact1> with a <fact2>3-month history of left knee pain</fact2> and <fact3>stiffness upon waking</fact3>. The <fact4>pain is worse after standing a lot at work</fact4> and when she <fact5>climbs stairs</fact5>, which are classic symptoms of osteoarthritis (OA). The patient's <fact7>hypercholesterolemia</fact7> and <fact8>hypertension</fact8> are not directly related to her knee pain, but her <fact9>mother died of metastatic breast cancer</fact9> at the age of <fact10>65 years</fact10> may suggest a possible genetic predisposition to OA. The patient's <fact21>BMI of 31.8 kg/m2</fact21> is in the obese range, which is a risk factor for OA. The examination of the <fact25>left knee</fact25> shows <fact26>tenderness on palpation of the anteromedial joint line</fact26>, <fact27>crepitus</fact27>, and <fact28>pain with full flexion and extension</fact28>, all of which are consistent with OA. The <fact29>serum uric acid concentration of 8.0 mg/dL</fact29> is slightly elevated, but not high enough to suggest gout. The <fact30>erythrocyte sedimentation rate of 15 mm/h</fact30> is within the normal range, which makes an inflammatory cause of her knee pain less likely. Given these factors, the most likely finding on <fact31>imaging of the left knee</fact31> is <fact32>osteophytes with joint-space narrowing on x-ray</fact32>, which is characteristic of OA."
