id,question,answer
789,"A 26-year-old gravida 2 para 1 at 24 weeks gestation is admitted to the labor and delivery suite with mild abdominal cramps, uterine contractions, and a watery vaginal discharge. She has a history of preterm birth. The vital signs are as follows: blood pressure 125/80 mm Hg; heart rate 100/min; respiratory rate 13/min; and temperature 36.6℃ (97.9℉). The pelvic examination reveals cervical softening and shortening. Transvaginal ultrasound shows a cervical length of 12 mm, which is consistent with preterm labor. A tocolytic and a single dose of betamethasone are administered. Betamethasone stimulates which fetal cells?
Options
A) Type I pneumocytes
B) Goblet cells
C) Bronchial epithelial cells
D) Type II pneumocytes
E) Vascular smooth myocytes","To approach this question, let's break down the information provided and understand the context. The patient is a 26-year-old woman in her 24th week of pregnancy, presenting with symptoms of preterm labor, including mild abdominal cramps, uterine contractions, and a watery vaginal discharge. Given her history of preterm birth, the goal is to delay delivery to allow for fetal maturation.

The administration of betamethasone, a corticosteroid, is a standard practice in this scenario to promote fetal lung maturity. The key to answering this question lies in understanding the effect of betamethasone on fetal development, specifically on the lungs.

Betamethasone stimulates the production of surfactant in the fetal lungs, which is crucial for reducing surface tension within the alveoli and thereby preventing respiratory distress syndrome (RDS) in preterm infants. The cells responsible for producing surfactant in the lungs are Type II pneumocytes.

Considering the options provided:

A) Type I pneumocytes are involved in gas exchange but are not responsible for surfactant production.

B) Goblet cells are found in the respiratory and intestinal tracts and produce mucin, not surfactant.

C) Bronchial epithelial cells line the airways but are not the primary source of surfactant.

D) Type II pneumocytes are the correct cells, as they produce surfactant in response to corticosteroid stimulation.

E) Vascular smooth myocytes are involved in blood vessel constriction and dilation, unrelated to surfactant production.

Answer: {D}"
862,"A 3-year-old boy is brought to the physician because of a 3-day history of fatigue and yellow discoloration of his skin. One week ago, he had an upper respiratory tract infection. Examination shows jaundice of the skin and conjunctivae. The spleen tip is palpated 2 cm below the left costal margin. His hemoglobin concentration is 9.4 g/dl and his mean corpuscular hemoglobin concentration is 39% Hb/cell. A Coombs test is negative. A peripheral blood smear is shown. This patient is at greatest risk for which of the following complications?
Options
A) Malaria
B) Acute myelogenous leukemia
C) Cholecystitis
D) Renal papillary necrosis
E) Splenic sequestration crisis","The patient is a 3-year-old boy presenting with fatigue, yellow discoloration of his skin, and jaundice of the skin and conjunctivae. The spleen tip is palpated 2 cm below the left costal margin, indicating splenomegaly. The laboratory results show a low hemoglobin concentration of 9.4 g/dl and a mean corpuscular hemoglobin concentration of 39% Hb/cell. The Coombs test is negative, which rules out autoimmune hemolytic anemia. The peripheral blood smear is not described, but given the clinical presentation and laboratory findings, it is likely to show evidence of hemolysis.

Given the patient's age, symptoms, and laboratory findings, the most likely diagnosis is sickle cell disease (SCD), a genetic disorder that affects hemoglobin production and causes red blood cells to be misshapen and break down prematurely. The patient's recent upper respiratory tract infection may have triggered a hemolytic crisis.

Among the options provided, the patient is at greatest risk for splenic sequestration crisis, which is a complication of SCD. Splenic sequestration crisis occurs when the spleen becomes acutely enlarged and sequesters a large amount of blood, leading to a rapid decrease in hemoglobin level and potentially life-threatening complications.

Answer: {E}"
83,"A 44-year-old African-American woman comes to the physician for a routine examination. She is concerned about cancer because her uncle died of metastatic melanoma 1 year ago. She has no history of serious illness and does not take any medication. She has been working in a law firm for the past 20 years and travels to the Carribean regularly with her husband. Examination of her skin shows no abnormal moles or warts. This woman is at greatest risk of which of the following types of melanoma?
Options
A) Desmoplastic
B) Nodular
C) Acral lentiginous
D) Lentigo maligna
E) Superficial spreading","Analyzing the situation, the 44-year-old African-American woman is concerned about cancer due to her uncle's death from metastatic melanoma. However, it's essential to note that melanoma is relatively rare in African-Americans, and when it does occur, it often presents differently than in other populations. The most common type of melanoma in African-Americans is acral lentiginous melanoma, which typically occurs on the palms, soles, or under the nails. This type of melanoma is not related to sun exposure and is more aggressive than other forms of melanoma. Given the patient's African-American background and the fact that she does not have any abnormal moles or warts on her skin, she is at greatest risk of developing acral lentiginous melanoma.

Answer: {C}"
531,"A previously healthy 35-year-old woman comes to the emergency department because of sudden weakness of her right arm and leg that started 3 hours ago. She returned from a business trip from Europe 3 days ago. She has smoked a pack of cigarettes daily for 10 years. Her only medication is an oral contraceptive. Her temperature is 38.0°C (100.4°F), pulse is 115/min and regular, and blood pressure is 155/85 mm Hg. Examination shows decreased muscle strength on the entire right side. Deep tendon reflexes are 4+ on the right. Babinski sign is present on the right. The left lower leg is swollen, erythematous, and tender to palpation. Further evaluation is most likely to show which of the following?
Options
A) Patent foramen ovale
B) Atrial myxoma
C) Mitral valve vegetation
D) Atrial fibrillation
E) Carotid artery dissection","Analyzing the situation, the 35-year-old woman presents with sudden weakness of her right arm and leg that started 3 hours ago, along with a swollen, erythematous, and tender left lower leg. These symptoms suggest a possible thromboembolic event. The patient's recent long-distance travel and use of oral contraceptives increase her risk for venous thromboembolism. The presence of a swollen leg is indicative of deep vein thrombosis (DVT), and the sudden weakness on one side of the body could be a result of a pulmonary embolism or a paradoxical embolism through a patent foramen ovale (PFO). A PFO is a congenital heart defect that can allow a blood clot to bypass the lungs and travel to the brain, causing a stroke. Given these factors, further evaluation is most likely to show a patent foramen ovale.

Answer: {A}"
1048,"A 57-year-old woman comes to the physician because of a 3-month history of fatigue. She also reports generalized itchiness that started approximately 2 months ago. Two weeks ago, she noticed yellowing of her eyes. She does not smoke or drink alcohol. She uses eyedrops for persistent dryness of the eyes. Her vital signs are within normal limits. Physical examination shows jaundice of the conjunctivae and skin. The mucous membranes of the mouth are dry. The abdomen is soft. The liver edge is palpable 3 cm below the right costal margin. There are generalized skin excoriations. Laboratory studies show:
Hemoglobin 15 g/dL
Leukocyte count 7,700/mm3
Platelet count 332,000/mm3
Serum
Glucose 122 mg/dL
Total bilirubin 3.1 mg/dL
Direct 2.5 mg/dL
Alkaline phosphatase 452 U/L
AST 155 U/L
ALT 168 U/L
Hepatitis B surface antigen negative
Hepatitis B core IgM antibody negative
Hepatitis B surface antibody positive
Hepatitis C antibody negative
Ultrasonography of the abdomen shows mildly increased echogenicity of the liver. Which of the following additional findings is most likely to be found in this patient?""
Options
A) Inferior vena cava thrombosis
B) Cutaneous xanthomas
C) Butterfly-shaped vertebrae
D) Increased CA 19-9 levels
E) Kayser-Fleischer rings
""","Analyzing the 57-year-old woman's presentation, she has been experiencing fatigue for 3 months, generalized itchiness for 2 months, and yellowing of her eyes for 2 weeks. Physical examination reveals jaundice of the conjunctivae and skin, dry mucous membranes of the mouth, a palpable liver edge, and generalized skin excoriations. Laboratory studies show elevated liver enzymes, high alkaline phosphatase, and direct hyperbilirubinemia. The patient's symptoms and laboratory findings are suggestive of cholestasis, which is further supported by the mildly increased echogenicity of the liver on ultrasonography.

Considering the patient's symptoms and laboratory results, the most likely diagnosis is Primary Biliary Cholangitis (PBC), a chronic autoimmune liver disease characterized by progressive destruction of the intrahepatic bile ducts, leading to cholestasis and, ultimately, cirrhosis. One of the characteristic findings in PBC is the presence of Kayser-Fleischer rings, which are deposits of copper in the cornea.

Therefore, the additional finding most likely to be found in this patient is Kayser-Fleischer rings.

Answer: {E}"
996,"A 36-year-old woman, gravida 3, para 2, at 42 weeks' gestation comes to the physician for induction of labor. Her pregnancy has been uncomplicated. Her two other children were born after uncomplicated vaginal deliveries at 41 and 42 weeks' gestation, respectively. Her only medication is a prenatal vitamin. She is 165 cm (5 ft 5 in) tall and weighs 86 kg (200 lb); BMI is 33 kg/m2. Her temperature is 36.8°C (98.4°F), pulse is 90/min, respirations are 14/min, and blood pressure is 110/80 mmHg. Examination shows a nontender, soft uterus consistent in size with a 42-weeks' gestation. This patient's child is at greatest risk for which of the following complications?
Options
A) Polyhydramnios
B) Acute respiratory distress syndrome
C) Caudal regression syndrome
D) Meconium aspiration
E) Placental abruption","This patient is at 42 weeks' gestation, which is considered post-term. The risks associated with post-term pregnancy include complications for the fetus, such as meconium aspiration syndrome. Meconium aspiration occurs when the fetus inhales meconium-stained amniotic fluid into the lungs, which can cause respiratory distress and other complications. This risk is increased in post-term pregnancies due to the decreased amount of amniotic fluid and the increased likelihood of fetal stress.

Considering the patient's history of uncomplicated vaginal deliveries and the current uncomplicated pregnancy, the risk of complications such as polyhydramnios (A), caudal regression syndrome (C), and placental abruption (E) is lower. Acute respiratory distress syndrome (B) is more commonly associated with preterm infants.

Therefore, the patient's child is at greatest risk for meconium aspiration due to the post-term gestation.

Answer: {D}"
830,"A 66-year-old man presents to the emergency department for a cough and fatigue. The patient was brought in from a nursing home with documentation stating that he has seemed confused for the past day according to the staff. The patient has a past medical history of diabetes and hypertension. He is currently taking insulin, metformin, lisinopril, and atorvastatin. His temperature is 102°F (38.9°C), blood pressure is 107/58 mmHg, pulse is 120/min, respirations are 15/min, and oxygen saturation is 98% on room air. Physical exam reveals crackles on pulmonary exam and S4 on cardiac auscultation. Which of the following is the next best step in management?
Options
A) Azithromycin and admission to the medical floor
B) Azithromycin and discharge
C) Azithromycin, moxifloxacin, and admission to the intensive care unit
D) Ceftriaxone, azithromycin, and admission to the intensive care unit
E) Moxifloxacin and admission to the medical floor","Let's break down the patient's presentation and the options provided to determine the next best step in management.

The 66-year-old man presents with a cough, fatigue, and confusion, which have developed over the past day. His past medical history includes diabetes and hypertension, and he is taking insulin, metformin, lisinopril, and atorvastatin. His vital signs show a fever of 102°F (38.9°C), tachycardia with a pulse of 120/min, and normal oxygen saturation on room air. The physical exam reveals crackles on pulmonary exam and an S4 heart sound, indicating possible heart failure or decreased left ventricular compliance.

Given the patient's symptoms, age, and comorbidities, a likely diagnosis is community-acquired pneumonia (CAP). The confusion could be attributed to hypoxia, fever, or an underlying infection.

When evaluating the options, it's essential to consider the severity of the patient's condition and the need for hospital admission versus discharge. The patient's age, comorbidities, and confusion suggest a more severe presentation that requires close monitoring and potential intensive care.

Option A, azithromycin and admission to the medical floor, is a reasonable choice but may not provide adequate coverage for a more severe or resistant infection.

Option B, azithromycin and discharge, is not suitable given the patient's severity of symptoms and confusion.

Option C, azithromycin, moxifloxacin, and admission to the intensive care unit, provides broad-spectrum coverage but may be excessive for a typical CAP patient.

Option D, ceftriaxone, azithromycin, and admission to the intensive care unit, is the most appropriate choice. Ceftriaxone provides broad-spectrum coverage against typical and atypical pathogens, while azithromycin adds coverage against atypical bacteria and provides synergy against certain pathogens. Admission to the intensive care unit is justified given the patient's severity of symptoms, age, and comorbidities.

Option E, moxifloxacin and admission to the medical floor, is not the best choice as moxifloxacin is typically used for outpatient treatment of CAP and may not provide adequate coverage for a more severe infection.

Answer: {D}"
622,"A 59-year-old man with a history of sickle cell disease presents to the emergency department for evaluation of his fever and night sweats. He is extremely lethargic and is unable to provide an adequate history to his physician. His wife noted that roughly 3 days ago, her husband mentioned that something bit him, but she cannot remember what exactly. The vital signs include blood pressure 85/67 mm Hg, pulse rate 107/min, and respiratory rate 35/min. Upon examination, the man is currently afebrile but is lethargic and pale. His spleen is surgically absent. There are some swollen bite marks on his right hand with red streaks extending to his elbow. Which of the following bites would be most concerning in this patient?
Options
A) Cat bite
B) Human bite
C) Spider bite
D) Fish bite
E) Dog bite","Let's analyze the situation step by step. The 59-year-old man with a history of sickle cell disease presents with fever, night sweats, lethargy, and swollen bite marks on his right hand with red streaks extending to his elbow. His vital signs indicate hypotension, tachycardia, and tachypnea, which are signs of sepsis. The patient's spleen is surgically absent, which increases his risk for infections, particularly those caused by encapsulated organisms. Among the options provided, the most concerning bite would be one that is prone to causing infections with encapsulated bacteria, such as Capnocytophaga canimorsus, which is commonly found in dog saliva. This bacterium can cause severe infections, especially in individuals with asplenia. Therefore, the most concerning bite in this patient would be a dog bite.

Answer: {E}"
977,"A 25-year-old, G2P2L2 woman presents with a complaint of missed menstrual cycle for 4 weeks. Her previous menstrual cycles were regular, occurring every 28–35 days consistently. The patient does not have any other complaints currently. Her past medical history reveals two uncomplicated and normal vaginal deliveries at term. She has a 2-year-old boy and a 6-month-old girl. The patient and her partner use the withdrawal method for contraception. The urine pregnancy test result is positive. The patient returns to the clinic after 1 week expressing her desire to discontinue with the pregnancy and inquires about the possibility of an elective abortion. Which of the following procedures is the most appropriate for elective termination of pregnancy in this patient?
Options
A) Dilatation and evacuation (D&E)
B) Oxytocin-induced labor
C) Manual uterine aspiration
D) Dilatation and curettage (D & C) after vacuum evacuation
E) Oral mifepristone + misoprostol","Considering the patient's situation, she is a 25-year-old woman in her 5th week of pregnancy, as indicated by a missed menstrual cycle for 4 weeks. She has a history of two uncomplicated and normal vaginal deliveries at term and is now seeking an elective abortion. The most appropriate method for elective termination of pregnancy at this gestational age is a procedure that is safe, effective, and minimally invasive.

Option E, oral mifepristone + misoprostol, is a combination of medications that can be used for medical abortion up to 10 weeks of gestation. Mifepristone blocks the action of progesterone, which is necessary for pregnancy maintenance, while misoprostol causes uterine contractions to expel the pregnancy. This method is non-invasive, can be administered in a clinic or at home, and is highly effective in terminating early pregnancies.

The other options are not as suitable for this patient's situation. Dilatation and evacuation (D&E) and dilatation and curettage (D&C) are surgical procedures that may be used for later gestations or in cases where medical abortion is not feasible. Oxytocin-induced labor is typically used for later gestations and may not be suitable for early termination. Manual uterine aspiration is a procedure that can be used for early abortion but is more invasive than medical abortion with mifepristone and misoprostol.

Answer: {E}"
734,"A 1-month-old girl is brought to the emergency department with persistent vomiting, dehydration, and irritability. Over the past week, she has been projectile vomiting after most feedings. Initially, the vomiting would occur just once or twice a day, but now it occurs after every feed. However, her appetite hasn’t decreased, and she seeks milk right after each episode of vomiting. She was born at 39 weeks gestation via spontaneous vaginal delivery and is breastfed exclusively. On physical exam, the vital signs include: temperature 37.5°C (99.5°F), blood pressure 85/55 mm Hg, respiratory rate 28/min, and heart rate 150/min. On examination, she appears to be mildly dehydrated, listless, and irritable. Her abdomen is soft and nontender with a palpable olive-shaped mass in the epigastric region. Which of the following acid-base disturbances is most likely associated with this patient’s condition?
Options
A) Respiratory alkalosis
B) Metabolic acidosis
C) Metabolic alkalosis
D) Respiratory acidosis
E) Mixed respiratory and metabolic acidosis","The 1-month-old girl presents with persistent vomiting, dehydration, and irritability, along with a palpable olive-shaped mass in the epigastric region. These symptoms are highly suggestive of pyloric stenosis, a condition characterized by the narrowing of the pyloric canal due to hypertrophy of the surrounding muscle. This narrowing causes gastric outlet obstruction, leading to projectile vomiting after feedings.

The acid-base disturbance most commonly associated with pyloric stenosis is metabolic alkalosis. This occurs due to the loss of hydrogen ions (H+) in the vomit, which leads to a decrease in the hydrogen ion concentration in the blood. As a result, the blood becomes more alkaline. Additionally, the kidneys compensate for the loss of hydrogen ions by retaining more bicarbonate ions (HCO3-), further contributing to the development of metabolic alkalosis.

Answer: {C}"
