id,question,answer
338,"A 22-year-old woman from a rural area who recently discovered she was pregnant is referred for a cardiology consultation due to cyanosis, dyspnea, and a cardiac murmur revealed at the initial prenatal visit. She is gravida 1, para 0 with an estimated gestational age of 19 weeks. She says that the murmur was found in her childhood, and the doctor at that time placed her under observation only. However, she has been lost to follow-up and has not had proper follow up in years. Currently, she complains of dizziness and occasional dyspnea on exertion which has gradually increased during her pregnancy. Prior to her pregnancy, she did not have any symptoms. The vital signs are as follows: blood pressure 125/60 mm Hg, heart rate 81/min, respiratory rate 13/min, and temperature 36.7°C (98.0°F). Her examination is significant for acrocyanosis and a fixed splitting of S2 and grade 3/6 midsystolic murmur best heard over the left upper sternal border. Which of the following physiological pregnancy changes is causing the change in this patient’s condition?
A) Increase in pulmonary vascular resistance
B) Increase in heart rate
C) Decrease in systemic vascular resistance
D) Increase in cardiac output
E) Increase in blood volume","Analyzing the situation, the 22-year-old woman is a pregnant patient referred for a cardiology consultation due to cyanosis, dyspnea, and a cardiac murmur revealed at the initial prenatal visit. She has a history of a cardiac murmur since childhood, which was not properly followed up. Currently, she complains of dizziness and occasional dyspnea on exertion, which has gradually increased during her pregnancy. The vital signs are within normal limits, and the examination is significant for acrocyanosis and a fixed splitting of S2 and grade 3/6 midsystolic murmur best heard over the left upper sternal border.

Given the patient's symptoms and examination findings, it is likely that she has a congenital heart defect, possibly a patent foramen ovale or an atrial septal defect. Pregnancy can exacerbate the symptoms of patients with pre-existing heart conditions due to the physiological changes that occur during pregnancy.

During pregnancy, there is a significant increase in cardiac output, which is essential to meet the increased metabolic demands of the mother and the fetus. Cardiac output increases by approximately 30-50% by the end of the third trimester. This increase in cardiac output is achieved through a combination of increases in heart rate and stroke volume.

The increase in cardiac output is caused by the following factors:

* Decrease in systemic vascular resistance: Pregnancy is associated with a decrease in systemic vascular resistance, which allows for an increase in cardiac output.
* Increase in blood volume: Pregnancy is also associated with an increase in blood volume, which contributes to the increase in cardiac output.
* Increase in heart rate: The heart rate increases during pregnancy, which also contributes to the increase in cardiac output.

Considering the patient's symptoms and examination findings, the most likely physiological pregnancy change causing the change in her condition is the increase in cardiac output. The increase in cardiac output may exacerbate the symptoms of her pre-existing cardiac condition, leading to dizziness and dyspnea on exertion.

Therefore, the answer is {D}."
1147,"A 27-year-old male presents for emergency surgery to reattach his left arm, severed during a high-speed car accident, and has lost significant amounts of blood. His wife arrives within minutes to the hospital exclaiming that under no circumstance should he receive any blood transfusions during surgery. After reviewing his medical chart, you see also see an annotation indicating no blood transfusions for religious reasons. Knowing that he needs a blood transfusion to save his life, what do you do?
A) Administer a blood transfusion to save the patient's life
B) Call the ethics board of the hospital to discuss the issue
C) Respect the patient's written instructions and do not adminster a blood transfusion
D) Convince the wife to administer a blood transfusion to her husband
E) Refuse to treat the patient as he will die without a blood transfusion","In this scenario, the patient has a medical emergency that requires immediate attention to save his life. The annotation in his medical chart indicates that he has a religious objection to blood transfusions. However, as a medical professional, it is your duty to prioritize the patient's medical needs over his personal or religious beliefs.

Administering a blood transfusion is a medical necessity in this situation, and refusing to do so would be a violation of the patient's right to receive medical care. While respecting the patient's autonomy and religious beliefs is important, it is not more important than saving his life.

Calling the ethics board of the hospital (option B) may be a good idea, but it is not the most immediate action to take in this situation. Convincing the wife to administer a blood transfusion (option D) is not a viable solution, as she is not a medical professional and cannot make medical decisions on behalf of her husband. Refusing to treat the patient (option E) is not a viable option, as it would be a violation of your duty as a medical professional.

Therefore, the most appropriate course of action is to administer a blood transfusion to save the patient's life, despite his religious objections. This decision should be made in consultation with the patient's family and other medical professionals, and with a clear understanding of the patient's medical needs and the potential consequences of not administering a blood transfusion.

[{}]"
46,"A man is brought into the emergency department by the police department. The officer state that the man has been arrested multiple times for public alcohol intoxication, but recently became homeless. On exam, the man is behaving erratically. His vitals are all within normal limits. He appears confused and has a slurred speech. On gait exam, the patient is ataxic and cannot stand without support for more than a few seconds. Labs return with the following values: Na 140, K 4, Cl 106, BUN 8, Cr 2. His ABG has pH 7.3, PaCO2 13mm, PaO2 130mm, HCO3 7. His urinalysis is shown in Figure 1. Blood salicylate levels return as normal. While you await other diagnostic tests, which of the following should be administered next to treat this patient?
A) Ethanol
B) Naltrexone
C) Naloxone
D) Flumazenil
E) Fomepizole","The patient is a 23-year-old pregnant woman at 22 weeks gestation presenting with symptoms consistent with a urinary tract infection, specifically burning upon urination that started 1 day ago and has not improved with increased water intake and cranberry extract. Her vital signs are stable with a normal temperature, blood pressure, pulse, respirations, and oxygen saturation. The absence of costovertebral angle tenderness suggests that the infection is likely uncomplicated and has not ascended to the kidneys. Given that she is pregnant, the choice of antibiotic must be safe for both her and the fetus. Among the options, Nitrofurantoin is considered safe and effective for treating uncomplicated urinary tract infections during pregnancy.

The 3-month-old baby died suddenly at night while asleep, and the autopsy did not determine a cause of death, which is indicative of Sudden Infant Death Syndrome (SIDS). One of the most effective precautions against SIDS is placing the infant in a supine position on a firm mattress while sleeping. This position reduces the risk of the infant suffocating while sleeping.

The 3-week-old infant has been experiencing regurgitating all of his feeds with yellow vomit for the past 4 days, which suggests a possible intestinal obstruction. The yellow vomit indicates that the vomit is bilious, meaning the obstruction is distal to the ampulla of Vater. Among the provided options, the complete failure of proximal duodenum to recanalize is consistent with duodenal atresia, an embryologic error that leads to bilious vomiting and minimal abdominal distension.

The 58-year-old woman had a history of recent surgery for a fractured femur, which increased her risk for blood clots due to immobilization. The development of sudden shortness of breath followed by cardiac arrest suggests an acute event such as a pulmonary embolism. The presence of fibrous connective tissue around the lumen of the pulmonary artery further supports the formation of a thrombus within the pulmonary artery.

The 68-year-old man's symptoms of recurrent episodes of nausea and abdominal discomfort that occur after eating, especially after a big meal, along with the development of symptoms while climbing the stairs to his apartment over the past 3 weeks, suggest potential cardiac causes. His significant medical history, including type 2 diabetes mellitus, hypertension, and stage 2 peripheral arterial disease, along with a long history of smoking one pack of cigarettes daily for the past 45 years, increases his risk for coronary artery disease.

The 27-year-old female has a genetic disease marked by a mutation in a chloride transporter, which is indicative of Cystic Fibrosis. This condition is associated with a history of chronic bronchitis and affects multiple systems, including the digestive system, leading to malabsorption issues that can cause vitamin deficiency complications.

The 69-year-old male has a history of metastatic prostate cancer and is experiencing back pain accompanied by tenderness to palpation along the lower spine, weakness in the bilateral lower extremities with left greater than right, and saddle anesthesia. These symptoms are highly indicative of cauda equina syndrome, a medical emergency that necessitates immediate intervention to prevent permanent neurological damage.

The patient's presentation, fevers, chills, and left lower quadrant pain, along with laboratory results showing a significantly low platelet count, decreased fibrinogen, and elevated D-dimer, all of which are indicative of disseminated intravascular coagulation (DIC), suggests that the patient has sepsis due to a severe bacterial infection. The identification of a phosphorylated N-acetylglucosamine dimer with 6 fatty acids attached to a polysaccharide side chain when phenol is applied suggests the presence of lipopolysaccharides typical of certain Gram-negative bacteria. Among the options provided, choice D describes a lactose-fermenting, gram-negative rod forming pink colonies on MacConkey agar, which is characteristic of Escherichia coli, a common pathogen responsible for severe infections leading to sepsis and DIC.

The patient is a man who has been arrested multiple times for public alcohol intoxication but recently became homeless. He is behaving erratically, has a slurred speech, and is ataxic. His labs show a normal sodium level but a low potassium level, a low chloride level, and a low bicarbonate level. His ABG shows a pH of 7.3, a low PaCO2 level, and a high PaO2 level. His urinalysis is not shown, but it would likely show a high anion gap. Blood salicylate levels are normal. The patient's presentation is consistent with methanol poisoning. Methanol is metabolized to formic acid, which causes metabolic acidosis with a high anion gap. The patient should be administered fomepizole to inhibit the enzyme alcohol dehydrogenase, which is involved in the metabolism of methanol.

{}"
428,"A 45-year-old African-American male presents to the family medicine physician to assess the status of his diabetes. After reviewing the laboratory tests, the physician decides to write the patient a prescription for miglitol and states that it must be taken with the first bite of the meal. Which of the following bonds will no longer be cleaved when the patient takes miglitol?
A) Phosphodiester bonds
B) Glycosidic bonds
C) Peptide bonds
D) Cystine bonds
E) Hydrogen bonds","To answer this question, we need to understand the mechanism of action of miglitol. Miglitol is an alpha-glucosidase inhibitor, which means it works by inhibiting the enzyme alpha-glucosidase, it prevents the breakdown of complex carbohydrates into simple sugars. Specifically, it inhibits the enzyme that cleaves the glycosidic bonds between glucose molecules.

Glycosidic bonds are the bonds between carbohydrate molecules, and alpha-glucosidase is the enzyme that breaks these bonds to release glucose molecules. By inhibiting this enzyme, miglitol prevents the breakdown of complex carbohydrates into simple sugars, which in turn reduces the rise in blood glucose levels after a meal.

Therefore, when the patient takes miglitol, the bond that will no longer be cleaved is the glycosidic bond.

{B}"
138,"A 36-year-old woman comes to the clinic because of tearing and a foreign body sensation in her eyes bilaterally, which has gradually worsened over the last several weeks. She also notes having occasional palpitations, nervousness, sweating, and heat intolerance. Her past medical history is unremarkable. She reports a 20-pack-year smoking history and is currently a daily smoker. Physical examination shows an anxious, trembling woman. She has eyelid retraction bilaterally, with an inability to fully close her eyes. Her extraocular motility is limited on upgaze. There is no thyromegaly, and no thyroid nodules are noted. Laboratory studies reveal a thyroid-stimulating hormone level of 0.1 μU/mL and total T4 of 42 μg/dL. Thyroid-stimulating immunoglobulin is positive. CT scan of the orbits shows proptosis and marked enlargement of the extraocular muscle with sparing of the tendons. Which of the following would most likely transiently worsen this patient’s eye symptoms?
A) External orbital radiation
B) Selenium supplementation
C) Smoking cessation
D) Systemic corticosteroids
E) Treatment with radioactive iodine","The patient is a 36-year-old woman presenting with tearing and a foreign body sensation in her eyes bilaterally, along with palpitations, nervousness, sweating, and heat intolerance. Her physical examination reveals eyelid retraction, inability to fully close her eyes, and limited extraocular motility on upgaze. Laboratory studies show a low thyroid-stimulating hormone level, high total T4 level, and positive thyroid-stimulating immunoglobulin, indicating hyperthyroidism. The CT scan of the orbits shows proptosis and marked enlargement of the extraocular muscle with sparing of the tendons, consistent with Graves' disease.

The question asks which of the following would most likely transiently worsen this patient's eye symptoms. Let's evaluate the options:

A) External orbital radiation: This treatment is typically used for orbital tumors or inflammatory conditions, not hyperthyroidism. It's unlikely to worsen eye symptoms.

B) Selenium supplementation: Selenium has antioxidant properties and may help reduce thyroid antibody levels, potentially improving eye symptoms.

C) Smoking cessation: Smoking cessation is beneficial for overall health, but it's unlikely to transiently worsen eye symptoms.

D) Systemic corticosteroids: Corticosteroids can worsen eye symptoms in patients with Graves' disease by increasing the size of the extraocular muscles and proptosis.

E) Treatment with radioactive iodine: Radioactive iodine is used to treat hyperthyroidism, but it may take several weeks to months to take effect and is unlikely to transiently worsen eye symptoms.

Considering the options, systemic corticosteroids (D) are the most likely to transiently worsen this patient's eye symptoms.

{D}"
316,"A 27-year-old woman was referred to a dermatology clinic due to a changing discoloration of her fingers from white to red to blue. Although she has not had any recent changes in her daily routines, she also complains of increasing fatigue, muscle weakness, and weight loss. She has a blood pressure of 126/77 mm Hg, respiratory rate of 14/min, and heart rate of 88/min. Physical examination reveals regular heart and lung sounds. Anti-U1 RNP antibodies and increased creatinine kinase were found in her serum. What is the most likely diagnosis in this patient?
A) Systemic lupus erythematosus (SLE)
B) Mixed connective tissue disease
C) Polymyositis
D) Systemic sclerosis
E) Rheumatoid arthritis","To determine the most likely diagnosis for the 27-year-old woman, let's analyze the provided information:

1. Changing discoloration of her fingers from white to red to blue: This is a classic symptom of Raynaud's phenomenon, which is often associated with autoimmune diseases.
2. Increasing fatigue, muscle weakness, and weight loss: These symptoms can be indicative of various conditions, including autoimmune diseases, muscle disorders, or other systemic diseases.
3. Blood pressure, respiratory rate, and heart rate are within normal limits: This suggests that there is no acute cardiovascular or respiratory compromise.
4. Physical examination reveals regular heart and lung sounds: This further supports the absence of acute cardiovascular or respiratory issues.
5. Anti-U1 RNP antibodies: This is a specific type of autoantibody that is often associated with mixed connective tissue disease (MCTD).
6. Increased creatinine kinase: This enzyme is often elevated in conditions that involve muscle damage, such as polymyositis.

Considering the combination of Raynaud's phenomenon, muscle weakness, and the presence of anti-U1 RNP antibodies, the most likely diagnosis is mixed connective tissue disease (MCTD). MCTD is an autoimmune disease that combines features of lupus, scleroderma, and polymyositis. It is characterized by the presence of anti-U1 RNP antibodies and often presents with Raynaud's phenomenon, muscle weakness, and other systemic symptoms.

The final answer is {B}."
1102,"A 58-year-old man with hypertension and dyslipidemia comes to the physician for a routine health maintenance examination. He says he feels well. He is 180 cm (5 ft 11 in) tall and weighs 103 kg (227 lb); BMI is 32 kg/m2. His BMI last year was 27 kg/m2. When asked about his diet, he says, “Being overweight runs in my family. Rather than fight it, I just try to enjoy myself and eat what I want.” Which of the following defense mechanisms best describes the patient's response to the physician?
A) Rationalization
B) Primitive idealization
C) Fantasy
D) Distortion
E) Intellectualization","The patient's response to the physician can be analyzed as follows:

The patient is aware of his weight gain and its implications for his health. However, instead of taking responsibility for his diet and lifestyle, he rationalizes his behavior by saying that being overweight runs in his family and that he prefers to ""enjoy himself"" rather than fight it. This response suggests that the patient is making excuses for his behavior and avoiding taking action to change his habits.

Rationalization is a defense mechanism in which an individual makes excuses or justifications for their behavior, often to avoid feelings of guilt or anxiety. In this case, the patient is using rationalization to avoid taking responsibility for his weight gain and to justify his continued unhealthy eating habits.

The other options do not accurately describe the patient's response:

* Primitive idealization is a defense mechanism in which an individual idealizes or overestimates someone or something, often to avoid feelings of anxiety or insecurity.
* Fantasy is a defense mechanism in which an individual creates a mental image or scenario to avoid dealing with reality.
* Distortion is a defense mechanism in which an individual alters or distorts reality to avoid dealing with uncomfortable or threatening information.
* Intellectualization is a defense mechanism in which an individual uses logic or analysis to avoid dealing with emotions or uncomfortable situations.

Therefore, the defense mechanism that best describes the patient's response to the physician is rationalization.

{}"
10,"A 23-year-old woman comes to the physician because she is embarrassed about the appearance of her nails. She has no history of serious illness and takes no medications. She appears well. A photograph of the nails is shown. Which of the following additional findings is most likely in this patient?
A) Silvery plaques on extensor surfaces
B) Flesh-colored papules in the lumbosacral region
C) Erosions of the dental enamel
D) Pallor of the conjunctival mucosa
E) Holosystolic murmur at the left lower sternal border","To determine the most likely additional finding in this patient, let's analyze the information provided. The patient is a 23-year-old woman who is concerned about the appearance of her nails. She has no history of serious illness and takes no medications. She appears well, which suggests that her condition is likely benign.

The photograph of the nails is not provided, but based on the options, we can infer that the patient likely has nail changes consistent with a condition such as koilonychia (spoon-shaped nails). Koilonychia is often associated with iron deficiency anemia.

Considering the options provided:

A) Silvery plaques on extensor surfaces are characteristic of psoriasis, which is not directly related to nail changes.

B) Flesh-colored papules in the lumbosacral region are associated with lichen sclerosus, which is not related to nail changes.

C) Erosions of the dental enamel are associated with vitamin D deficiency, which can be related to iron deficiency anemia.

D) Pallor of the conjunctival mucosa is a sign of anemia, which is consistent with iron deficiency anemia.

E) Holosystolic murmur at the left lower sternal border is a sign of mitral valve prolapse, which is not related to nail changes.

Given the options, the most likely additional finding in this patient is related to anemia, which is consistent with iron deficiency anemia. The correct answer is:

{D}"
408,"A 60-year-old female patient with a history of hypertension presents to an outpatient office for regular check-up and is found to have hypertriglyceridemia. Her physician prescribes high-dose niacin and recommends taking the medication along with aspirin. The side effect the physician is trying to avoid is thought to be mediated by what mechanism?
A) Bile deposition in the dermis
B) Immune complex formation
C) Release of prostaglandins
D) Mast cell degranulation
E) T cell activation","To address this question, let's analyze the situation step by step. The patient is a 60-year-old female with a history of hypertension who presents with hypertriglyceridemia. Her physician prescribes high-dose niacin and recommends taking the medication along with aspirin. The side effect the physician is trying to avoid is likely related to niacin, which is known to cause flushing, a common side effect of this medication.

The mechanism behind niacin-induced flushing is thought to be related to the release of prostaglandins. Niacin causes the dilation of blood vessels, which leads to an increase in blood flow to the skin. This increased blood flow triggers the release of prostaglandins, which are lipid compounds that cause the blood vessels to dilate further, leading to flushing.

Given this information, the side effect the physician is trying to avoid is likely related to the release of prostaglandins. Aspirin is often used to counteract this effect by inhibiting the production of prostaglandins.

Therefore, the correct answer is {C}.

[C]"
822,"A 73-year-old woman is brought to the physician by her daughter for evaluation of impaired memory and word-finding difficulties for 2 years. She was recently asked to step down from her position as volunteer accountant for a local charity organization because she was no longer able to coordinate her tasks. She reports that she has become unable to taste or smell her food. Two years later, the patient dies. At autopsy, examination of the brain shows generalized cortical atrophy. A photomicrograph of a section of the brain is shown. The inclusions indicated by the arrows are predominantly composed of which of the following substances?
A) Alpha-synuclein
B) Viral ribonuclear proteins
C) Amyloid-β
D) Hyperphosphorylated tau
E) Prion protein","To determine the substance that the inclusions indicated by the arrows are predominantly composed of, we need to consider the patient's symptoms and the findings at autopsy.

The patient presented with impaired memory and word-finding difficulties for 2 years, which progressed to the point where she was no longer able to perform her tasks as a volunteer accountant. She also reported difficulty tasting and smelling her food. These symptoms are indicative of a degenerative neurological disorder.

The autopsy revealed generalized cortical atrophy, which is a hallmark of several neurodegenerative diseases. However, the presence of inclusions in the brain tissue, as indicated by the arrows, suggests a specific diagnosis.

Considering the patient's symptoms and the autopsy findings, the most likely diagnosis is Alzheimer's disease. The inclusions indicated by the arrows are predominantly composed of amyloid-β, which is a protein fragment that accumulates in the brain tissue of individuals with Alzheimer's disease.

The photomicrograph of a section of the brain showing the inclusions indicated by the arrows is consistent with the presence of amyloid-β plaques, which are a characteristic feature of Alzheimer's disease.

Therefore, the inclusions indicated by the arrows are predominantly composed of amyloid-β.

{C}"
