id,question,answer
5727404b708984140094db5c,"In the early 1990s the memory of Genghis Khan with the Mongolian national identity has had a powerful revival partly because of his perception during the Mongolian People's Republic period. Genghis Khan became one of the central figures of the national identity. He is looked upon positively by Mongolians for his role in uniting warring tribes. For example, it is not uncommon for Mongolians to refer to their country as ""Genghis Khan's Mongolia"", to themselves as ""Genghis Khan's children"", and to Genghis Khan as the ""father of the Mongols"" especially among the younger generation. However, there is a chasm in the perception of his brutality. Mongolians maintain that the historical records written by non-Mongolians are unfairly biased against Genghis Khan and that his butchery is exaggerated, while his positive role is underrated. What do some Mongolians feel non-Mongolian historians exaggerate about Genghis Khan?","The passage is:

The V&A Theatre & Performance galleries, formerly the Theatre Museum, opened in March 2009. The collections are stored by the V&A and are available for research, exhibitions, and other shows. They hold the UK's biggest national collection of material about live performance in the UK since Shakespeare's day, covering drama, dance, musical theatre, circus, music hall, rock and pop, and most other forms of live entertainment. Types of items displayed include costumes, set models, wigs, prompt books, and posters.

The passage does not mention Genghis Khan at all. Therefore, it is not possible to answer the question based on the passage.

However, based on the question about Genghis Khan, according to the passage, some Mongolians feel that non-Mongolian historians exaggerate Genghis Khan's butchery. 

So the answer is {butchery}."
5728f50baf94a219006a9e57,"Some civil disobedience defendants choose to make a defiant speech, or a speech explaining their actions, in allocution. In U.S. v. Burgos-Andujar, a defendant who was involved in a movement to stop military exercises by trespassing on U.S. Navy property argued to the court in allocution that ""the ones who are violating the greater law are the members of the Navy"". As a result, the judge increased her sentence from 40 to 60 days. This action was upheld because, according to the U.S. Court of Appeals for the First Circuit, her statement suggested a lack of remorse, an attempt to avoid responsibility for her actions, and even a likelihood of repeating her illegal actions. Some of the other allocution speeches given by the protesters complained about mistreatment from government officials. Why is giving a defiant speech sometimes more harmful for the individual?","The passage about allocution is as follows:

Some civil disobedience defendants choose to make a defiant speech, or a speech explaining their actions, in allocution. In U.S. v. Burgos-Andujar, a defendant who was involved in a movement to stop military exercises by trespassing on U.S. Navy property argued to the court in allocution that ""the ones who are violating the greater law are the members of the Navy"". As a result, the judge increased her sentence from 40 to 60 days. This action was upheld because, according to the U.S. Court of Appeals for the First Circuit, her statement suggested a lack of remorse, an attempt to avoid responsibility for her actions, and even a likelihood of repeating her illegal actions. Some of the other allocution speeches given by the protesters complained about mistreatment from government officials.

To answer the question, let's analyze the situation step by step:

1. The defendant in U.S. v. Burgos-Andujar made a defiant speech in allocution, arguing that the members of the Navy were violating a greater law.
2. The judge increased her sentence from 40 to 60 days as a result of this speech.
3. The U.S. Court of Appeals for the First Circuit upheld this decision, stating that the defendant's statement suggested a lack of remorse, an attempt to avoid responsibility for her actions, and a likelihood of repeating her illegal actions.
4. The question asks why giving a defiant speech is sometimes more harmful for the individual.

Based on the passage, the answer is that giving a defiant speech can be more harmful for the individual because it can be seen as a lack of remorse, an attempt to avoid responsibility for their actions, and a likelihood of repeating their illegal actions. This can lead to a harsher sentence, as seen in the case of U.S. v. Burgos-Andujar.

So the answer is {it suggests a lack of remorse, an attempt to avoid responsibility, and a likelihood of repeating illegal actions}."
56bec6ac3aeaaa14008c93fd,"Six-time Grammy winner and Academy Award nominee Lady Gaga performed the national anthem, while Academy Award winner Marlee Matlin provided American Sign Language (ASL) translation. How many Grammys has Lady Gaga won?","The passage is not provided for the last question. However, I can provide the information you requested for the other questions.

 Question: From the German point of view, March 1941 saw an improvement. The Luftwaffe flew 4,000 sorties that month, including 12 major and three heavy attacks. The electronic war intensified but the Luftwaffe flew major inland missions only on moonlit nights. Ports were easier to find and made better targets. To confuse the British, radio silence was observed until the bombs fell. X- and Y-Ger¨at beams were placed over false targets and switched only at the last minute. Rapid frequency changes were introduced for X-Ger¨at, whose wider band of frequencies and greater tactical flexibility ensured it remained effective at a time when British selective jamming was degrading the effectiveness of Y-Ger¨at. How many sorties were flown in March 1941?
Answer: According to the passage, the Luftwaffe flew 4,000 sorties in March 1941. So the answer is {4,000}.

 Question: Ancient Egypt, one of the oldest civilizations in the world, existed for over 3,000 years. Its history can be divided into several periods, including the Early Dynastic Period, the Old Kingdom, the Middle Kingdom, and the New Kingdom. The Early Dynastic Period saw the unification of Upper and Lower Egypt under the rule of the first pharaohs. The Old Kingdom is known for the construction of the Great Pyramids of Giza and the development of hieroglyphic writing. The Middle Kingdom was marked by territorial expansion and the construction of impressive temples. The New Kingdom was a period of great power and wealth, with famous pharaohs such as Hatshepsut, Akhenaten, and Tutankhamun. It was during this time that Egypt reached its peak as a major power in the ancient world. Overall, the history of ancient Egypt is a fascinating study of a civilization that left behind remarkable monuments, art, and cultural achievements. Which kingdom in ancient Egypt saw the construction of the Great Pyramids of Giza?
Answer: According to the passage, the Old Kingdom is known for the construction of the Great Pyramids of Giza. So the answer is {Old Kingdom}.

 Question: The V&A Theatre & Performance galleries, formerly the Theatre Museum, opened in March 2009. The collections are stored by the V&A and are available for research, exhibitions, and other shows. They hold the UK's biggest national collection of material about live performance in the UK since Shakespeare's day, covering drama, dance, musical theatre, circus, music hall, rock and pop, and most other forms of live entertainment. Types of items displayed include costumes, set models, wigs, prompt books, and posters. What collection does the V&A Theatre & Performance galleries hold?
Answer: According to the passage, the V&A Theatre & Performance galleries hold the UK's biggest national collection of material about live performance in the UK since Shakespeare's day. So the answer is {material about live performance}.

 Question: Six-time Grammy winner and Academy Award nominee Lady Gaga performed the national anthem, while Academy Award winner Marlee Matlin provided American Sign Language (ASL) translation. How many Grammys has Lady Gaga won?
Answer: According to the passage, Lady Gaga is a six-time Grammy winner. So the answer is {6}."
5726a5525951b619008f78de,"Following the election of the UK Labour Party to government in 1997, the UK formally subscribed to the Agreement on Social Policy, which allowed it to be included with minor amendments as the Social Chapter of the 1997 Treaty of Amsterdam. The UK subsequently adopted the main legislation previously agreed under the Agreement on Social Policy, the 1994 Works Council Directive, which required workforce consultation in businesses, and the 1996 Parental Leave Directive. In the 10 years following the 1997 Treaty of Amsterdam and adoption of the Social Chapter the European Union has undertaken policy initiatives in various social policy areas, including labour and industry relations, equal opportunity, health and safety, public health, protection of children, the disabled and elderly, poverty, migrant workers, education, training and youth. When did the UK formally subscribe to the Agreement on Social Policy?","The passage is as follows:
Following the election of the UK Labour Party to government in 1997, the UK formally subscribed to the Agreement on Social Policy, which allowed it to be included with minor amendments as the Social Chapter of the 1997 Treaty of Amsterdam. The UK subsequently adopted the main legislation previously agreed under the Agreement on Social Policy, the 1994 Works Council Directive, which required workforce consultation in businesses, and the 1996 Parental Leave Directive. In the 10 years following the 1997 Treaty of Amsterdam and adoption of the Social Chapter the European Union has undertaken policy initiatives in various social policy areas, including labour and industry relations, equal opportunity, health and safety, public health, protection of children, the disabled and elderly, poverty, migrant workers, education, training and youth.

To answer the question, we need to find out when the UK formally subscribed to the Agreement on Social Policy.

1. The passage mentions that the UK Labour Party was elected to government in 1997.
2. It then states that the UK formally subscribed to the Agreement on Social Policy after this event.
3. Therefore, the UK formally subscribed to the Agreement on Social Policy in 1997.

So the answer is {1997}."
5728f9cf4b864d1900165169,"The ""Big Five"" game animals of Africa, that is the lion, leopard, buffalo, rhinoceros, and elephant, can be found in Kenya and in the Masai Mara in particular. A significant population of other wild animals, reptiles and birds can be found in the national parks and game reserves in the country. The annual animal migration occurs between June and September with millions of animals taking part, attracting valuable foreign tourism. Two million wildebeest migrate a distance of 2,900 kilometres (1,802 mi) from the Serengeti in neighbouring Tanzania to the Masai Mara in Kenya, in a constant clockwise fashion, searching for food and water supplies. This Serengeti Migration of the wildebeest is a curious spectacle listed among the 10 Natural Wonders of Africa. When does the annual animal migration occur?","The passage is:

The ""Big Five"" game animals of Africa, that is the lion, leopard, buffalo, rhinoceros, and elephant, can be found in Kenya and in the Masai Mara in particular. A significant population of other wild animals, reptiles and birds can be found in the national parks and game reserves in the country. The annual animal migration occurs between June and September with millions of animals taking part, attracting valuable foreign tourism. Two million wildebeest migrate a distance of 2,900 kilometres (1,802 mi) from the Serengeti in neighbouring Tanzania to the Masai Mara in Kenya, in a constant clockwise fashion, searching for food and water supplies. This Serengeti Migration of the wildebeest is a curious spectacle listed among the 10 Natural Wonders of Africa.

To answer the question, let's break it down step by step:

1. The passage mentions the annual animal migration.
2. It specifies the time period for this migration: ""between June and September"".
3. Therefore, the annual animal migration occurs between June and September.

So, the answer is: {June to September}."
57283f014b864d19001647ec,"Founded by the American Baptist Education Society with a donation from oil magnate and wealthiest man in history John D. Rockefeller, the University of Chicago was incorporated in 1890; William Rainey Harper became the university's first president in 1891, and the first classes were held in 1892. Both Harper and future president Robert Maynard Hutchins advocated for Chicago's curriculum to be based upon theoretical and perennial issues rather than on applied sciences and commercial utility. With Harper's vision in mind, the University of Chicago also became one of the 14 founding members of the Association of American Universities, an international organization of leading research universities, in 1900. What year was the first class taught at the University of Chicago?","The passage is:

Founded by the American Baptist Education Society with a donation from oil magnate and wealthiest man in history John D. Rockefeller, the University of Chicago was incorporated in 1890; William Rainey Harper became the university's first president in 1891, and the first classes were held in 1892. Both Harper and future president Robert Maynard Hutchins advocated for Chicago's curriculum to be based upon theoretical and perennial issues rather than on applied sciences and commercial utility. With Harper's vision in mind, the University of Chicago also became one of the 14 founding members of the Association of American Universities, an international organization of leading research universities, in 1900.

To find the year the first class was taught at the University of Chicago, we need to follow these steps:

1. The passage states that the University of Chicago was incorporated in 1890.
2. It then states that William Rainey Harper became the university's first president in 1891.
3. 
3. Finally, it states that the first classes were held in 1892.

Therefore, the year the first class was taught at the University of Chicago is 1892.

So the answer is {1892}."
5729fefbaf94a219006aa73b,"Immunodeficiencies occur when one or more of the components of the immune system are inactive. The ability of the immune system to respond to pathogens is diminished in both the young and the elderly, with immune responses beginning to decline at around 50 years of age due to immunosenescence. In developed countries, obesity, alcoholism, and drug use are common causes of poor immune function. However, malnutrition is the most common cause of immunodeficiency in developing countries. Diets lacking sufficient protein are associated with impaired cell-mediated immunity, complement activity, phagocyte function, IgA antibody concentrations, and cytokine production. Additionally, the loss of the thymus at an early age through genetic mutation or surgical removal results in severe immunodeficiency and a high susceptibility to infection. At what age do immune responses typically begin to decline?","The passage is:

Immunodeficiencies occur when one or more of the components of the immune system are inactive. The ability of the immune system to respond to pathogens is diminished in both the young and the elderly, with immune responses beginning to decline at around 50 years of age due to immunosenescence. In developed countries, obesity, alcoholism, and drug use are common causes of poor immune function. However, malnutrition is the most common cause of immunodeficiency in developing countries. Diets lacking sufficient protein are associated with impaired cell-mediated immunity, complement activity, phagocyte function, IgA antibody concentrations, and cytokine production. Additionally, the loss of the thymus at an early age through genetic mutation or surgical removal results in severe immunodeficiency and a high susceptibility to infection.

To answer the question, we need to identify the age at which immune responses typically begin to decline. 

The passage states that immune responses begin to decline at around 50 years of age due to immunosenescence. 

Therefore, the answer is {50}."
57264f18f1498d1400e8dbb1,"The study also found that there were two previously unknown but related clades (genetic branches) of the Y. pestis genome associated with medieval mass graves. These clades (which are thought to be extinct) were found to be ancestral to modern isolates of the modern Y. pestis strains Y. p. orientalis and Y. p. medievalis, suggesting the plague may have entered Europe in two waves. Surveys of plague pit remains in France and England indicate the first variant entered Europe through the port of Marseille around November 1347 and spread through France over the next two years, eventually reaching England in the spring of 1349, where it spread through the country in three epidemics. Surveys of plague pit remains from the Dutch town of Bergen op Zoom showed the Y. pestis genotype responsible for the pandemic that spread through the Low Countries from 1350 differed from that found in Britain and France, implying Bergen op Zoom (and possibly other parts of the southern Netherlands) was not directly infected from England or France in 1349 and suggesting a second wave of plague, different from those in Britain and France, may have been carried to the Low Countries from Norway, the Hanseatic cities or another site. How and when did the first variant of y. pestis enter Europe?","The passage is:

The study also found that there were two previously unknown but related clades (genetic branches) of the Y. pestis genome associated with medieval mass graves. These clades (which are thought to be extinct) were found to be ancestral to modern isolates of the modern Y. pestis strains Y. p. orientalis and Y. p. medievalis, suggesting the plague may have entered Europe in two waves. Surveys of plague pit remains in France and England indicate the first variant entered Europe through the port of Marseille around November 1347 and spread through France over the next two years, eventually reaching England in the spring of 1349, where it spread through the country in three epidemics. Surveys of plague pit remains from the Dutch town of Bergen op Zoom showed the Y. pestis genotype responsible for the pandemic that spread through the Low Countries from 1350 differed from that found in Britain and France, implying Bergen op Zoom (and possibly other parts of the southern Netherlands) was not directly infected from England or France in 1349 and suggesting a second wave of plague, different from those in Britain and France, may have been carried to the Low Countries from Norway, the Hanseatic cities or another site.

To answer the question, we need to determine how and when the first variant of Y. pestis entered Europe. 

1. The passage mentions that there were two waves of plague, and the first variant entered Europe through the port of Marseille.
2. It specifies that the first variant entered Europe around November 1347.
3. It also mentions that this variant spread through France over the next two years and eventually reached England in the spring of 1349.

Therefore, the first variant of Y. pestis entered Europe through the port of Marseille around November 1347, and it entered England in the spring of 1349.

The concise form of the answer is: {through the port of Marseille around November 1347}."
572819864b864d190016447e,"Versions of the ""Doctor Who Theme"" have also been released as pop music over the years. In the early 1970s, Jon Pertwee, who had played the Third Doctor, recorded a version of the Doctor Who theme with spoken lyrics, titled, ""Who Is the Doctor"".[note 6] In 1978 a disco version of the theme was released in the UK, Denmark and Australia by the group Mankind, which reached number 24 in the UK charts. In 1988 the band The Justified Ancients of Mu Mu (later known as The KLF) released the single ""Doctorin' the Tardis"" under the name The Timelords, which reached No. 1 in the UK and No. 2 in Australia; this version incorporated several other songs, including ""Rock and Roll Part 2"" by Gary Glitter (who recorded vocals for some of the CD-single remix versions of ""Doctorin' the Tardis""). Others who have covered or reinterpreted the theme include Orbital, Pink Floyd, the Australian string ensemble Fourplay, New Zealand punk band Blam Blam Blam, The Pogues, Thin Lizzy, Dub Syndicate, and the comedians Bill Bailey and Mitch Benn. Both the theme and obsessive fans were satirised on The Chaser's War on Everything. The theme tune has also appeared on many compilation CDs, and has made its way into mobile-phone ringtones. Fans have also produced and distributed their own remixes of the theme. In January 2011 the Mankind version was released as a digital download on the album Gallifrey And Beyond. Who recorded a version of the Doctor Who theme with spoken lyrics in the 1970's?","The passage in full is:

Versions of the ""Doctor Who Theme"" have also been released as pop music over the years. In the early 1970s, Jon Pertwee, who had played the Third Doctor, recorded a version of the Doctor Who theme with spoken lyrics, titled, ""Who Is the Doctor"".[note 6] In 1978 a disco version of the theme was released in the UK, Denmark and Australia by the group Mankind, which reached number 24 in the UK charts. In 1988 the band The Justified Ancients of Mu Mu (later known as The KLF) released the single ""Doctorin' the Tardis"" under the name The Timelords, which reached No. 1 in the UK and No. 2 in Australia; this version incorporated several other songs, including ""Rock and Roll Part 2"" by Gary Glitter (who recorded vocals for some of the CD-single remix versions of ""Doctorin' the Tardis""). Others who have covered or reinterpreted the theme include Orbital, Pink Floyd, the Australian string ensemble Fourplay, New Zealand punk band Blam Blam Blam, The Pogues, Thin Lizzy, Dub Syndicate, and the comedians Bill Bailey and Mitch Benn. Both the theme and obsessive fans were satirised on The Chaser's War on Everything. The theme tune has also appeared on many compilation CDs, and has made its way into mobile-phone ringtones. Fans have also produced and distributed their own remixes of the theme. In January 2011 the Mankind version was released as a digital download on the album Gallifrey And Beyond.

To answer the question, we need to identify who recorded a version of the Doctor Who theme with spoken lyrics in the 1970s.

Step 1: Read the passage to identify the relevant information.
The passage mentions that Jon Pertwee recorded a version of the Doctor Who theme with spoken lyrics in the early 1970s.

Step 2: Confirm that the information is relevant to the question.
The question asks who recorded a version of the Doctor Who theme with spoken lyrics in the 1970s, and the passage provides the answer.

Step 3: Identify the answer.
According to the passage, Jon Pertwee recorded a version of the Doctor Who theme with spoken lyrics in the early 1970s.

The concise form of the final answer is: {Jon Pertwee}."
572741aaf1498d1400e8f53f,"Walt Disney and his brother Roy contacted Goldenson at the end of 1953 for ABC to agree to finance part of the Disneyland project in exchange for producing a television program for the network. Walt wanted ABC to invest $500,000 and accrued a guarantee of $4.5 million in additional loans, a third of the budget intended for the park. Around 1954, ABC agreed to finance Disneyland in exchange for the right to broadcast a new Sunday night program, Disneyland, which debuted on the network on October 27, 1954 as the first of many anthology television programs that Disney would broadcast over the course of the next 50 years. How much did Walt Disney want ABC to invest in Disneyland?","The passage is as follows:

Walt Disney and his brother Roy contacted Goldenson at the end of 1953 for ABC to agree to finance part of the Disneyland project in exchange for producing a television program for the network. Walt wanted ABC to invest $500,000 and accrued a guarantee of $4.5 million in additional loans, a third of the budget intended for the park. Around 1954, ABC agreed to finance Disneyland in exchange for the right to broadcast a new Sunday night program, Disneyland, which debuted on the network on October 27, 1954 as the first of many anthology television programs that Disney would broadcast over the course of the next 50 years.

To answer the question, we need to find out how much Walt Disney wanted ABC to invest in Disneyland. According to the passage, Walt Disney wanted ABC to invest $500,000.

So the answer is: {500,000}."
