id,question,answer
0,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?
# Answer option: ['A)5(√3 + 1)', 'B)6(√3 + √2)', 'C)7(√3 – 1)', 'D)8(√3 – 2)', 'E)None of these']","Let the height of the tower be h.
Let the initial distance of the car from the base of the tower be x.
At the initial point, the angle of elevation is 45°.  So we have:
tan(45°) = h/x  =>  1 = h/x  =>  x = h

After 10 minutes, the angle of elevation is 60°. Let the distance traveled in 10 minutes be d. The new distance from the base of the tower is x - d = h - d.
So we have:
tan(60°) = h/(h - d)  =>  √3 = h/(h - d)
h - d = h/√3
d = h - h/√3 = h(1 - 1/√3) = h(√3 - 1)/√3

The car is traveling at a uniform speed. Let the speed be v.  The distance d is covered in 10 minutes.
d = v * 10 minutes
h(√3 - 1)/√3 = v * 10

We want to find the time it takes to cover the remaining distance (h - d).  This remaining distance is:
h - d = h - h(√3 - 1)/√3 = h(1 - (√3 - 1)/√3) = h(√3 - √3 + 1)/√3 = h/√3

The time t it takes to cover this distance is:
t = (h/√3) / v
We know h(√3 - 1)/√3 = 10v, so h/v = 10√3/(√3 - 1)
Substituting this into the equation for t:
t = (10√3/(√3 - 1)) * (1/√3) = 10/(√3 - 1)
To rationalize the denominator:
t = 10(√3 + 1)/((√3 - 1)(√3 + 1)) = 10(√3 + 1)/(3 - 1) = 10(√3 + 1)/2 = 5(√3 + 1) minutes

Therefore, it will take 5(√3 + 1) more minutes to reach the base of the tower.

Answer: {A)5(√3 + 1)}
"
1,"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?
# Answer option: ['A)$61', 'B)$65', 'C)$67.40', 'D)$70', 'E)$78.20']","Let the original price of the item be P.
The item is discounted by 22%, so the discounted price is 0.78P.
The customer uses a $20 coupon, so the final price is 0.78P - $20.
The customer paid $1.90 more than half the original price, so the final price is 0.5P + $1.90.
Therefore, we have the equation:
0.78P - $20 = 0.5P + $1.90
Subtract 0.5P from both sides:
0.28P - $20 = $1.90
Add $20 to both sides:
0.28P = $21.90
Divide by 0.28:
P = $21.90 / 0.28 
P = $78.20

Answer: {E}
"
2,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?
# Answer option: ['A)36', 'B)15', 'C)17', 'D)5', 'E)7']","To find a multiple of X that is divisible by both 9 and 12, we need to find the least common multiple (LCM) of 9 and 12.

The prime factorization of 9 is 3 x 3 = 3².
The prime factorization of 12 is 2 x 2 x 3 = 2² x 3.

To find the LCM, we take the highest power of each prime factor present in the factorizations:
LCM(9, 12) = 2² x 3² = 4 x 9 = 36

Therefore, any multiple of 36 will be divisible by both 9 and 12.  The only option that is a multiple of 36 is 36 itself.

Answer: {A}
"
3,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?
# Answer option: ['A)0.22', 'B)0.26', 'C)0.37', 'D)0.46', 'E)0.63']","Let A be the event that Stock A increases in value during the next month, and B be the event that Stock B increases in value during the next month.
We are given that P(A) = 0.56 and P(B) = 0.74.
We want to find the greatest value for the probability that neither A nor B will occur. This is equivalent to finding P(A' ∩ B'), where A' and B' are the complements of A and B, respectively.

Using the formula for the probability of the union of two events:
P(A ∪ B) = P(A) + P(B) - P(A ∩ B)

We also know that:
P(A' ∩ B') = 1 - P(A ∪ B)

The minimum value of P(A ∩ B) is max(0, P(A) + P(B) - 1).
In this case, max(0, 0.56 + 0.74 - 1) = max(0, 0.3) = 0.3

The maximum value of P(A ∪ B) is min(1, P(A) + P(B)) = min(1, 0.56 + 0.74) = min(1, 1.3) = 1

Therefore, the minimum value of P(A ∪ B) is 0.56 + 0.74 - 0.3 = 1
And the maximum value of P(A ∪ B) is min(1, 0.56 + 0.74) = 1
Then P(A' ∩ B') = 1 - P(A ∪ B) = 1 - 1 = 0  (This is wrong. This case assumes the events are perfectly correlated. However, the problem doesn't state this.)

Let's consider the case where the events are independent.  Then P(A ∩ B) = P(A)P(B) = 0.56 * 0.74 = 0.4144
P(A ∪ B) = P(A) + P(B) - P(A ∩ B) = 0.56 + 0.74 - 0.4144 = 0.8856
P(A' ∩ B') = 1 - P(A ∪ B) = 1 - 0.8856 = 0.1144

However, we are looking for the greatest possible value of P(A' ∩ B').  This will occur when the events are as independent as possible.
The minimum value for P(A∪B) is max(P(A), P(B)) = 0.74
Therefore, the greatest value for P(A'∩B') = 1 - 0.74 = 0.26


Answer: {B)0.26}
"
4,"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?
# Answer option: ['A)270', 'B)300', 'C)280', 'D)320', 'E)315']","Let the cost price of the article be CP.
The selling price (SP) is given as Rs. 360.
The profit percentage is 20%.
Profit = SP - CP
Profit percentage = (Profit / CP) * 100
20 = ((360 - CP) / CP) * 100
20CP = 36000 - 100CP
120CP = 36000
CP = 36000 / 120
CP = 300

Therefore, the cost price of the article is Rs. 300.

Answer: {B}
"
5,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?
# Answer option: ['A)40', 'B)200', 'C)380', 'D)400', 'E)3200']","Let's denote the total number of marbles in the bag initially as 'x'.

After the first draw, 20 marbles are painted black and returned. So there are now 20 black marbles and (x - 20) white marbles.  The total number of marbles is still x.

The second time, 20 marbles are drawn, and 1 is black. This means the probability of drawing a black marble is 1/20.  We can set up a proportion to represent the percentage of black marbles in the bag:

(Number of black marbles) / (Total number of marbles) = (Number of black marbles drawn) / (Total number of marbles drawn)

20 / x = 1 / 20

Cross-multiplying gives:

20 * 20 = 1 * x
400 = x

Therefore, there are 400 marbles in the bag.

Answer: {D}
"
6,"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?
# Answer option: ['A)74453', 'B)64543', 'C)74325', 'D)65000', 'E)97656']","Let's break down the problem:

1. **Letters:** There are 26 letters in the alphabet.  Since we need two letters, and the order matters (e.g., ""AB"" is different from ""BA""), we have 26 choices for the first letter and 26 choices for the second. This gives us 26 * 26 = 676 possible letter combinations.

2. **Numbers:** We have 10 digits (0-9).  Since we need two numbers, and the order matters, we have 10 choices for the first digit and 10 choices for the second. This gives us 10 * 10 = 100 possible number combinations.

3. **Total Combinations:** To find the total number of distinct bike numbers, we multiply the number of letter combinations by the number of number combinations: 676 * 100 = 67600

The question asks about distinct bike numbers.  The provided answer options are far larger than 67600. There's a discrepancy.  It's possible the question intended to have a larger set of characters for letters (e.g., including numbers or special characters), or there is some additional constraint not specified (like no repeating digits).


Therefore, based on a standard alphabet and digits 0-9 with no repeating digits, the answer would be 67,600, which isn't among the choices. We need to check if there's a mistake in the question or the answer choices.


Answer: {}
"
7,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?
# Answer option: ['A)10', 'B)11.5', 'C)12.5', 'D)13.5', 'E)15']","Here's how to solve the train problem:

**1. Find the total distance:**

* The train travels at 100 mph for 10 hours, so the total distance is 100 mph * 10 hours = 1000 miles.

**2. Find the distance covered before the rain:**

* The train covers a quarter of the distance before the rain starts, so that's 1000 miles / 4 = 250 miles.

**3. Find the time taken before the rain:**

* Time = Distance / Speed = 250 miles / 100 mph = 2.5 hours.

**4. Find the remaining distance:**

* The remaining distance is 1000 miles - 250 miles = 750 miles.

**5. Find the time taken in the rain:**

* Time = Distance / Speed = 750 miles / 75 mph = 10 hours.

**6. Find the total journey duration:**

* Total time = Time before rain + Time in rain = 2.5 hours + 10 hours = 12.5 hours.

Answer: {C}
"
8,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?
# Answer option: ['A)27', 'B)81', 'C)90', 'D)99', 'E)110']","Let P be the number of students who attended the prom night, and D be the number of students who took part in the debating session.
Total number of students = 200
At least 45% attended the prom night, so P ≥ 0.45 * 200 = 90
At least 35% took part in the debating session, so D ≥ 0.35 * 200 = 70

Let's find the minimum number of students who attended either the prom night or the debating session or both.  The minimum number of students attending either event is the sum of the minimum number attending each event, minus the maximum number attending both (since we've double counted those students):

Minimum (P ∪ D) = Minimum(P) + Minimum(D) - Maximum(P ∩ D)

We want to maximize the number of students who attended neither event. This means we need to minimize the number of students who attended at least one event. To minimize P ∪ D, we need to maximize P ∩ D.

The maximum number of students who could have attended both is the minimum of the two: min(90, 70) = 70.

Therefore, the minimum number of students who attended at least one event is:

Minimum (P ∪ D) = 90 + 70 - 70 = 90

The maximum number of students who could have attended neither event is the total number of students minus the minimum number who attended at least one event:

Maximum (neither) = 200 - 90 = 110

Answer: {E}
"
9,"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?
# Answer option: ['A)15', 'B)24', 'C)25', 'D)40', 'E)52']","Let x be the number of sales the salesperson makes.
Each sale is $250, and the commission is 10%, so the commission per sale is 0.10 * $250 = $25.
The total commission earned from x sales is 25x.
The salesperson wants to earn at least $1000, so we have the inequality:
25x >= 1000
To find x, we divide both sides by 25:
x >= 1000 / 25
x >= 40
Therefore, the salesperson must make at least 40 sales to reach a salary of at least $1000.

Answer: {D}
"
