id,question,answer
0,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?
# Answer option: ['A)5(√3 + 1)', 'B)6(√3 + √2)', 'C)7(√3 – 1)', 'D)8(√3 – 2)', 'E)None of these']","To solve this problem, let's denote the height of the tower as 'h' and the uniform speed of the car as 's'. 

Let's consider the two positions of the car: 
1. When the angle of elevation is 45°, and 
2. When the angle of elevation is 60°.

At the first position, the distance between the car and the tower can be calculated using the tangent function:
tan(45°) = h / x1, where x1 is the distance between the car and the tower at the first position.
Since tan(45°) = 1, we have h = x1.

At the second position, we have:
tan(60°) = h / x2, where x2 is the distance between the car and the tower at the second position.
Since tan(60°) = √3, we have h = √3 * x2.

Now, we can express x1 and x2 in terms of h:
x1 = h and x2 = h / √3.

The distance traveled by the car between the two positions is x1 - x2 = h - h / √3.
We can simplify this expression by finding a common denominator:
x1 - x2 = (h * √3 - h) / √3 = h * (√3 - 1) / √3.

Since the car travels at a uniform speed 's', the time taken to travel this distance is:
t1 = (x1 - x2) / s = h * (√3 - 1) / (√3 * s).

We are given that this time is 10 minutes:
10 = h * (√3 - 1) / (√3 * s).

Now, let's find the time it takes for the car to reach the base of the tower from the second position. 
The distance between the car and the tower at the second position is x2 = h / √3.
The time taken to travel this distance is:
t2 = x2 / s = h / (√3 * s).

We can express t2 in terms of t1:
t2 = h / (√3 * s) = 10 / (√3 - 1).

To simplify this expression, we can multiply the numerator and denominator by (√3 + 1):
t2 = 10 * (√3 + 1) / (√3^2 - 1^2) = 10 * (√3 + 1) / 2 = 5 * (√3 + 1).

Answer: A)5(√3 + 1)"
1,"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?
# Answer option: ['A)$61', 'B)$65', 'C)$67.40', 'D)$70', 'E)$78.20']","Let's denote the original price of the item as x.

The item is discounted by 22%, so the discounted price is 0.78x.

A $20-off coupon is applied to the discounted price, so the customer pays 0.78x - 20.

It is given that the customer paid $1.90 more than half the original price, so we can set up the equation:

0.78x - 20 = 0.5x + 1.90

Now, let's solve for x:

0.78x - 0.5x = 1.90 + 20
0.28x = 21.90
x = 21.90 / 0.28
x = 78.20

Answer: {E)"
2,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?
# Answer option: ['A)36', 'B)15', 'C)17', 'D)5', 'E)7']","To find the multiple of X that is divisible by 9 and 12, we need to find the least common multiple (LCM) of 9 and 12.

The multiples of 9 are: 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, ...

The multiples of 12 are: 12, 24, 36, 48, 60, 72, 84, 96, ...

The first number that appears in both lists is 36, which means that 36 is the least common multiple of 9 and 12.

Therefore, the multiple of X that is divisible by 9 and 12 is 36.

Answer: {A)36}"
3,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?
# Answer option: ['A)0.22', 'B)0.26', 'C)0.37', 'D)0.46', 'E)0.63']","To find the greatest value for the probability that neither of these two events will occur, we need to find the probability that both events will not occur and then take the maximum possible value.

Let's denote the probability that Stock A will increase in value as P(A) = 0.56, and the probability that Stock B will increase in value as P(B) = 0.74.

The probability that Stock A will not increase in value is P(A') = 1 - P(A) = 1 - 0.56 = 0.44.

The probability that Stock B will not increase in value is P(B') = 1 - P(B) = 1 - 0.74 = 0.26.

Since the events are independent, the probability that both events will not occur is P(A' ∩ B') = P(A') * P(B') = 0.44 * 0.26 = 0.1144.

However, the problem asks for the greatest possible value, which means we need to consider the scenario where the events are not independent. In this case, the greatest possible value for the probability that neither event will occur is the minimum of the two individual probabilities, which is min(P(A'), P(B')) = min(0.44, 0.26) = 0.26.

Answer: {B)0.26}"
4,"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?
# Answer option: ['A)270', 'B)300', 'C)280', 'D)320', 'E)315']","To find the cost price of the article, we need to use the formula:

Selling Price = Cost Price + Profit

Given that the selling price is Rs.360 and the profit is 20% of the cost price, we can write:

360 = Cost Price + (20% of Cost Price)

Let's denote the cost price as x. Then, 20% of x is 0.2x.

360 = x + 0.2x
360 = 1.2x

Now, divide both sides by 1.2:

x = 360 / 1.2
x = 300

So, the cost price of the article is Rs.300.

Answer: {B)300}"
5,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?
# Answer option: ['A)40', 'B)200', 'C)380', 'D)400', 'E)3200']","To solve this problem, let's break it down step by step.

1. Initially, 20 marbles were pulled out of the bag, painted black, and then put back in. This means that the bag now contains an unknown total number of marbles, of which at least 20 are black.

2. Then, another 20 marbles were pulled out, of which 1 was black. This means that out of the second sample of 20 marbles, 5% (1/20) were black.

3. We are told that the percentage of black marbles pulled out the second time represents their percentage in the bag. This means that 5% of the total marbles in the bag are black.

4. Since we know that there are at least 20 black marbles in the bag (from the first step), and that these 20 black marbles represent 5% of the total marbles, we can set up the following equation:

   20 = 0.05Q

   where Q is the total number of marbles in the bag.

5. Solving for Q, we get:

   Q = 20 / 0.05
   Q = 400

So, the bag currently holds 400 marbles.

Answer: {D}"
6,"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?
# Answer option: ['A)74453', 'B)64543', 'C)74325', 'D)65000', 'E)97656']","To find the total number of distinct bike numbers that can be formed using 2 letters followed by 2 numbers, we need to consider the possible combinations for each part.

For the 2 letters, there are 26 possible letters in the English alphabet. Since repetition is allowed (i.e., the letters do not need to be distinct), we have 26 options for the first letter and 26 options for the second letter. This gives us a total of 26 * 26 = 676 possible combinations for the letters.

For the 2 numbers, there are 10 possible digits (0-9). Again, since repetition is allowed, we have 10 options for the first number and 10 options for the second number. This gives us a total of 10 * 10 = 100 possible combinations for the numbers.

To find the total number of distinct bike numbers, we multiply the number of possible letter combinations by the number of possible number combinations: 676 * 100 = 67,600.

However, none of the answer options match this result. It's possible that the question intended to ask for distinct letters, in which case we would need to consider the combinations without repetition.

If the letters need to be distinct, we have 26 options for the first letter and 25 options for the second letter (since we cannot repeat the first letter). This gives us a total of 26 * 25 = 650 possible combinations for the letters.

Multiplying this by the number of possible number combinations (100), we get: 650 * 100 = 65,000.

Answer: D)65000"
7,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?
# Answer option: ['A)10', 'B)11.5', 'C)12.5', 'D)13.5', 'E)15']","To find the total journey duration, we first need to calculate the distance covered by the train. Since the train takes 10 hours to reach its destination at a speed of 100 miles/hour, the total distance is:

Distance = Speed * Time = 100 miles/hour * 10 hours = 1000 miles

The train covers a quarter of the distance at a speed of 100 miles/hour. So, the distance covered at this speed is:

Distance = 1000 miles / 4 = 250 miles

Time taken to cover this distance is:

Time = Distance / Speed = 250 miles / 100 miles/hour = 2.5 hours

Now, the remaining distance is:

Remaining Distance = 1000 miles - 250 miles = 750 miles

The train covers this distance at a speed of 75 miles/hour. So, the time taken to cover this distance is:

Time = Distance / Speed = 750 miles / 75 miles/hour = 10 hours

Total journey duration is the sum of the time taken to cover the first quarter of the distance and the time taken to cover the remaining distance:

Total Time = 2.5 hours + 10 hours = 12.5 hours

Answer: {C}"
8,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?
# Answer option: ['A)27', 'B)81', 'C)90', 'D)99', 'E)110']","To find the maximum number of students who could have neither attended the prom night nor the debating session, we need to consider the minimum number of students who attended both events.

Let's calculate the minimum number of students who attended the prom night and the debating session:

Minimum number of students who attended the prom night = 45% of 200 = 0.45 x 200 = 90 students
Minimum number of students who attended the debating session = 35% of 200 = 0.35 x 200 = 70 students

Since some students could have attended both events, the total number of students who attended either the prom night or the debating session (or both) is at least 90 + 70 = 160 students. However, this counts some students twice, so the actual number of students who attended either event could be less than 160.

To find the maximum number of students who could have neither attended the prom night nor the debating session, we subtract the minimum number of students who attended either event from the total number of students:

Maximum number of students who could have neither attended the prom night nor the debating session = 200 - 160 = 40 students is not in the option, however  the closest answer would be  the option that has the lowest number of students.

Answer: [A)27]"
9,"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?
# Answer option: ['A)15', 'B)24', 'C)25', 'D)40', 'E)52']","To calculate the number of sales the sales person needs to make, we first need to find out how much commission he earns per sale. 

Commission per sale = 10% of $250
Commission per sale = (10/100) * $250
Commission per sale = $25

Now, we need to find out how many sales he needs to make to earn at least $1000.

Number of sales = Total commission / Commission per sale
Number of sales = $1000 / $25
Number of sales = 40

So, the sales person needs to make 40 sales of $250 each to earn a salary of at least $1000.

Answer: {D}"
10,"A company produces 420 units of a particular computer component every month, at a production cost to the company of $110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $626,400 ?
# Answer option: ['A)226', 'B)230', 'C)240', 'D)260', 'E)280']","To find the minimum selling price per component that will guarantee a yearly profit of at least $626,400, we need to calculate the total production cost and the total revenue from sales.

The company produces 420 units per month, so the total units produced per year is 420 * 12 = 5040 units.

The production cost per unit is $110, so the total production cost per year is 5040 * 110 = $554,400.

To achieve a yearly profit of at least $626,400, the total revenue from sales should be at least $554,400 (production cost) + $626,400 (profit) = $1,180,800.

Since the company sells all 5040 units per year, the minimum selling price per unit can be calculated by dividing the total revenue by the total units sold:

Minimum selling price per unit = Total revenue / Total units sold
= $1,180,800 / 5040
= $234.29

However, this is not among the answer options. We can round up to the nearest answer option to ensure that the yearly profit is at least $626,400.

Answer: {B)230}"
11,"At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?
# Answer option: ['A)4,000', 'B)4,200', 'C)4,500', 'D)4,800', 'E)5,000']","To find the total number of staplers produced, we first need to determine the total number of non-defective staplers. Since 2% of the non-defective staplers were rejected, and 72 staplers were rejected, we can set up the equation:

2% * x = 72

where x is the total number of non-defective staplers.

To solve for x, we can convert the percentage to a decimal and divide both sides by 0.02:

0.02 * x = 72
x = 72 / 0.02
x = 3600

So, there were 3600 non-defective staplers.

Since 10% of the total staplers produced were defective, the non-defective staplers account for 90% of the total. Let y be the total number of staplers produced. We can set up the equation:

90% * y = 3600

To solve for y, we can convert the percentage to a decimal and divide both sides by 0.9:

0.9 * y = 3600
y = 3600 / 0.9
y = 4000

Therefore, the total number of staplers produced that day was 4000.

Answer: A)4,000"
12,"Machine A puts out a yo-yo every 6 minutes. Machine B puts out a yo-yo every 9 minutes. After how many minutes will they have produced 10 yo-yos?
# Answer option: ['A)24 minutes', 'B)32 minutes', 'C)36 minutes', 'D)64 minutes', 'E)72 minutes']","To find the time it takes for the machines to produce 10 yo-yos, we need to find the combined rate at which they produce yo-yos and then divide 10 by that rate.

Machine A produces a yo-yo every 6 minutes, so its rate is 1/6 yo-yos per minute.
Machine B produces a yo-yo every 9 minutes, so its rate is 1/9 yo-yos per minute.

The combined rate is the sum of the individual rates:
(1/6 + 1/9) yo-yos per minute.

To add these fractions, we need a common denominator, which is 18:
(3/18 + 2/18) = 5/18 yo-yos per minute.

Now, we can divide 10 by the combined rate to find the time it takes to produce 10 yo-yos:
10 / (5/18) = 10 * (18/5) = 36 minutes.

Answer: {C)36 minutes}"
13,"Add: +45 and -30
# Answer option: ['A)-30', 'B)+30', 'C)0', 'D)15', 'E)-15']","To add +45 and -30, we need to combine the two numbers.

+45 means we have 45 units in the positive direction.
-30 means we have 30 units in the negative direction.

When we add these two numbers, we subtract the negative units from the positive units:
45 - 30 = 15

So, the result of adding +45 and -30 is 15.

Answer: {D)15}"
14,"In how many ways can the letters of the word ""PROBLEC"" be rearranged to make 7 letter words such that none of the letters repeat?
# Answer option: ['A)2!', 'B)3!', 'C)7!', 'D)8!', 'E)9!']","To find the number of ways the letters of the word ""PROBLEC"" can be rearranged, we need to consider the total number of letters and how many times each letter is repeated. In this case, all the letters in ""PROBLEC"" are unique, meaning none of them repeat.

The word ""PROBLEC"" consists of 7 letters. When rearranging these letters to form 7-letter words where none of the letters repeat, we are essentially finding the number of permutations of these 7 unique letters.

The formula for permutations of n items is n!, where ""n"" represents the number of items and ""!"" denotes factorial, which is the product of all positive integers up to that number.

For ""PROBLEC"", since there are 7 unique letters, the number of ways to rearrange them is 7!.

7! = 7 × 6 × 5 × 4 × 3 × 2 × 1 = 5040.

So, there are 5040 ways to rearrange the letters of ""PROBLEC"" to make 7-letter words such that none of the letters repeat.

Answer: {C)7!}"
