id,question,answer
0,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?
# Answer option: ['A)5(√3 + 1)', 'B)6(√3 + √2)', 'C)7(√3 – 1)', 'D)8(√3 – 2)', 'E)None of these']","**Reformatted Question:**

A car is traveling at a uniform speed towards the base of a vertical tower.  The angle of elevation to the top of the tower changes from 45° to 60° in 10 minutes.  How much additional time will it take the car to reach the base of the tower? #uniform speed #angle of elevation #time #tower #trigonometry


**Answer:**

Let the height of the tower be 'h'. Let the initial distance of the car from the tower be 'x', and the distance the car travels in 10 minutes be 'd'.

When the angle of elevation is 45°, we have:

tan(45°) = h/x  =>  1 = h/x  =>  x = h

When the angle of elevation is 60°, the car has traveled a distance 'd' closer to the tower, so the distance is now (x-d) = h -d.  We have:

tan(60°) = h/(h - d)  => √3 = h/(h - d)

Solving for 'd':

√3(h - d) = h
√3h - √3d = h
√3h - h = √3d
h(√3 - 1) = √3d
d = h(√3 - 1) / √3


The car travels at a uniform speed.  The time taken to travel distance 'd' is 10 minutes.  Let the speed of the car be 's'.  Then:

d = 10s

Substituting the expression for 'd':

h(√3 - 1) / √3 = 10s

The time it takes to travel the remaining distance 'h - d' is:

t = (h - d) / s = (h - h(√3 - 1)/√3) / s = (h(1 - (√3 - 1)/√3) )/ s = (h(√3 - √3 + 1)/√3) / s = h/(s√3)


From d = 10s, we have s = d/10 = h(√3 - 1)/(10√3). Substituting this into the expression for t:

t = h / (h(√3 - 1)/(10√3) * √3) = 10 / (√3 - 1)

To rationalize the denominator:

t = 10(√3 + 1) / ((√3 - 1)(√3 + 1)) = 10(√3 + 1) / (3 - 1) = 5(√3 + 1)

Therefore, it will take an additional 5(√3 + 1) minutes for the car to reach the base of the tower.

**Final Answer:** {A)5(√3 + 1)}
"
1,"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?
# Answer option: ['A)$61', 'B)$65', 'C)$67.40', 'D)$70', 'E)$78.20']","**Reformatted Question:**

An item's original price is discounted by 22%.  A customer then uses a $20-off coupon, resulting in a final price.  The customer's final price was $1.90 more than half the original price. What was the original price of the item?  # Answer option: ['A)$61', 'B)$65', 'C)$67.40', 'D)$70', 'E)$78.20']


**Answer:**

Let's represent the original price of the item as 'x'.

* **Discount:** The item is discounted by 22%, so the price after the discount is 0.78x (100% - 22% = 78%).

* **Coupon:** A $20 coupon is applied, reducing the price to 0.78x - $20.

* **Final Price:** The customer paid $1.90 more than half the original price, meaning the final price is (x/2) + $1.90.

Now we can set up an equation:

0.78x - $20 = (x/2) + $1.90

Let's solve for x:

1. Multiply both sides by 2 to eliminate the fraction:  1.56x - $40 = x + $3.80

2. Subtract x from both sides: 0.56x - $40 = $3.80

3. Add $40 to both sides: 0.56x = $43.80

4. Divide both sides by 0.56: x = $78.20

Therefore, the original price of the item was $78.20.  This corresponds to answer option **E).**
"
2,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?
# Answer option: ['A)36', 'B)15', 'C)17', 'D)5', 'E)7']","**Reformatted Question:**

Find the multiple of X, from the options # Answer option: ['A)36', 'B)15', 'C)17', 'D)5', 'E)7'], that is divisible by both 9 and 12.  [Divisibility][Multiples][Factors]


**Answer:**

To find a multiple of X that is divisible by both 9 and 12, we need to find the least common multiple (LCM) of 9 and 12.

The prime factorization of 9 is 3 x 3 (or 3²).
The prime factorization of 12 is 2 x 2 x 3 (or 2² x 3).

To find the LCM, we take the highest power of each prime factor present in the factorizations:  2² x 3² = 4 x 9 = 36.

Therefore, the LCM of 9 and 12 is 36.  This means that any number divisible by both 9 and 12 must also be divisible by 36.

Looking at the answer options # Answer option: ['A)36', 'B)15', 'C)17', 'D)5', 'E)7'], only 36 is divisible by 36.  Therefore, 36 is the multiple of X that satisfies the conditions of being divisible by both 9 and 12.

**Final Answer:** A) 36
"
3,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?
# Answer option: ['A)0.22', 'B)0.26', 'C)0.37', 'D)0.46', 'E)0.63']","**Reformatted Question:**

Given that P(Stock A increases) = 0.56 and P(Stock B increases) = 0.74, what is the greatest possible value for the probability that neither Stock A nor Stock B will increase in value during the next month?  # Answer option: ['A)0.22', 'B)0.26', 'C)0.37', 'D)0.46', 'E)0.63']


**Answer:**

Let A be the event that Stock A increases in value, and B be the event that Stock B increases in value. We are given that P(A) = 0.56 and P(B) = 0.74.  We want to find the maximum value of P(A<sup>c</sup> ∩ B<sup>c</sup>), where A<sup>c</sup> and B<sup>c</sup> represent the complements of A and B respectively (i.e., the events that Stock A and Stock B do *not* increase).

We know that P(A<sup>c</sup>) = 1 - P(A) = 1 - 0.56 = 0.44 and P(B<sup>c</sup>) = 1 - P(B) = 1 - 0.74 = 0.26.

The probability that neither A nor B occurs is given by P(A<sup>c</sup> ∩ B<sup>c</sup>).  We can use the principle of inclusion-exclusion to find a relationship between probabilities:

P(A ∪ B) = P(A) + P(B) - P(A ∩ B)

We also know that P(A ∪ B) = 1 - P(A<sup>c</sup> ∩ B<sup>c</sup>)

Therefore, we can rearrange the equation as :

P(A<sup>c</sup> ∩ B<sup>c</sup>) = 1 - P(A ∪ B) = 1 - [P(A) + P(B) - P(A ∩ B)]

To maximize P(A<sup>c</sup> ∩ B<sup>c</sup>), we need to minimize P(A ∪ B). The minimum value of P(A ∪ B) occurs when P(A ∩ B) is minimized.  The minimum value of P(A ∩ B) is 0 (A and B are mutually exclusive, which is the most extreme possibility).

So, let's assume the most extreme case where A and B are mutually exclusive.  Then:

P(A ∪ B) = P(A) + P(B) - P(A ∩ B) = 0.56 + 0.74 - 0 = 1.30

However, a probability cannot be greater than 1.  The highest probability of the union would be capped at 1.

Therefore:  P(A<sup>c</sup> ∩ B<sup>c</sup>) = 1 - P(A ∪ B) ≤ 1 - max(P(A) + P(B) -1 , 0)

If P(A∪B) = 1, then P(A<sup>c</sup> ∩ B<sup>c</sup>) = 1 - 1 = 0.
If P(A ∪ B) = P(A) + P(B) - P(A∩B), then P(A<sup>c</sup> ∩ B<sup>c</sup>) = 1 - (0.56 + 0.74 - 0) = 1-1.3 = -0.3 which is not possible.

The maximum value for P(A<sup>c</sup> ∩ B<sup>c</sup>) occurs when  P(A∪B) is minimized.  Since P(A∪B) must be between 0 and 1, if P(A∪B)=max(1, 0.56+0.74)=1,  then P(A<sup>c</sup> ∩ B<sup>c</sup>) = 1-1 = 0.
However, we know P(A<sup>c</sup>) = 0.44 and P(B<sup>c</sup>) = 0.26, and P(A<sup>c</sup> ∩ B<sup>c</sup>) ≤ min(P(A<sup>c</sup>), P(B<sup>c</sup>)) = min(0.44, 0.26) = 0.26

Therefore, the greatest possible value for the probability that neither event will occur is 0.26.

**Final Answer:** {B) 0.26}
"
4,"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?
# Answer option: ['A)270', 'B)300', 'C)280', 'D)320', 'E)315']","**Reformatted Question:**

A trader sold an article at a profit of 20% for Rs.360.  What is the cost price of the article? #Answer options: ['A)270', 'B)300', 'C)280', 'D)320', 'E)315']


**Answer:**

The selling price of the article is Rs.360, and this represents a 20% profit.  This means the selling price (Rs.360) is 120% of the cost price.

To find the cost price, we can set up a proportion:

120% / 100% = Rs.360 / x  (where 'x' is the cost price)

Simplifying, we get:

1.2 = 360 / x

Solving for x:

x = 360 / 1.2 = 300

Therefore, the cost price of the article is Rs.300.

The correct answer is **B) 300**
"
5,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?
# Answer option: ['A)40', 'B)200', 'C)380', 'D)400', 'E)3200']","**Reformatted Question:**

A bag contains only white marbles initially.  20 marbles are randomly selected, painted black, and returned to the bag. Subsequently, another 20 marbles are randomly selected from the bag, and 1 of them is black. If the proportion of black marbles in the second sample (1/20) represents the proportion of black marbles in the entire bag, how many marbles are currently in the bag? # Answer option: ['A)40', 'B)200', 'C)380', 'D)400', 'E)3200']


**Answer:**

The problem states that after the second draw, 1 out of 20 marbles selected was black.  This is given to represent the overall proportion of black marbles in the bag. This means that 1/20 of the total marbles in the bag are black.

The question also states that 20 white marbles were initially selected, painted black, and returned to the bag. This means there are 20 black marbles in the bag.

Since 1/20 of the total marbles represent the 20 black marbles, we can set up a simple proportion to find the total number of marbles:

(1/20) * Total Marbles = 20 black marbles

To solve for ""Total Marbles,"" we multiply both sides by 20:

Total Marbles = 20 * 20 = 400 marbles

Therefore, the bag currently holds 400 marbles.

**Final Answer:** D) 400
"
6,"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?
# Answer option: ['A)74453', 'B)64543', 'C)74325', 'D)65000', 'E)97656']","**Reformatted Question:**

Find the total number of distinct bike numbers that can be formed using 2 letters followed by 2 numbers.  How many letters need to be distinct?  #Answer options: ['A)74453', 'B)64543', 'C)74325', 'D)65000', 'E)97656']


**Answer:**

The question states that bike numbers are formed using 2 letters followed by 2 numbers.  Let's break down the possibilities:

* **Letters:**  There are 26 letters in the alphabet.  Since the question asks for *distinct* bike numbers, the order of the letters matters.  If we assume the two letters can be the same (e.g., AA), there are 26 choices for the first letter and 26 choices for the second letter, giving 26 * 26 = 676 possibilities. If we assume the letters must be distinct, then there are 26 choices for the first letter, and only 25 remaining choices for the second letter, giving 26 * 25 = 650 possibilities.

* **Numbers:** There are 10 digits (0-9).  Again, assuming the two numbers can be the same (e.g., 11), we have 10 choices for the first number and 10 choices for the second number, resulting in 10 * 10 = 100 possibilities.

* **Total Combinations:** To find the total number of distinct bike numbers, we multiply the number of letter combinations by the number of number combinations.

    * If letters can be the same: 676 (letter combinations) * 100 (number combinations) = 67,600
    * If letters must be distinct: 650 (letter combinations) * 100 (number combinations) = 65,000

None of the provided answer options (A) 74453, (B) 64543, (C) 74325, (D) 65000, (E) 97656 precisely match either calculation. However, option (D) 65000 matches the calculation where the two letters must be distinct.


Therefore:

The total number of distinct bike numbers is 65,000 if the two letters must be distinct.  The answer is **(D) 65000**.  The number of distinct letters needed is 2.
"
7,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?
# Answer option: ['A)10', 'B)11.5', 'C)12.5', 'D)13.5', 'E)15']","**Reformatted Question:**

A train travels at a speed of `100 miles/hour` and takes `10 hours` to reach its destination.  After covering a `quarter of the distance`, it begins to rain, forcing the train to reduce its speed to `75 miles/hour`. What is the total journey duration? # Answer option: ['A)10', 'B)11.5', 'C)12.5', 'D)13.5', 'E)15']


**Answer:**

First, let's calculate the total distance of the train journey.  The train initially travels at 100 miles/hour for 10 hours, so the total distance is 100 miles/hour * 10 hours = 1000 miles.

A quarter of this distance is 1000 miles / 4 = 250 miles.

At the initial speed of 100 miles/hour, the train covers this 250 miles in 250 miles / 100 miles/hour = 2.5 hours.

The remaining distance is 1000 miles - 250 miles = 750 miles.

At the reduced speed of 75 miles/hour, the train covers this remaining distance in 750 miles / 75 miles/hour = 10 hours.

Therefore, the total journey duration is the time taken to cover the first quarter of the distance plus the time taken to cover the remaining distance: 2.5 hours + 10 hours = 12.5 hours.

The correct answer is **C) 12.5**
"
8,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?
# Answer option: ['A)27', 'B)81', 'C)90', 'D)99', 'E)110']","**Reformatted Question:**

At a school with 200 students, at least 45% attended the prom night (`prom attendees`), and at least 35% participated in the debating session (`debate participants`).  What is the maximum number of students who could have neither attended the prom night nor participated in the debating session (`neither`)? # Answer option: ['A)27', 'B)81', 'C)90', 'D)99', 'E)110']


**Answer:**

To find the maximum number of students who could have neither attended the prom nor participated in the debating session, we need to find the minimum number of students who participated in at least one of the events.

* **Minimum Prom Attendees:** At least 45% of 200 students attended the prom, which is 0.45 * 200 = 90 students.
* **Minimum Debate Participants:** At least 35% of 200 students participated in the debate, which is 0.35 * 200 = 70 students.

To find the minimum number of students who participated in *at least one* event, we can't simply add these numbers because some students may have attended both. The most conservative estimate for the minimum number of students in at least one event is to assume that the 70 debate participants were all also prom attendees.  This leaves us with a minimum of 90 students who participated in at least one event (prom night).

Therefore, the maximum number of students who could have attended neither event is the total number of students minus the minimum number of students who participated in at least one event:

200 (total students) - 90 (minimum students at at least one event) = 110 students

Therefore, the maximum number of students who could have neither attended the prom night nor the debating session is 110.

**Final Answer:** E) 110
"
9,"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?
# Answer option: ['A)15', 'B)24', 'C)25', 'D)40', 'E)52']","**Reformatted Question:**

A salesperson receives a 10% commission on each sale.  [Commission Rate: 10%], [Sale Amount: $250]. How many sales of $250 each must the salesperson make to earn at least $1000? [Target Salary: $1000] # Answer option: ['A)15', 'B)24', 'C)25', 'D)40', 'E)52']


**Answer:**

To find the number of sales needed, we first calculate the commission earned per sale:

Commission per sale = 10% of $250 = 0.10 * $250 = $25

Next, we determine how many $25 commissions are needed to reach the target salary of $1000:

Number of sales = Target Salary / Commission per sale = $1000 / $25 = 40

Therefore, the salesperson must make 40 sales of $250 each to reach a salary of at least $1000.

The correct answer is **D) 40**
"
