id,question,answer
0,"On the floor, there is one mauve cat toy, two purple cat toys, three grey cat toys, two mauve notebooks, three grey notebooks, three burgundy cat toys, and one purple notebook. If I remove all the notebooks from the floor, how many grey objects remain on it?
Options:
(A) zero
(B) one
(C) two
(D) three
(E) four
(F) five
(G) six
(H) seven
(I) eight
(J) nine
(K) ten
(L) eleven
(M) twelve
(N) thirteen
(O) fourteen
(P) fifteen
(Q) sixteen","Answer: The question states there are three grey cat toys on the floor.  After removing all the notebooks, the only grey objects remaining are the three grey cat toys.

Answer: {D}
"
1,"On the desk, you see a set of things arranged in a row: a grey cup, a purple mug, and a blue teddy bear. What is the color of the thing directly to the right of the cup?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The question states that a grey cup, a purple mug, and a blue teddy bear are arranged in a row on the desk.  The item to the right of the grey cup is the purple mug. Therefore, the color of the item directly to the right of the cup is purple.

Answer: {Q}
"
2,"On the nightstand, you see a set of items arranged in a row: a gold plate, a silver stress ball, a fuchsia notebook, a mauve bracelet, a green jug, and a yellow fidget spinner. What is the color of the item directly to the left of the jug?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The items on the nightstand are arranged in a row as follows: a gold plate, a silver stress ball, a fuchsia notebook, a mauve bracelet, a green jug, and a yellow fidget spinner.  The question asks for the color of the item directly to the left of the green jug. The item to the left of the green jug is the mauve bracelet.

Answer: {I}
"
3,"On the table, you see several items arranged in a row: a fuchsia teddy bear, a red jug, a gold puzzle, a burgundy bracelet, and a green notebook. How many non-magenta items do you see to the right of the red item?
Options:
(A) zero
(B) one
(C) two
(D) three
(E) four
(F) five
(G) six","The items are arranged in a row: fuchsia teddy bear, red jug, gold puzzle, burgundy bracelet, and green notebook.  The question asks about the items to the *right* of the red jug.  Those items are: gold puzzle, burgundy bracelet, and green notebook.  None of these items are magenta (which is the same as fuchsia).  Therefore, there are three non-magenta items to the right of the red jug.

Answer: {C}
"
4,"On the desk, you see a bunch of things arranged in a row: a mauve plate, an orange jug, a burgundy pair of sunglasses, a green pen, and a purple stress ball. What is the color of the thing directly to the left of the burgundy thing?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The items are arranged in a row: mauve plate, orange jug, burgundy sunglasses, green pen, purple stress ball.  The item to the left of the burgundy sunglasses is the orange jug.

Answer: {B}
"
5,"On the floor, you see a green bracelet, a purple cat toy, a brown pair of sunglasses, a black fidget spinner, a red dog leash, and an orange pen. How many objects are neither black nor blue?
Options:
(A) zero
(B) one
(C) two
(D) three
(E) four
(F) five
(G) six","Here's how to solve this:

1. **Identify the colors:** The colors of the objects on the floor are green, purple, brown, black, red, and orange.

2. **Exclude black and blue:** The question asks for objects that are *neither* black *nor* blue.  Therefore, we eliminate the black fidget spinner. There are no blue items.

3. **Count the remaining objects:** We are left with green bracelet, purple cat toy, brown sunglasses, red dog leash, and orange pen. That's five objects.

Answer: {F}
"
6,"On the floor, you see several things arranged in a row: a blue crayon, a purple stress ball, and a burgundy dog leash. What is the color of the right-most thing?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The question describes items arranged in a row on the floor: a blue crayon, a purple stress ball, and a burgundy dog leash.  The rightmost item in this row is the burgundy dog leash.

Answer: {L}
"
7,"On the floor, I see a turquoise envelope, a grey plate, a silver pencil, and a teal cup. What color is the envelope?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The question states that on the floor, there is a turquoise envelope, a grey plate, a silver pencil, and a teal cup.  The question asks for the color of the envelope. The provided list explicitly states the envelope is turquoise.

Answer: {K}
"
8,"On the table, there is a red crayon, a pink notebook, a yellow jug, and a magenta mug. Is the mug grey?
Options:
(A) yes
(B) no","Answer: The question states that there is a red crayon, a pink notebook, a yellow jug, and a magenta mug on the table.  The question asks if the mug is grey. The description explicitly states the mug is magenta, not grey.

Answer: {B}
"
9,"On the floor, you see a bunch of things arranged in a row: a blue envelope, an orange mug, and a grey pen. What is the color of the thing furthest from the grey thing?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The items are arranged in a row: blue envelope, orange mug, grey pen.  The item furthest from the grey pen is the blue envelope.

Answer: {E}
"
10,"On the desk, you see a set of objects arranged in a row: a blue stress ball, a purple cat toy, and a red puzzle. What is the color of the object furthest from the red object?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The objects are arranged in a row: blue stress ball, purple cat toy, red puzzle.  The object furthest from the red puzzle is the blue stress ball.

Answer: {E}
"
11,"On the table, you see several objects arranged in a row: a gold pen, a mauve mug, a teal envelope, a red keychain, and a turquoise fidget spinner. What is the color of the object directly to the left of the teal object?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The objects are arranged in a row: gold pen, mauve mug, teal envelope, red keychain, turquoise fidget spinner.  The question asks for the color of the object directly to the left of the teal envelope. That object is the mauve mug.

Answer: {I}
"
12,"On the floor, you see several things arranged in a row: an orange dog leash, a burgundy mug, a blue keychain, and a purple notebook. What is the color of the thing directly to the left of the blue thing?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The items on the floor are: an orange dog leash, a burgundy mug, a blue keychain, and a purple notebook.  The question asks for the color of the item directly to the left of the blue keychain.  The item to the left of the blue keychain is the burgundy mug. Therefore, the answer is burgundy.

Answer: {L}
"
13,"On the desk, you see three magenta mugs, three red fidget spinners, three red keychains, and two magenta cups. If I remove all the red items from the desk, how many mugs remain on it?
Options:
(A) zero
(B) one
(C) two
(D) three
(E) four
(F) five
(G) six
(H) seven
(I) eight
(J) nine
(K) ten
(L) eleven
(M) twelve
(N) thirteen
(O) fourteen
(P) fifteen
(Q) sixteen","The question states there are three magenta mugs on the desk initially.  Removing the red items (fidget spinners and keychains) doesn't affect the number of magenta mugs.  Therefore, three magenta mugs remain.

Answer: {D}
"
14,"On the table, there are two yellow pairs of sunglasses, two red pairs of sunglasses, three red scrunchiephone chargers, three grey scrunchiephone chargers, one yellow keychain, two grey pairs of sunglasses, and one red keychain. If I remove all the keychains from the table, how many yellow things remain on it?
Options:
(A) zero
(B) one
(C) two
(D) three
(E) four
(F) five
(G) six
(H) seven
(I) eight
(J) nine
(K) ten
(L) eleven
(M) twelve
(N) thirteen
(O) fourteen
(P) fifteen
(Q) sixteen","Let's break down the problem step-by-step:

1. **Initial Items:** We start with two yellow pairs of sunglasses, two red pairs of sunglasses, three red scrunchiephone chargers, three grey scrunchiephone chargers, one yellow keychain, two grey pairs of sunglasses, and one red keychain.

2. **Removing Keychains:** The instructions specify that we remove all keychains (one yellow and one red).

3. **Remaining Yellow Items:** After removing the keychains, the only yellow items left are the two pairs of yellow sunglasses.

Therefore, there are two yellow items remaining on the table.

Answer: {C}
"
15,"On the table, I see a turquoise cup, a burgundy plate, a red fidget spinner, a silver pen, a yellow pair of sunglasses, and a magenta jug. What color is the pen?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The question states that there is a turquoise cup, a burgundy plate, a red fidget spinner, a silver pen, a yellow pair of sunglasses, and a magenta jug on the table.  The question asks for the color of the pen. The list explicitly states the pen is silver.

Answer: {M}
"
