id,question,answer
0,"On the floor, there is one mauve cat toy, two purple cat toys, three grey cat toys, two mauve notebooks, three grey notebooks, three burgundy cat toys, and one purple notebook. If I remove all the notebooks from the floor, how many grey objects remain on it?
Options:
(A) zero
(B) one
(C) two
(D) three
(E) four
(F) five
(G) six
(H) seven
(I) eight
(J) nine
(K) ten
(L) eleven
(M) twelve
(N) thirteen
(O) fourteen
(P) fifteen
(Q) sixteen","Here's how to solve this problem:

1. **Identify grey objects:** We are told there are three grey cat toys and three grey notebooks on the floor.

2. **Notebooks removed:**  The problem states all notebooks are removed. This includes the three grey notebooks.

3. **Remaining grey objects:** Only the three grey cat toys remain.

Answer: {D}
"
1,"On the desk, you see a set of things arranged in a row: a grey cup, a purple mug, and a blue teddy bear. What is the color of the thing directly to the right of the cup?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The items are arranged as: grey cup, purple mug, blue teddy bear. The thing directly to the right of the grey cup is the purple mug.

Answer: {Q}
"
2,"On the nightstand, you see a set of items arranged in a row: a gold plate, a silver stress ball, a fuchsia notebook, a mauve bracelet, a green jug, and a yellow fidget spinner. What is the color of the item directly to the left of the jug?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","Here's how to solve this:
The items are listed in order from left to right: gold plate, silver stress ball, fuchsia notebook, mauve bracelet, green jug, yellow fidget spinner.
We want to find the color of the item directly to the left of the green jug.  That item is the mauve bracelet.

Answer: {I}
"
3,"On the table, you see several items arranged in a row: a fuchsia teddy bear, a red jug, a gold puzzle, a burgundy bracelet, and a green notebook. How many non-magenta items do you see to the right of the red item?
Options:
(A) zero
(B) one
(C) two
(D) three
(E) four
(F) five
(G) six","Here's how to solve this:

1. **Identify the red item:** The red item is the red jug.
2. **Items to the right of the red jug:** To the right of the red jug are the gold puzzle, the burgundy bracelet, and the green notebook.
3. **Count the non-magenta items:**  All three items to the right of the red jug (gold puzzle, burgundy bracelet, green notebook) are non-magenta.

Answer: {D}
"
4,"On the desk, you see a bunch of things arranged in a row: a mauve plate, an orange jug, a burgundy pair of sunglasses, a green pen, and a purple stress ball. What is the color of the thing directly to the left of the burgundy thing?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The items are arranged as: mauve plate, orange jug, burgundy sunglasses, green pen, purple stress ball.  The question asks for the color of the thing directly to the left of the burgundy sunglasses. That thing is the orange jug.

Answer: {B}
"
5,"On the floor, you see a green bracelet, a purple cat toy, a brown pair of sunglasses, a black fidget spinner, a red dog leash, and an orange pen. How many objects are neither black nor blue?
Options:
(A) zero
(B) one
(C) two
(D) three
(E) four
(F) five
(G) six","Here's the breakdown:
The items on the floor are:
1. A green bracelet
2. A purple cat toy
3. A brown pair of sunglasses
4. A black fidget spinner
5. A red dog leash
6. An orange pen

We're looking for items that are *not* black and *not* blue. Let's go through the list and eliminate those that are black or blue:

1. Green bracelet - Not black or blue
2. Purple cat toy - Not black or blue
3. Brown sunglasses - Not black or blue
4. Black fidget spinner - Black, so eliminate
5. Red dog leash - Not black or blue
6. Orange pen - Not black or blue

We're left with 5 items that are neither black nor blue.

Answer: {F}
"
6,"On the floor, you see several things arranged in a row: a blue crayon, a purple stress ball, and a burgundy dog leash. What is the color of the right-most thing?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The items on the floor are a blue crayon, a purple stress ball, and a burgundy dog leash. The right-most item is the burgundy dog leash.

Answer: {L}
"
7,"On the floor, I see a turquoise envelope, a grey plate, a silver pencil, and a teal cup. What color is the envelope?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The question states that on the floor there is a turquoise envelope, a grey plate, a silver pencil, and a teal cup.  The question asks for the color of the envelope, which is explicitly stated as turquoise.

Answer: {K}
"
8,"On the table, there is a red crayon, a pink notebook, a yellow jug, and a magenta mug. Is the mug grey?
Options:
(A) yes
(B) no","The items on the table are a red crayon, a pink notebook, a yellow jug, and a magenta mug. The question asks if the mug is grey. The mug is described as magenta, not grey.

Answer: {B}
"
9,"On the floor, you see a bunch of things arranged in a row: a blue envelope, an orange mug, and a grey pen. What is the color of the thing furthest from the grey thing?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The items are arranged: blue envelope, orange mug, grey pen. The grey pen is the furthest to the right. The question asks for the color of the thing furthest from the grey thing. The blue envelope is furthest from the grey pen.

Answer: {E}
"
10,"On the desk, you see a set of objects arranged in a row: a blue stress ball, a purple cat toy, and a red puzzle. What is the color of the object furthest from the red object?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The items are arranged: blue stress ball, purple cat toy, red puzzle.  The red puzzle is the last item. The object furthest from it would be the first item in the row, which is the blue stress ball.

Answer: {E}
"
11,"On the table, you see several objects arranged in a row: a gold pen, a mauve mug, a teal envelope, a red keychain, and a turquoise fidget spinner. What is the color of the object directly to the left of the teal object?
Options:
(A) red
(B) orange
(C) yellow
(D) green
(E) blue
(F) brown
(G) magenta
(H) fuchsia
(I) mauve
(J) teal
(K) turquoise
(L) burgundy
(M) silver
(N) gold
(O) black
(P) grey
(Q) purple
(R) pink","The items are arranged as follows: gold pen, mauve mug, teal envelope, red keychain, and turquoise fidget spinner. The question asks for the color of the object directly to the left of the teal envelope.  The mauve mug is to the left of the teal envelope.

Answer: {I}
"
